店舗・グループ名１,店舗・グループ名２,特典内容１,お問合せ先１,お問合せ先１店舗名,お問合せ先２,お問合せ先備考,お問合せ先（メールアドレス）,お問合せ先（ＨＰ）,お問合せ先（ＨＰ）備考
ＩＭＳグループ／IMS Me-Life クリニック 新宿,,"全額自費による人間ドッグを51,700円（税込）を39,600円（税込）でご受診可",03-3375-3371,IMS Me-Life クリニック 新宿,,運転免許証自主返納担当まで,,,
クルマ買取ＪＣＭ（ジェイシーエム）,,無料で買取額をお調べします。（無料出張査定あり）自動車買取時に商品券１万円分をプレゼント,0120-322-755,,,,ryutsu@jcmnet.co.jp,,
アップル／江戸川環七店、町田南店,,いずれかの店舗でお車売却後、６ヶ月以内に運転経歴証明書を交付し、提示又はＦＡＸ頂いた方に美味しいお米５Ｋｇプレゼント,03-5658-0393,江戸川環七店,,,,,
アップル／青梅店,,査定時、ご提示金額より２パーセントアップ／免許返納サポートを見たとお伝えください／ご成約時、東京都下引取無料,0120-78-6610,,,,,,
カーチス多摩／ガチアウトレットカーチス江戸川,,お車買取でご成約された方に現金２万円プレゼント／（対象者：運転経歴証明書ご本人様）／条件、備考／・契約金額３万円以上が対象の取引／・車と必要書類の引渡し後の支払い／・支払いは本人の口座限定／お車販売でご成約された方に現金２万円プレゼント／（対象者：運転経歴証明書ご本人様・運転経歴証明書ご本人様からの紹介を受けた方）／条件、備考／・購入車両本体価格２１万円以上の取引／・納車後の支払い／・ご紹介の場合、支払いは本人もしくは被紹介者の口座に限定,0120-55-0010,,,,,,
ユーカーパック,,成約金額が1０万円超２０万円以下：１万円相当のカタログギフト　・成約金額２０万円超３０万円以下：１万２千円相当のカタログギフト　・成約金額３０万円超：２万円相当のカタログギフト　（カタログギフトは原則、車両の売買代金のお支払い翌々月末日までにお送りいたします。）/（「免許返納特典ページを見て連絡」と必ずお伝えください。）,0120-020-033,,,,,http://ucarpaccom/lp/31/,
外車王,,お車をご売却いただいた方に旅行券１万円分と車デザインのキーホルダーをプレゼント。,0120-1960-35,外車王,,,,https://www.gaisha-oh.com,
旧車王,,お車をご売却いただいた方に旅行券１万円分と車デザインのキーホルダーをプレゼント。,0120-389-777,旧車王,,,,https://www/qsha-oh.com,
廃車買取おもいでガレージ,,"軽自動車プラス3,000円で買い取り。普通車プラス5,000円で買い取り。",0120-061-502,,,,,https://www.omoide-garage.com,
株式会社コーリンオート／東京本社、西東京支店,,お車査定時に運転経歴証明書をご提示いただいたお客様にクオカード500円分をプレゼント。さらに、買取ご成約されたお客様には20万円以上のご成約金額の方は1万円分のクオカードを、20万円未満のご成約金額の方は5千円分のクオカードをプレゼント／関東エリア無料で出張査定に伺います／バッテリー上がりのお車、車検切れのお車でもお引き上げ手数料は無料です／運転経歴証明書のご本人様とご家族様が特典の対象となります。,03-5672-7071,東京本社,042-452-5631,西東京支店,,https://www.callin.co.jp,
ハイエース買取専門店ボロボエースカウカウ,,ハイエースの買取成約で１万円分のAmazonギフトをプレゼント／ハイエース以外の買取成約で５千円分のAmazonギフトをプレゼント／いずれもご売却後、運転経歴証明書のFAXをいただいた方に限る,0120-641-184,,,,,https://directstock.co.jp,
廃車ひきとり１１０番,,"自動車買取成約で、買取金額に関わらずＪＣＢギフト券1,000円分をプレゼント（後日送付）",0120-110-882,,,,,,
車選びドットコム,,"当社サイトを通じてお車を売却された方に、申告いただいた場合、クオカード1,000円分プレゼントします",0120-994-996,,,,,https://www.kurumaerabi.com,
ＣａｒＭｅ,,"当社サイトを通じてお車を売却された方に、申告いただいた場合、クオカード1,000円分プレゼントします",0120-994-996,,,,,https://car-me.jp,
株式会社オートランド東京,,廃車・事故車・中古車買取プラス１万円（軽自動車５千円）／無料査定,0120-88-4616,,,,,autoland.jp,
株式会社Ａｚｏｏｐ,,出品していただいた車両の売買成約時、Amazonギフト券１万円分プレゼント,03-5787-6802,,,,,https://market.trck.jp/,
中古車買取・廃車買取のカーネクスト,,車の買取価格を増額／普通車プラス１万円、軽自動車プラス５千円,0120-301-456,,,,,https://cmgroup.jp/,
アップガレージ,,パーツ・工具の買取（自動車・バイク・自転車）、自転車車体の買取、買取金額２０パーセントアップ。／車体（自動車・バイク）の買取、買取金額10万円以上でクオカード1万円分プレゼント。買取金額10万円未満でクオカード千円分プレゼント。部品どりの車体はパーツ買取に含む。／詳しくは、ホームページをご覧ください。,042-788-5445,横浜町田総本店,,,,https://www.upgarage.com,
アップガレージ,,パーツ・工具の買取（自動車・バイク・自転車）、自転車車体の買取、買取金額２０パーセントアップ。／車体（自動車・バイク）の買取、買取金額10万円以上でクオカード1万円分プレゼント。買取金額10万円未満でクオカード千円分プレゼント。部品どりの車体はパーツ買取に含む。／詳しくは、ホームページをご覧ください。,042-501-9559,国立府中インター店,,,,https://www.upgarage.com,
アップガレージ,,パーツ・工具の買取（自動車・バイク・自転車）、自転車車体の買取、買取金額２０パーセントアップ。／車体（自動車・バイク）の買取、買取金額10万円以上でクオカード1万円分プレゼント。買取金額10万円未満でクオカード千円分プレゼント。部品どりの車体はパーツ買取に含む。／詳しくは、ホームページをご覧ください。,042-390-5582,東村山店,,,,https://www.upgarage.com,
アップガレージ,,パーツ・工具の買取（自動車・バイク・自転車）、自転車車体の買取、買取金額２０パーセントアップ。／車体（自動車・バイク）の買取、買取金額10万円以上でクオカード1万円分プレゼント。買取金額10万円未満でクオカード千円分プレゼント。部品どりの車体はパーツ買取に含む。／詳しくは、ホームページをご覧ください。,03-5923-0505,練馬店,,,,https://www.upgarage.com,
アップガレージ,,パーツ・工具の買取（自動車・バイク・自転車）、自転車車体の買取、買取金額２０パーセントアップ。／車体（自動車・バイク）の買取、買取金額10万円以上でクオカード1万円分プレゼント。買取金額10万円未満でクオカード千円分プレゼント。部品どりの車体はパーツ買取に含む。／詳しくは、ホームページをご覧ください。,042-788-3196,サイクルズ横浜町田店,,,,https://www.upgarage.com,
アップガレージ,,パーツ・工具の買取（自動車・バイク・自転車）、自転車車体の買取、買取金額２０パーセントアップ。／車体（自動車・バイク）の買取、買取金額10万円以上でクオカード1万円分プレゼント。買取金額10万円未満でクオカード千円分プレゼント。部品どりの車体はパーツ買取に含む。／詳しくは、ホームページをご覧ください。,0422-40-6120,ライダースナップス三鷹東八店,,,,https://www.upgarage.com,
アップガレージ,,パーツ・工具の買取（自動車・バイク・自転車）、自転車車体の買取、買取金額２０パーセントアップ。／車体（自動車・バイク）の買取、買取金額10万円以上でクオカード1万円分プレゼント。買取金額10万円未満でクオカード千円分プレゼント。部品どりの車体はパーツ買取に含む。／詳しくは、ホームページをご覧ください。,03-5849-3374,ライダースナップス足立店,,,,https://www.upgarage.com,
アップガレージ,,パーツ・工具の買取（自動車・バイク・自転車）、自転車車体の買取、買取金額２０パーセントアップ。／車体（自動車・バイク）の買取、買取金額10万円以上でクオカード1万円分プレゼント。買取金額10万円未満でクオカード千円分プレゼント。部品どりの車体はパーツ買取に含む。／詳しくは、ホームページをご覧ください。,042-703-6180,ライダースナップス多摩境店,,,,https://www.upgarage.com,
アップガレージ,,パーツ・工具の買取（自動車・バイク・自転車）、自転車車体の買取、買取金額２０パーセントアップ。／車体（自動車・バイク）の買取、買取金額10万円以上でクオカード1万円分プレゼント。買取金額10万円未満でクオカード千円分プレゼント。部品どりの車体はパーツ買取に含む。／詳しくは、ホームページをご覧ください。,0120-017-182,パーツまるごとクルマ＆バイク買取団横浜町田本店,,,,https://www.upgarage.com,
アップガレージ,,パーツ・工具の買取（自動車・バイク・自転車）、自転車車体の買取、買取金額２０パーセントアップ。／車体（自動車・バイク）の買取、買取金額10万円以上でクオカード1万円分プレゼント。買取金額10万円未満でクオカード千円分プレゼント。部品どりの車体はパーツ買取に含む。／詳しくは、ホームページをご覧ください。,042-706-2345,ツールズ横浜町田店,,,,https://www.upgarage.com,
アップガレージ,,パーツ・工具の買取（自動車・バイク・自転車）、自転車車体の買取、買取金額２０パーセントアップ。／車体（自動車・バイク）の買取、買取金額10万円以上でクオカード1万円分プレゼント。買取金額10万円未満でクオカード千円分プレゼント。部品どりの車体はパーツ買取に含む。／詳しくは、ホームページをご覧ください。,042-397-6000,ツールズ東村山店,,,,https://www.upgarage.com,
京葉オートライフ株式会社,,買取ご成約でお米５キロプレゼント。江戸川区・葛飾区引取無料。,03-3651-0111,,,,,,
ハッピーカーズ府中店,,車の買取価格増額、普通車プラス２万円、軽自動車プラス１万円。,070-3315-1173,,,,nakajima@happycars.jp,,
ハッピーカーズ八王子店,,"最低買取額保証、普通車55,000円、軽自動車11,000円（自走できる車に限る）無料出張査定します。高齢者運転免許自主返納サポートを見たとお伝えください。",090-8596-4228,代表直通電話,,,,https://www.ak-matsumiya.jp,
ハッピーカーズ小金井・小平店,,成約時に２点プレゼント  指定場所でお車とオーナー様との引退記念写真を無料撮影   軽自動車は１万円分のギフト券　無料出張査定します  高齢者運転免許自主返納サポートを見たとお伝え下さい,070-9111-7095,,,,,https://buyyourcar.jp,
廃車 事故車買取王 ,,普通車の場合は査定金額プラス１０，０００円　軽自動車の場合は査定金額プラス５，０００円,042-692-0007,八王子店,,,,,
愛車買取オークションセルカ,,お車をご売却いただいた方、成約特典５０００円付与！ （スタッフに「免許返納特典ページを見て連絡」と必ずお伝え下さい）,050-3145-6925,,,,https://www.sellca-sellcar.com/？Source=keisicho,,
東京ガスライフバル／北杉並、南杉並、西東京、八王子,,"ガス機器成約金額10万以上で2,000円割引",03-3396-4411,井草店,,,,,
東京ガスライフバル／北杉並、南杉並、西東京、八王子,,"ガス機器成約金額10万以上で2,000円割引",03-3396-4411,北杉並店,,,,,
東京ガスライフバル／北杉並、南杉並、西東京、八王子,,"ガス機器成約金額10万以上で2,000円割引",03-3396-4411,阿佐ヶ谷店,,,,,
東京ガスライフバル／北杉並、南杉並、西東京、八王子,,"ガス機器成約金額10万以上で2,000円割引",042-469-6611,東久留米店,,,,,
東京ガスライフバル／北杉並、南杉並、西東京、八王子,,"ガス機器成約金額10万以上で2,000円割引",042-463-0064,田無店,,,,,
東京ガスライフバル／北杉並、南杉並、西東京、八王子,,"ガス機器成約金額10万以上で2,000円割引",042-648-8100,八王子店,,,,,
東京ガスライフバル／北杉並、南杉並、西東京、八王子,,"ガス機器成約金額10万以上で2,000円割引",042-679-9901,南八王子店,,,,,
株式会社アース・カー,,駐車場シェアリング「特Ｐ」に登録（貸し出し可能状態）すれば、特典として現金5.000円プレゼント（１回限り）。特典を利用する場合は、必ず事前に「運転経歴証明書をお持ちであること」をご連絡お願いします。,03-6812-2295,,,,,https://media.toku-p.earth-car.com/owner/,
株式会社クラシアン,,水道修理、トイレのつまり除去などの作業料金を１０パーセント割引（他の割引と併用はできません。）／ご予約時に特典利用の旨お伝えください,0120-583-587,予約・相談フリーダイヤル,,無休・24時間,,,
京王不動産,,不動産売買の仲介手数料(税抜)１０パーセント割引※本人に限る,03-3299-3111,,,,,,
サンヨーホームズ株式会社,東京マンション事業部,「サンミットひたち野東ステーションフロント」（シニア向け分譲マンション）販売価格のうち、建物価格の１パーセント割引（最大40万円）,0120-555-712,,,,,http://s-hitachino.jp,
公益財団法人自転車駐車場整備センター,,定期利用契約料金を減額料金（通常料金の半額）とする,03-6262-5290,センター本部業務第２部,,,,,
公益財団法人自転車駐車場整備センター,,定期利用契約料金を減額料金（通常料金の半額）とする,042-337-5322,聖蹟桜ヶ丘駅南駐輪場,,,,,
公益財団法人自転車駐車場整備センター,,定期利用契約料金を減額料金（通常料金の半額）とする,042-337-5322,聖蹟桜ヶ丘駅東駐輪場,,,,,
公益財団法人自転車駐車場整備センター,,定期利用契約料金を減額料金（通常料金の半額）とする,042-372-4661,聖蹟桜ヶ丘駅西駐輪場,,,,,
公益財団法人自転車駐車場整備センター,,定期利用契約料金を減額料金（通常料金の半額）とする,042-375-2112,多摩センター駅南駐輪場,,,,,
公益財団法人自転車駐車場整備センター,,定期利用契約料金を減額料金（通常料金の半額）とする,042-374-0402,京王永山駅駐輪場,,,,,
公益財団法人自転車駐車場整備センター,,定期利用契約料金を減額料金（通常料金の半額）とする,042-372-4536,唐木田駅駐輪場,,,,,
ローラ＆カーラ,,ペットフード・ペット雑貨等の「運転経歴証明書特典割引サービス」／ご購入金額の５～１０パーセント割引／原則として全てお電話でのご注文となり、商品はご自宅までお届けいたします。／①ペットフード、ペット関連グッズ②生活必需品（食品）、お中元、お歳暮等のギフト③宅配弁当（管理栄養士監修）,0120-072-002,,,月～土9:30～18:30（日・祝日休業）,,https://kk-craze.co.jp/wp-content/uploads/2021/07/pamphlet.pdf,https://crazerandc.base.shop/
株式会社ナック,ダスキン事業部,"ダスキンクリーニング優待特典／お掃除のダスキン全サービスが定価より10パーセントオフ／標準エアコンクリーニング税込14,300円　を税込12,870円／キッチンクリーニング税込18,700円を税込16,830円／浴室クリーニング税込19,800円を税込17,820円／洗面所・トイレクリーニング税込18,920円を税込17,028円",0120-666-999,,,,,,
カインズ,," 5,000円以上のお買上で当日宅配サービス「カインズお届け便」500円割引（配送対象地域のみ）／ 対象の自転車3,000円から5,000円割引（カインズ南砂町ＳＵＮＡＭＯ店、カインズ昭島店のみ。詳細は店舗にご確認ください。）パナソニック：ビビ押し歩きシリーズ5,000円割引。ヤマハ：ＰＡＳワゴンシリーズ5,000円割引。丸石サイクル：電動アシスト軽快車ビューシリーズ5,000円割引。ブリヂストンサイクル：アルミーユシリーズ3,000円割引。サギサカ：こげーる三輪車5,000円割引。",03-5665-7111,カインズ南砂町ＳＵＮＡＭＯ店,,,,https://map.cainz.com/map/769,
カインズ,," 5,000円以上のお買上で当日宅配サービス「カインズお届け便」500円割引（配送対象地域のみ）／ 対象の自転車3,000円から5,000円割引（カインズ南砂町ＳＵＮＡＭＯ店、カインズ昭島店のみ。詳細は店舗にご確認ください。）パナソニック：ビビ押し歩きシリーズ5,000円割引。ヤマハ：ＰＡＳワゴンシリーズ5,000円割引。丸石サイクル：電動アシスト軽快車ビューシリーズ5,000円割引。ブリヂストンサイクル：アルミーユシリーズ3,000円割引。サギサカ：こげーる三輪車5,000円割引。",042-500-0777,カインズ昭島店,,,,https://map.cainz.com/map/733,
カインズ,," 5,000円以上のお買上で当日宅配サービス「カインズお届け便」500円割引（配送対象地域のみ）／ 対象の自転車3,000円から5,000円割引（カインズ南砂町ＳＵＮＡＭＯ店、カインズ昭島店のみ。詳細は店舗にご確認ください。）パナソニック：ビビ押し歩きシリーズ5,000円割引。ヤマハ：ＰＡＳワゴンシリーズ5,000円割引。丸石サイクル：電動アシスト軽快車ビューシリーズ5,000円割引。ブリヂストンサイクル：アルミーユシリーズ3,000円割引。サギサカ：こげーる三輪車5,000円割引。",042-539-0111,カインズ西友福生店,,,,https://map.cainz.com/map/878,
介護の三ツ矢天狗,,シルバーカー・シニアカーを購入の方は１５％オフ,0120-333-972,湯澤企画株式会社,,,,,
旭化成ホームズ株式会社シニア事業部推進部,,元気なシニア向け賃貸住宅【ヘーベルVillage】にご入居いただいた際、はじめの賃料１ヶ月を無料,0120-998-9458,,,,senior-boshuu@aml.asahi-kasei.co.jp,http://www.asahi-kasei.co.jp/cgi-bin/common/cc/cl.cgi/hebel-senior _9157/,
株式会社イースマイル,,水道修理やトイレつまりなど、水まわり駆けつけサービスの作業料金から５％オフ　※他サービスとの併用不可,0120-532-024,,,,,https://www.esmile-24.com/branch/tokyo/,
