品名,ひんめい,分別,コメント
生ごみ,なまごみ,燃やすごみ,水分をよく切って出してください。
縄跳び,なわとび,燃やすごみ,
ニカド電池,にかどでんち,燃やさないごみ,
ニッケル水素電池,にっけるすいそでんち,燃やさないごみ（水銀を含む製品）,
入浴剤の容器（紙製）,にゅうよくざいのようき,燃やすごみ,
入浴剤の容器（プラスチック製）,にゅうよくざいのようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
人形（紙製）,にんぎょう,燃やすごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
人形（金属製）,にんぎょう,燃やさないごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
人形（陶磁器製）,にんぎょう,燃やさないごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
人形（プラスチック製）,にんぎょう,燃やすごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
人形ケース（ガラス製）,にんぎょうけーす,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
人形ケース（プラスチック製）,にんぎょうけーす,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
ぬいぐるみ,ぬいぐるみ,燃やすごみ,おおむね一辺が３０ｃｍ以上のものは粗大ごみとして出してください。
縫い針,ぬいばり,燃やさないごみ,ケースなどに入れて出してください。
ぬか,ぬか,燃やすごみ,
布くず,ぬのくず,燃やすごみ,
布類,ぬのるい,燃やすごみ,
ネガフィルム,ねがふぃるむ,燃やすごみ,
ネクタイ,ねくたい,燃やすごみ,※古着回収（拠点回収）でも回収しています。 
ネコ砂,ねこすな,燃やすごみ,
ネジ,ねじ,燃やさないごみ,
ネックレス,ねっくれす,燃やさないごみ,
ネット（果物等）（プラスチック製）,ねっと、くだもの,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
寝袋,ねぶくろ,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
粘着カーペットクリーナー,ねんちゃくかーぺっとくりーなー,燃やすごみ,
粘着テープ,ねんちゃくてーぷ,燃やすごみ,
粘土,ねんど,燃やすごみ,
農薬類,のうやくるい,収集不可,専門業者に依頼してください。
のこぎり（手引き）,のこぎり,燃やさないごみ,
のこぎり（電動）,のこぎり　でんどう,粗大ごみ,※家庭用・家庭使用に限る。
のみ（工具）,のみ　こうぐ,燃やさないごみ,
海苔の缶,のりのかん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
乗り物遊具,のりものゆうぐ、もくば,粗大ごみ,こども用自動車遊具、木馬等
のれん,のれん,燃やすごみ,"※古着回収（拠点回収）でも回収しています。※家庭用・家庭使用に限る。"""
ノンカーボン紙,のんかーぼんし,燃やすごみ,資源にはなりません。
ノート,のーと,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
ノートパソコン,のーとぱそこん,パソコン,
灰,はい,燃やすごみ,水に浸してある程度固めてください。
灰皿（据置型）,はいざら,粗大ごみ,※家庭用・家庭使用に限る。
灰皿（卓上用）,はいざら,燃やさないごみ,
廃油（食用油）,はいゆ,燃やすごみ,凝固剤で固めるか紙や布に染み込ませて出してください。
廃油（機械油）,はいゆ,燃やすごみ,凝固剤で固めるか紙や布に染み込ませて出してください。
ハエたたき,はえたたき,燃やすごみ,
はがき,はがき,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
剥製,はくせい,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
白熱灯,はくねつとう,燃やさないごみ,ケースなどに入れて出してください。
ハケ,はけ,燃やすごみ,
羽子板,はごいた,燃やすごみ,
はさみ,はさみ,燃やさないごみ,紙などに包んで「キケン」の表示をお願いします。
箸,はし,燃やすごみ,
はしご,はしご,粗大ごみ,１８０㎝以下に切断してください。
鉢（陶磁器製）,はち,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
鉢（プラスチック製）,はち,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
発泡スチロール・緩衝材,はっぽうすちろーる、かんしょうざい,資源（発泡トレイ・発泡スチロール）,汚れの取れないものは燃やすごみの日に出してください。
発炎筒,はつえんとう,収集不可,専門業者に依頼してください。
発電機,はつでんき,収集不可,専門業者に依頼してください。
花火（未使用も含む）,はなび,燃やすごみ,水に一晩浸してから出してください。
歯ブラシ,はぶらし,燃やすごみ,
歯ブラシの包装（プラスチック製）,はぶらしのほうそう,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
歯ブラシの包装（紙製）,はぶらしのほうそう,燃やすごみ,
歯磨きチューブ（プラスチック製）,はみがき、ちゅーぶ,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
刃物,はもの,燃やさないごみ,紙などに包んで「キケン」の表示をお願いします。
針,はり,燃やさないごみ,ケースなどに入れて出してください。
針金,はりがね,燃やさないごみ,
針金ハンガー,はりがねはんがー,燃やさないごみ,
ハロゲンヒーター,はろげんひーたー,粗大ごみ,
ハンガー（金属製）,はんがー,燃やさないごみ,
ハンガー（プラスチック製）,はんがー,燃やすごみ,
ハンガー（木製）,はんがー,燃やすごみ,
はんこ（金属製）,はんこ,燃やさないごみ,
はんこ（象牙製）,はんこ,燃やすごみ,
はんこ（プラスチック製）,はんこ,燃やすごみ,
はんこ（木製）,はんこ,燃やすごみ,
飯ごう,はんごう,燃やさないごみ,
半紙,はんし,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
ハンドバッグ,はんどばっぐ,燃やすごみ,※古着回収（拠点回収）でも回収しています。 
ハードディスクドライブ,はーどでぃすくーどらいぶ、ＨＤＤ、えいちでぃーでぃー,燃やさないごみ,※小型家電（拠点回収）でも回収しています。 でご確認ください。
ハーモニカ,はーもにか,燃やさないごみ,
バイオリン,ばいおりん,粗大ごみ,
バインダー（紙製）,ばいんだー,燃やすごみ,
バインダー（プラスチック製）,ばいんだー,燃やすごみ,
バウンサー,ばうんさー,粗大ごみ,
バケツ（金属製）,ばけつ,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
バケツ（プラスチック製）,ばけつ,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
バスケットボール,ばすけっとぼーる,燃やすごみ,空気は抜いてください。
バスマット（脱衣所用・布製）,ばすまっと,粗大ごみ,
バスマット（浴室用）,ばすまっと,粗大ごみ,
バスマット（脱衣所用・珪藻土）,ばすまっと、けいそうど,粗大ごみ,
バターの包装紙,ばたーのほうそうし,燃やすごみ,
バターの容器,ばたーのようき,燃やすごみ,
バッテリー,ばってりー,収集不可,専門業者に依頼してください。
バット（金属製）,ばっと,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
バット（プラスチック製）,ばっと,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
バット（木製）,ばっと,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
バドミントンの羽,ばどみんとんのはね,燃やすごみ,
バドミントンのラケット,ばどみんとんのらけっと,燃やさないごみ,
バラン,ばらん,燃やすごみ,
バレーボール,ばれーぼーる,燃やすごみ,空気は抜いてください。
ばんそうこう,ばんそうこう,燃やすごみ,
バーベキューグリル,ばーべきゅーぐりる,粗大ごみ,
バーベルの重り・バーベルの棒,ばーべる,粗大ごみ,
パイプいす,ぱいぷいす,粗大ごみ,
パイプハンガー,ぱいぷはんがー,粗大ごみ,
パイプベット,ぱいぷべっと,粗大ごみ,
パソコン,ぱそこん,パソコン,
パソコンプリンター,ぱそこんぷりんたー,粗大ごみ,
パソコン用ディスプレイ,ぱそこんようでぃすぷれい,パソコン,
パソコン用マウス,ぱそこんようまうす,燃やさないごみ,※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。 でご確認ください。
パネルヒーター,ぱねるひーたー,粗大ごみ,
パフ（化粧用）,ぱふ,燃やすごみ,
パラソル,ぱらそる,粗大ごみ,
パンフレット類,ぱんふれっとるい,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
引き出し,ひきだし,粗大ごみ,
ヒゲソリ（金属製）,ひげそり,燃やさないごみ,
ヒゲソリ（電気剃刀）,ひげそり,燃やさないごみ,
ヒゲソリ（プラスチック製）,ひげそり,燃やすごみ,
雛壇,ひなだん,粗大ごみ,
火鉢,ひばち,粗大ごみ,
百科事典,ひゃっかじてん,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。
漂白剤の容器（プラスチック製）,ひょうはくざいのようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。※汚れの取れないものは燃やすごみの日に出してください。
美顔器,びがんき,粗大ごみ,
ビデオカメラ,びでおかめら,燃やさないごみ,※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。 でご確認ください。
ビデオテープ,びでおてーぷ,燃やすごみ,
ビデオデッキ,びでおでっき,粗大ごみ,
ビニールコート紙,びにーるこーとし,燃やすごみ,資源にはなりません。
ビニール製品,びにーるせいひん,燃やすごみ,
ビニールプール,びにーるぷーる,燃やすごみ,50ｃｍ以下に裁断できないものは粗大ごみとして出してください。
びょうぶ,びょうぶ,粗大ごみ,
びん,びん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
便箋,びんせん,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
ビー玉,びーだま,燃やさないごみ,
ビート板,びーとばん,燃やすごみ,
ビール缶,びーるかん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
ビールケース,びーるけーす,粗大ごみ,
ビール瓶,びーるびん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
ピアノ,ぴあの,収集不可,専門業者に依頼してください。
ファクシミリ,ふぁくしみり,粗大ごみ,※家庭用・家庭使用に限る。
ファミコン,ふぁみこん,燃やさないごみ,
ファンヒーター（電気・ガス）,ふぁんひーたー,粗大ごみ,
ファンヒーター（石油）,ふぁんひーたー,粗大ごみ,※灯油は必ず抜いてください。
フィルム,ふぃるむ,燃やすごみ,
封筒,ふうとう,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
風鈴（ガラス製）,ふうりん,燃やさないごみ,
風鈴（金属製）,ふうりん,燃やさないごみ,
風鈴（陶磁器製）,ふうりん,燃やさないごみ,
服,ふく,燃やすごみ,
ふすま,ふすま,粗大ごみ,※解体などに生じたものを除く。
腹筋台,ふっきんだい,粗大ごみ,
布団,ふとん、かけぶとん、かけふとん、しきぶとん、しきふとん,粗大ごみ,
布団カバー,ふとんかばー,燃やすごみ,
布団乾燥機,ふとんかんそうき,粗大ごみ,
布団干し,ふとんほし,粗大ごみ,
踏み台,ふみだい,粗大ごみ,
フライパン,ふらいぱん,燃やさないごみ,
古布・古着,ふるぬの・ふるぎ,燃やすごみ,
古本,ふるほん,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
風呂釜,ふろがま,粗大ごみ,※解体などに生じたものを除く。
フロッピーディスク,ふろっぴーでぃすく,燃やすごみ,
風呂のふた,ふろのふた,粗大ごみ,
仏壇,ぶつだん,粗大ごみ,
ブラインド,ぶらいんど,粗大ごみ,
ぶら下がり健康器,ぶらさがりけんこうき,粗大ごみ,
ブランコ（幼児用玩具）,ぶらんこ,粗大ごみ,
ＢＤ,ぶるーれい,燃やすごみ,
ＢＤケース,ぶるーれいけーす,燃やすごみ,
ＢＤプレーヤー・ＢＤレコーダー,ぶるーれいぷれーやー、ぶるーれいれこーだー,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。
文鎮,ぶんちん,燃やさないごみ,
ブーツ,ぶーつ,燃やすごみ,
プチプチ・エアーキャップ（プラスチック製）,ぷちぷち、えあーきゃっぷ、えあーぱっきん,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
プラスチック収納ケース（プラスチック製）,ぷらすちっくしゅうのうけーす,粗大ごみ,
プラズマテレビ,ぷらずまてれび,家電リサイクル法対象品,
プラモデル,ぷらもでる,燃やすごみ,
プランター,ぷらんたー,粗大ごみ,※土は取り除いてください。
プリペイドカード,ぷりぺいどかーど,燃やすごみ,
プリンター,ぷりんたー,粗大ごみ,※家庭用・家庭使用に限る。
プリンの容器・ふた（プラスチック製）,ぷりんのようき・ふた,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
プリンの容器（びん）,ぷりんのようき・ふた,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
プロパンガスボンベ,ぷろぱんがすぼんべ,収集不可,専門業者に依頼してください。
ヘアアイロン,へああいろん,燃やさないごみ,※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。 でご確認ください。
ヘアスプレー,へあすぷれー,燃やさないごみ（発火性）,※必ず使い切ってから出してください。
ヘアピン,へあぴん,燃やさないごみ,
ヘアブラシ（金属製）,へあぶらし,燃やさないごみ,
ヘアブラシ（プラスチック製）,へあぶらし,燃やすごみ,
ヘッドフォンステレオ,へっどふぉんすてれお,燃やさないごみ,※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。 でご確認ください。
ヘルスメーター,へるすめーたー,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
ヘルメット,へるめっと,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
ベッド,べっど,粗大ごみ,
ベッドマット,べっどまっと,粗大ごみ,
ベビーカー,べびーかー,粗大ごみ,
ベビーガード・ベビーゲート,べびーがーど、べびーげーと,粗大ごみ,
ベビーチェア,べびーちぇあ,粗大ごみ,
ベビーバス,べびーばす,粗大ごみ,
ベビーベッド,べびーべっど,粗大ごみ,
ベルト（ズボン用）,べると,燃やすごみ,バックルなど金属部分は、燃やさないごみに出してください。※古着回収（拠点回収）でも回収しています。
便座,べんざ,粗大ごみ,※解体などに生じたものを除く。
ベンジン,べんじん,収集不可,専門業者に依頼してください。
ベンチプレス,べんちぷれす,粗大ごみ,
弁当の容器（コンビニ、駅弁など）（紙製）,べんとう、べんとうのようき、こんびにべんとう、えきべん,燃やすごみ,
弁当の容器（コンビニ、駅弁など）（金属製）,べんとう、べんとうのようき、こんびにべんとう、えきべん,燃やさないごみ,
弁当の容器（コンビニ、駅弁など）（プラスチック製）,べんとう、べんとうのようき、こんびにべんとう、えきべん,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
弁当の容器（コンビニ、駅弁など）（木製）,べんとう、べんとうのようき、こんびにべんとう、えきべん,燃やすごみ,
弁当箱（プラスチック製）,べんとうばこ,燃やすごみ,※家庭用・家庭使用に限る。
弁当箱（金属製）,べんとうばこ,燃やさないごみ,※家庭用・家庭使用に限る。
ペット小屋,ぺっとこや,粗大ごみ,
ペットのトイレシート,ぺっとのといれしーと,燃やすごみ,※汚物はトイレに流してください。
ペットのふん,ぺっとのふん,収集不可,※汚物はトイレに流してください。
ペットボトル,ぺっとぼとる,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やすごみの日に出してください。
ペットボトルのキャップ・ラベル（プラスチック製）,ぺっとぼとる、きゃっぷ、らべる,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
ペンキ,ぺんき,収集不可,専門業者に依頼してください。
ペンチ（工具類）,ぺんち,燃やさないごみ,
ペーパータオル,ぺーぱーたおる,燃やすごみ,
ホイール（タイヤ用）,ほいーる,収集不可,専門業者に依頼してください。
ほうき,ほうき,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
包装紙,ほうそうし,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
包帯,ほうたい,燃やすごみ,
包丁,ほうちょう,燃やさないごみ,紙などに包んで「キケン」の表示をお願いします。
包丁研ぎ器,ほうちょうとぎき,燃やさないごみ,
歩行器（幼児用）,ほこうき、べびーうぉーかー,粗大ごみ,
ホッチキス（針も含む）,ほっちきす、ほちきす,燃やさないごみ,
ホットカーペット,ほっとかーぺっと,粗大ごみ,
ホットプレート,ほっとぷれーと,粗大ごみ,
哺乳びん（びん）,ほにゅうびん,燃やさないごみ,
哺乳びん（プラスチック製）,ほにゅうびん,燃やすごみ,
保冷剤,ほれいざい,燃やすごみ,
ホワイトボード,ほわいとぼーど,粗大ごみ,
本,ほん,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
本棚,ほんだな,粗大ごみ,
ホース,ほーす,燃やすごみ,３０ｃｍ未満に切って出してください。
ホースリール,ほーすりーる,粗大ごみ,
棒（木製）,ぼう,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。長いものは、１８０㎝以下に切断してください。
棒（金属製）,ぼう,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。長いものは、１８０㎝以下に切断してください。
望遠鏡,ぼうえんきょう,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
帽子,ぼうし,燃やすごみ,※古着回収（拠点回収）でも回収しています。 
防虫剤,ぼうちゅうざい,燃やすごみ,
防盗金庫,ぼうとうきんこ,収集不可,専門業者に依頼してください。
ボウリングの球,ぼうりんぐのたま,粗大ごみ,清掃事務所にご相談ください。
ボタン電池,ぼたんでんち,燃やさないごみ（水銀を含む製品）,
ボディーボード,ぼでぃーぼーど,粗大ごみ,
ボール各種（スポーツ用）,ぼーる,燃やすごみ,ケースなどに入れて出してください。
ボールペン（金属製）,ぼーるぺん,燃やさないごみ,
ボールペン（プラスチック製）,ぼーるぺん,燃やすごみ,
ポスター,ぽすたー,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
ポット・魔法瓶,ぽっと、まほうびん,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
ポリタンク,ぽりたんく,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
ポリバケツ,ぽりばけつ,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
マイク,まいく,燃やさないごみ,
枕,まくら,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
マグネットシート,まぐねっと、まぐねっとしーと,燃やさないごみ,
マザーボード,まざーぼーど,燃やさないごみ,※自作のパソコン本体はパソコン３Ｒ推進協会へご相談ください。
マッサージ器（椅子型）,まっさーじき　,粗大ごみ,
マッチ,まっち,燃やすごみ,水に一晩浸してから出してください。
マットレス,まっとれす,粗大ごみ,
松葉杖,まつばづえ,粗大ごみ,
窓ガラス,まどがらす,粗大ごみ,
窓付き封筒,まどつきふうとう,燃やすごみ,資源にはなりません。
まな板,まないた,燃やすごみ,
マニキュアのビン,まにきゅあのびん,燃やさないごみ,資源にはなりません。
豆電球,まめでんきゅう,燃やさないごみ,
マヨネーズの容器（びん）,まよねーずのようき,燃やさないごみ,
マヨネーズの容器（プラスチック製）,まよねーずのようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
マンガ本,まんがぼん,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
マンガン電池,まんがんでんち,燃やさないごみ（水銀を含む製品）,
マーガリンの容器（プラスチック製）,まーがりんのようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
麻雀卓,まーじゃんたく,粗大ごみ,
麻雀パイ,まーじゃんぱい,燃やすごみ,
みかんネット（プラスチック製）,みかんねっと,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
ミキサー,みきさー,粗大ごみ,
ミシン,みしん,粗大ごみ,
水切りかご（金属製）,みずきりかご,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。
水切りかご（プラスチック製）,みずきりかご,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やすごみとして出してください。
水枕,みずまくら,燃やすごみ,
味噌の容器（プラスチック製）,みそのようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
耳かき（金属製）,みみかき,燃やさないごみ,
耳かき（木・プラスチック製）,みみかき,燃やすごみ,
ミルク缶,みるくかん,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
麦わら帽子,むぎわらぼうし,燃やすごみ,
虫かご,むしかご,燃やすごみ,
虫めがね,むしめがね,燃やさないごみ,
むしろ,むしろ,粗大ごみ,
メイクボックス,めいくぼっくす、けしょうばこ,粗大ごみ,
名刺（紙製）,めいし,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
めがね（ガラス製）,めがね,燃やさないごみ,
めがね（プラスチック製）,めがね,燃やすごみ,
目薬の容器（プラスチック製）,めぐすりのようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
メジャー（金属製）,めじゃー,燃やさないごみ,
メジャー（ビニール製）,めじゃー,燃やすごみ,
メモ用紙,めもようし,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
綿棒,めんぼう,燃やすごみ,
毛布,もうふ,粗大ごみ,※古着回収（拠点回収）でも回収しています。 
餅つき機,もちつきき,粗大ごみ,
モップ,もっぷ,粗大ごみ,
物置（解体済みのもの）,ものおき,粗大ごみ,
ものさし,ものさし,燃やすごみ,
ものさし（金属製）,ものさし,燃やさないごみ,
物干し竿,ものほしさお,粗大ごみ,180ｃｍ以下に切断してください。
物干し台,ものほしだい,粗大ごみ,
やかん,やかん,燃やさないごみ,
野球のグローブ,やきゅうのぐろーぶ,燃やすごみ,
野球ボール,やきゅうぼーる,燃やすごみ,
薬品（工業用）,やくひん,収集不可,専門業者に依頼してください。
野菜くず,やさいくず,燃やすごみ,水分をよく切って出してください。
柳行季,やなぎこうり,粗大ごみ,
浴衣,ゆかた,燃やすごみ,※古着回収（拠点回収）でも回収しています。 
湯たんぽ（金属製）,ゆたんぽ,燃やさないごみ,
湯たんぽ（プラスチック製）,ゆたんぽ,燃やすごみ,
湯のみ茶碗,ゆのみじゃわん,燃やさないごみ,
指輪,ゆびわ,燃やさないごみ,
ゆりかご,ゆりかご,粗大ごみ,
湯沸し器,ゆわかしき,粗大ごみ,
ＵＳＢケーブル,ゆーえすびーけーぶる、けーぶる、ＵＳＢ、ゆーえすびー,燃やさないごみ,※小型家電（拠点回収）でも回収しています。 でご確認ください。
洋服,ようふく,燃やすごみ,
洋服ダンス,ようふくだんす,粗大ごみ,
浴槽,よくそう,粗大ごみ,※解体などに生じたものを除く。
汚れた紙類,よごれたかみるい,燃やすごみ,資源にはなりません。
汚れた缶,よごれたかん,燃やさないごみ,資源にはなりません。
汚れたびん,よごれたびん,燃やさないごみ,資源にはなりません。
ヨーグルトの容器（紙製）,よーぐるとのようき,燃やすごみ,
ヨーグルトの容器（びん）,よーぐるとのようき,資源（びん・かん・ペットボトル）,汚れの取れないものは燃やさないごみの日に出してください。
ヨーグルトの容器（プラスチック製）,よーぐるとのようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
ヨーグルトの容器のふた（紙製）,よーぐるとのようきのふた,燃やすごみ,
ヨーグルトの容器のふた（金属製）,よーぐるとのようきのふた,燃やさないごみ,
ヨーグルトの容器のふた（プラスチック製）,よーぐるとのようきのふた,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
ライター,らいたー,燃やさないごみ,※必ず使い切ってから出してください。
ラグマット,らぐ、らぐまっと,粗大ごみ,
ラジオ,らじお,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。
ラジカセ,らじかせ,粗大ごみ,おおむね一辺が３０ｃｍ未満のものは燃やさないごみとして出してください。※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。
ラック,らっく,粗大ごみ,オーディオラック、ＣＤラック、マガジンラック、シューズラック、パソコンラック、ハンガーラック等
ラップ（家庭で使用したもの）,らっぷ,燃やすごみ,調理・保管で使用
ラップ（商品を包んでいたもの）（プラスチック製）,らっぷ　しょうひんについていたもの,容器包装プラスチック,"汚れの取れないものは燃やすごみの日に出してください。※ラップとして購入したものは容器包装プラスチックには出せません。"""
ラップの芯,らっぷのしん,資源（古紙）,折りたたんでひもでしばるか、紙袋に入れてください。※汚れの取れないものは燃やすごみの日に出してください。
ＬＡＮケーブル,らんけーぶる、けーぶる、ＬＡＮ、らん,燃やさないごみ,※小型家電（拠点回収）でも回収しています。 でご確認ください。
ランドセル,らんどせる,燃やすごみ,
ランニングシューズ,らんにんぐしゅーず,燃やすごみ,
ランニングマシーン,らんにんぐましーん,粗大ごみ,
リコーダー（笛）,りこーだー、ふえ,燃やすごみ,
リビングボード,りびんぐぼーど,粗大ごみ,
リモコン,りもこん,燃やさないごみ,※15ｃｍ×25ｃｍ未満のものは小型家電（拠点回収）でも回収しています。 でご確認ください。
リヤカー,りやかー,粗大ごみ,
両袖机,りょうそでつくえ,粗大ごみ,
料理くず,りょうりくず,燃やすごみ,水分をよく切って出してください。
旅行カバン,りょこうかばん,粗大ごみ,
リンスの容器（プラスチック製）,りんすのようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
リール（つり用）,りーる、つり,燃やさないごみ,
ルアー（つり用）,るあー、つり,燃やすごみ,
ルームランナー,るーむらんなー,粗大ごみ,
冷却まくら,れいきゃくまくら,燃やすごみ,
冷蔵庫,れいぞうこ,家電リサイクル法対象品,
冷凍庫,れいとうこ,家電リサイクル法対象品,
冷風機,れいふうき,粗大ごみ,
レインコート,れいんこーと,燃やすごみ,
レコード盤,れこーどばん,燃やすごみ,
レコードプレイヤー,れこーどぷれいやー,粗大ごみ,
レジ袋（プラスチック製）,れじぶくろ,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
レジャーシート/ブルーシート,れじゃーしーと、ぶるーしーと,燃やすごみ,50ｃｍ以下に裁断できないものは粗大ごみとして出してください。
レジャーテーブル,れじゃーてーぶる,粗大ごみ,
レトルト食品のパック（プラスチック製）,れとるとしょくひんのぱっく,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
レトルト食品の容器（プラスチック製）,れとるとしょくひんのようき,容器包装プラスチック,汚れの取れないものは燃やすごみの日に出してください。
レンガ,れんが,粗大ごみ,清掃事務所にご相談ください。
レンジ台,れんじだい,粗大ごみ,
レンズ（ガラス製）,れんず,燃やさないごみ,
レンズ（プラスチック製）,れんず,燃やすごみ,
練炭,れんたん,燃やすごみ,
レーザーディスクプレイヤー,れーざーでぃすくぷれいやー,粗大ごみ,
老眼鏡（ガラス製）,ろうがんきょう,燃やさないごみ,
老眼鏡（プラスチック製）,ろうがんきょう,燃やすごみ,
ろう引きダンボール,ろうびきだんぼーる,燃やすごみ,資源にはなりません。
ロッカー,ろっかー,粗大ごみ,
ローイングマシーン,ろーいんぐましーん,粗大ごみ,
ロースター,ろーすたー,粗大ごみ,
ローソク,ろーそく,燃やすごみ,
ロープ・梱包ひも,ろーぷ、こんぽうひも,燃やすごみ,３０ｃｍ未満に切って出してください。
ローラースケート,ろーらーすけーと,燃やすごみ,
