回答者(or No.),問１．あなたの年齢を教えてください。（令和５年11月25日時点）,問２．あなたの自認する性別を教えてください。,問３．あなたは結婚していますか。,問４．一緒に住んでいる家族を教えてください。（複数回答１）,問４．一緒に住んでいる家族を教えてください。（複数回答２）,問４．一緒に住んでいる家族を教えてください。（複数回答３）,問４．７．その他,問５．あなたの家の生計を立てているのは主にどなたですか。生計を立てている方が複数いる場合は、もっとも多くの生計を負担している人をお答えください。また、仕送り等で生計を立てている方は、その仕送り等を主にしてくれている人をお答えください。,問５．10．その他,問６．あなたが最後に卒業した（中退等を含む）学校等はどれですか。在学中の方は、現在在学している学校等をお答えください。,問６．７．その他,問７．あなたは現在働いていますか。該当するものをお答えください。,問８．あなたが現在働いていない理由を教えてください。,問８．８．その他,問９．Ａ　会話やメール等をよくしている人（複数選択１）,問９．Ａ　会話やメール等をよくしている人（複数選択２）,問９．Ａ　会話やメール等をよくしている人（複数選択３）,問９．Ａ　会話やメール等をよくしている人（複数選択４）,問９．Ｂ　何でも悩みを相談できる人（複数選択１）,問９．Ｂ　何でも悩みを相談できる人（複数選択２）,問９．Ｂ　何でも悩みを相談できる人（複数選択３）,問９．Ｂ　何でも悩みを相談できる人（複数選択４）,問９．Ｃ　楽しく話せるときがある人（複数選択肢１）,問９．Ｃ　楽しく話せるときがある人（複数選択肢２）,問９．Ｃ　楽しく話せるときがある人（複数選択肢３）,問９．Ｃ　楽しく話せるときがある人（複数選択肢４）,問９．Ｃ　楽しく話せるときがある人（複数選択肢５）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢１）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢２）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢３）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢４）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢５）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢６）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢１）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢２）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢３）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢４）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢５）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢１）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢２）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢３）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢４）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢５）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢６）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢７）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢８）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢９）,問10．15．その他,問11．全体として、あなたは最近の生活に、どのくらい満足していますか。,問12．あなたは現在、悩み事はありますか。,問13．あなたの悩みごとは何ですか。（複数選択肢１）,問13．あなたの悩みごとは何ですか。（複数選択肢２）,問13．あなたの悩みごとは何ですか。（複数選択肢３）,問13．あなたの悩みごとは何ですか。（複数選択肢４）,問13．あなたの悩みごとは何ですか。（複数選択肢５）,問13．あなたの悩みごとは何ですか。（複数選択肢６）,問13．あなたの悩みごとは何ですか。（複数選択肢７）,問13．あなたの悩みごとは何ですか。（複数選択肢８）,問13．あなたの悩みごとは何ですか。（複数選択肢９）,問13．あなたの悩みごとは何ですか。（複数選択肢１０）,問13．16．その他,問14．悩みを誰かに相談しましたか。,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢１）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢２）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢３）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢４）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢５）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢６）,問15．12．その他,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢１）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢２）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢３）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢４）,問16．５．その他,問17．誰かに相談したいと思いますか。,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢１）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢２）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢３）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢４）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢５）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢６）,問18．８．その他,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢１）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢２）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢３）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢４）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢５）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢６）,問19．７．その他,問20．相談したくないと思う理由は何ですか。（複数選択肢１）,問20．相談したくないと思う理由は何ですか。（複数選択肢２）,問20．相談したくないと思う理由は何ですか。（複数選択肢３）,問20．相談したくないと思う理由は何ですか。（複数選択肢４）,問20．相談したくないと思う理由は何ですか。（複数選択肢５）,問20．相談したくないと思う理由は何ですか。（複数選択肢６）,問20．９．その他,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢１）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢２）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢３）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢４）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢５）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢６）,問21．10.その他,問22．狛江市内に相談ができたり、居場所となるようなものとして、どのような場所やサービスがあるといいと思いますか。,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢１）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢２）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢３）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢４）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢５）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢６）,問23．７．その他,問24．結婚についてどのように考えていますか。,問25．結婚したいと思う理由は何ですか。（複数選択肢１）,問25．結婚したいと思う理由は何ですか。（複数選択肢２）,問25．結婚したいと思う理由は何ですか。（複数選択肢３）,問25．結婚したいと思う理由は何ですか。（複数選択肢４）,問25．結婚したいと思う理由は何ですか。（複数選択肢５）,問25．結婚したいと思う理由は何ですか。（複数選択肢６）,問25．結婚したいと思う理由は何ですか。（複数選択肢７）,問25．９．その他,問26．現在結婚していない理由は何ですか。（複数選択肢１）,問26．現在結婚していない理由は何ですか。（複数選択肢２）,問26．現在結婚していない理由は何ですか。（複数選択肢３）,問26．現在結婚していない理由は何ですか。（複数選択肢４）,問26．現在結婚していない理由は何ですか。（複数選択肢５）,問26．現在結婚していない理由は何ですか。（複数選択肢６）,問26．現在結婚していない理由は何ですか。（複数選択肢７）,問26．現在結婚していない理由は何ですか。（複数選択肢８）,問26．11．その他,問27．将来的に子どもは何人いることが理想ですか。理想の子どもの数をお答えください。,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢２）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢３）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢４）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢５）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢６）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢７）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢８）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢９）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１０）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１１）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１２）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１３）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１４）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１５）,問28．16．その他,問29．子どもをもたない理由は何ですか。（複数選択肢１）,問29．子どもをもたない理由は何ですか。（複数選択肢２）,問29．子どもをもたない理由は何ですか。（複数選択肢３）,問29．子どもをもたない理由は何ですか。（複数選択肢４）,問29．子どもをもたない理由は何ですか。（複数選択肢５）,問29．子どもをもたない理由は何ですか。（複数選択肢６）,問29．子どもをもたない理由は何ですか。（複数選択肢７）,問29．子どもをもたない理由は何ですか。（複数選択肢８）,問29．子どもをもたない理由は何ですか。（複数選択肢９）,問29．10．その他,問30．あなたは、あなたを含めたこれからの若者（18歳から39歳ぐらいまでの人）のために、市に期待する取組（若者の居場所支援や結婚支援等を含む）があればご記入ください。
85,4,1,1,5,7,,義母,1,,5,,1,,,1,3,,,1,,,,1,2,3,,,1,3,,,,,1,,,,,1,3,,,,,,,,,3,1,2,12,13,,,,,,,,,1,2,6,,,,,,1,,,,,,1,2,7,,,,,1,3,4,5,,,,,,,,,,,8,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,3,6,8,9,10,12,15,,,,,,,,,,,,,,,,,,市内に若者が集まりやすい施設を設けるべきだと思う。（若者向けのショッピングモールやスポーツ施設等）
86,3,2,2,6,,,,1,,3,,1,,,1,6,,,1,6,,,1,3,,,,1,,,,,,1,,,,,1,11,,,,,,,,,4,1,13,,,,,,,,,,,1,5,,,,,,,1,,,,,,1,2,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,3,4,7,8,,,,,12,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4,1,2,6,,,,1,,5,,7,2,,3,6,,,6,,,,3,6,,,,3,6,,,,,3,6,,,,1,,,,,,,,,,2,1,10,13,15,,,,,,,,,1,7,,,,,,,1,,,,,,1,2,3,,,,,1,2,,,,,,,,,,,,,1,8,,,,,,,2,3,,,,,,3,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2,2,2,6,,,,1,,5,,1,,,1,2,,,2,,,,2,3,5,,,1,,,,,,5,,,,,1,,,,,,,,,,2,1,8,15,,,,,,,,,,2,,,,,,,,,,,,,5,2,7,,,,,,8,,,,,,,,,,,,,,8,,,,,,,,3,,,,,,,1,8,,,,,,,,3,10,,,,,,,,2,1,5,8,12,14,,,,,,,,,,,,,,,,,,,,,,
89,3,1,2,5,,,,10,半々,5,,1,,,1,,,,1,,,,1,2,,,,1,2,,,,,1,,,,,3,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1,3,4,,,,,,,11,,,,,,,,結婚するよ～。,2,3,6,8,15,,,,,,,,,,,,,,,,,,,,,,,
90,2,1,2,5,,,,1,,5,,1,,,2,,,,1,2,3,,1,2,3,,,1,2,3,,,,1,2,,,,1,2,3,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1,3,4,,,,,,,3,,,,,,,,,2,1,2,3,8,10,12,,,,,,,,,,,,,,,,,,,,,
91,4,2,2,5,,,,1,,3,,1,,,3,,,,1,,,,1,,,,,1,,,,,,1,,,,,1,3,10,15,,,,,,カフェ,3,1,2,,,,,,,,,,,1,1,2,5,6,,,,1,2,,,,,1,2,,,,,,2,4,5,,,,,,,,,,,,8,,,,,,,女性、男性かかわらず、時間も気にせずにくつろげるような場所で、MSWや福祉、医療に詳しい人を設置し、いつでも相談できる。,1,3,4,,,,,1,3,4,,,,,,,11,,,,,,,,現在婚約者と同居中、来年結婚予定。,1,1,2,3,4,5,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,
92,3,2,2,7,,,婚約者,10,婚約者,5,,1,,,1,2,3,,1,,,,1,2,3,,,1,,,,,,,,,,,1,11,,,,,,,,,3,1,13,14,,,,,,,,,,2,,,,,,,,,,,,,2,1,2,3,6,,,,1,2,3,4,,,,,,,,,,,,,,,,,,,3,4,,,,,,1,2,5,7,8,,,,,12,,,,,,,,,2,1,2,3,4,5,6,8,9,10,12,,,,,,,,,,,,,,,,,
93,4,1,1,5,,,,6,,5,,1,,,1,2,3,,1,2,,,1,2,3,,,1,2,,,,,1,2,,,,1,2,3,11,13,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,5,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,10,,,,,,,,,身体的理由から。,
94,3,1,2,6,,,,1,,3,,1,,,1,2,3,,1,2,3,,1,2,3,4,,1,2,3,,,,1,2,3,,,1,7,11,13,,,,,,,4,1,2,8,13,,,,,,,,,1,1,5,6,,,,,1,2,3,4,,,1,2,,,,,,2,3,4,5,,,,,,,,,,,,,,,,,,市営ジム,3,,,,,,,3,,,,,,,,,1,2,4,6,,,,,,3,1,2,3,4,5,7,8,10,11,12,13,14,15,,,,,,,,,,,,,,市営ジム
95,3,2,2,5,,,,1,,5,,1,,,3,,,,1,,,,3,,,,,1,,,,,,1,,,,,3,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,3,2,2,6,,,,1,,5,,1,,,1,2,3,,2,3,,,2,3,,,,1,2,3,,,,2,,,,,1,10,14,,,,,,,,3,1,2,3,4,5,13,,,,,,,1,5,9,,,,,,1,2,,,,,1,,,,,,,4,,,,,,,,,,,,,,8,,,,,,,,3,,,,,,,1,3,8,,,,,,,1,3,6,10,,,,,,2,1,2,3,4,5,12,13,,,,,,,,,,,,,,,,,,,,
97,3,2,2,6,,,,8,,2,,7,"2,4",,5,6,,,,,,,5,6,,,,,,,,,,,,,,,1,2,,,,,,,,,1,1,3,6,9,10,12,13,14,15,,,,2,,,,,,,,,,,,,,7,,,,,,,3,4,,,,,,5,6,7,9,,,人を信用出来ない。,8,,,,,,,・ネットやチャットで気軽に話せる。　・勉強会、説明会等（病気への向き合い方や就業について）,3,,,,,,,3,,,,,,,,,10,,,,,,,,自分の生活に負い目?引け目?を感じるし、過去の話などを共有したくないから。パートナーの家庭事情を見て嫉妬したくないから。家族というものに良いイメージがないから。,0,,,,,,,,,,,,,,,,,10,,,,,,,,,自分の様な経験をしてほしくない。正しい育て方がわからない。,友達関係の悩み相談等、小さな事でも相談する相手が居ないととても辛く、一人で抱えこんでしまうので、気軽に相談、フランクに話せる場が欲しい。
98,5,2,2,6,,,,1,,3,,4,,,2,3,6,,2,6,,,1,2,3,6,,1,2,6,,,,1,2,6,,,1,11,,,,,,,,,4,1,13,14,15,,,,,,,,,1,5,,,,,,,1,3,,,,,1,2,8,,,,内容によってはその手の専門家。,1,3,,,,,,,,,,,,,,,,,,,,・住宅に関してや、お金のことを顔や個人情報をあまり特定されない状況で、相談できる場所がほしいです。フリーランスなので、将来への不安や自分がまだ知らないことを知れる場があったら。,3,5,,,,,,1,1,8,,,,,,,10,,,,,,,,,2,1,2,3,4,5,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,相談を気軽にできるツールがあると嬉しいです。もっと同世代の人とも交流できるイベントもあったら機会があれば参加したいと考えています。
99,5,2,1,5,,,,1,,5,,1,,,1,2,3,,1,,,,1,2,3,,,1,2,,,,,1,2,,,,1,2,3,11,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,3,1,5,8,9,10,12,13,14,,,,,,,,,,,,,,,,,,,保育施設の充実、特に早朝から預けることができるとキャリアと子育てを両立できる人が増えると思う。
100,4,1,2,6,,,,1,,5,,1,,,2,,,,2,,,,2,,,,,2,,,,,,2,,,,,1,2,,,,,,,,,3,1,3,4,11,12,13,,,,,,,1,5,,,,,,,1,,,,,,1,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,1,8,,,,,,,,10,,,,,,,,,2,1,2,3,8,,,,,,,,,,,,,,,,,,,,,,,
101,4,1,1,5,,,,1,,5,,1,,,1,,,,1,,,,1,,,,,1,,,,,,1,,,,,1,,,,,,,,,,2,1,2,5,10,12,13,14,15,,,,,1,1,,,,,,,1,,,,,,2,,,,,,,5,,,,,,,,,,,,,,,,,,,,,ハローワークが市内にほしい。国領は少し遠く、気軽に行けない。,1,3,4,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,4,,,,,,,,,,イベントが少ない。あってもなんだか残念なので、もっとニーズをとらえて施策をしてほしい。
102,4,2,2,6,,,,1,,5,,1,,,2,,,,2,,,,2,,,,,2,,,,,,2,,,,,1,,,,,,,,,,2,1,4,3,5,13,14,15,,,,,,1,5,6,,,,,,1,,,,,,2,1,,,,,,1,3,,,,,,,,,,,,,8,,,,,,,同世代の集まり,3,2,1,4,5,,,1,3,4,8,,,,,,10,,,,,,,,,3,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,育休に入る人がいても、職場に人員補充がきちんとされること,,,,,,,,,,,街コンのような機会
103,3,1,2,6,,,,1,,5,,1,,,1,2,3,5,2,5,,,2,3,5,,,2,,,,,,2,5,,,,1,2,8,,,,,,,,4,1,4,3,8,9,11,13,,,,,,1,5,,,,,,,1,,,,,,1,2,,,,,,1,3,4,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,2,3,7,8,,,,,4,10,,,,,,,,2,1,2,3,4,5,6,8,12,13,,,,,,,,,,,,,,,,,,
104,3,1,1,5,,,,1,,5,,1,,,1,2,3,,1,2,3,,1,2,3,,,1,2,3,,,,1,2,3,,,2,1,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,1,3,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
105,3,1,1,5,,,,1,,5,,1,,,1,2,3,,1,2,3,,1,2,3,,,1,2,3,,,,1,2,3,,,2,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,10,,,,,,知らない,,3,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,
106,3,2,1,5,,,,1,,3,,1,,,1,,,,,,,,1,2,3,,,1,2,3,,,,,,,,,1,2,3,11,,,,,,,3,1,3,2,10,13,15,,,,,,,1,2,1,5,,,,,1,,,,,,1,3,,,,,,1,3,4,5,,,,,,,,,,,,,,,,,,趣味活動のサークルや同世代の人との交流場面,3,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,3,5,7,8,10,11,12,15,4,,,,,,,,,,,,,,,,
107,3,1,2,6,,,,1,,5,,1,,,6,,,,6,,,,6,,,,,6,,,,,,6,,,,,1,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,1,3,4,,,,,,,12,,,,,,,,,2,4,5,8,10,11,12,13,15,,,,,,,,,,,,,,,,,,,
108,5,2,2,6,,,,1,,5,,1,,,1,,,,1,,,,1,,,,,1,,,,,,1,,,,,1,2,3,6,7,8,11,12,,,3,1,2,3,4,9,10,11,12,13,14,15,,1,1,5,6,,,,,1,3,,,,,1,2,3,7,,,,1,2,3,4,5,,,,,,,,,,10,,,,,,全て知らない,匿名でのやり取り。電話かメールでのやり取りがいい。,3,,,,,,,3,,,,,,,,,10,,,,,,,,,0,,,,,,,,,,,,,,,,,1,5,7,,,,,,,,きんせんしえん
109,3,1,1,5,,,,1,,5,,1,,,1,2,,,1,2,,,1,2,,,,1,2,,,,,1,2,,,,1,2,3,11,,,,,,,4,1,2,,,,,,,,,,,1,2,5,,,,,,3,2,,,,,1,7,,,,,,1,3,,,,,,,,,,,,,6,8,,,,,,チャット形式のサービス,3,,,,,,,4,,,,,,,,,,,,,,,,,,2,2,1,4,3,6,8,9,10,11,12,15,,,,,,,,,,,,,,,,出産や子育てに対する支援
110,4,1,2,5,,,,1,,5,,1,,,6,,,,6,,,,6,,,,,6,,,,,,6,,,,,1,2,3,,,,,,,,4,1,14,,,,,,,,,,,1,2,,,,,,,1,,,,,,2,1,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,3,,,,,,,,,1,4,,,,,,,,2,5,10,12,,,,,,,,,,,,,,,,,,,,,,,,
111,3,3,2,5,,,,6,,5,,1,,,1,5,6,,1,5,6,,1,5,6,,,1,3,5,6,,,1,5,6,,,1,3,11,,,,,,,,2,1,13,,,,,,,,,,,1,2,1,5,10,,,,1,2,3,,,,1,,,,,,,1,,,,,,,,,,,,,,8,,,,,,,,3,4,,,,,,3,,,,,,,,,8,,,,,,,,,2,5,8,13,12,10,,,,,,,,,,,,,,,,,,,,,,
112,4,2,2,6,,,,1,,5,,1,,,1,2,5,,1,2,5,,1,2,5,,,1,2,5,,,,1,2,5,,,13,1,,,,,,,,,4,1,2,3,4,15,,,,,,,,2,,,,,,,,,,,,,5,7,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,精神科医の診察を気軽に受けられる場所があるとうれしい,3,,,,,,,1,1,2,3,4,5,7,8,,10,,,,,,,,,2,2,3,8,10,12,13,14,15,,,,,,,,,,,,,,,,,,,結局はお金だなと思うので、教育や育児に関する助成金があると嬉しいです。
113,5,1,1,5,,,,1,,5,,1,,,1,3,,,1,,,,1,2,3,,,1,,,,,,1,,,,,1,2,3,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,1,4,5,3,,,,,,,,,,,,,,,,,,"特に今の10代から20代の方は電話や対面での会話よりもメール、更に言うとチャットでのコミュニケーションを好む傾向があると思います。
私自身はこのような相談をしようと思った事はありませんが、若者を対象にするのであればこのような電話以外の選択肢を持てるような環境整備が必要と思われます。
(既に準備されているようであれば認識不足ですみません)

特に狛江市は子育て世代も増えていて、市外からの居住者も多い状況と思います。
相談者本人への働きかけだけでなく、学校や親にも簡単に相談出来る環境がある事を間接的に周知してもらう必要があるでしょう。

いつでも相談が出来る事をPRする事も大事ですし、それ以上にどんなアドバイスをしてくれるか、解決に向けて一緒に伴走してあげれるかと言った相談をした後のイメージをセットで訴求出来ると良いと思います。",3,1,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,3,8,10,,,,,,,,,,,,,,,,,,,,,,"狛江市内に通勤・通学が完結している人は少数と思います。
小さい頃からこの地で育った人には引き続き市内に居住してもらう事、新たに市外から転居してもらう為にもイメージアップも必要と思います。"
114,4,2,1,5,,,,6,,5,,1,,,1,2,3,5,2,,,,1,2,3,5,,1,2,3,,,,2,,,,,6,,,,,,,,,,2,1,5,13,,,,,,,,,,1,5,9,,,,,,1,4,3,,,,4,7,,,,,,1,3,4,5,,,,,,,,,,,8,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,1,1,2,3,5,7,8,11,12,,,,,,,,,,,,,,,,,,,
115,3,2,2,5,,,,1,,5,,1,,,1,2,,,1,2,,,1,2,,,,1,2,,,,,1,2,,,,1,6,,,,,,,,,2,1,13,,,,,,,,,,,1,1,2,5,,,,,1,,,,,,1,2,3,4,6,7,,5,,,,,,,,,,,,,,8,,,,,,,,2,4,,,,,,3,,,,,,,,,1,8,,,,,,,,1,8,9,10,11,,,,,,,,,,,,,,,,,,,,,,,
116,2,1,2,6,,,,2,,5,,3,,,1,2,,,1,2,,,1,2,,,,1,2,,,,,1,2,,,,1,11,,,,,,,,,3,1,3,8,10,11,13,,,,,,,2,,,,,,,,,,,,,4,1,2,3,4,7,,,1,3,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,4,7,8,2,,,,,2,3,4,5,6,8,10,,,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,一人暮らしの大学生への給付金と児童手当ての給付金の取り組み
117,3,2,1,5,,,,6,,5,,4,,,1,,,,1,2,,,1,2,,,,1,,,,,,1,,,,,1,,,,,,,,,,4,1,15,,,,,,,,,,,2,,,,,,,,,,,,,3,1,2,,,,,,4,3,2,,,,,,,,,,,,,,,,,,,相談ができる場所があることを知らないため、もっとわかりやすくしてもらえるといいと思います,3,4,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"子育て世代はもちろん、結婚、新生活に対して所得の上限の幅を広げて支援してもらえると将来の不安が減る。
相談窓口や気軽に話せる場所が欲しい"
118,2,2,2,5,,,,1,,4,,2,,,1,2,,,1,2,,,1,2,,,,1,2,,,,,1,2,,,,1,13,,,,,,,,,3,1,3,4,6,15,,,,,,,,1,1,2,5,3,,,,1,2,3,,,,1,2,,,,,,1,3,4,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,1,3,4,5,6,7,8,,3,4,,,,,,,,3,1,2,4,5,8,10,12,,,,,,,,,,,,,,,,,,,,
119,3,2,2,6,,,,1,,5,,1,,,1,2,3,,1,2,3,,1,2,3,,,1,2,,,,,2,,,,,1,2,3,10,9,11,,,,,4,1,13,15,,,,,,,,,,1,9,2,,,,,,1,4,3,,,,4,7,1,,,,,5,4,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,3,4,5,7,,,,,12,,,,,,,,,2,1,2,5,7,8,10,12,13,14,15,,,,,,,,,,,,,,,,,
