種別,性別,地域階層,地域,和暦（年）,西暦（年）,月,卒業者数（人）,卒業者数／大学等進学者（Ａ）（人）,卒業者数／専修学校（専門課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／公共職業能力開発施設等入学者（D）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／臨時労働者（人）,卒業者数／就職者（人）,卒業者数／就職者／正規の職員等（人）,卒業者数／就職者／正規の職員等でない者（人）,卒業者数／一時的な仕事に就いた者（人）,卒業者数／左記以外の者（人）,卒業者数／不詳・死亡（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／自営業主等無期雇用労働者（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／雇用契約期間が一年以上、かつフルタイム勤務相当の者（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／正規の職員等（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／正規の職員等でない者（人）,左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,Ａのうち大学・短期大学の通信教育部を除く進学者（再掲）（人）,大学等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
私立,総数（男・女）,2,新宿区,令和4,2022,3月,1529,1236,20,66,－,2,2,－,－,…,…,…,…,203,－,－,－,－,…,…,－,1236,80.8,4,0.3
私立,総数（男・女）,2,文京区,令和4,2022,3月,3893,3204,238,177,－,1,24,1,1,…,…,…,…,247,－,－,－,－,…,…,－,3203,82.3,25,0.6
私立,総数（男・女）,2,台東区,令和4,2022,3月,618,378,99,24,－,－,106,－,－,…,…,…,…,11,－,－,－,－,…,…,－,378,61.2,106,17.2
私立,総数（男・女）,2,墨田区,令和4,2022,3月,697,631,7,13,2,－,－,－,－,…,…,…,…,44,－,－,－,－,…,…,－,631,90.5,－,－
私立,総数（男・女）,2,江東区,令和4,2022,3月,613,478,62,7,－,－,5,－,－,…,…,…,…,61,－,－,－,－,…,…,－,478,78,5,0.8
私立,総数（男・女）,2,品川区,令和4,2022,3月,2050,1666,113,75,－,9,5,1,－,…,…,…,…,181,－,1,－,1,…,…,－,1666,81.3,15,0.7
私立,総数（男・女）,2,目黒区,令和4,2022,3月,1888,1491,97,57,－,2,9,－,－,…,…,…,…,232,－,－,－,－,…,…,－,1485,79,11,0.6
私立,総数（男・女）,2,大田区,令和4,2022,3月,1584,1088,261,17,1,10,77,－,－,…,…,…,…,130,－,－,－,－,…,…,－,1088,68.7,87,5.5
私立,総数（男・女）,2,世田谷区,令和4,2022,3月,5799,4677,457,205,7,14,25,19,3,…,…,…,…,392,－,－,－,－,…,…,19,4675,80.7,58,1
私立,総数（男・女）,2,渋谷区,令和4,2022,3月,2120,1813,43,100,－,－,1,1,－,…,…,…,…,162,－,－,－,－,…,…,1,1812,85.5,2,0.1
私立,総数（男・女）,2,中野区,令和4,2022,3月,1973,1624,177,56,－,－,19,2,1,…,…,…,…,94,－,－,－,－,…,…,－,1621,82.3,19,1
私立,総数（男・女）,2,杉並区,令和4,2022,3月,3754,3250,92,308,－,－,3,3,－,…,…,…,…,98,－,－,－,－,…,…,3,3249,86.6,6,0.2
私立,総数（男・女）,2,豊島区,令和4,2022,3月,3179,2418,122,319,2,3,154,5,－,…,…,…,…,155,1,－,－,－,…,…,5,2417,76.1,162,5.1
私立,総数（男・女）,2,北区,令和4,2022,3月,2044,1655,166,65,2,－,17,7,－,…,…,…,…,132,－,1,－,1,…,…,3,1655,81,21,1
私立,総数（男・女）,2,荒川区,令和4,2022,3月,466,268,17,169,－,4,－,－,－,…,…,…,…,8,－,－,－,－,…,…,－,268,57.5,4,0.9
私立,総数（男・女）,2,板橋区,令和4,2022,3月,1820,1568,49,107,1,－,7,1,－,…,…,…,…,87,－,－,－,－,…,…,1,1567,86.2,8,0.4
私立,総数（男・女）,2,練馬区,令和4,2022,3月,930,808,11,85,－,－,－,－,－,…,…,…,…,26,－,－,－,－,…,…,－,808,86.9,－,－
私立,総数（男・女）,2,足立区,令和4,2022,3月,567,427,43,－,－,－,4,－,－,…,…,…,…,93,－,－,－,－,…,…,－,427,75.3,4,0.7
私立,総数（男・女）,2,葛飾区,令和4,2022,3月,561,425,102,－,－,－,6,－,－,…,…,…,…,28,－,－,－,－,…,…,－,425,75.8,6,1.1
私立,総数（男・女）,2,江戸川区,令和4,2022,3月,1187,866,213,1,－,－,20,－,－,…,…,…,…,87,－,－,－,－,…,…,－,865,73,20,1.7
私立,総数（男・女）,1,市部,令和4,2022,3月,12678,10354,840,424,7,7,81,2,－,…,…,…,…,963,－,－,－,－,…,…,2,10350,81.7,90,0.7
私立,総数（男・女）,2,八王子市,令和4,2022,3月,2288,1891,145,－,2,2,11,－,－,…,…,…,…,237,－,－,－,－,…,…,－,1891,82.6,13,0.6
私立,総数（男・女）,2,立川市,令和4,2022,3月,661,394,209,－,－,－,17,－,－,…,…,…,…,41,－,－,－,－,…,…,－,394,59.6,17,2.6
私立,総数（男・女）,2,武蔵野市,令和4,2022,3月,942,739,42,104,－,－,1,－,－,…,…,…,…,56,－,－,－,－,…,…,－,739,78.5,1,0.1
私立,総数（男・女）,2,三鷹市,令和4,2022,3月,852,695,98,－,－,－,2,2,－,…,…,…,…,55,－,－,－,－,…,…,2,695,81.6,4,0.5
私立,総数（男・女）,2,青梅市,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,2,府中市,令和4,2022,3月,484,427,27,－,－,－,1,－,－,…,…,…,…,29,－,－,－,－,…,…,－,427,88.2,1,0.2
私立,総数（男・女）,2,昭島市,令和4,2022,3月,132,105,10,－,－,－,1,－,－,…,…,…,…,16,－,－,－,－,…,…,－,105,79.5,1,0.8
私立,総数（男・女）,2,調布市,令和4,2022,3月,610,559,1,24,－,－,－,－,－,…,…,…,…,26,－,－,－,－,…,…,－,559,91.6,－,－
私立,総数（男・女）,2,町田市,令和4,2022,3月,1485,1180,38,152,1,2,20,－,－,…,…,…,…,92,－,－,－,－,…,…,－,1178,79.5,22,1.5
私立,総数（男・女）,2,小金井市,令和4,2022,3月,893,805,11,16,1,－,1,－,－,…,…,…,…,59,－,－,－,－,…,…,－,805,90.1,1,0.1
私立,総数（男・女）,2,小平市,令和4,2022,3月,1115,949,31,86,2,1,7,－,－,…,…,…,…,39,－,－,－,－,…,…,－,948,85.1,8,0.7
私立,総数（男・女）,2,日野市,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,2,東村山市,令和4,2022,3月,686,542,81,－,－,－,11,－,－,…,…,…,…,52,－,－,－,－,…,…,－,541,79,11,1.6
私立,総数（男・女）,2,国分寺市,令和4,2022,3月,418,414,1,－,－,－,－,－,－,…,…,…,…,3,－,－,－,－,…,…,－,414,99,－,－
私立,総数（男・女）,2,国立市,令和4,2022,3月,452,306,1,－,－,1,1,－,－,…,…,…,…,143,－,－,－,－,…,…,－,306,67.7,2,0.4
私立,総数（男・女）,2,福生市,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,2,狛江市,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,2,東大和市,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,2,清瀬市,令和4,2022,3月,30,21,7,－,－,－,－,－,－,…,…,…,…,2,－,－,－,－,…,…,－,21,70,－,－
私立,総数（男・女）,2,東久留米市,令和4,2022,3月,78,26,4,30,－,－,1,－,－,…,…,…,…,17,－,－,－,－,…,…,－,26,33.3,1,1.3
私立,総数（男・女）,2,武蔵村山市,令和4,2022,3月,432,369,8,－,－,－,－,－,－,…,…,…,…,55,－,－,－,－,…,…,－,369,85.4,－,－
私立,総数（男・女）,2,多摩市,令和4,2022,3月,245,213,7,－,1,－,－,－,－,…,…,…,…,24,－,－,－,－,…,…,－,213,86.9,－,－
私立,総数（男・女）,2,稲城市,令和4,2022,3月,173,130,39,－,－,－,2,－,－,…,…,…,…,2,－,－,－,－,…,…,－,130,75.1,2,1.2
私立,総数（男・女）,2,羽村市,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,2,あきる野市,令和4,2022,3月,412,345,49,12,－,1,4,－,－,…,…,…,…,1,－,－,－,－,…,…,－,345,83.7,5,1.2
私立,総数（男・女）,2,西東京市,令和4,2022,3月,290,244,31,－,－,－,1,－,－,…,…,…,…,14,－,－,－,－,…,…,－,244,84.1,1,0.3
私立,総数（男・女）,1,郡部,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,2,瑞穂町,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,2,日の出町,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,2,檜原村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,2,奥多摩町,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,1,島部,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,2,大島町,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,2,利島村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,2,新島村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,2,神津島村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,2,三宅村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,2,御蔵島村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,2,八丈町,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,2,青ヶ島村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
私立,総数（男・女）,2,小笠原村,令和4,2022,3月,－,－,－,－,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１５－１　卒業後の状況調査（高等学校  全日制・定時制）　区市町村、状況別卒業者数、大学等進学率及び卒業者に占める就職者の割合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注１）「就職者等」は、令和２年度からの調査項目である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注２）「就職者」は、令和元年度以前の調査項目である。平成31年3月以前の「就職者」は、雇用契約期間が１年未満で期間の定めのある者及び雇用契約期間の長さにかかわらず短時間勤務の者を含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注３）平成31年3月以前の「就職者総数（再掲）」とは、卒業者のうち「就職者」及び「左記A，B，C，Dのうち就職している者(再掲）」を合計した数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注４）令和2年3月以降の「就職者総数（再掲）」とは、「自営業主等」、「無期雇用労働者」、「左記A，B，C，Dのうち就職している者(再掲）」及び「左記E有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）」を合計した数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注５）「一時的な仕事に就いた者」は、令和元年度以前の調査項目であり、アルバイト・パート等臨時的な収入を得ることを目的とする仕事に就いた者である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注６）「左記以外の者」とは、家事手伝いをしている者、外国の大学等に入学した者又は進路が未定であることが明らかな者である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
