"業態","施設名称","施設所在地","施設方書","施設電話番号","許可番号","許可開始日"
"高度管理医療機器販売業・貸与業","株式会社ＪＭＤＣ","東京都港区芝大門二丁目5番5号","住友芝大門ビル","03-5733-5013","3港み生機器第121号","2021/9/22"
"高度管理医療機器販売業・貸与業","エヌエスパートナーズ株式会社","東京都港区芝大門二丁目5番5号","住友芝大門ビル6階","03-5776-0711","4港み生機器第257号","2023/1/17"
"高度管理医療機器販売業・貸与業","ロートニッテン株式会社　東京支社","東京都港区芝大門二丁目8番13号","サクセス芝大門ビル","03-5408-5305","2港み生機器第140号","2021/2/1"
"高度管理医療機器販売業","おだいじに薬局　芝公園店","東京都港区芝大門二丁目10番2号","竹内ビル1階","03-5733-3238","2港み生機器第179号","2021/4/1"
"高度管理医療機器販売業・貸与業","株式会社システムディ東京支社","東京都港区芝大門二丁目10番12号","KDX芝大門ビル6階","03-5777-5202","31港み生機器第110号","2019/9/13"
"高度管理医療機器販売業・貸与業","株式会社ＭＡＴＳＵＭＯＴＯ","東京都港区芝大門二丁目12番3号","5階","050-3612-6221","4港み生機器第327号","2023/4/3"
"高度管理医療機器販売業・貸与業","株式会社ｎｅｏ","東京都港区芝大門二丁目12番5号","モンテベルデ芝大門","03-6450-1728","4港み生機器第128号","2022/10/12"
"高度管理医療機器販売業・貸与業","白金ザ・スカイ薬局","東京都港区白金一丁目2番2号","白金ザ・スカイ西棟1階W111-2",,"4港み生機器第285号","2023/3/20"
"高度管理医療機器販売業・貸与業","株式会社メディプレスト","東京都港区白金一丁目12番2号","白金クワナビル1階","03-6721-7335","2港み生機器第70号","2020/9/11"
"高度管理医療機器販売業・貸与業","株式会社ＤａＶｉｎｃｉ","東京都港区白金一丁目14番4号","コートモデリア白金202号","03-3445-2221","3港み生機器第143号","2021/11/11"
"高度管理医療機器販売業・貸与業","白金調剤薬局","東京都港区白金一丁目14番11号",,,"4港み生機器第335号","2023/3/29"
"高度管理医療機器販売業・貸与業","プレミアムコンタクト","東京都港区白金一丁目17番1‐2712号",,,"5港み生機器第35号","2023/6/9"
"高度管理医療機器販売業","白金ヴェルデ薬局","東京都港区白金一丁目26番3号","白金ファクトリーファイブ101号室","03-6450-2645","4港み生機器第78号","2022/8/22"
"高度管理医療機器販売業・貸与業","株式会社ｄａｚｚｙ","東京都港区白金一丁目27番6号","白金高輪ステーションビル9階","03-5422-9900","3港み生機器第83号","2021/7/3"
"高度管理医療機器販売業","ｆａｓｔ　ｓｔｅｐ株式会社","東京都港区白金一丁目27番6号","白金高輪ステーションビル","03-5447-5815","4港み生機器第343号","2023/4/10"
"高度管理医療機器販売業・貸与業","北里メディカルサービス株式会社　営業部","東京都港区白金五丁目9番1号","学校法人北里研究所 職員宿舎棟 地下1階","03-5791-6305","31港み生機器第55号","2019/7/22"
"高度管理医療機器販売業・貸与業","白金台南薬局","東京都港区白金六丁目6番1号","マンション芝白金1階106号","03-5421-0880","4港み生機器第321号","2023/4/1"
"高度管理医療機器販売業・貸与業","アルファ光学","東京都港区白金六丁目13番22号","白金ハウス1階","03-3444-4602","4港み生機器第342号","2023/4/1"
"高度管理医療機器販売業・貸与業","白金中央薬局","東京都港区白金六丁目22番11号",,"03-3444-1574","4港み生機器第244号","2023/1/13"
"高度管理医療機器販売業","有限会社ＭＨＣ","東京都港区白金台二丁目3番10号","パークスイート401","03-5423-2622","4港み生機器第115号","2022/10/5"
"高度管理医療機器販売業・貸与業","株式会社エニシス","東京都港区白金台二丁目9番16号",,"03-5798-8981","30港み生機器第123号","2018/11/16"
"高度管理医療機器販売業・貸与業","リチャードウルフ株式会社","東京都港区白金台二丁目26番10号","グリーンオーク高輪台","03-6459-3939","30港み生機器第155号","2019/2/1"
"高度管理医療機器販売業","ナチュラルローソンクオール薬局　高輪台駅前店","東京都港区白金台二丁目26番10号","グリーンオーク高輪台1階","03-5447-2211","30港み生機器第95号","2018/10/1"
"高度管理医療機器販売業・貸与業","有限会社ロッシュ","東京都港区白金台三丁目10番7号",,"03-3441-2081","4港み生機器第203号","2022/12/17"
"高度管理医療機器販売業・貸与業","株式会社プロモート","東京都港区白金台三丁目10番7号",,"03-3441-2081","30港み生機器第213号","2019/3/5"
"高度管理医療機器販売業・貸与業","合同会社Ｎ＆Ｍ","東京都港区白金台三丁目13番15‐203号",,,"5港み生機器第179号","2024/1/19"
"高度管理医療機器販売業・貸与業","調剤薬局ツルハドラッグ　白金台店","東京都港区白金台三丁目15番6号","マスレンビル1階","03-5789-9175","3港み生機器第12号","2021/5/16"
"高度管理医療機器販売業","ツルハドラッグ　白金台店","東京都港区白金台三丁目15番6号","マスレンビル1階","03-5475-1321","3港み生機器第2号","2021/5/16"
"高度管理医療機器販売業・貸与業","Ａ＆Ａヘルスケア株式会社","東京都港区白金台三丁目16番10号","白金台グロリアハイツ604号","03-5926-6518","31港み生機器第160号","2019/12/13"
"高度管理医療機器販売業・貸与業","白金台鈴薬局","東京都港区白金台三丁目16番13号","白金台ウスイビル1階","03-3442-3493","31港み生機器第172号","2020/2/1"
"高度管理医療機器販売業","有限会社白金コンタクトレンズ研究所","東京都港区白金台三丁目16番16号",,"03-3449-0888","5港み生機器第70号","2023/9/6"
"高度管理医療機器販売業","ココカラファイン薬局　白金台店","東京都港区白金台四丁目3番19号",,"03-5791-9235","31港み生機器第189号","2020/3/1"
"高度管理医療機器販売業・貸与業","パールスマイルクリエイト合同会社　白金営業所","東京都港区白金台四丁目8番7号","KDXレジデンス白金2",,"5港み生機器第79号","2023/8/15"
"高度管理医療機器販売業・貸与業","ＡＭＳ企画株式会社","東京都港区白金台五丁目6番9‐303号","日総第27ビル",,"5港み生機器第138号","2023/11/1"
"高度管理医療機器販売業・貸与業","ヤマトプロテック株式会社","東京都港区白金台五丁目17番2号",,,"5港み生機器第142号","2023/11/9"
"高度管理医療機器販売業・貸与業","有限会社　芝口薬局","東京都港区新橋一丁目4番3号","芝ビル1階","03-3571-4713","4港み生機器第311号","2023/4/1"
"高度管理医療機器販売業・貸与業","株式会社Ｌｉｎｃ’ｗｅｌｌ　新橋営業所","東京都港区新橋一丁目4番5号","ヒューリックG10ビル5階","03-6263-8535","3港み生機器第199号","2022/2/7"
"高度管理医療機器販売業・貸与業","スギ薬局　新橋駅前店","東京都港区新橋一丁目12番9号","新橋プレイス1階","03-6263-8992","30港み生機器第55号","2018/7/2"
"高度管理医療機器販売業・貸与業","スギドラッグ　新橋駅前店","東京都港区新橋一丁目12番9号","新橋プレイス1階","03-6263-8992","3港み生機器第204号","2022/2/1"
"高度管理医療機器販売業・貸与業","しんきんリース株式会社","東京都港区新橋一丁目18番6号","共栄火災ビル","03-3502-3737","4港み生機器第288号","2023/4/1"
"高度管理医療機器販売業・貸与業","しんきん通商株式会社","東京都港区新橋一丁目18番6号","共栄火災ビル","03-3507-8860","4港み生機器第287号","2023/4/1"
"高度管理医療機器販売業","ドラッグセイムス新橋日比谷口薬局","東京都港区新橋二丁目6番2号","新橋アイマークビル1階","03-6811-2091","3港み生機器第21号","2021/5/17"
"高度管理医療機器販売業","薬マツモトキヨシ　新橋駅前店","東京都港区新橋二丁目7番1号","ファロシティビル1階","03-3597-8830","5港み生機器第31号","2023/8/8"
"高度管理医療機器販売業・貸与業","メガネスーパーコンタクト新橋駅前ＳＬ広場店","東京都港区新橋二丁目7番1号","ファロシティビル1階",,"5港み生機器第21号","2023/5/17"
"高度管理医療機器販売業・貸与業","株式会社ユニバーサルプランニング","東京都港区新橋二丁目9番7号","K-16ビル8階","03-3591-0075","第4501031300024号","2013/8/8"
"高度管理医療機器販売業","富士コンタクト新橋店","東京都港区新橋二丁目12番1号","ランディック第3新橋ビル2階","03-3503-6791","30港み生機器第154号","2019/1/7"
"高度管理医療機器販売業・貸与業","新橋内幸町薬局","東京都港区新橋二丁目12番16号","明和ビル5階5‐東号室","03-6811-2384","31港み生機器第173号","2020/1/24"
"高度管理医療機器販売業・貸与業","新橋調剤薬局","東京都港区新橋二丁目16番1号","ニュー新橋ビル3階345号","03-3580-6337","5港み生機器第71号","2023/9/11"
"高度管理医療機器販売業","ミネドラッグ　新橋店","東京都港区新橋二丁目16番1号","ニュー新橋ビル112号","03-3500-1340","4港み生機器第28号","2022/5/30"
"高度管理医療機器販売業・貸与業","あおぞら研究所","東京都港区新橋二丁目16番1号","ニュー新橋ビル338","03-3506-8881","2港み生機器第93号","2020/11/6"
"高度管理医療機器販売業・貸与業","スギ薬局　ニュー新橋ビル店","東京都港区新橋二丁目16番1号","ニュー新橋ビル1階","03-6550-9310","31港み生機器第77号","2019/8/16"
"高度管理医療機器販売業","バンビー薬局　ニュー新橋ビル店","東京都港区新橋二丁目16番1号","ニュー新橋ビル内344号","03-3580-3159","5港み生機器第89号","2023/9/1"
"高度管理医療機器販売業・貸与業","内田技研株式会社　新橋店","東京都港区新橋二丁目16番1号","ニュー新橋ビル3階320","03-3500-2800","5港み生機器第144号","2023/11/27"
"高度管理医療機器販売業・貸与業","株式会社ジェイエイワン","東京都港区新橋二丁目20番15号","新橋駅前ビル1号館313","03-6280-6322","2港み生機器第55号","2020/8/25"
"高度管理医療機器販売業・貸与業","株式会社メディテック","東京都港区新橋二丁目20番15号","新橋駅前ビル1号館507号","03-6263-9722","31港み生機器第92号","2019/8/20"
"高度管理医療機器販売業・貸与業","たんぽぽ薬局　新橋店","東京都港区新橋三丁目2番4号","MKプレイス1階","03-6268-8748","5港み生機器第170号","2024/1/26"
"高度管理医療機器販売業","バンビー薬局　本店","東京都港区新橋三丁目19番2号",,"03-3432-0288","5港み生機器第90号","2023/9/1"
"高度管理医療機器販売業・貸与業","ＬＯＨＡＳ　ＪＡＰＡＮ株式会社　新橋営業所","東京都港区新橋三丁目26番4号","新橋相互ビル404","03-6264-5681","3港み生機器第105号","2021/9/9"
"高度管理医療機器販売業・貸与業","株式会社コミュニティ・メディカル・イノベーション","東京都港区新橋四丁目1番1号","新虎通りCORE","03-4565-9900","5港み生機器第84号","2023/9/1"
"高度管理医療機器販売業・貸与業","古河産業株式会社","東京都港区新橋四丁目21番3号","新橋東急ビル","03-5405-6354","5港み生機器第96号","2023/10/5"
"高度管理医療機器販売業・貸与業","株式会社電通東日本","東京都港区新橋四丁目21番3号","新橋東急ビル","03-5402-9555","3港み生機器第16号","2021/4/28"
"高度管理医療機器販売業・貸与業","株式会社コスモ","東京都港区新橋四丁目24番3号","エムエフ新橋903号室","03-3433-6582","5港み生機器第97号","2023/9/22"
"高度管理医療機器販売業・貸与業","株式会社ＯＭＧコーポレーション","東京都港区新橋四丁目27番1号","セントラルビル7階","03-6264-5188","30港み生機器第50号","2018/6/13"
"高度管理医療機器販売業・貸与業","株式会社フォラケア・ジャパン","東京都港区新橋五丁目10番8号","FORAビル","03-6452-8640","4港み生機器第91号","2022/8/25"
"高度管理医療機器販売業・貸与業","ＴＲＩデンタルインプランツ株式会社","東京都港区新橋五丁目14番16号","グランノワール新橋",,"3港み生機器第63号","2021/6/17"
"高度管理医療機器販売業・貸与業","コンメッド・ジャパン株式会社","東京都港区新橋五丁目20番4号","新虎サウスビル","03-6435-8170","30港み生機器第197号","2019/2/12"
"高度管理医療機器販売業・貸与業","株式会社ワンブレーン","東京都港区新橋五丁目22番3号","ル・グラシエルBLDG.3、2階(北)","03-6830-2812","3港み生機器第152号","2021/11/22"
"高度管理医療機器販売業・貸与業","第一電子株式会社　東京事業部","東京都港区新橋六丁目2番9号","折田ビル",,"4港み生機器第329号","2023/3/27"
"高度管理医療機器販売業","株式会社三千和商工","東京都港区新橋六丁目10番7号","ミチワビル","03-3434-3337","30港み生機器第177号","2018/12/20"
"高度管理医療機器販売業・貸与業","コーユーレンティア株式会社","東京都港区新橋六丁目17番15号","6階","03-6758-3501","3港み生機器第212号","2022/3/22"
"高度管理医療機器販売業・貸与業","ＯＮＥデザインズ株式会社","東京都港区新橋六丁目17番15号","菱進御成門ビル7階","03-6758-3530","3港み生機器第229号","2022/3/22"
"高度管理医療機器販売業・貸与業","旭化成アドバンス株式会社　東京本社","東京都港区新橋六丁目17番21号","住友不動産御成門駅前ビル","03-5404-5045","3港み生機器第245号","2022/3/31"
"高度管理医療機器販売業・貸与業","都築電気株式会社","東京都港区新橋六丁目19番15号","東京美術倶楽部ビル","03-6833-7777","4港み生機器第293号","2023/4/1"
"高度管理医療機器販売業・貸与業","有限会社ジェー・シー・エイ企画","東京都港区新橋六丁目21番3号","UMAXビル","03-3578-9318","30港み生機器第228号","2019/3/20"
"高度管理医療機器販売業","ミュゼ・ド・ポゥ　アクアシティお台場店","東京都港区台場一丁目7番1号","アクアシティお台場3階","03-3599-2530","5港み生機器第9号","2023/5/22"
"高度管理医療機器販売業","Ａｉｒ　ＢｉｃＣａｍｅｒａ　アクアシティお台場店","東京都港区台場一丁目7番1号","アクアシティお台場3階","03-5564-7111","3港み生機器第180号","2022/1/17"
"高度管理医療機器販売業・貸与業","ブングル・ドット・コム株式会社　東京支社","東京都港区台場二丁目2番2号","ザ・タワーズ台場ウエスト203号","03-6413-9144","31港み生機器第188号","2020/3/5"
"高度管理医療機器販売業・貸与業","ｍｉｒａｍｏ","東京都港区台場二丁目3番5号","台場ガーデンシティビル11階","03-6628-2080","5港み生機器第208号","2024/2/28"
"高度管理医療機器販売業・貸与業","幸城薬局　台場店","東京都港区台場二丁目6番1号","グランドニッコー東京台場2階","03-5324-2413","5港み生機器第156号","2024/2/22"
"高度管理医療機器販売業","ドラッグストアマツモトキヨシ　白金高輪店","東京都港区高輪一丁目3番13号","NBF高輪ビル1階","03-5795-2515","5港み生機器第12号","2023/7/7"
"高度管理医療機器販売業","薬局マツモトキヨシ　白金高輪店","東京都港区高輪一丁目3番13号","NBF高輪ビル1階","03-5420-8696","4港み生機器第182号","2023/2/1"
"高度管理医療機器販売業・貸与業","日本調剤　白金高輪薬局","東京都港区高輪一丁目4番13号","高輪NYビル1階","03-6721-7071","3港み生機器第91号","2021/8/1"
"高度管理医療機器販売業・貸与業","株式会社一色タカナワ","東京都港区高輪二丁目1番26号",,"03-3441-1161","4港み生機器第284号","2023/4/1"
"高度管理医療機器販売業・貸与業","三浦工業株式会社","東京都港区高輪二丁目15番35号",,"03-5793-1046","31港み生機器第208号","2020/4/1"
"高度管理医療機器販売業","有限会社高輪コンタクトレンズ","東京都港区高輪二丁目16番36号",,"03-3473-1068","4港み生機器第262号","2023/4/1"
"高度管理医療機器販売業・貸与業","斎田電機産業株式会社","東京都港区高輪二丁目18番6号","MEIHO高輪ビル6階","03-5475-1911","3港み生機器第206号","2022/2/24"
"高度管理医療機器販売業","株式会社新和商事","東京都港区高輪二丁目21番41号","高輪第1ビル","03-3447-6960","31港み生機器第84号","2019/8/2"
"高度管理医療機器販売業・貸与業","たかなわ台薬局","東京都港区高輪三丁目7番8号","西町ビル1F","03-5422-8158","4港み生機器第297号","2023/3/7"
"高度管理医療機器販売業・貸与業","メトロファーマシー高輪台","東京都港区高輪三丁目8番17号","メディカルプライム高輪1F","03-5424-1231","3港み生機器第39号","2021/6/1"
"高度管理医療機器販売業","あさひ薬局　高輪店","東京都港区高輪三丁目9番11号",,"03-3440-1100","4港み生機器第233号","2023/4/1"
"高度管理医療機器販売業・貸与業","調剤薬局ツルハドラッグ　高輪台店","東京都港区高輪三丁目10番1号","藤ビル1階","03-5739-1266","3港み生機器第11号","2021/5/16"
"高度管理医療機器販売業","クオール薬局　高輪店","東京都港区高輪三丁目10番10号",,"03-5447-6289","30港み生機器第96号","2018/10/1"
"高度管理医療機器販売業・貸与業","ｇｆ．Ｉ株式会社","東京都港区高輪三丁目12番8号",,"03-6694-2379","4港み生機器第95号","2022/8/15"
"高度管理医療機器販売業・貸与業","株式会社ビッグゴー","東京都港区高輪三丁目19番26号","SOC高輪ビル5階","0357917310","2港み生機器第16号","2020/5/14"
"高度管理医療機器販売業・貸与業","プラザジャパン株式会社","東京都港区高輪三丁目20番9号","高輪シティビルB1","03-5795-0131","31港み生機器第203号","2020/3/23"
"高度管理医療機器販売業","株式会社ヨネヤマ　東京支店","東京都港区高輪三丁目25番23号","京急第2ビル5F","03-5791-5611","31港み生機器第27号","2019/7/8"
"高度管理医療機器販売業・貸与業","ＩＱＶＩＡサービシーズジャパン合同会社","東京都港区高輪四丁目10番18号","京急第一ビル",,"2港み生機器第139号","2021/1/27"
"高度管理医療機器販売業・貸与業","ＯＰＴＩＱＵＥ　ＰＡＲＩＳ　ＭＩＫＩ　品川プリンス店","東京都港区高輪四丁目10番30号","アネックスタワー1階","03-3280-2611","3港み生機器第25号","2021/5/26"
"高度管理医療機器販売業・貸与業","株式会社メディカルインターフェイス","東京都港区高輪四丁目18番19号","TICビル","03-5798-3557","2港み生機器第71号","2020/9/10"
"高度管理医療機器販売業・貸与業","スギ薬局　虎ノ門店","東京都港区虎ノ門一丁目1番12号","虎ノ門ビル1階","03-5501-0470","31港み生機器第1号","2019/5/17"
"高度管理医療機器販売業・貸与業","日野薬局　虎ノ門店","東京都港区虎ノ門一丁目1番16号","小林ビル1階","03-3580-6400","5港み生機器第225号","2024/4/10"
"高度管理医療機器販売業","なの花薬局　虎ノ門店","東京都港区虎ノ門一丁目1番18号","ヒューリック虎ノ門ビル1階","03-6206-7480","4港み生機器第45号","2022/6/6"
"高度管理医療機器販売業・貸与業","株式会社リグア　東京事務所","東京都港区虎ノ門一丁目1番23号","ウンピン虎ノ門ビル","03-3519-7813","29港み生機器第234号","2018/4/9"
"高度管理医療機器販売業・貸与業","株式会社レイズ","東京都港区虎ノ門一丁目1番25号","虎ノ門一丁目ビル",,"31港み生機器第90号","2019/8/13"
"高度管理医療機器販売業・貸与業","株式会社ＤＩＣ","東京都港区虎ノ門一丁目2番3号","虎ノ門清和ビル","03-5501-2995","30港み生機器第36号","2018/6/1"
"高度管理医療機器販売業・貸与業","みずほリース株式会社","東京都港区虎ノ門一丁目2番6号",,"03-5253-6555","4港み生機器第263号","2023/2/14"
"高度管理医療機器販売業・貸与業","みずほオートリース株式会社","東京都港区虎ノ門一丁目2番6号",,"03-5253-6801","4港み生機器第266号","2023/2/14"
"高度管理医療機器販売業・貸与業","第一リース株式会社","東京都港区虎ノ門一丁目2番6号","みずほリースビル","03-3501-5718","4港み生機器第346号","2023/5/2"
"高度管理医療機器販売業・貸与業","みずほ東芝リース株式会社本社","東京都港区虎ノ門一丁目2番6号",,"03-5253-6760","30港み生機器第187号","2019/2/12"
"高度管理医療機器販売業・貸与業","株式会社ＣＵ","東京都港区虎ノ門一丁目2番10号","虎ノ門桜田通ビル8F","03-6205-7385","2港み生機器第154号","2021/3/12"
"高度管理医療機器販売業・貸与業","株式会社エル・シィ","東京都港区虎ノ門一丁目2番11号","ザ・パークレックス虎ノ門","03-6435-4324","5港み生機器第82号","2023/8/15"
"高度管理医療機器販売業・貸与業","あおい調剤薬局","東京都港区虎ノ門一丁目2番16号","浜崎ビル1階","03-3591-0356","30港み生機器第100号","2018/9/5"
"高度管理医療機器販売業・貸与業","日生薬局　虎ノ門店","東京都港区虎ノ門一丁目2番18号","虎ノ門興業ビルディング地下1階","03-3539-1721","4港み生機器第310号","2023/4/1"
"高度管理医療機器販売業","日本調剤　虎ノ門薬局","東京都港区虎ノ門一丁目2番18号","虎之門興業ビルディング1階・2階",,"4港み生機器第277号","2023/4/1"
"高度管理医療機器販売業・貸与業","プラス東京営業所","東京都港区虎ノ門一丁目2番18号","虎ノ門興業ビル3階",,"2港み生機器第129号","2020/12/25"
"高度管理医療機器販売業・貸与業","株式会社Ｌａｈａｒａｓ虎ノ門営業所","東京都港区虎ノ門一丁目11番9号","-902",,"5港み生機器第236号","2024/3/25"
"高度管理医療機器販売業・貸与業","クオール薬局　虎ノ門店","東京都港区虎ノ門一丁目16番17号","黒沢ビル1階","03-6205-8189","30港み生機器第112号","2018/10/2"
"高度管理医療機器販売業・貸与業","株式会社日立ハイテク本社","東京都港区虎ノ門一丁目17番1号","虎ノ門ヒルズビジネスタワー","03-3504-7111","31港み生機器第169号","2020/2/12"
"高度管理医療機器販売業・貸与業","株式会社日立ハイテクフィールディング","東京都港区虎ノ門一丁目17番1号","虎ノ門ヒルズ ビジネスタワー","03-5379-2316","31港み生機器第171号","2020/2/12"
"高度管理医療機器販売業・貸与業","株式会社日立ハイテクサイエンス　本社","東京都港区虎ノ門一丁目17番1号","虎ノ門ヒルズビジネスタワー 11階","03-3504-3966","31港み生機器第179号","2020/2/12"
"高度管理医療機器販売業","株式会社ＡＮＷ","東京都港区虎ノ門一丁目17番1号","虎ノ門ヒルズビジネスタワー","03-6407-1669","2港み生機器第112号","2020/12/14"
"高度管理医療機器販売業・貸与業","株式会社日立製作所　ヘルスケア事業本部　ヘルスケアイノベーション事業部　スマートセラピー本部　フロント戦略推進本部　粒子線営業部","東京都港区虎ノ門一丁目17番1号","虎ノ門ヒルズビジネスタワー","03-6284-3741","3港み生機器第241号","2022/3/22"
"高度管理医療機器販売業・貸与業","株式会社日立製作所ヘルスケア事業本部ヘルスケアイノベーション事業部スマートセラピー本部フロント戦略推進本部ソリューションサービス部企画本部営業企画本部営業企画部","東京都港区虎ノ門一丁目17番1号","虎ノ門ヒルズビジネスタワー","03-6284-3741","4港み生機器第70号","2022/7/16"
"高度管理医療機器販売業・貸与業","株式会社日立製作所　ヘルスケア事業本部　ヘルスケアイノベーション事業部　分析システム本部　営業本部","東京都港区虎ノ門一丁目17番1号","虎ノ門ヒルズビジネスタワー","03-6284-3741","4港み生機器第74号","2022/7/16"
"高度管理医療機器販売業・貸与業","株式会社日立製作所　ヘルスケア事業本部　ヘルスケアイノベーション事業部　スマートセラピー本部　Ｘ線治療システム部　企画本部　調達本部　第一部","東京都港区虎ノ門一丁目17番1号","虎ノ門ヒルズビジネスタワー","03-6284-3741","4港み生機器第75号","2022/7/16"
"高度管理医療機器販売業・貸与業","スギ薬局　虎ノ門ヒルズ駅前店","東京都港区虎ノ門一丁目21番17号","虎ノ門NNビル1階","03-5860-9555","31港み生機器第71号","2019/7/26"
"高度管理医療機器販売業・貸与業","ノバルティスファーマ株式会社開発本部","東京都港区虎ノ門一丁目23番1号","虎ノ門ヒルズ森タワー",,"2港み生機器第130号","2021/2/2"
"高度管理医療機器販売業・貸与業","日本アルコン株式会社　本社","東京都港区虎ノ門一丁目23番1号","虎ノ門ヒルズ森タワー30階","03-6899-5129","3港み生機器第117号","2021/9/25"
"高度管理医療機器販売業・貸与業","日本アルコン株式会社アルコンエクスペリエンスセンター東京","東京都港区虎ノ門一丁目23番1号","虎ノ門ヒルズ森タワー","03-6899-5043","5港み生機器第158号","2023/12/25"
"高度管理医療機器販売業・貸与業","リアライズ・イノベーションズ株式会社","東京都港区虎ノ門二丁目2番1号","住友不動産虎ノ門タワー","03-5549-1350","5港み生機器第200号","2024/2/19"
"高度管理医療機器販売業","ナチュラルローソン虎の門病院２階店","東京都港区虎ノ門二丁目2番2号","2階","03-3588-7172","5港み生機器第65号","2023/8/1"
"高度管理医療機器販売業","さくら薬局　虎ノ門２丁目タワー店","東京都港区虎ノ門二丁目3番17号","虎ノ門2丁目タワー1階","03-3503-5500","2港み生機器第99号","2020/12/1"
"高度管理医療機器販売業","さくら薬局　虎ノ門店","東京都港区虎ノ門二丁目3番22号","第1秋山ビルディング1階","03-5532-1805","4港み生機器第82号","2022/8/13"
"高度管理医療機器販売業","ココカラファイン薬局　虎ノ門店","東京都港区虎ノ門二丁目4番1号","虎ノ門ピアザビル1階","03-5510-3727","30港み生機器第208号","2019/4/1"
"高度管理医療機器販売業・貸与業","株式会社三井メディカルコマース","東京都港区虎ノ門二丁目4番1号","虎ノ門ピアザビル7階","03-5157-3210","31港み生機器第145号","2019/12/2"
"高度管理医療機器販売業・貸与業","株式会社オカモトヤ","東京都港区虎ノ門二丁目6番1号","虎ノ門ヒルズステーションタワー9階","03-3591-2251","5港み生機器第168号","2024/1/9"
"高度管理医療機器販売業・貸与業","エムスリーソリューションズ株式会社　首都圏営業所","東京都港区虎ノ門三丁目4番7号","虎ノ門36森ビル6階","03-5733-8200","2港み生機器第116号","2021/1/6"
"高度管理医療機器販売業・貸与業","アルジョ・ジャパン株式会社","東京都港区虎ノ門三丁目7番8号","ランディック第2虎ノ門ビル","03-6435-6401","31港み生機器第87号","2019/8/19"
"高度管理医療機器販売業","大信薬局虎ノ門店","東京都港区虎ノ門三丁目10番4号","虎ノ門ガーデン102号室","03-6453-0617","4港み生機器第180号","2022/11/1"
"高度管理医療機器販売業・貸与業","ぱぱす薬局　神谷町店","東京都港区虎ノ門三丁目17番1号","TOKYU REIT虎ノ門ビル1階","03-6687-3088","5港み生機器第87号","2023/9/8"
"高度管理医療機器販売業・貸与業","エア・ウォーター・ミール株式会社","東京都港区虎ノ門三丁目18番19号","UD神谷町ビル","03-3578-7818","30港み生機器第164号","2018/12/20"
"高度管理医療機器販売業・貸与業","エア・ウォーター株式会社","東京都港区虎ノ門三丁目18番19号","UD神谷町ビル",,"3港み生機器第43号","2021/5/31"
"高度管理医療機器販売業・貸与業","エア・ウォーター・メディカル株式会社","東京都港区虎ノ門三丁目18番19号","UD神谷町ビル",,"5港み生機器第39号","2023/7/1"
"高度管理医療機器販売業・貸与業","ＳＣ－ＨＤ株式会社","東京都港区虎ノ門三丁目20番5号","クレイン虎ノ門ビル","03-6381-5034","5港み生機器第45号","2023/6/26"
"高度管理医療機器販売業・貸与業","エルビス・エンジニアリング株式会社","東京都港区虎ノ門四丁目1番14号","神谷町プラザビル","03-3436-0311","2港み生機器第98号","2020/11/21"
"高度管理医療機器販売業","ガイストリッヒファーマジャパン株式会社","東京都港区虎ノ門四丁目1番17号","神谷町プライムプレイス9F","03-6432-0855","30港み生機器第215号","2019/2/22"
"高度管理医療機器販売業","ナチュラルローソンクオール薬局　城山トラストタワー店","東京都港区虎ノ門四丁目3番1号","城山トラストタワー1階","03-5776-1789","30港み生機器第94号","2018/10/1"
"高度管理医療機器販売業・貸与業","リ・スタート株式会社","東京都港区虎ノ門四丁目3番1号","城山トラストタワー4階","03-6869-8051","31港み生機器第97号","2019/8/30"
"高度管理医療機器販売業・貸与業","ハートフロー・ジャパン合同会社","東京都港区虎ノ門四丁目3番1号","城山トラストタワー","03-6809-2521","3港み生機器第167号","2021/12/27"
"高度管理医療機器販売業・貸与業","日昭産業株式会社","東京都港区虎ノ門四丁目3番13号","ヒューリック神谷町ビル4階","03-5472-1676","4港み生機器第37号","2022/6/20"
"高度管理医療機器販売業","エステールホールディングス株式会社","東京都港区虎ノ門四丁目3番13号","ヒューリック神谷町ビル","03-5777-5120","3港み生機器第124号","2021/9/28"
"高度管理医療機器販売業・貸与業","クロスウィルメディカル株式会社　虎ノ門営業所","東京都港区虎ノ門五丁目3番14号","日産研会館ビル","03-6402-5520","4港み生機器第237号","2023/1/27"
"高度管理医療機器販売業","バイオメディカ・ヘルスケア株式会社","東京都港区虎ノ門五丁目11番1号","オランダヒルズ森タワー1105号","03-4550-0183","2港み生機器第84号","2020/10/5"
"高度管理医療機器販売業・貸与業","オフィックス株式会社","東京都港区虎ノ門五丁目12番1号","虎ノ門ワイコービル","03-5408-9301","4港み生機器第173号","2022/10/24"
"高度管理医療機器販売業・貸与業","ＰＳＰ株式会社","東京都港区虎ノ門五丁目13番1号",,"03-4346-3180","31港み生機器第69号","2019/7/16"
"高度管理医療機器販売業・貸与業","ラックスクリエーション株式会社","東京都港区西麻布一丁目14番1号","井門西麻布ビル6F","03-5414-3870","2港み生機器第171号","2021/3/29"
"高度管理医療機器販売業・貸与業","メディプレイス３６５訪問薬局","東京都港区西麻布一丁目15番16号","西麻布SDビル202","03-6804-1959","4港み生機器第99号","2022/8/30"
