"施設の名称","所在地","電話番号","FAX番号","メールアドレス","施設（出入口）の利用可能時間","休業日","備考","施設（出入口）表示有無","施設（出入口）タイトル","出入口の段差","出入口のスロープ","施設出入口表示","施設出入口タイトル","出入口の幅（cm）_1","扉の開閉方式","トイレ1（内部）表示有無","トイレ1（内部）タイトル","車椅子対応_1","オストメイト対応_1","手すり_1","おむつ交換台_1","大人用ベッド_1","音声・音響案内_1","トイレ1（周辺）表示有無","トイレ1（周辺）タイトル","視覚障害者用誘導用ブロック_1","出入口の幅（cm）_2","出入口扉の開閉形式_1","内部の幅／奥行（cm）_1","ベビーチェア_1","背もたれ_1","トイレ2（内部）表示有無","トイレ2（内部）タイトル","車椅子対応_2","オストメイト対応_2","手すり_2","おむつ交換台_2","大人用ベッド_2","音声・音響案内_2","トイレ2（周辺）表示有無","トイレ2（周辺）タイトル","視覚障害者用誘導用ブロック_2","出入口の幅（cm）_3","出入口扉の開閉形式_2","内部の幅／奥行（cm）_2","ベビーチェア_2","背もたれ_2","トイレ3（内部）表示有無","トイレ3（内部）タイトル","車椅子対応_3","オストメイト対応_3","手すり_3","おむつ交換台_3","大人用ベッド_3","音声・音響案内_3","トイレ3（周辺）表示有無","トイレ3（周辺）タイトル","視覚障害者用誘導用ブロック_3","出入口の幅（cm）_4","出入口扉の開閉形式_3","内部の幅／奥行（cm）_3","ベビーチェア_3","背もたれ_3","エレベーター表示有無","エレベータータイトル","エレベーター","点字表記","車椅子使用者対応","音声・音響案内_4","出入口の幅（cm）_5","内部の幅／奥行（cm）_4","鏡","手すり_4","視覚障害者誘導用ブロック_1","エスカレーター表示有無","エスカレータータイトル","エスカレーター","音声・音響案内_5","階段・通路表示有無","階段・通路タイトル","階段なし","スロープ","手すり_5","視覚障害者誘導用ブロック_2","障害者用駐車区画表示有無","障害者用駐車区画タイトル","障害者用駐車区画","障害者用駐車区画の台数","一般駐車区画","子ども関連1表示有無","子ども関連1タイトル","授乳スペース","おむつ交換台_4","乳幼児用ベッド","子ども関連2表示有無","子ども関連2タイトル","ベビーカー貸出","キッズスペース","流し台","湯沸かし器","障害特性表示有無","障害特性タイトル","車椅子対応座席・設備","案内表示","音声案内設備","字幕・文字情報提供設備","建物内の視覚障害者誘導用ブロック","筆談対応","休憩用ベンチ","その他表示有無","その他タイトル","AED","経度","緯度","分類"
"東京メトロ丸ノ内線中野富士見町駅","中野区弥生町5-24-4","03-3381-1105","","","始発～終車まで","なし（無休）","","有","","無","無","有","","300","手動（開き戸）","有","","有","有","有","有","無","有","有","","有","100","自動ドア","260/240","有","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","90","140/135","無","有","有","","","無","-","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","有","有","有","有","有","有","","有","139.666252171693","35.6902729360996","公共交通施設"
"南中野区民活動センター","中野区弥生町5-5-2","03-3382-1456","03-3382-1468","minaminakanokukatu@city.tokyo-nakano.lg.jp","①窓口受付 午前8時半から午後5時 ②集会室など 午前9時から午後10時","①窓口受付 土曜日・日曜日・祝日及び振替休日・年末年始（12月29日～1月3日） ②集会室など 毎月第3月曜日（祝日に当たるときは、直後の休日でない日）、年末年始（12月29日～1月3日）※第3月曜日が利用可能な場合もありますので、詳しくはお問い合わせください。","","有","","無","無","有","","143","自動ドア","有","","有","有","有","有","無","無","有","","無","87","手動（引き戸）","200/207","有","有","有","","有","有","有","有","無","無","有","","無","87","手動（引き戸）","200/207","有","有","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","無","80","140/140","有","有","有","","","無","-","有","","有","無","有","有","有","","無","0","有","有","","有","有","無","","","無","無","無","無","有","","無","有","無","無","有","有","有","有","","有","139.666354092968","35.6861567303414","官公庁施設"
"中野区療育センターゆめなりあ","中野区弥生町5-5-2","03-6382-4781","03-6382-4782","yumenaria@inagi-masayume.com","9:00～18：00","日・祝日　12月29日～1月3日","","有","","無","無","有","","156","自動ドア","有","","有","有","有","有","無","無","有","","無","84","手動（引き戸）","178/205","有","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","有","有","","有","1","無","有","","無","有","無","","","無","無","無","無","","","無","有","無","無","無","無","無","有","","有","139.666354092968","35.6861567303414","医療・保健福祉施設"
"中野郵便局（ゆうちょ銀行中野店含む）","中野区中野2-27-1","(郵便局)0570-943-523 (ゆうちょ銀行)0570-034-401","","","郵便局のＨＰにてご確認ください（サービスの内容によって異なります）","（郵便局）年中無休　（ゆうちょ銀行）土・日・祝日","","有","","有","有","有","","140","自動ドア","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","有","有","有","有","","有","1","有","","","無","無","無","","","無","無","無","無","有","","有","無","無","無","有","有","無","","","無","139.666490086933","35.7034084478726","郵便局"
"ささの葉公園","中野区南台4-14","","","","","","","有","","無","無","有","","90","-","有","","有","有","有","有","無","無","有","","有","90","手動（引き戸）","205/261","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.666671004937","35.6830358057289","文化・レクリエーション・レジャー施設"
"中央公園","中野区中央5-42","","","","","","","有","","無","無","有","","170","-","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","210/240","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.666651666638","35.7006293009333","文化・レクリエーション・レジャー施設"
"中野五郵便局","中野区中野5-50-9","03-3385-0637","03-3387-9314","","9:00～17:00","土曜日・日曜日・祝日","","有","","無","有","有","","80","自動ドア","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","","","無","139.666714168027","35.7096639673316","郵便局"
"江古田学童クラブ","中野区江古田2-13-28","03-3385-7955","03-3385-7957","","月曜日～金曜日、授業のある土曜日 下校後～午後7時、授業のない土曜日・学校休業日 午前8時～午後7時","日曜日、祝日、年末年始(12月29日～1月3日)","","有","","有","無","有","","153","手動（引き戸）","有","","無","無","有","無","無","無","有","","無","49","手動（開き戸）","84/126","無","無","有","","無","無","有","無","無","無","有","","無","49","手動（開き戸）","96/114","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","有","","有","139.666767952497","35.7263551353602","教育機関"
"キッズ・プラザ江古田","中野区江古田2-13-28　江古田小学校内","03-3385-7955","03-3385-7957","","月曜日～金曜日、授業のある土曜日：授業終了後～午後６時、授業のない土曜日：午前8時30分～午後6時","日曜日、祝日(こどもの日を除く)、年末年始(12月29日～1月3日)","","有","","有","無","有","","153","手動（引き戸）","有","","無","無","有","無","無","無","有","","無","49","手動（開き戸）","84/126","無","無","有","","無","無","有","無","無","無","有","","無","49","手動（開き戸）","96/114","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","有","","有","139.666767952497","35.7263551353602","教育機関"
"江古田小学校","中野区江古田2-13-28","03-3385-0411","03-3385-0412","nk-egota-es＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","有","有","有","","150","手動（引き戸）","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","無","有","無","有","","有","139.666767952497","35.7263551353602","教育機関"
"弥生公園","中野区弥生町5-4","","","","","","","有","","無","無","有","","270","-","有","","有","有","有","有","無","無","有","","無","100","手動（引き戸）","250/220","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.66685847926","35.6861451202432","文化・レクリエーション・レジャー施設"
"弥生保育園","中野区弥生町5-4-8","03-3381-0213","03-3381-0672","yayoihoikuen@city.tokyo-nakano.lg.jp","7：15～19：15","日曜・祝日・12月29日～1月3日","","有","","無","有","有","","110","手動（引き戸）","有","","有","無","有","無","無","無","有","","無","100","手動（引き戸）","100/170","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","有","","無","-","有","有","","有","有","無","有","","無","無","有","有","有","","無","無","無","無","無","有","無","有","","有","139.666973446886","35.6866430940788","教育機関"
"杉山公園","中野区本町6-15","","","","","","","有","","無","無","有","","90","手動（引き戸）","有","","有","有","有","有","無","無","有","","有","90","手動（引き戸）","232/220","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","有","","無","有","有","","","無","無","無","無","有","","無","有","無","無","有","無","有","有","","無","139.667223084535","35.6968329850046","文化・レクリエーション・レジャー施設"
"桃園区民活動センター","中野区中央4-57-1","03-3382-5151","03-3382-5158","momozonokukatu@city.tokyo-nakano.lg.jp","①窓口受付 午前8時半から午後5時 ②集会室など 午前9時から午後10時","①窓口受付 土曜日・日曜日・祝日及び振替休日・年末年始（12月29日～1月3日） ②集会室など 毎月第3月曜日（祝日に当たるときは、直後の休日でない日）、年末年始（12月29日～1月3日）※第3月曜日が利用可能な場合もありますので、詳しくはお問い合わせください。","貸出し用車椅子：3台","有","","無","有","有","","160","自動ドア","有","","有","有","有","有","無","無","有","","有","90","手動（引き戸）","104/243","有","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","無","90","140/140","有","有","無","","","無","-","有","","有","無","有","有","有","","無","-","有","有","","有","無","無","有","","無","無","有","無","有","","有","無","無","無","有","有","有","有","","有","139.667329481414","35.7022895848969","官公庁施設"
"新井薬師公園（寺側）","中野区新井5-4","","","","","","","有","","有","有","有","","160","-","有","","有","有","有","有","無","無","有","","有","90","手動（引き戸）","200/210","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","有","有","有","","","無","-","無","有","","無","有","有","","","無","無","無","無","有","","無","有","無","無","有","無","有","有","","無","139.667382091506","35.7145378174403","文化・レクリエーション・レジャー施設"
"しんやまの家","中野区南台4-25-1","03-3229-8175","03-3229-8175","","月曜日～金曜日 午前9時～午後5時","土曜日、日曜日、祝日、年末年始（12月29日～1月3日）","","有","","有","有","有","","85","自動ドア","有","","有","無","有","無","無","無","有","","無","80","手動（引き戸）","190/197","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","有","有","無","有","","有","139.667490433737","35.6807852185211","医療・保健福祉施設"
"中野新井郵便局","中野区新井1-31-9","03-3385-9742","03-3385-9148","","9：00～17：00","土・日・祝","道路と敷地の間に、段差あり(段差スロープ設置済)","有","","無","無","有","","78","自動ドア","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","","","無","139.667468246988","35.7126942839005","郵便局"
"新井学童クラブ","中野区新井5-4-17　新井薬師児童館内","03-3389-5438","03-3389-5439","","小学校放課後～午後7時","日、祝祭日","","有","","無","無","有","","72","手動（引き戸）","有","","有","有","有","有","無","無","有","","無","900","手動（引き戸）","1200/2000","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","有","","有","無","無","有","","無","有","無","無","有","","無","無","無","無","有","無","有","有","","有","139.667807277051","35.7152370425798","教育機関"
"新井薬師児童館","中野区新井5-4-17","03-3389-5438","03-3389-5439","araiyakusisjidoukan@city.tokyo-nakano.lg.jp","午前10時～午後6時（火～金）　午前9時～午後5時（土）","日、月、祝祭日、年末年始","","有","","無","無","有","","100","手動（引き戸）","有","","有","有","有","有","無","無","有","","無","900","手動（引き戸）","1200/2000","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","有","","有","有","無","有","","無","有","無","無","有","","無","無","無","無","有","無","有","有","","有","139.667807277051","35.7152370425798","教育機関"
"あじさい公園","中野区中野5-34","","","","","","","有","","無","無","有","","140","-","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","140/200","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.667842683562","35.7073023786256","文化・レクリエーション・レジャー施設"
"中野江古田三郵便局","中野区江古田3-10-1","03-3385-9842","03-3387-9434","","9：00～17：00（ATMは9：00～18：00）","土・日・祝日（ATMは無休　9：00～18：00）","","有","","有","無","有","","75","自動ドア","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","有","無","","","無","139.667871946993","35.726232247556","郵便局"
"鍋横区民活動センター","中野区本町5-47-13","03-3383-2731","03-3383-2730","nabeyokokukatu@city.tokyo-nakano.lg.jp","①窓口受付 午前8時半から午後5時 ②集会室など 午前9時から午後10時","①窓口受付 土曜日・日曜日・祝日及び振替休日・年末年始（12月29日～1月3日） ②集会室など 毎月第3月曜日（祝日に当たるときは、直後の休日でない日）、年末年始（12月29日～1月3日）※第3月曜日が利用可能な場合もありますので、詳しくはお問い合わせください。","貸出し用車椅子：５台","有","","無","無","有","","130","自動ドア","有","","有","無","有","有","無","無","有","","無","85","自動ドア","190/200","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","無","有","90","140/140","有","有","有","","","無","-","有","","有","無","有","有","有","","無","-","有","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","有","有","有","有","","有","139.66803627345","35.6936428657689","官公庁施設"
"鍋横保育園","中野区本町5-47-13","03-3384-4565","03-3384-4508","nabeyokohoikuen@city.tokyo-nakano.lg.jp","7：15～19：15","日曜・祝日・12月29日～1月3日","","有","","有","有","有","","71","手動（開き戸）","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","有","","有","無","有","","","無","無","無","無","有","","無","有","無","無","無","有","有","有","","有","139.66803627345","35.6936428657689","教育機関"
"第七中学校","中野区江古田2-9-11","03-3389-4171","03-3389-4172","nk-7-jhs＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","有","有","有","","150","手動（引き戸）","有","","有","有","有","有","無","無","有","","無","90","手動（開き戸）","150/90","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","無","有","無","有","","有","139.668060211094","35.7247158258565","教育機関"
"産業振興センター","中野区中野2-13-14","03-3380-6946","","","8:30～21:30","毎月第３月曜日（ただし、第３月曜日が祝日の場合はその翌営業日）、12月29日～1月3日、臨時休館日（年２回程度）","","有","","無","無","有","","142","自動ドア","有","","有","無","有","無","無","無","有","","無","98","自動ドア","210/180","無","無","有","","有","無","有","無","無","無","有","","無","98","自動ドア","245/180","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","90","160/145","有","有","有","","","無","-","有","","有","有","有","有","","","無","-","無","有","","無","有","有","有","","無","有","有","有","有","","無","無","無","無","無","有","有","有","","有","139.668106986098","35.7043948148172","その他公共施設"
"南台小学校","中野区南台4-4-1","03-3381-7257","03-3381-7258","nk-minamidai-es＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","有","有","有","","85","手動（引き戸）","有","","有","無","有","無","無","無","有","","無","100","扉はない","150/180","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","有","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","無","有","無","有","","有","139.668317365913","35.681856917551","教育機関"
"新山学童クラブ","中野区南台4-4-1","03-3384-2295","03-3384-2309","","平日・授業のある土曜　下校後～19時、学校休業日　8時～19時","日曜日、休日、年末年始","","有","","有","無","有","","75","手動（引き戸）","有","","有","有","有","無","無","無","有","","無","90","手動（引き戸）","１８２／２００","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","有","","有","139.668317365913","35.681856917551","教育機関"
"キッズ・プラザ新山","中野区南台4-4-1","03-3384-2295","03-3384-2309","","授業のある日 下校後～18時、土・学校休業日　8時30分～18時","日曜日、祝日（５月５日は除く）、年末年始","","有","","有","無","有","","75","手動（引き戸）","有","","有","有","有","無","無","無","有","","無","90","手動（引き戸）","182/200","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","無","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","有","","有","139.668317365913","35.681856917551","教育機関"
"新井東公園","中野区新井1-19","","","","","","","有","","無","無","有","","110","-","有","","有","有","有","有","無","無","有","","有","90","手動（引き戸）","201/227","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.668294363399","35.7116309207817","文化・レクリエーション・レジャー施設"
"キッズ・プラザ令和","中野区新井4-19-26","03-5380-5515","03-5380-5516","","小学校放課後～午後7時","日祝祭日、年末年始（こどもの日を除く）","","有","","無","有","有","","70","手動（引き戸）","有","","有","有","有","無","無","無","有","","無","90","手動（引き戸）","210/230","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","有","","-","-","-","-","-","無","有","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","有","","有","139.668390557529","35.7175254677309","教育機関"
"令和学童クラブ","中野区新井4-19-26","03-5380-5515","03-5380-5516","","小学校放課後～午後7時","日祝祭日、年末年始","","有","","無","有","有","","70","手動（引き戸）","有","","有","有","有","無","無","無","有","","無","90","手動（引き戸）","210/230","有","無","有","","-","-","-","-","-","-","有","","-","-","-","","有","","有","","-","-","-","-","-","無","有","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","有","","有","139.668390557529","35.7175254677309","教育機関"
"令和小学校","中野区新井4-19-26","03-3389-1461","03-3389-1462","nk-reiwa-es＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","無","有","有","","200","手動（引き戸）","有","","有","有","有","有","無","無","有","","無","85","手動（引き戸）","200/210","有","無","有","","有","有","有","無","無","無","有","","有","90","手動（引き戸）","200/210","有","無","有","","有","無","有","無","無","無","有","","有","85","手動（引き戸）","250/250","無","無","有","","有","有","有","有","85","140/135","有","有","有","","","無","-","有","","有","無","有","有","有","","有","1","無","","","無","無","無","","","無","無","無","無","有","","有","有","無","無","無","有","有","有","","有","139.668390557529","35.7175254677309","教育機関"
"南中野地域事務所","中野区弥生町5-11-26","03-3382-1457","","","午前8時30分～午後5時","土曜日、日曜日、祝日及び振替休日、年末年始(12月29日～1月3日)","","有","","無","有","有","","160","自動ドア","有","","有","有","有","有","無","無","有","","無","100","手動（引き戸）","235/210","有","有","有","","有","有","有","有","有","無","有","","無","105","手動（引き戸）","300/305","無","有","有","","有","無","有","有","無","無","有","","無","100","手動（引き戸）","240/210","有","無","有","","有","有","有","有","90","160/150","有","有","有","","","無","無","有","","有","有","有","有","有","","有","2","有","有","","有","有","有","有","","有","有","有","有","有","","有","有","無","無","有","有","有","有","","有","139.668504510312","35.6881107400327","官公庁施設"
"南部スポーツ・コミュニティプラザ（みなみらいず）","中野区弥生町5-11-26","03-5340-7881","03-5340-7882","nanbu@tac-sports.co.jp","9:30-23:00","毎月第1,3月曜日(祝日の場合は翌日)","","有","","有","有","有","","160","自動ドア","有","","有","無","有","有","無","無","有","","無","90","手動（引き戸）","175/255","有","無","有","","有","無","有","有","無","無","有","","無","90","手動（引き戸）","280/240","有","無","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","240/160","無","無","有","","有","有","有","無","90","160/160","有","有","無","","","無","-","有","","有","無","有","有","有","","有","2","有","","","無","無","無","","","無","無","無","無","有","","無","有","無","有","有","有","有","有","","有","139.668504510312","35.6881107400327","文化・レクリエーション・レジャー施設"
"南部すこやか福祉センター（みなみらいず）","中野区弥生町5-11-26","03-3382-1750","03-3382-1766","nanbusukoyaka@city.tokyo-nakano.lg.jp","月曜日～土曜日 午前8時30分～午後5時","日曜日、祝日、年末年始（12月29日～1月3日）","","有","","無","有","有","","160","自動ドア","有","","有","有","有","有","無","無","有","","無","100","手動（引き戸）","235/210","有","有","有","","有","有","有","有","有","無","有","","無","105","手動（引き戸）","300/305","無","有","有","","有","無","有","有","無","無","有","","無","100","手動（引き戸）","240/210","有","無","有","","有","有","有","有","90","160/150","有","有","有","","","無","無","有","","有","有","有","有","有","","有","2","有","有","","有","有","有","有","","無","有","有","有","有","","有","有","無","無","有","有","有","有","","有","139.668504510312","35.6881107400327","その他公共施設"
"南中野地域包括支援センター","中野区弥生町5-11-26","03-5340-7885","03-5340-7886","","8:30～17:00","日・祝日・年末年始","","有","","無","有","有","","160","自動ドア","有","","有","有","有","有","無","無","有","","無","100","手動（引き戸）","235/210","有","有","有","","有","有","有","有","有","無","有","","無","105","手動（引き戸）","300/305","無","有","有","","有","無","有","有","無","無","有","","無","100","手動（引き戸）","240/210","有","無","有","","有","有","有","有","90","160/150","有","有","有","","","無","無","有","","有","有","有","有","有","","有","2","有","有","","有","有","有","有","","有","有","有","有","有","","有","有","無","無","有","有","有","有","","有","139.668504510312","35.6881107400327","医療・保健福祉施設"
"追分公園","中野区中央4-7","","","","","","","有","","無","無","有","","115","-","有","","有","有","有","有","無","無","有","","有","90","手動（引き戸）","240/220","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","有","","無","有","有","","","無","無","無","無","有","","無","有","無","無","有","無","有","有","","無","139.668619095278","35.6979837687166","文化・レクリエーション・レジャー施設"
"沼袋公園","中野区沼袋1-19","","","","","","","有","","有","有","有","","120","-","有","","有","無","有","無","無","無","有","","有","90","手動（引き戸）","210/240","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","無","有","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.668844861738","35.7202185334017","文化・レクリエーション・レジャー施設"
"江古田図書館","中野区江古田2-1-11","03-3319-9301","03-3319-9302","toshokan@nakano-library.jp","9:00～20：00","第2月曜・最終金曜","授乳室は専用スペースではありませんが、申出に応じて、会議室を開けて対応しています。","有","","無","無","有","","115","自動ドア","有","","有","無","有","無","無","無","有","","無","90","自動ドア","195×205","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","80","105×115","有","有","有","","","無","-","有","","有","無","有","有","","","無","-","無","有","","有","無","無","","","無","無","無","無","有","","無","無","無","無","有","有","無","有","","有","139.669057981056","35.7249025778465","文化・レクリエーション・レジャー施設"
"東京メトロ丸ノ内線新中野駅","中野区中央4-2-15","03-3381-1202","","","始発～終車まで","なし（無休）","","有","","有","無","有","","300","自動ドア","有","","有","有","有","有","無","有","有","","有","100","自動ドア","220/270","有","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","100","140/135","有","有","有","","","無","-","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","有","有","有","有","有","有","","有","139.669126457759","35.6974945459287","公共交通施設"
"本五ふれあい公園","中野区本町5-28","","","","","","","有","","無","無","有","","120","-","有","","有","有","有","有","無","無","有","","有","90","手動（引き戸）","235/213","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.669174422278","35.6917216398065","文化・レクリエーション・レジャー施設"
