90 ,高速９号深川線,塩浜入口～枝川出口,6080 ,      －,      －,      －,      －,      －,      －,      －,"22,838 ","4,518 ","27,356 ",16.5 ,"2,516 ",9.2 ,1.39 ,0.48 ,6060 ,"32,949 ",0.83 ,78.3 ,76.5 ,10月中,－,首都高速,90 ,高速９号深川線,6080 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"31,089 ","7,016 ","38,105 ",18.4 ,,,,,,"48,297 ",0.79 ,,,,,,,,,
90 ,高速９号深川線,枝川出口～辰巳JCT,6090 ,      －,      －,      －,      －,      －,      －,      －,"24,740 ","5,188 ","29,928 ",17.3 ,"2,771 ",9.3 ,1.39 ,0.57 ,6070 ,"35,959 ",0.83 ,78.0 ,77.2 ,10月中,－,首都高速,90 ,高速９号深川線,6090 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"33,477 ","8,183 ","41,660 ",19.6 ,,,,,,"52,473 ",0.79 ,,,,,,,,,
100 ,高速１１号台場線,芝浦JCT～台場出入口,6100 ,      －,      －,      －,      －,      －,      －,      －,"32,803 ","4,586 ","37,389 ",12.3 ,"3,443 ",9.2 ,1.39 ,0.66 ,6080 ,"39,607 ",0.94 ,38.0 ,67.8 ,10月中,－,首都高速,100 ,高速１１号台場線,6100 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"44,239 ","7,903 ","52,142 ",15.2 ,,,,,,"57,887 ",0.90 ,,,,,,,,,
100 ,高速１１号台場線,台場出入口～有明JCT,6110 ,      －,      －,      －,      －,      －,      －,      －,"26,567 ","3,237 ","29,804 ",10.9 ,"2,893 ",9.7 ,1.41 ,0.60 ,6090 ,"31,342 ",0.95 ,81.4 ,76.2 ,10月中,－,首都高速,100 ,高速１１号台場線,6110 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"36,241 ","5,900 ","42,141 ",14.0 ,,,,,,"45,964 ",0.92 ,,,,,,,,,
120 ,高速中央環状線,大井JCT～五反田出入口,6120 ,      －,      －,      －,      －,      －,      －,      －,"27,156 ","8,041 ","35,197 ",22.8 ,"3,136 ",8.9 ,1.50 ,0.60 ,6320 ,"31,644 ",1.11 ,66.6 ,76.4 ,10月中,－,首都高速,120 ,高速中央環状線,6120 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"38,125 ","14,656 ","52,781 ",27.8 ,,,,,,"49,976 ",1.06 ,,,,,,,,,
120 ,高速中央環状線,五反田出入口～大橋JCT,6130 ,      －,      －,      －,      －,      －,      －,      －,"35,921 ","9,370 ","45,291 ",20.7 ,"4,060 ",9.0 ,1.48 ,0.79 ,6330 ,"39,730 ",1.14 ,62.4 ,35.2 ,10月中,－,首都高速,120 ,高速中央環状線,6130 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"50,271 ","16,944 ","67,215 ",25.2 ,,,,,,"61,499 ",1.09 ,,,,,,,,,
120 ,高速中央環状線,大橋JCT～富ヶ谷出入口,6140 ,      －,      －,      －,      －,      －,      －,      －,"43,369 ","10,718 ","54,087 ",19.8 ,"4,893 ",9.0 ,1.51 ,0.90 ,6100 ,"50,067 ",1.08 ,20.6 ,16.3 ,10月中,－,首都高速,120 ,高速中央環状線,6140 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"61,496 ","20,130 ","81,626 ",24.7 ,,,,,,"79,070 ",1.03 ,,,,,,,,,
120 ,高速中央環状線,富ヶ谷出入口～初台南出入口,6150 ,      －,      －,      －,      －,      －,      －,      －,"48,441 ","11,893 ","60,334 ",19.7 ,"5,396 ",8.9 ,1.50 ,0.90 ,6110 ,"55,390 ",1.09 ,26.5 ,14.0 ,10月中,－,首都高速,120 ,高速中央環状線,6150 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"68,235 ","22,131 ","90,366 ",24.5 ,,,,,,"86,983 ",1.04 ,,,,,,,,,
120 ,高速中央環状線,初台南出入口～西新宿JCT,6160 ,      －,      －,      －,      －,      －,      －,      －,"41,128 ","10,206 ","51,334 ",19.9 ,"4,652 ",9.1 ,1.51 ,0.79 ,6120 ,"49,162 ",1.04 ,31.5 ,17.7 ,10月中,－,首都高速,120 ,高速中央環状線,6160 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"58,440 ","19,075 ","77,515 ",24.6 ,,,,,,"78,578 ",0.99 ,,,,,,,,,
120 ,高速中央環状線,西新宿JCT～中野長者橋出入口,6170 ,      －,      －,      －,      －,      －,      －,      －,"43,001 ","7,958 ","50,959 ",15.6 ,"4,703 ",9.2 ,1.52 ,0.79 ,6130 ,"49,761 ",1.02 ,37.6 ,15.3 ,10月中,－,首都高速,120 ,高速中央環状線,6170 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"62,126 ","15,442 ","77,568 ",19.9 ,,,,,,"79,718 ",0.97 ,,,,,,,,,
120 ,高速中央環状線,中野長者橋出入口～西池袋出入口,6180 ,      －,      －,      －,      －,      －,      －,      －,"48,429 ","8,822 ","57,251 ",15.4 ,"5,226 ",9.1 ,1.52 ,0.87 ,6140 ,"56,399 ",1.02 ,21.2 ,17.0 ,10月中,－,首都高速,120 ,高速中央環状線,6180 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"70,092 ","16,647 ","86,739 ",19.2 ,,,,,,"90,459 ",0.96 ,,,,,,,,,
120 ,高速中央環状線,西池袋出入口～高松入口,6190 ,      －,      －,      －,      －,      －,      －,      －,"45,317 ","8,185 ","53,502 ",15.3 ,"4,884 ",9.1 ,1.53 ,0.85 ,6150 ,"52,438 ",1.02 ,19.3 ,14.0 ,10月中,－,首都高速,120 ,高速中央環状線,6190 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"66,164 ","15,596 ","81,760 ",19.1 ,,,,,,"84,691 ",0.97 ,,,,,,,,,
120 ,高速中央環状線,高松入口～熊野町JCT,6200 ,      －,      －,      －,      －,      －,      －,      －,"48,058 ","9,406 ","57,464 ",16.4 ,"5,313 ",9.2 ,1.52 ,0.89 ,6160 ,"54,111 ",1.06 ,25.1 ,15.3 ,10月中,－,首都高速,120 ,高速中央環状線,6200 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"69,384 ","17,928 ","87,312 ",20.5 ,,,,,,"87,007 ",1.00 ,,,,,,,,,
120 ,高速中央環状線,板橋JCT～滝野川入口,6210 ,      －,      －,      －,      －,      －,      －,      －,"49,076 ","11,537 ","60,613 ",19.0 ,"5,431 ",9.0 ,1.41 ,0.91 ,6170 ,"44,256 ",1.37 ,37.8 ,46.2 ,10月中,－,首都高速,120 ,高速中央環状線,6210 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"66,433 ","19,103 ","85,536 ",22.3 ,,,,,,"69,328 ",1.23 ,,,,,,,,,
120 ,高速中央環状線,滝野川入口～新板橋出口,6220 ,      －,      －,      －,      －,      －,      －,      －,"46,490 ","10,977 ","57,467 ",19.1 ,"5,223 ",9.1 ,1.42 ,0.85 ,6180 ,"42,528 ",1.35 ,49.4 ,48.3 ,10月中,－,首都高速,120 ,高速中央環状線,6220 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"63,243 ","18,278 ","81,521 ",22.4 ,,,,,,"67,060 ",1.22 ,,,,,,,,,
120 ,高速中央環状線,新板橋出口～王子南出入口,6230 ,      －,      －,      －,      －,      －,      －,      －,"46,773 ","9,063 ","55,836 ",16.2 ,"5,155 ",9.2 ,1.42 ,0.79 ,6190 ,"43,890 ",1.27 ,52.0 ,49.5 ,10月中,－,首都高速,120 ,高速中央環状線,6230 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"63,554 ","15,515 ","79,069 ",19.6 ,,,,,,"69,924 ",1.13 ,,,,,,,,,
120 ,高速中央環状線,王子南出入口～王子北出入口,6240 ,      －,      －,      －,      －,      －,      －,      －,"42,926 ","7,458 ","50,384 ",14.8 ,"4,536 ",9.0 ,1.42 ,0.72 ,6200 ,"41,842 ",1.20 ,26.7 ,31.4 ,10月中,－,首都高速,120 ,高速中央環状線,6240 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"58,616 ","13,077 ","71,693 ",18.2 ,,,,,,"66,711 ",1.07 ,,,,,,,,,
120 ,高速中央環状線,王子北出入口～江北JCT,6250 ,      －,      －,      －,      －,      －,      －,      －,"47,910 ","8,135 ","56,045 ",14.5 ,"5,028 ",9.0 ,1.42 ,0.80 ,6210 ,"46,084 ",1.22 ,39.0 ,36.1 ,10月中,－,首都高速,120 ,高速中央環状線,6250 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"65,342 ","14,099 ","79,441 ",17.7 ,,,,,,"72,556 ",1.09 ,,,,,,,,,
120 ,高速中央環状線,江北JCT～扇大橋出入口,6260 ,      －,      －,      －,      －,      －,      －,      －,"47,915 ","12,759 ","60,674 ",21.0 ,"5,520 ",9.1 ,1.42 ,0.92 ,6220 ,"52,983 ",1.15 ,38.5 ,48.2 ,10月中,－,首都高速,120 ,高速中央環状線,6260 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"65,080 ","20,870 ","85,950 ",24.3 ,,,,,,"79,198 ",1.09 ,,,,,,,,,
120 ,高速中央環状線,扇大橋出入口～千住新橋出入口,6270 ,      －,      －,      －,      －,      －,      －,      －,"48,014 ","13,739 ","61,753 ",22.2 ,"5,508 ",8.9 ,1.42 ,0.94 ,6230 ,"63,523 ",0.97 ,34.7 ,51.6 ,10月中,－,首都高速,120 ,高速中央環状線,6270 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"65,536 ","22,203 ","87,739 ",25.3 ,,,,,,"96,189 ",0.91 ,,,,,,,,,
120 ,高速中央環状線,千住新橋出入口～小菅JCT,6280 ,      －,      －,      －,      －,      －,      －,      －,"47,122 ","13,551 ","60,673 ",22.3 ,"5,369 ",8.8 ,1.43 ,0.95 ,6240 ,"62,060 ",0.98 ,29.0 ,49.7 ,10月中,－,首都高速,120 ,高速中央環状線,6280 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"64,592 ","21,869 ","86,461 ",25.3 ,,,,,,"94,170 ",0.92 ,,,,,,,,,
120 ,高速中央環状線,小菅JCT～小菅出入口,6290 ,      －,      －,      －,      －,      －,      －,      －,"66,939 ","24,822 ","91,761 ",27.1 ,"8,047 ",8.8 ,1.48 ,0.71 ,6250 ,"101,555 ",0.90 ,24.6 ,43.8 ,10月中,－,首都高速,120 ,高速中央環状線,6290 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"94,614 ","40,816 ","135,430 ",30.1 ,,,,,,"157,967 ",0.86 ,,,,,,,,,
120 ,高速中央環状線,小菅出入口～堀切JCT,6300 ,      －,      －,      －,      －,      －,      －,      －,"68,863 ","25,590 ","94,453 ",27.1 ,"8,405 ",8.9 ,1.48 ,0.76 ,6260 ,"102,673 ",0.92 ,22.5 ,51.8 ,10月中,－,首都高速,120 ,高速中央環状線,6300 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"97,349 ","41,991 ","139,340 ",30.1 ,,,,,,"157,591 ",0.88 ,,,,,,,,,
120 ,高速中央環状線,堀切JCT～四つ木出入口,6310 ,      －,      －,      －,      －,      －,      －,      －,"38,186 ","16,686 ","54,872 ",30.4 ,"5,320 ",9.7 ,1.46 ,0.95 ,6270 ,"70,514 ",0.78 ,20.9 ,54.5 ,10月中,－,首都高速,120 ,高速中央環状線,6310 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"53,582 ","26,652 ","80,234 ",33.2 ,,,,,,"107,289 ",0.75 ,,,,,,,,,
120 ,高速中央環状線,四つ木出入口～平井大橋出入口,6320 ,      －,      －,      －,      －,      －,      －,      －,"34,996 ","18,564 ","53,560 ",34.7 ,"5,089 ",9.5 ,1.46 ,0.94 ,6280 ,"57,065 ",0.94 ,22.7 ,56.2 ,10月中,－,首都高速,120 ,高速中央環状線,6320 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"48,892 ","29,434 ","78,326 ",37.6 ,,,,,,"88,139 ",0.89 ,,,,,,,,,
120 ,高速中央環状線,平井大橋出入口～船堀橋出入口,6330 ,      －,      －,      －,      －,      －,      －,      －,"30,453 ","17,354 ","47,807 ",36.3 ,"4,600 ",9.6 ,1.47 ,0.89 ,6290 ,"50,811 ",0.94 ,22.2 ,67.9 ,10月中,－,首都高速,120 ,高速中央環状線,6330 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"42,728 ","27,778 ","70,506 ",39.4 ,,,,,,"79,262 ",0.89 ,,,,,,,,,
120 ,高速中央環状線,船堀橋出入口～清新町出入口,6340 ,      －,      －,      －,      －,      －,      －,      －,"25,829 ","15,814 ","41,643 ",38.0 ,"3,932 ",9.4 ,1.47 ,0.90 ,6300 ,"55,800 ",0.75 ,56.2 ,66.4 ,10月中,－,首都高速,120 ,高速中央環状線,6340 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"35,659 ","25,597 ","61,256 ",41.8 ,,,,,,"85,031 ",0.72 ,,,,,,,,,
120 ,高速中央環状線,清新町出入口～葛西JCT,6350 ,      －,      －,      －,      －,      －,      －,      －,"23,383 ","14,630 ","38,013 ",38.5 ,"3,694 ",9.7 ,1.47 ,0.86 ,6310 ,"51,897 ",0.73 ,75.5 ,54.5 ,10月中,－,首都高速,120 ,高速中央環状線,6350 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"32,280 ","23,732 ","56,012 ",42.4 ,,,,,,"79,024 ",0.71 ,,,,,,,,,
130 ,高速川口線,江北JCT～鹿浜橋出入口,6360 ,      －,      －,      －,      －,      －,      －,      －,"49,830 ","14,543 ","64,373 ",22.6 ,"5,700 ",8.9 ,1.44 ,0.95 ,6340 ,"67,914 ",0.95 ,34.2 ,62.2 ,10月中,－,首都高速,130 ,高速川口線,6360 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"68,155 ","24,378 ","92,533 ",26.3 ,,,,,,"103,757 ",0.89 ,,,,,,,,,
130 ,高速川口線,鹿浜橋出入口～都県境,6370 ,      －,      －,      －,      －,      －,      －,      －,"45,679 ","13,481 ","59,160 ",22.8 ,"5,249 ",8.9 ,1.44 ,0.89 ,6350 ,"64,272 ",0.92 ,26.3 ,66.0 ,10月中,－,首都高速,130 ,高速川口線,6370 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"62,552 ","22,624 ","85,176 ",26.6 ,,,,,,"98,399 ",0.87 ,,,,,,,,,
130 ,高速川口線,都県境～足立入谷出入口,6380 ,      －,      －,      －,      －,      －,      －,      －,"41,802 ","11,698 ","53,500 ",21.9 ,"4,920 ",9.2 ,1.44 ,0.85 ,6360 ,"60,425 ",0.89 ,17.8 ,74.3 ,10月中,－,首都高速,130 ,高速川口線,6380 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"57,619 ","19,507 ","77,126 ",25.3 ,,,,,,"91,978 ",0.84 ,,,,,,,,,
130 ,高速川口線,足立入谷出入口～都県境,6390 ,      －,      －,      －,      －,      －,      －,      －,"42,877 ","13,602 ","56,479 ",24.1 ,"5,171 ",9.2 ,1.44 ,0.90 ,6370 ,"62,014 ",0.91 ,16.1 ,67.0 ,10月中,－,首都高速,130 ,高速川口線,6390 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"59,008 ","22,498 ","81,506 ",27.6 ,,,,,,"94,351 ",0.86 ,,,,,,,,,
150 ,高速１０号晴海線,東雲JCT・有明出入口～豊洲出入口,6400 ,      －,      －,      －,      －,      －,      －,      －,"6,643 ","1,232 ","7,875 ",15.6 ,753 ,9.6 ,1.44 ,0.55 ,6380 ,"7,085 ",1.11 ,68.1 ,65.7 ,10月中,－,首都高速,150 ,高速１０号晴海線,6400 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"9,141 ","2,201 ","11,342 ",19.4 ,,,,,,"10,189 ",1.11 ,,,,,,,,,
150 ,高速１０号晴海線,豊洲出入口～晴海出入口,6410 ,      －,      －,      －,      －,      －,      －,      －,"2,937 ",420 ,"3,357 ",12.5 ,351 ,10.5 ,1.30 ,0.27 ,      －,      －,      －,59.5 ,65.6 ,10月中,－,首都高速,150 ,高速１０号晴海線,6410 ,1
,,,,      －,      －,      －,      －,      －,      －,      －,"3,843 ",531 ,"4,374 ",12.1 ,,,,,,      －,      －,,,,,,,,,
1 ,一般国道１号,千代田区丸の内1－8,10010 ,      －,      －,      －,      －,      －,      －,      －,"16,019 ","2,131 ","18,150 ",11.7 ,"1,667 ",9.2 ,1.42 ,0.51 ,10010 ,"21,571 ",0.84 ,12.8 ,11.9 ,9月28日(火),曇,国土交通省,1 ,一般国道１号,10010 ,2
1 ,一般国道１号,千代田区丸の内２丁目３?１ ,10020 ,      －,      －,      －,      －,      －,      －,      －,"20,407 ","2,605 ","23,012 ",11.3 ,"2,079 ",9.0 ,1.41 ,0.53 ,10020 ,"31,315 ",0.73 ,17.2 ,20.7 ,9月28日(火),曇,国土交通省,1 ,一般国道１号,10020 ,
1 ,一般国道１号,千代田区日比谷公園１,10030 ,      －,      －,      －,      －,      －,      －,      －,"33,369 ","4,741 ","38,110 ",12.4 ,"3,450 ",9.1 ,1.41 ,0.42 ,10030 ,"60,268 ",0.63 ,17.8 ,27.2 ,9月28日(火),曇,国土交通省,1 ,一般国道１号,10030 ,3
1 ,一般国道１号,千代田区霞ヶ関1－3,10040 ,      －,      －,      －,      －,      －,      －,      －,"10,506 ","1,030 ","11,536 ",8.9 ,"1,155 ",10.0 ,1.34 ,0.39 ,10040 ,"17,814 ",0.65 ,13.1 ,19.8 ,9月16日(木),晴,国土交通省,1 ,一般国道１号,10040 ,
1 ,一般国道１号,大田区西馬込2-30,10090 ,      －,      －,      －,      －,      －,      －,      －,"26,092 ","3,266 ","29,358 ",11.1 ,"2,692 ",9.2 ,1.36 ,0.87 ,10080 ,"30,981 ",0.95 ,24.0 ,20.1 ,10月中,－,国土交通省,1 ,一般国道１号,10090 ,4
,,,,      －,      －,      －,      －,      －,      －,      －,"35,538 ","4,440 ","39,978 ",11.1 ,,,,,,"43,201 ",0.93 ,,,,,,,,,
4 ,一般国道４号,中央区日本橋本町４丁目１,11010 ,      －,      －,      －,      －,      －,      －,      －,"10,216 ",851 ,"11,067 ",7.7 ,"1,072 ",9.7 ,1.47 ,0.62 ,11010 ,"22,427 ",0.49 ,13.3 ,13.9 ,10月6日(水),晴,国土交通省,4 ,一般国道４号,11010 ,
4 ,一般国道４号,台東区下谷3-20,11050 ,      －,      －,      －,      －,      －,      －,      －,"24,569 ","4,636 ","29,205 ",15.9 ,"2,734 ",9.4 ,1.54 ,1.14 ,11050 ,"27,578 ",1.06 ,13.8 ,8.0 ,9月14日(火),曇,国土交通省,4 ,一般国道４号,11050 ,
4 ,一般国道４号,足立区中央本町1-1,11080 ,      －,      －,      －,      －,      －,      －,      －,"25,523 ","4,603 ","30,126 ",15.3 ,"2,683 ",8.9 ,1.50 ,1.20 ,11080 ,"31,060 ",0.97 ,20.0 ,11.5 ,10月中,－,国土交通省,4 ,一般国道４号,11080 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"37,628 ","7,536 ","45,164 ",16.7 ,,,,,,"47,438 ",0.95 ,,,,,,,,,
4 ,一般国道４号,足立区平野2-1,11090 ,      －,      －,      －,      －,      －,      －,      －,"25,331 ","4,702 ","30,033 ",15.7 ,"2,679 ",8.9 ,1.52 ,1.00 ,11090 ,"32,293 ",0.93 ,11.6 ,18.5 ,10月中,－,国土交通省,4 ,一般国道４号,11090 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"37,731 ","7,903 ","45,634 ",17.3 ,,,,,,"49,878 ",0.91 ,,,,,,,,,
6 ,一般国道６号,中央区日本橋本町４?１５,12010 ,      －,      －,      －,      －,      －,      －,      －,"14,536 ","1,389 ","15,925 ",8.7 ,"1,523 ",9.6 ,1.50 ,1.21 ,12010 ,"18,899 ",0.84 ,18.0 ,13.3 ,11月18日(木),曇,国土交通省,6 ,一般国道６号,12010 ,
6 ,一般国道６号,墨田区東向島6-22,12040 ,      －,      －,      －,      －,      －,      －,      －,"22,448 ","2,877 ","25,325 ",11.4 ,"2,310 ",9.1 ,1.50 ,1.13 ,12040 ,"26,271 ",0.96 ,14.6 ,23.3 ,10月中,－,国土交通省,6 ,一般国道６号,12040 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"33,449 ","4,615 ","38,064 ",12.1 ,,,,,,"39,902 ",0.95 ,,,,,,,,,5
6 ,一般国道６号,葛飾区四つ木１丁目７,12050 ,      －,      －,      －,      －,      －,      －,      －,"20,453 ","2,556 ","23,009 ",11.1 ,"2,051 ",8.9 ,1.50 ,0.98 ,12050 ,"23,446 ",0.98 ,15.2 ,19.7 ,9月中,－,国土交通省,6 ,一般国道６号,12050 ,
6 ,一般国道６号,葛飾区新宿3-7,12060 ,      －,      －,      －,      －,      －,      －,      －,"25,948 ","5,134 ","31,082 ",16.5 ,"2,805 ",9.0 ,1.57 ,1.16 ,12060 ,"35,146 ",0.88 ,9.7 ,21.8 ,10月中,－,国土交通省,6 ,一般国道６号,12060 ,6
,,,,      －,      －,      －,      －,      －,      －,      －,"40,373 ","8,421 ","48,794 ",17.3 ,,,,,,"56,657 ",0.86 ,,,,,,,,,
6 ,一般国道６号,葛飾区金町３丁目３２,12070 ,      －,      －,      －,      －,      －,      －,      －,"20,351 ","4,329 ","24,680 ",17.5 ,"2,332 ",9.4 ,1.57 ,1.03 ,12070 ,"25,011 ",0.99 ,8.0 ,57.2 ,9月14日(火),曇,国土交通省,6 ,一般国道６号,12070 ,7
14 ,一般国道１４号（京葉道路）,江東区亀戸6-41,13030 ,      －,      －,      －,      －,      －,      －,      －,"21,191 ","3,956 ","25,147 ",15.7 ,"2,217 ",8.8 ,1.44 ,0.86 ,13030 ,"29,976 ",0.84 ,15.6 ,17.6 ,10月中,－,国土交通省,14 ,一般国道１４号（京葉道路）,13030 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"30,707 ","5,483 ","36,190 ",15.2 ,,,,,,"44,561 ",0.81 ,,,,,,,,,
14 ,一般国道１４号（京葉道路）,江戸川区大杉1-11,13050 ,      －,      －,      －,      －,      －,      －,      －,"23,741 ","3,813 ","27,554 ",13.8 ,"2,595 ",9.4 ,1.43 ,0.94 ,13050 ,"28,779 ",0.96 ,11.6 ,20.1 ,10月中,－,国土交通省,14 ,一般国道１４号（京葉道路）,13050 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"33,925 ","5,371 ","39,296 ",13.7 ,,,,,,"42,388 ",0.93 ,,,,,,,,,
14 ,一般国道１４号（京葉道路）,東京都江戸川区一之江（起点部）,13060 ,      －,      －,520 ,"19,602 ","5,988 ",35 ,"8,817 ","25,590 ","8,852 ","34,442 ",25.7 ,"3,221 ",9.4 ,1.57 ,1.43 ,13060 ,"33,315 ",1.03 ,16.9 ,20.7 ,9月29日(水),晴,東日本高速,14 ,一般国道１４号（京葉道路）,13060 ,
,,,,      －,      －,902 ,"28,150 ","12,576 ",49 ,"13,379 ","40,726 ","13,428 ","54,154 ",24.8 ,,,,,,"50,871 ",1.06 ,,,,,,,,,
14 ,一般国道１４号（京葉道路）,東京都江戸川区篠崎町（篠崎IC）,13070 ,      －,      －,631 ,"21,264 ","7,227 ",36 ,"8,049 ","28,491 ","8,085 ","36,576 ",22.1 ,"3,185 ",8.7 ,1.50 ,0.69 ,13070 ,"40,335 ",0.91 ,24.4 ,27.6 ,9月29日(水),晴,東日本高速,14 ,一般国道１４号（京葉道路）,13070 ,
,,,,      －,      －,895 ,"31,003 ","13,173 ",48 ,"10,638 ","44,176 ","10,686 ","54,862 ",19.5 ,,,,,,"61,602 ",0.89 ,,,,,,,,,8
14 ,一般国道１４号（京葉道路）,高速小松川線～篠崎IC,13080 ,      －,      －,231 ,"22,179 ","9,927 ",150 ,"6,658 ","32,106 ","6,808 ","38,914 ",17.5 ,"4,089 ",10.5 ,1.45 ,0.56 ,13080 ,"30,793 ",1.26 ,39.0 ,75.8 ,9月29日(水),晴,東日本高速,14 ,一般国道１４号（京葉道路）,13080 ,
,,,,      －,      －,323 ,"32,796 ","13,847 ",229 ,"9,745 ","46,643 ","9,974 ","56,617 ",17.6 ,,,,,,"48,660 ",1.16 ,,,,,,,,,
14 ,一般国道１４号（京葉道路）,篠崎IC～千葉県境（京葉市川IC）,13090 ,      －,      －,848 ,"44,814 ","18,974 ",178 ,"13,563 ","63,788 ","13,741 ","77,529 ",17.7 ,"8,092 ",10.4 ,1.44 ,0.96 ,13090 ,"76,526 ",1.01 ,43.4 ,67.8 ,9月29日(水),晴,東日本高速,14 ,一般国道１４号（京葉道路）,13090 ,
,,,,      －,      －,"1,243 ","65,949 ","25,900 ",284 ,"19,279 ","91,849 ","19,563 ","111,412 ",17.6 ,,,,,,"114,485 ",0.97 ,,,,,,,,,
15 ,一般国道１５号,港区新橋1－6,14010 ,      －,      －,      －,      －,      －,      －,      －,"9,004 ",585 ,"9,589 ",6.1 ,"1,021 ",10.6 ,1.82 ,0.64 ,14010 ,"10,583 ",0.91 ,12.5 ,9.9 ,9月28日(火),曇,国土交通省,15 ,一般国道１５号,14010 ,
15 ,一般国道１５号,品川区北品川４丁目７,14040 ,      －,      －,      －,      －,      －,      －,      －,"23,209 ","4,696 ","27,905 ",16.8 ,"2,693 ",9.7 ,1.47 ,1.44 ,14040 ,"25,285 ",1.10 ,23.1 ,16.8 ,9月14日(火),曇,国土交通省,15 ,一般国道１５号,14040 ,
15 ,一般国道１５号,大田区大森本町2丁目,14050 ,      －,      －,      －,      －,      －,      －,      －,"31,110 ","9,102 ","40,212 ",22.6 ,"3,567 ",8.9 ,1.52 ,0.95 ,14050 ,"38,913 ",1.03 ,18.0 ,19.3 ,9月14日(火),曇,国土交通省,15 ,一般国道１５号,14050 ,
15 ,一般国道１５号,大田区東蒲田1-11,14060 ,      －,      －,      －,      －,      －,      －,      －,"22,907 ","4,873 ","27,780 ",17.5 ,"2,599 ",9.4 ,1.51 ,1.55 ,14060 ,"27,541 ",1.01 ,12.7 ,15.2 ,10月中,－,国土交通省,15 ,一般国道１５号,14060 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"34,627 ","7,452 ","42,079 ",17.7 ,,,,,,"41,573 ",1.01 ,,,,,,,,,
15 ,一般国道１５号,大田区仲六郷2-44,14070 ,      －,      －,      －,      －,      －,      －,      －,"18,197 ","4,023 ","22,220 ",18.1 ,"2,066 ",9.3 ,1.53 ,1.31 ,14070 ,"22,001 ",1.01 ,21.2 ,22.4 ,10月中,－,国土交通省,15 ,一般国道１５号,14070 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"27,723 ","6,282 ","34,005 ",18.5 ,,,,,,"33,839 ",1.00 ,,,,,,,,,
17 ,一般国道１７号,中央区日本橋室町４－２,16010 ,      －,      －,      －,      －,      －,      －,      －,"11,684 ","1,226 ","12,910 ",9.5 ,"1,199 ",9.3 ,1.50 ,0.50 ,16010 ,"14,121 ",0.91 ,13.7 ,16.3 ,10月6日(水),晴,国土交通省,17 ,一般国道１７号,16010 ,
17 ,一般国道１７号,文京区湯島1－1,16020 ,      －,      －,      －,      －,      －,      －,      －,"5,790 ",495 ,"6,285 ",7.9 ,621 ,9.9 ,1.34 ,0.26 ,16020 ,"8,151 ",0.77 ,20.4 ,12.2 ,10月6日(水),晴,国土交通省,17 ,一般国道１７号,16020 ,
17 ,一般国道１７号,文京区本駒込１丁目４?２,16030 ,      －,      －,      －,      －,      －,      －,      －,"6,472 ",775 ,"7,247 ",10.7 ,668 ,9.2 ,1.42 ,0.73 ,16030 ,"7,933 ",0.91 ,18.9 ,15.9 ,10月13日(水),雨,国土交通省,17 ,一般国道１７号,16030 ,
