施設ID,施設名,施設紹介,区市町村コード,都道府県,区市町村,エリア,郵便番号,住所,アクセス,電話番号,URL,月曜日 営業開始時間,月曜日 営業終了時間,火曜日 営業開始時間,火曜日 営業終了時間,水曜日 営業開始時間,水曜日 営業終了時間,木曜日 営業開始時間,木曜日 営業終了時間,金曜日 営業開始時間,金曜日 営業終了時間,土曜日 営業開始時間,土曜日 営業終了時間,日曜日 営業開始時間,日曜日 営業終了時間,営業時間補足,定休日,最大利用規模,料金,施設種別,設備,事前の会員登録,事前の法人契約,入室方法,更新日,作成日
518,BIZcomfort蒲田,"【365日24時間】利用可能の駅近オフィス。電源、wi-fi、セキュリティ完備。ポスト、ロッカー、登記も可能。（※有料）無料のプリンタ、フリードリンクのほか、細かいブース分けで食事や会議、打ち合わせなども快適に行って頂けます。（※一部対象外の拠点あり。）
※新規会員募集を停止している場合がございます。詳しくは、下の「URL」より公式ホームページをご確認ください。",131113,東京都,大田区,品川・目黒・大田・世田谷,144-0052,東京都大田区蒲田5-21-13ペガサスステーションプラザ蒲田B2F,"JR京浜東北線/東急池上線 蒲田駅 徒歩4分
京急線 京急蒲田駅 徒歩7分",03-5789-3325,https://bizcomfort.jp/tokyo/kamata.html,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,24時間OPEN,なし,34名,"全日プラン：月額12,100円
土日プラン：月額4,400円
全拠点プラン：月額22,000円
ライトプラン：月額2,200円～

※価格は全て税込み",共用サテライトオフィス,不明,要,不要,会員証の提示,2023/8/3,2021/7/19
517,BIZcomfort大森山王,【365日24時間】利用可能の駅近オフィス。電源、wi-fi、セキュリティ完備。ポスト、ロッカー、登記も可能。（※有料）複合機（※有料）、フリードリンクのほか、細かいブース分けで食事や会議、打ち合わせなども快適に行って頂けます。（※一部対象外の拠点あり。）,131113,東京都,大田区,品川・目黒・大田・世田谷,143-0023,東京都大田区山王2-5-6 SANNO BRIDGE,"JR京浜東北線 大森駅 徒歩1分
京急線 大森海岸駅 徒歩12分",03-5789-3325,https://bizcomfort.jp/tokyo/omorisanno.html,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,［コンシェルジュ（ドロップイン）受付時間］　平日9：00～18：00,なし,115名,"全日プラン：月額15,400円
土日プラン：月額5,500円
ドロップイン：440円／時・1,650円／日
全拠点プラン：月額22,000円
ライトプラン：月額2,200円～

※価格は全て税込み",共用サテライトオフィス,不明,要、簡易利用の場合不要,不要,会員証の提示、システム予約,2023/8/3,2021/7/19
516,BIZcomfort神楽坂天神,"【365日24時間】利用可能の駅近オフィス。電源、wi-fi、セキュリティ完備。ポスト、ロッカー、登記も可能。（※有料）無料のプリンタ、フリードリンクのほか、細かいブース分けで食事や会議、打ち合わせなども快適に行って頂けます。（※一部対象外の拠点あり。）
※新規会員募集を停止している場合がございます。詳しくは、下の「URL」より公式ホームページをご確認ください。",131041,東京都,新宿区,新宿・渋谷・豊島,162-0808,東京都新宿区天神町7番地11,"東京メトロ東西線 神楽坂駅 徒歩4分
東京メトロ有楽町線 江戸川橋駅 徒歩8分
東京メトロ東西線 早稲田駅 徒歩11分
都営大江戸線 牛込柳町駅 徒歩13分",03-5789-3325,https://bizcomfort.jp/tokyo/bunkyou/kagurazaka.html,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,24時間OPEN,なし,24名,"全日プラン：月額11,000円
土日プラン：月額4,400円
全拠点プラン：月額22,000円
ライトプラン：月額2,200円～

※価格は全て税込み",共用サテライトオフィス,不明,要,不要,会員証の提示,2023/8/3,2021/7/19
515,BIZcomfort田町,"【365日24時間】利用可能の駅近オフィス。電源、wi-fi、セキュリティ完備。ポスト、ロッカー、登記も可能。（※有料）無料のプリンタ、フリードリンクのほか、細かいブース分けで食事や会議、打ち合わせなども快適に行って頂けます。（※一部対象外の拠点あり。）
※新規会員募集を停止している場合がございます。詳しくは、下の「URL」より公式ホームページをご確認ください。",131032,東京都,港区,千代田・中央・港,105-0014,東京都港区芝5-16-14三田ノックスビル３F・４F,"JR各線 田町駅 徒歩3分
都営浅草線 三田駅 徒歩3分
都営三田線 三田駅 徒歩3分",03-5789-3325,https://bizcomfort.jp/tokyo/shinagawa/tamachi.html,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,24時間OPEN,なし,46名,"全日プラン：月額13,200円
土日プラン：月額5,500円
全拠点プラン：月額22,000円
ライトプラン：月額2,200円～
※価格は全て税込み",共用サテライトオフィス,不明,要,不要,会員証の提示,2023/8/3,2021/7/19
514,BIZcomfort五反田,"【365日24時間】利用可能の駅近オフィス。電源、wi-fi、セキュリティ完備。ポスト、ロッカー、登記も可能。（※有料）無料のプリンタ、フリードリンクのほか、細かいブース分けで食事や会議、打ち合わせなども快適に行って頂けます。（※一部対象外の拠点あり。）
※新規会員募集を停止している場合がございます。詳しくは、下の「URL」より公式ホームページをご確認ください。",131091,東京都,品川区,品川・目黒・大田・世田谷,141-0031,東京都品川区西五反田2-14-13ニックハイム五反田2階,"JR山手線 五反田駅 徒歩5分
都営浅草線 五反田駅 徒歩4分
東急池上線 五反田駅 徒歩6分
東急目黒線 不動前駅 徒歩9分",03-5789-3325,https://bizcomfort.jp/tokyo/shinagawa/gotanda.html,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,24時間OPEN,なし,39名,"全日プラン：月額14,300円
土日プラン：月額5,500円
全拠点プラン：月額22,000円
ライトプラン：月額2,200円～
会議室利用料（※会員価格）：100円～/15分
※価格は全て税込み",共用サテライトオフィス,不明,要,不要,会員証の提示,2023/8/3,2021/7/19
513,BIZcomfort品川大井町,"【365日24時間】利用可能の駅近オフィス。電源、wi-fi、セキュリティ完備。ポスト、ロッカー、登記も可能。（※有料）無料のプリンタ、フリードリンクのほか、細かいブース分けで食事や会議、打ち合わせなども快適に行って頂けます。（※一部対象外の拠点あり。）
※新規会員募集を停止している場合がございます。詳しくは、下の「URL」より公式ホームページをご確認ください。",131091,東京都,品川区,品川・目黒・大田・世田谷,140-0004,東京都品川区南品川2-2-5リードシー南品川ビル2F,"京急線 青物横丁駅 徒歩4分
京浜東北線 大井町駅 徒歩10分
東京臨海高速鉄道りんかい線 品川シーサイド駅 徒歩12分",03-5789-3325,https://bizcomfort.jp/tokyo/shinagawa/shinagawa-ooimachi.html,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,00:00,24:00:00,24時間OPEN,なし,30名,"全日プラン：月額13,200円
土日プラン：月額5,500円
全拠点プラン：月額22,000円
ライトプラン：月額2,200円～

※価格は全て税込み",共用サテライトオフィス,不明,要,不要,会員証の提示,2023/8/3,2021/7/19
2791,レンタルスペース　NARIMASU,"ここは、東京都板橋区成増にございますレンタルスペース「Narimasu」では、主に以下のような目的のお客様に時間貸しを行っているスペースです。

貸し会議室
ミーテング、打ち合わせ、商談スペース
セミナー、コンサル、撮影
勉強会、オフ会
リモートワーク、テレワーク　　など
",131199,東京都,板橋区,文京・北・板橋,175-0094,東京都板橋区成増１丁目２６－５ トレジャリィ成増402号室,"東武東上線「成増駅」より徒歩5分
有楽町線「地下鉄成増駅」1番出口より徒歩2分
副都心線「地下鉄成増駅」1番出口より徒歩2分",070-8981-3767,https://space.kawashida.com/price/,04:00,24:00:00,04:00,24:00:00,04:00,24:00:00,04:00,24:00:00,04:00,24:00:00,04:00,24:00:00,04:00,24:00:00,,定休日はありませんが、電話応対等で即時対応出来ない場合もございます。,8名,"平日料金
１５分　利用料金　２００円
３０分　利用料金　４００円
４５分　利用料金　６００円
１時間　利用料金　７８０円
２時間　利用料金　１５６０円
３時間　利用料金　２２２０円（１時間利用より１２０円お得）
４時間　利用料金　２９６０円
５時間　利用料金　３４５０円 （１時間利用より４５０円お得）
６時間　利用料金　４１４０円
７時間　利用料金　４８３０円
８時間　利用料金　５５２０円
１日　利用料金　８５００円 　※４時～２４時までの間になります。

土日料金
１５分　利用料金　２３０円
３０分　利用料金　４５０円
４５分　利用料金　６８０円
１時間　利用料金　８８０円
２時間　利用料金　１７６０円
３時間　利用料金　２５２０円（１時間利用より１２０円お得）
４時間　利用料金　３３６０円
５時間　利用料金　３９５０円 （１時間利用より４５０円お得）
６時間　利用料金　４７４０円
７時間　利用料金　５５３０円
８時間　利用料金　６３２０円
１日　利用料金　９５００円 　※４時～２４時までの間になります。

※すべて税込",共用サテライトオフィス,ありません。,不要,不要,システム予約,2023/7/7,2023/7/6
2783,Stand up 吉祥寺,"Stand up 吉祥寺は、2022年9月にopenしたばかりのおしゃれでキレイな空間です！

【立地】
JR中央線、総武線吉祥寺駅から徒歩7分
中道通りにあります。
徒歩1分圏内にセブンイレブン、喫茶店、八百屋などがあります。
吉祥寺駅アトレの中にスーパーマーケットがあります。
また、商店街にはテイクアウトやランチをやっている飲食店が多いです。

【用途】
デスクワークや、ミーティング、セミナー、ワークショップ、研修、勉強、映画会、写真撮影・動画撮影・撮影収録、パーティー、ポップアップストアなど様々な用途にお使いいただけます。

フリードリンクです。
ウォーターサーバーやコーヒーマシン、ティーパック、お茶などをご用意しています。

隣のミーティングスペースを一緒にご予約いただくと、最大20名収容可能です。
（普段はパーテーションで仕切っています。パーテーションをとると広い1スペースになります。）",132039,東京都,武蔵野市,多摩,180-0004,東京都武蔵野市吉祥寺本町4－6－3,吉祥寺駅から徒歩7分,0422-68-3754,https://www.standup-kichijoji.com/,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,17:00,,,,日曜日・祝日,30名,"【ドロップイン】
・ドロップイン（90分） 550円
・ドロップイン（3時間まで） 1,100円
・ドロップイン（4.5時間まで） 1,650円
・ドロップイン（4.5時間以上） 2,200円

【メンバー会員】
・入会金 11,000円
・フルタイム 14,520円/月額
・平日（9:00-18:00） 9,350円/月額
・平日（9:00-21:00） 12,100円/月額
・平日（17:00-21:00） 5,500円/月額
・土曜日（9:00-17:00） 3,300円/月額
・レンタルロッカー 2,750円/月額
・レンタルギャラリー 2,200円/月額

・プロジェクター 3,300円/日　メンバー会員：2,520円/時間

スペースの貸切もご利用可能です。詳しくはHPをご覧ください。

※すべて税込",共用サテライトオフィス、その他,,不要,不要,システム予約,2023/6/28,2023/6/22
2704,南大沢テレワークステーション,"1人で集中して仕事が出来るワークデスク、オンラインに便利な防音個室、最大35名で利用出来る大型会議室をご用意しております。
WIFIとコンセントも完備しております。
当日予約可能で、法人個人関わらずどなたでもご利用可能です。

＊座席種類
・大会議室（35名）
・ワークデスク
・リモートワーク・ボックス

リンク
簡単予約サイト (upnow.jp)
https://upnow.jp/metrominutes-2/search?keyword=%E5%8D%97%E5%A4%A7%E6%B2%A2%E3%83%86%E3%83%AC%E3%83%AF%E3%83%BC%E3%82%AF&utm_source=qr_minamiosawa_suishin
",132012,東京都,八王子市,多摩,192-0364,東京都八王子市南大沢2丁目28－1　ガレリア・ユギ（イトーヨーカドー南大沢店） 5F,京王相模原線 南大沢駅 徒歩2分,-,https://upnow.jp/metrominutes-2/search?keyword=%E5%8D%97%E5%A4%A7%E6%B2%A2%E3%83%86%E3%83%AC%E3%83%AF%E3%83%BC%E3%82%AF&utm_source=qr_minamiosawa_suishin,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,10:00,21:30,,なし,35名,"大会議室：490円（税込）/15分～
ワークデスク：86円（税込）/15分
リモートワークボックス：137円（税込）/15分",共用サテライトオフィス,,要,不要,システム予約,2023/6/27,2022/8/8
2776,きよせコワーキングスペース「ことりば」,"清瀬駅北口　徒歩1分

清瀬市が推進する、女性の起業をはじめとした多様な働き方と市民の新しい働き方を応援するプロジェクトの一環です。清瀬市から委託を受けて、株式会社シーズプレイスが企画・運営を行っております。

清瀬の森に小鳥が集まるように、「コト・モノ・カタリ」が集まる場「ことりば」
緑ゆたかな清瀬の森に、小鳥のヒナが集い、そこで育ち、羽ばたいていくイメージを起業家応援のためのスペース設置の主旨に例えています。施設のロゴには「市の鳥：オナガ」をデザインに取り入れています。",132217,東京都,清瀬市,多摩,204-0021,東京都清瀬市元町１丁目２－１１ アミュー ４階,西武池袋線　清瀬駅北口　徒歩1分,042-512-9958,https://kotoriba.csplace.com/space,09:00,17:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,"休館日：毎月第2月曜日・祝日の月曜日・年末年始(12/29～1/3)
入室方法：会員専用ページに表示されたQRコードをかざしてロック解除",毎月第2月曜日,16名,"1日最大￥550 （55円／15分）
※税込",公共施設,,要,-,-,2023/6/21,2023/6/13
2782,NewWork池袋東口,"NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。
",131164,東京都,豊島区,新宿・渋谷・豊島,170-0013,東京都豊島区東池袋1-41-6　菊邑91ビル　９F,"池袋駅東口  徒歩3分
",0800-808-0109,https://www.newwork109.com/post/store/5305,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,,,,,,土日祝日,40名,"お問い合わせください
",共用サテライトオフィス,,要,要,会員証の提示,2023/6/20,2023/6/20
2781,NewWork東京,"NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。
",131016,東京都,千代田区,千代田・中央・港,100-0005,東京都千代田区丸の内1-8-1　丸の内トラストタワーN館　11F,"東京駅日本橋口  徒歩1分
",0800-808-0109,https://www.newwork109.com/post/store/5225,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,,,,,,土日祝日,95名,"お問い合わせください
",共用サテライトオフィス,,要,要,会員証の提示,2023/6/20,2023/6/20
2780,NewWork横浜西口,"NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。
",141003,神奈川県,横浜市,東京近郊,220-0004,神奈川県横浜市西区北幸1丁目11番7号　日本生命横浜西口ビル　８F,"横浜駅西口  徒歩5分
",0800-808-0109,https://www.newwork109.com/post/store/5224,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,,,,土日祝日,27名,"お問い合わせください
",共用サテライトオフィス,,要,要,会員証の提示,2023/6/20,2023/6/20
2779,NewWork宮前平,"NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。
",141305,神奈川県,川崎市,東京近郊,216-0007,神奈川県川崎市宮前区小台1-1-1　SEIKEN GREEN GARDENⅡ 3F,"宮前平駅 徒歩2分
",0800-808-0109,https://www.newwork109.com/post/store/5217,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,,,,,,土日祝日,22名,"お問い合わせください
",共用サテライトオフィス,,要,要,会員証の提示,2023/6/20,2023/6/20
2778,NewWork新宿11F,"NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。
",131041,東京都,新宿区,新宿・渋谷・豊島,160-0023,東京都新宿区西新宿1-17-1　日本生命新宿西口ビル 11F,"新宿駅西口  徒歩1分
",0800-808-0109,https://www.newwork109.com/post/store/5117,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,,,,,,土日祝日,30名,"お問い合わせください
",共用サテライトオフィス,,要,要,会員証の提示,2023/6/20,2023/6/20
2777,NewWork大井町,"NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。
",131091,東京都,品川区,品川・目黒・大田・世田谷,140-0014,東京都品川区大井1-14-3　K-3ビル 5Ｆ,"大井町駅  徒歩3分
",0800-808-0109,https://www.newwork109.com/post/store/5072,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,,,,,,土日祝日,27名,"お問い合わせください
",共用サテライトオフィス,,要,要,会員証の提示,2023/6/20,2023/6/20
994,NewWork吉祥寺,NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。,132039,東京都,武蔵野市,多摩,180-0004,東京都武蔵野市吉祥寺本町1-23-1KS23ビル 10F,"JR 吉祥寺駅（北口） 徒歩3分

京王井の頭線 吉祥寺駅 徒歩3分",0800-808-0109,https://www.newwork109.com/post/store/188,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,,,,,,土日祝日,18名,お問い合わせください,共用サテライトオフィス,,要,要,会員証の提示,2023/6/19,2022/7/22
1002,NewWork調布,NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。,132080,東京都,調布市,多摩,182-0024,東京都調布市布田4-20-2調布NKビル 3F,京王線 調布駅（南口） 徒歩4分,0800-808-0109,https://www.newwork109.com/post/store/749,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,,,,,,土日祝日,19名,お問い合わせください,共用サテライトオフィス,,要,要,会員証の提示,2023/6/19,2022/7/22
997,NewWork錦糸町,NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。,131075,東京都,墨田区,墨田・江東・葛飾・江戸川,130-0022,東京都墨田区江東橋3-7-8日本生命錦糸町ビル 6F,"JR 錦糸町駅（南口） 徒歩3分

東京メトロ半蔵門線 錦糸町駅（１番） 徒歩3分",0800-808-0109,https://www.newwork109.com/post/store/483,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,,,,土日祝日,20名,お問い合わせください,共用サテライトオフィス,,要,要,会員証の提示,2023/6/19,2022/7/22
1005,NewWork池袋7F,NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。,131164,東京都,豊島区,新宿・渋谷・豊島,170-0013,東京都豊島区東池袋1-21-11オーク池袋ビル 7F,"JR 池袋駅（東口） 徒歩4分

東京メトロ丸の内線・有楽町線・副都心線 池袋駅 徒歩4分

東武線 池袋駅 徒歩4分

西武池袋線 池袋駅 徒歩4分",0800-808-0109,https://www.newwork109.com/post/store/849,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,,,,土日祝日,31名,お問い合わせください,共用サテライトオフィス,,要,要,会員証の提示,2023/6/19,2022/7/22
1011,NewWork千葉,NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。,121002,千葉県,千葉市,東京近郊,260-0028,千葉県千葉市中央区新町18-10千葉第一生命ビルディング 2F,"JR 千葉駅（南口） 徒歩3分

京成線 京成千葉駅 徒歩3分",0800-808-0109,https://www.newwork109.com/post/store/1218,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,,,,,,土日祝日,40名,お問い合わせください,共用サテライトオフィス,,要,要,会員証の提示,2023/6/19,2022/7/22
998,NewWork新横浜,NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。,141003,神奈川県,横浜市,東京近郊,222-0033,神奈川県横浜市港北区新横浜3-7-3リーフスクエア新横浜ビル 6F,"JR 新横浜駅（北口） 徒歩3分

横浜市営地下鉄ブルーライン 新横浜駅（７番） 徒歩1分",0800-808-0109,https://www.newwork109.com/post/store/482,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,,,,,,土日祝日,37名,お問い合わせください,共用サテライトオフィス,,要,要,会員証の提示,2023/6/19,2022/7/22
995,NewWorkたまプラーザ,NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。,141003,神奈川県,横浜市,東京近郊,225-0003,神奈川県横浜市青葉区美しが丘1-1-2たまプラーザ テラス ゲートプラザ 3F,東急田園都市線 たまプラーザ駅直結 徒歩1分,0800-808-0109,https://www.newwork109.com/post/store/149,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,,,,土日祝日,31名,お問い合わせください,共用サテライトオフィス,,要,要,会員証の提示,2023/6/19,2022/7/22
1003,NewWork立川,NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。,132021,東京都,立川市,多摩,190-0012,東京都立川市曙町1-27-10読売立川ビル 5F,JR 立川駅（北口） 徒歩4分,0800-808-0109,https://www.newwork109.com/post/store/754,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,,,,,,土日祝日,18名,お問い合わせください,共用サテライトオフィス,,要,要,会員証の提示,2023/6/19,2022/7/22
1007,NewWork藤沢4F,NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。,142051,神奈川県,藤沢市,東京近郊,251-0055,神奈川県藤沢市南藤沢4-3日本生命南藤沢ビル 4F,"JR 藤沢駅（南口） 徒歩4分

小田急線 藤沢駅（南口） 徒歩4分

江ノ電 藤沢駅 徒歩4分",0800-808-0109,https://www.newwork109.com/post/store/851,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,,,,,,土日祝日,27名,お問い合わせください,共用サテライトオフィス,,要,要,会員証の提示,2023/6/19,2022/7/22
1004,NewWork品川,NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。,131032,東京都,港区,千代田・中央・港,108-0075,東京都港区港南2-16-1品川イーストワンタワー 3F,"JR 品川駅（港南口） 徒歩3分

京急線 品川駅 徒歩3分",0800-808-0109,https://www.newwork109.com/post/store/848,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,,,,,,土日祝日,26名,お問い合わせください,共用サテライトオフィス,,要,要,会員証の提示,2023/6/19,2022/7/22
991,NewWork横浜,NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。,141003,神奈川県,横浜市,東京近郊,221-0056,神奈川県横浜市神奈川区金港町3-1コンカード横浜　16F,"東急東横線 横浜駅（きた東口） 徒歩5分

JR 横浜駅（きた東口） 徒歩5分

京急 横浜駅 徒歩5分

横浜市営地下鉄 横浜駅 徒歩5分",0800-808-0109,https://www.newwork109.com/post/store/161,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,,,,,,土日祝日,31名,お問い合わせください,共用サテライトオフィス,,要,要,会員証の提示,2023/6/19,2022/7/22
1014,NewWork長津田,NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。,141003,神奈川県,横浜市,東京近郊,226-0027,神奈川県横浜市緑区長津田5-3-7ソルタス長津田 2F,"東急田園都市線 長津田駅 徒歩1分

東急こどもの国線 長津田駅 徒歩1分

JR横浜線 長津田駅 徒歩1分",0800-808-0109,https://www.newwork109.com/post/store/1367,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,,,,,,土日祝日,27名,お問い合わせください,共用サテライトオフィス,,要,要,会員証の提示,2023/6/19,2022/7/22
1008,NewWork大宮,NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。,111007,埼玉県,さいたま市,東京近郊,330-0845,埼玉県さいたま大宮区仲町3-13-1住友生命大宮第二ビル 3F,JR 大宮駅（東口） 徒歩5分,0800-808-0109,https://www.newwork109.com/post/store/952,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,,,,土日祝日,17名,お問い合わせください,共用サテライトオフィス,,要,要,会員証の提示,2023/6/19,2022/7/22
1015,NewWork五反田,NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。,131091,東京都,品川区,品川・目黒・大田・世田谷,141-0031,東京都品川区西五反田1-3-8五反田PLACE 9F,"JR 五反田駅（西口） 徒歩2分

東急池上線 五反田駅 徒歩2分

都営浅草線 五反田駅 徒歩2分",0800-808-0109,https://www.newwork109.com/post/store/1444,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,,,,,,土日祝日,33名,お問い合わせください,共用サテライトオフィス,,要,要,会員証の提示,2023/6/19,2022/7/22
1013,NewWork赤羽,NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。,131172,東京都,北区,文京・北・板橋,115-0045,東京都北区赤羽西1-7-1パルロード3  8F,JR 赤羽駅（西口） 徒歩3分,0800-808-0109,https://www.newwork109.com/post/store/1305,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,,,,,,土日祝日,25名,お問い合わせください,共用サテライトオフィス,,要,要,会員証の提示,2023/6/19,2022/7/22
1009,NewWork北千住5F,NewWorkは法人限定の会員制サービスとなります。施設は無人で運営をしておりますので、ご契約をご希望の際は、必ずホームページの問い合わせフォーム（https://www.newwork109.com/contact/）より、事前にお問い合わせをお願いいたします。,131211,東京都,足立区,台東・荒川・足立,120-0036,東京都足立区千住仲町19-8太陽生命千住ビル 5F,"JR 北千住駅（西口） 徒歩5分

東京メトロ日比谷線・千代田線 北千住駅 徒歩5分

東武線 北千住駅 徒歩5分

つくばエクスプレス 北千住駅 徒歩5分",0800-808-0109,https://www.newwork109.com/post/store/1056,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,,,,,,土日祝日,15名,お問い合わせください,共用サテライトオフィス,,要,要,会員証の提示,2023/6/19,2022/7/22
