産業分類階層,大分類,中分類,小分類,分類名,会社企業／総数／企業数（企業）,会社企業／総数／従業者数（人）,会社企業／単一事業所企業／企業数（企業）,会社企業／単一事業所企業／企業従業者数（人）,会社企業／複数事業所企業／企業数（企業）,会社企業／複数事業所企業／企業従業者数（人）,資本金階級／300万円未満／総数／企業数（企業）,資本金階級／300万円未満／総数／企業従業者数（人）,資本金階級／300万円未満／単一事業所企業／企業数（企業）,資本金階級／300万円未満／単一事業所企業／企業従業者数（人）,資本金階級／300万円未満／複数事業所企業／企業数（企業）,資本金階級／300万円未満／複数事業所企業／企業従業者数（人）,資本金階級／300万～500万円未満／総数／企業数（企業）,資本金階級／300万～500万円未満／総数／企業従業者数（人）,資本金階級／300万～500万円未満／単一事業所企業／企業数（企業）,資本金階級／300万～500万円未満／単一事業所企業／企業従業者数（人）,資本金階級／300万～500万円未満／複数事業所企業／企業数（企業）,資本金階級／300万～500万円未満／複数事業所企業／企業従業者数（人）,資本金階級／500万～1000万円未満／総数／企業数（企業）,資本金階級／500万～1000万円未満／総数／企業従業者数（人）,資本金階級／500万～1000万円未満／単一事業所企業／企業数（企業）,資本金階級／500万～1000万円未満／単一事業所企業／企業従業者数（人）,資本金階級／500万～1000万円未満／複数事業所企業／企業数（企業）,資本金階級／500万～1000万円未満／複数事業所企業／企業従業者数（人）,資本金階級／1000万～3000万円未満／総数／企業数（企業）,資本金階級／1000万～3000万円未満／総数／企業従業者数（人）,資本金階級／1000万～3000万円未満／単一事業所企業／企業数（企業）,資本金階級／1000万～3000万円未満／単一事業所企業／企業従業者数（人）,資本金階級／1000万～3000万円未満／複数事業所企業／企業数（企業）,資本金階級／1000万～3000万円未満／複数事業所企業／企業従業者数（人）,資本金階級／3000万～5000万円未満／総数／企業数（企業）,資本金階級／3000万～5000万円未満／総数／企業従業者数（人）,資本金階級／3000万～5000万円未満／単一事業所企業／企業数（企業）,資本金階級／3000万～5000万円未満／単一事業所企業／企業従業者数（人）,資本金階級／3000万～5000万円未満／複数事業所企業／企業数（企業）,資本金階級／3000万～5000万円未満／複数事業所企業／企業従業者数（人）,資本金階級／5000万～1億円未満／総数／企業数（企業）,資本金階級／5000万～1億円未満／総数／企業従業者数（人）,資本金階級／5000万～1億円未満／単一事業所企業／企業数（企業）,資本金階級／5000万～1億円未満／単一事業所企業／企業従業者数（人）,資本金階級／5000万～1億円未満／複数事業所企業／企業数（企業）,資本金階級／5000万～1億円未満／複数事業所企業／企業従業者数（人）,資本金階級／1億～3億円未満／総数／企業数（企業）,資本金階級／1億～3億円未満／総数／企業従業者数（人）,資本金階級／1億～3億円未満／単一事業所企業／企業数（企業）,資本金階級／1億～3億円未満／単一事業所企業／企業従業者数（人）,資本金階級／1億～3億円未満／複数事業所企業／企業数（企業）,資本金階級／1億～3億円未満／複数事業所企業／企業従業者数（人）,資本金階級／3億～10億円未満／総数／企業数（企業）,資本金階級／3億～10億円未満／総数／企業従業者数（人）,資本金階級／3億～10億円未満／単一事業所企業／企業数（企業）,資本金階級／3億～10億円未満／単一事業所企業／企業従業者数（人）,資本金階級／3億～10億円未満／複数事業所企業／企業数（企業）,資本金階級／3億～10億円未満／複数事業所企業／企業従業者数（人）,資本金階級／10億～50億円未満／総数／企業数（企業）,資本金階級／10億～50億円未満／総数／企業従業者数（人）,資本金階級／10億～50億円未満／単一事業所企業／企業数（企業）,資本金階級／10億～50億円未満／単一事業所企業／企業従業者数（人）,資本金階級／10億～50億円未満／複数事業所企業／企業数（企業）,資本金階級／10億～50億円未満／複数事業所企業／企業従業者数（人）,資本金階級／50億円以上／総数／企業数（企業）,資本金階級／50億円以上／総数／企業従業者数（人）,資本金階級／50億円以上／単一事業所企業／企業数（企業）,資本金階級／50億円以上／単一事業所企業／企業従業者数（人）,資本金階級／50億円以上／複数事業所企業／企業数（企業）,資本金階級／50億円以上／複数事業所企業／企業従業者数（人）
3,E,20,208,毛皮製造業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,20,209,その他のなめし革製品製造業,82,662,71,342,11,320,2,10,2,10,-,-,29,112,27,104,2,8,12,52,11,41,1,11,32,310,28,148,4,162,3,117,-,-,3,117,2,57,1,35,1,22,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,E,21,000,窯業・土石製品製造業,546,45165,315,2910,231,42255,7,18,7,18,-,-,110,596,103,473,7,123,30,203,30,203,-,-,208,3801,137,1558,71,2243,50,1964,23,396,27,1568,43,3832,7,80,36,3752,34,3548,3,171,31,3377,18,4087,-,-,18,4087,27,10930,-,-,27,10930,10,16027,-,-,10,16027
3,E,21,211,ガラス・同製品製造業,205,21626,142,1150,63,20476,4,12,4,12,-,-,67,311,64,272,3,39,11,60,11,60,-,-,76,1557,56,509,20,1048,13,758,4,153,9,605,10,1256,-,-,10,1256,7,1252,1,140,6,1112,5,2146,-,-,5,2146,4,1911,-,-,4,1911,5,12254,-,-,5,12254
3,E,21,212,セメント・同製品製造業,169,10586,88,1220,81,9366,-,-,-,-,-,-,13,117,11,65,2,52,8,67,8,67,-,-,74,1456,49,816,25,640,19,466,11,161,8,305,20,1605,7,80,13,1525,14,804,2,31,12,773,6,739,-,-,6,739,9,2450,-,-,9,2450,3,2839,-,-,3,2839
3,E,21,213,建設用粘土製品製造業（陶磁器製を除く）,1,1,1,1,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,21,214,陶磁器・同関連製品製造業,20,171,15,69,5,102,-,-,-,-,-,-,5,12,5,12,-,-,1,2,1,2,-,-,8,74,5,27,3,47,3,72,2,24,1,48,-,-,-,-,-,-,1,7,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,21,215,耐火物製造業,12,2113,3,13,9,2100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,68,2,11,3,57,1,2,1,2,-,-,-,-,-,-,-,-,1,45,-,-,1,45,2,371,-,-,2,371,3,1627,-,-,3,1627,-,-,-,-,-,-
3,E,21,216,炭素・黒鉛製品製造業,12,478,6,31,6,447,-,-,-,-,-,-,1,2,1,2,-,-,1,6,1,6,-,-,7,70,4,23,3,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,14,-,-,1,14,1,164,-,-,1,164,1,222,-,-,1,222
3,E,21,217,研磨材・同製品製造業,34,1853,16,90,18,1763,2,3,2,3,-,-,6,36,6,36,-,-,1,5,1,5,-,-,10,117,6,41,4,76,5,231,1,5,4,226,6,633,-,-,6,633,1,81,-,-,1,81,1,444,-,-,1,444,2,303,-,-,2,303,-,-,-,-,-,-
3,E,21,218,骨材・石工品等製造業,63,2244,34,281,29,1963,-,-,-,-,-,-,14,95,13,72,1,23,7,56,7,56,-,-,19,327,9,99,10,228,7,341,4,51,3,290,6,280,-,-,6,280,5,412,-,-,5,412,2,258,-,-,2,258,2,472,-,-,2,472,-,-,-,-,-,-
3,E,21,219,その他の窯業・土石製品製造業,30,6093,10,55,20,6038,1,3,1,3,-,-,3,22,2,13,1,9,1,7,1,7,-,-,9,132,6,32,3,100,2,94,-,-,2,94,1,58,-,-,1,58,5,947,-,-,5,947,1,115,-,-,1,115,6,4003,-,-,6,4003,1,712,-,-,1,712
2,E,22,000,鉄鋼業,386,88623,254,1719,132,86904,9,40,8,38,1,2,108,451,105,352,3,99,24,127,21,95,3,32,137,2157,97,872,40,1285,21,916,8,135,13,781,28,1943,10,186,18,1757,16,2360,3,31,13,2329,17,4069,-,-,17,4069,7,2491,-,-,7,2491,17,74059,-,-,17,74059
3,E,22,221,製鉄業,9,62087,2,9,7,62078,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,1,5,-,-,1,529,-,-,1,529,1,263,-,-,1,263,-,-,-,-,-,-,5,61286,-,-,5,61286
3,E,22,222,製鋼・製鋼圧延業,14,10402,-,-,14,10402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,25,-,-,1,25,-,-,-,-,-,-,1,176,-,-,1,176,-,-,-,-,-,-,3,805,-,-,3,805,2,649,-,-,2,649,7,8747,-,-,7,8747
3,E,22,223,製鋼を行わない鋼材製造業（表面処理鋼材を除く）,36,6589,8,68,28,6521,1,2,-,-,1,2,2,3,2,3,-,-,-,-,-,-,-,-,7,179,4,20,3,159,5,251,2,45,3,206,5,322,-,-,5,322,4,699,-,-,4,699,5,1144,-,-,5,1144,4,1628,-,-,4,1628,3,2361,-,-,3,2361
3,E,22,224,表面処理鋼材製造業,7,1972,2,6,5,1966,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,38,1,3,1,35,-,-,-,-,-,-,1,3,1,3,-,-,1,52,-,-,1,52,-,-,-,-,-,-,1,214,-,-,1,214,2,1665,-,-,2,1665
3,E,22,225,鉄素形材製造業,61,2134,46,476,15,1658,1,7,1,7,-,-,12,84,11,34,1,50,4,25,3,9,1,16,26,392,22,233,4,159,7,383,3,57,4,326,7,387,5,135,2,252,1,164,-,-,1,164,2,691,-,-,2,691,-,-,-,-,-,-,-,-,-,-,-,-
3,E,22,229,その他の鉄鋼業,259,5439,196,1160,63,4279,7,31,7,31,-,-,93,360,91,311,2,49,20,102,18,86,2,16,101,1523,70,616,31,907,9,282,3,33,6,249,13,1050,3,43,10,1007,9,916,3,31,6,885,6,1166,-,-,6,1166,-,-,-,-,-,-,-,-,-,-,-,-
2,E,23,000,非鉄金属製造業,435,49566,280,1951,155,47615,9,215,8,78,1,137,140,609,128,428,12,181,38,241,32,152,6,89,142,2363,93,722,49,1641,30,1420,10,292,20,1128,21,2485,4,191,17,2294,15,2106,3,81,12,2025,9,2737,-,-,9,2737,9,2518,-,-,9,2518,20,34865,-,-,20,34865
3,E,23,231,非鉄金属第１次製錬・精製業,17,14190,2,8,15,14182,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,2,177,-,-,2,177,1,6,1,6,-,-,2,383,-,-,2,383,3,399,-,-,3,399,8,13223,-,-,8,13223
3,E,23,232,非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）,57,2387,42,265,15,2122,1,1,1,1,-,-,23,75,22,62,1,13,3,24,3,24,-,-,19,285,14,108,5,177,2,52,-,-,2,52,5,742,2,70,3,672,2,139,-,-,2,139,1,926,-,-,1,926,1,143,-,-,1,143,-,-,-,-,-,-
3,E,23,233,非鉄金属・同合金圧延業（抽伸，押出しを含む）,92,12777,63,392,29,12385,1,2,1,2,-,-,32,98,31,87,1,11,9,38,9,38,-,-,22,351,16,96,6,255,8,295,4,153,4,142,4,257,1,13,3,244,4,1139,-,-,4,1139,3,321,-,-,3,321,2,647,-,-,2,647,6,9626,-,-,6,9626
3,E,23,234,電線・ケーブル製造業,71,14488,33,316,38,14172,1,54,1,54,-,-,17,96,13,58,4,38,2,25,2,25,-,-,28,672,16,169,12,503,5,203,-,-,5,203,5,948,-,-,5,948,5,527,1,10,4,517,1,305,-,-,1,305,2,728,-,-,2,728,5,10930,-,-,5,10930
3,E,23,235,非鉄金属素形材製造業,133,3944,91,751,42,3193,2,138,1,1,1,137,43,229,39,136,4,93,17,116,13,52,4,64,51,841,30,250,21,591,13,751,5,135,8,616,2,198,1,108,1,90,2,218,1,65,1,153,1,363,-,-,1,363,-,-,-,-,-,-,1,1086,-,-,1,1086
3,E,23,239,その他の非鉄金属製造業,65,1780,49,219,16,1561,4,20,4,20,-,-,25,111,23,85,2,26,7,38,5,13,2,25,21,212,16,97,5,115,2,119,1,4,1,115,3,163,-,-,3,163,1,77,-,-,1,77,1,439,-,-,1,439,1,601,-,-,1,601,-,-,-,-,-,-
2,E,24,000,金属製品製造業,3945,121856,3135,19475,810,102381,119,479,115,461,4,18,1494,6372,1408,5436,86,936,462,2449,421,2042,41,407,1458,19926,1084,9731,374,10195,145,4843,57,1002,88,3841,123,9880,17,432,106,9448,51,9128,6,212,45,8916,28,13389,-,-,28,13389,15,13744,-,-,15,13744,13,41190,-,-,13,41190
3,E,24,241,ブリキ缶・その他のめっき板等製品製造業,35,8095,17,144,18,7951,-,-,-,-,-,-,5,17,4,12,1,5,2,4,2,4,-,-,20,604,10,108,10,496,3,145,1,20,2,125,1,116,-,-,1,116,2,295,-,-,2,295,-,-,-,-,-,-,2,6914,-,-,2,6914,-,-,-,-,-,-
3,E,24,242,洋食器・刃物・手道具・金物類製造業,418,7785,333,2016,85,5769,11,48,11,48,-,-,157,625,152,575,5,50,51,271,44,219,7,52,156,1863,114,977,42,886,15,497,6,94,9,403,12,711,2,98,10,613,3,411,-,-,3,411,6,3141,-,-,6,3141,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,243,暖房・調理等装置，配管工事用附属品製造業,148,3747,96,546,52,3201,5,14,5,14,-,-,38,155,35,126,3,29,21,98,19,78,2,20,51,653,32,240,19,413,9,263,1,12,8,251,11,663,1,9,10,654,7,321,2,65,5,256,3,1148,-,-,3,1148,1,395,-,-,1,395,-,-,-,-,-,-
3,E,24,244,建設用・建築用金属製品製造業（製缶板金業を含む）,1109,63820,840,4795,269,59025,32,112,31,107,1,5,406,1791,375,1489,31,302,113,567,101,449,12,118,427,5442,303,2408,124,3034,43,1361,17,218,26,1143,32,3041,3,61,29,2980,19,5317,2,16,17,5301,9,5926,-,-,9,5926,8,3938,-,-,8,3938,9,36255,-,-,9,36255
3,E,24,245,金属素形材製品製造業,603,9873,518,3069,85,6804,21,86,21,86,-,-,249,1072,234,889,15,183,81,377,78,352,3,25,207,2479,167,1442,40,1037,15,531,7,155,8,376,15,896,4,92,11,804,5,336,1,4,4,332,-,-,-,-,-,-,2,1398,-,-,2,1398,2,2649,-,-,2,2649
3,E,24,246,金属被覆・彫刻業，熱処理業（ほうろう鉄器を除く）,800,12592,666,5214,134,7378,28,127,26,115,2,12,313,1444,300,1276,13,168,101,635,94,554,7,81,297,5333,225,2777,72,2556,26,841,11,243,15,598,20,1181,5,107,15,1074,4,701,1,127,3,574,5,1445,-,-,5,1445,-,-,-,-,-,-,1,867,-,-,1,867
3,E,24,247,金属線製品製造業（ねじ類を除く）,93,1926,74,360,19,1566,-,-,-,-,-,-,31,109,28,75,3,34,11,54,10,41,1,13,38,257,32,175,6,82,7,203,4,69,3,134,2,81,-,-,2,81,3,544,-,-,3,544,-,-,-,-,-,-,1,678,-,-,1,678,-,-,-,-,-,-
3,E,24,248,ボルト・ナット・リベット・小ねじ・木ねじ等製造業,303,4947,243,1506,60,3441,8,48,8,48,-,-,118,506,114,465,4,41,36,219,30,156,6,63,108,1330,83,715,25,615,12,373,5,106,7,267,13,1030,1,9,12,1021,2,448,-,-,2,448,3,985,-,-,3,985,-,-,-,-,-,-,-,-,-,-,-,-
3,E,24,249,その他の金属製品製造業,436,9071,348,1825,88,7246,14,44,13,43,1,1,177,653,166,529,11,124,46,224,43,189,3,35,154,1965,118,889,36,1076,15,629,5,85,10,544,17,2161,1,56,16,2105,6,755,-,-,6,755,2,744,-,-,2,744,1,421,-,-,1,421,1,1419,-,-,1,1419
2,E,25,000,はん用機械器具製造業,1119,86107,784,5202,335,80905,30,327,25,109,5,218,340,1322,321,1205,19,117,84,460,68,275,16,185,450,6320,322,2727,128,3593,62,3210,20,552,42,2658,63,4905,12,250,51,4655,28,4629,4,32,24,4597,23,9752,-,-,23,9752,14,11279,-,-,14,11279,12,43849,-,-,12,43849
3,E,25,251,ボイラ・原動機製造業,27,1297,17,130,10,1167,-,-,-,-,-,-,8,50,7,46,1,4,3,81,1,2,2,79,13,325,8,81,5,244,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,1,426,-,-,1,426,1,414,-,-,1,414,-,-,-,-,-,-
3,E,25,252,ポンプ・圧縮機器製造業,216,27776,143,1074,73,26702,5,55,3,19,2,36,63,272,59,256,4,16,15,68,14,58,1,10,80,1134,57,499,23,635,19,1046,7,223,12,823,14,1100,1,6,13,1094,6,699,1,5,5,694,5,2059,-,-,5,2059,4,3349,-,-,4,3349,4,17986,-,-,4,17986
3,E,25,253,一般産業用機械・装置製造業,364,36703,229,1779,135,34924,11,37,10,33,1,4,86,354,76,286,10,68,24,127,19,91,5,36,160,2411,107,913,53,1498,28,1382,7,266,21,1116,22,1758,6,178,16,1580,11,2001,1,6,10,1995,9,5043,-,-,9,5043,5,4979,-,-,5,4979,4,18603,-,-,4,18603
3,E,25,259,その他のはん用機械・同部分品製造業,512,20331,395,2219,117,18112,14,235,12,57,2,178,183,646,179,617,4,29,42,184,34,124,8,60,197,2450,150,1234,47,1216,15,782,6,63,9,719,27,2047,5,66,22,1981,10,1928,1,20,9,1908,8,2224,-,-,8,2224,4,2537,-,-,4,2537,4,7260,-,-,4,7260
2,E,26,000,生産用機械器具製造業,2643,94397,2050,13920,593,80477,49,355,45,207,4,148,889,3455,842,3091,47,364,299,1492,273,1177,26,315,1026,13953,768,7058,258,6895,140,5489,65,1227,75,4262,113,7461,28,596,85,6865,39,4674,7,109,32,4565,22,4683,1,35,21,4648,26,10137,1,24,25,10113,19,42509,1,312,18,42197
3,E,26,261,農業用機械製造業（農業用器具を除く）,16,2116,9,97,7,2019,-,-,-,-,-,-,3,11,3,11,-,-,1,28,1,28,-,-,6,37,4,28,2,9,2,62,1,30,1,32,2,71,-,-,2,71,-,-,-,-,-,-,-,-,-,-,-,-,1,545,-,-,1,545,1,1362,-,-,1,1362
3,E,26,262,建設機械・鉱山機械製造業,114,25635,65,669,49,24966,2,9,2,9,-,-,23,96,22,91,1,5,6,31,5,19,1,12,49,1072,32,418,17,654,9,1036,3,125,6,911,11,1218,1,7,10,1211,3,258,-,-,3,258,1,209,-,-,1,209,5,2050,-,-,5,2050,5,19656,-,-,5,19656
3,E,26,263,繊維機械製造業,30,2473,22,83,8,2390,-,-,-,-,-,-,12,37,12,37,-,-,-,-,-,-,-,-,13,100,9,45,4,55,-,-,-,-,-,-,-,-,-,-,-,-,1,111,-,-,1,111,1,338,-,-,1,338,-,-,-,-,-,-,2,1886,-,-,2,1886
3,E,26,264,生活関連産業用機械製造業,354,8626,264,1812,90,6814,8,31,8,31,-,-,99,358,93,314,6,44,39,190,34,146,5,44,149,2006,109,944,40,1062,26,1193,12,217,14,976,15,958,3,124,12,834,3,572,-,-,3,572,5,1344,-,-,5,1344,4,513,1,24,3,489,2,1449,-,-,2,1449
3,E,26,265,基礎素材産業用機械製造業,256,9635,154,999,102,8636,6,142,4,9,2,133,44,182,40,161,4,21,17,134,14,61,3,73,116,1241,76,505,40,736,24,589,8,150,16,439,23,1364,6,86,17,1278,10,497,2,12,8,485,4,1173,-,-,4,1173,5,1484,-,-,5,1484,1,2709,-,-,1,2709
3,E,26,266,金属加工機械製造業,761,16454,618,3639,143,12815,12,75,11,64,1,11,296,1118,283,1003,13,115,102,443,96,404,6,39,276,3793,205,1841,71,1952,25,972,9,104,16,868,23,1442,5,129,18,1313,9,768,2,22,7,746,3,433,1,35,2,398,6,3719,-,-,6,3719,3,3654,-,-,3,3654
3,E,26,267,半導体・フラットパネルディスプレイ製造装置製造業,247,17321,200,2234,47,15087,2,10,2,10,-,-,75,361,69,326,6,35,21,135,20,114,1,21,100,1566,88,1077,12,489,18,437,14,257,4,180,14,863,5,123,9,740,3,624,1,15,2,609,5,664,-,-,5,664,4,868,-,-,4,868,5,11793,1,312,4,11481
3,E,26,269,その他の生産用機械・同部分品製造業,865,12137,718,4387,147,7750,19,88,18,84,1,4,337,1292,320,1148,17,144,113,531,103,405,10,126,317,4138,245,2200,72,1938,36,1200,18,344,18,856,25,1545,8,127,17,1418,10,1844,2,60,8,1784,3,522,-,-,3,522,1,958,-,-,1,958,-,-,-,-,-,-
2,E,27,000,業務用機械器具製造業,1499,128387,1060,9951,439,118436,42,235,38,173,4,62,390,2063,365,1630,25,433,103,603,98,529,5,74,644,10888,458,4536,186,6352,93,4715,44,966,49,3749,109,12368,27,636,82,11732,45,9958,7,268,38,9690,22,5434,6,277,16,5157,18,10698,-,-,18,10698,15,70736,1,792,14,69944
3,E,27,271,事務用機械器具製造業,105,54936,65,571,40,54365,3,30,2,27,1,3,22,96,22,96,-,-,7,34,7,34,-,-,41,1282,26,243,15,1039,9,384,4,106,5,278,8,328,3,47,5,281,7,672,1,18,6,654,2,210,-,-,2,210,2,602,-,-,2,602,4,51298,-,-,4,51298
3,E,27,272,サービス用・娯楽用機械器具製造業,142,10622,87,923,55,9699,2,5,2,5,-,-,32,188,27,153,5,35,8,42,8,42,-,-,66,1636,40,535,26,1101,8,179,7,166,1,13,8,2019,1,6,7,2013,6,1291,-,-,6,1291,3,252,-,-,3,252,3,1315,-,-,3,1315,4,3679,-,-,4,3679
3,E,27,273,計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業,667,20528,506,5061,161,15467,12,41,12,41,-,-,151,512,143,465,8,47,43,278,41,233,2,45,326,3467,257,2144,69,1323,49,1802,26,585,23,1217,51,3926,17,427,34,3499,15,2550,3,183,12,2367,7,2472,2,172,5,2300,7,4647,-,-,7,4647,1,792,1,792,-,-
3,E,27,274,医療用機械器具・医療用品製造業,410,35988,288,2487,122,33501,18,131,15,72,3,59,139,943,132,705,7,238,28,154,27,149,1,5,141,3292,91,1255,50,2037,16,1798,6,94,10,1704,28,4769,3,85,25,4684,14,4623,3,67,11,4556,8,2410,3,42,5,2368,4,3327,-,-,4,3327,5,14000,-,-,5,14000
3,E,27,275,光学機械器具・レンズ製造業,168,4867,109,861,59,4006,7,28,7,28,-,-,45,323,40,210,5,113,16,87,14,63,2,24,68,1203,42,351,26,852,11,552,1,15,10,537,13,1295,2,40,11,1255,3,822,-,-,3,822,2,90,1,63,1,27,1,376,-,-,1,376,-,-,-,-,-,-
3,E,27,276,武器製造業,7,1446,5,48,2,1398,-,-,-,-,-,-,1,1,1,1,-,-,1,8,1,8,-,-,2,8,2,8,-,-,-,-,-,-,-,-,1,31,1,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,431,-,-,1,431,1,967,-,-,1,967
2,E,28,000,電子部品・デバイス・電子回路製造業,864,118668,615,6196,249,112472,22,375,19,122,3,253,183,853,172,724,11,129,66,331,63,302,3,29,367,6115,278,2591,89,3524,63,3423,30,582,33,2841,63,4352,27,802,36,3550,29,5710,9,543,20,5167,20,12690,5,126,15,12564,16,5706,2,226,14,5480,25,78935,-,-,25,78935
3,E,28,281,電子デバイス製造業,45,61950,16,464,29,61486,-,-,-,-,-,-,2,5,2,5,-,-,1,10,-,-,1,10,6,340,2,9,4,331,9,403,3,24,6,379,7,354,2,33,5,321,4,3486,2,104,2,3382,3,9203,2,35,1,9168,3,1344,1,127,2,1217,8,46678,-,-,8,46678
3,E,28,282,電子部品製造業,206,26410,137,1509,69,24901,6,40,6,40,-,-,44,292,41,265,3,27,11,69,10,53,1,16,94,1599,62,697,32,902,16,654,8,121,8,533,12,1391,4,247,8,1144,6,428,2,53,4,375,2,55,-,-,2,55,4,1315,-,-,4,1315,7,20534,-,-,7,20534
3,E,28,283,記録メディア製造業,10,1526,6,19,4,1507,-,-,-,-,-,-,1,1,1,1,-,-,2,5,2,5,-,-,4,102,3,13,1,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,14,-,-,1,14,1,644,-,-,1,644,1,760,-,-,1,760
3,E,28,284,電子回路製造業,208,11899,146,1851,62,10048,4,126,3,10,1,116,46,236,43,183,3,53,10,71,10,71,-,-,95,2188,70,669,25,1519,17,1385,10,258,7,1127,17,1181,7,229,10,952,9,957,2,332,7,625,5,2527,-,-,5,2527,2,282,1,99,1,183,3,2946,-,-,3,2946
3,E,28,285,ユニット部品製造業,43,4421,23,256,20,4165,1,3,1,3,-,-,5,27,4,13,1,14,2,14,2,14,-,-,15,232,10,114,5,118,5,256,1,9,4,247,4,128,3,62,1,66,2,379,-,-,2,379,2,77,1,40,1,37,4,1572,-,-,4,1572,2,1732,-,-,2,1732
3,E,28,289,その他の電子部品・デバイス・電子回路製造業,352,12462,287,2097,65,10365,11,206,9,69,2,137,85,292,81,257,4,35,40,162,39,159,1,3,153,1654,131,1089,22,565,16,725,8,170,8,555,23,1298,11,231,12,1067,8,460,3,54,5,406,7,814,2,51,5,763,2,549,-,-,2,549,4,6285,-,-,4,6285
2,E,29,000,電気機械器具製造業,1680,196929,1198,11361,482,185568,42,186,36,135,6,51,371,1586,352,1443,19,143,104,604,92,407,12,197,769,11400,593,5511,176,5889,127,6256,53,1278,74,4978,124,15767,39,2105,85,13662,42,5399,7,145,35,5254,25,7727,4,213,21,7514,20,9017,1,1,19,9016,25,138464,-,-,25,138464
3,E,29,291,発電用・送電用・配電用電気機械器具製造業,585,80499,425,3839,160,76660,14,55,13,39,1,16,141,603,136,583,5,20,41,221,35,140,6,81,263,4097,212,2032,51,2065,48,2994,16,607,32,2387,42,3864,8,346,34,3518,11,1374,1,75,10,1299,8,3695,-,-,8,3695,6,4553,-,-,6,4553,7,59026,-,-,7,59026
3,E,29,292,産業用電気機械器具製造業,189,62899,134,1792,55,61107,6,41,6,41,-,-,37,167,34,135,3,32,9,51,9,51,-,-,101,1676,76,777,25,899,10,365,4,63,6,302,9,5988,3,697,6,5291,7,704,-,-,7,704,-,-,-,-,-,-,-,-,-,-,-,-,5,53837,-,-,5,53837
3,E,29,293,民生用電気機械器具製造業,146,11612,99,1209,47,10403,4,33,2,8,2,25,29,128,28,123,1,5,6,21,6,21,-,-,72,1139,49,410,23,729,11,595,2,34,9,561,8,837,5,463,3,374,6,744,1,4,5,740,5,1701,3,136,2,1565,1,1,1,1,-,-,2,6404,-,-,2,6404
3,E,29,294,電球・電気照明器具製造業,208,10734,147,1235,61,9499,10,29,7,19,3,10,41,215,39,181,2,34,17,106,16,104,1,2,86,1436,59,610,27,826,19,567,14,213,5,354,16,765,5,42,11,723,4,70,2,27,2,43,1,428,-,-,1,428,5,1565,-,-,5,1565,2,5480,-,-,2,5480
3,E,29,295,電池製造業,18,758,11,50,7,708,1,1,1,1,-,-,2,9,2,9,-,-,1,1,1,1,-,-,8,82,6,36,2,46,1,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,444,-,-,3,444,2,218,-,-,2,218,-,-,-,-,-,-
3,E,29,296,電子応用装置製造業,209,11020,141,1308,68,9712,2,6,2,6,-,-,50,206,44,171,6,35,16,147,14,52,2,95,92,1303,65,544,27,759,14,462,7,187,7,275,19,1633,6,262,13,1371,7,2043,-,-,7,2043,3,634,1,77,2,557,1,752,-,-,1,752,2,3817,-,-,2,3817
3,E,29,297,電気計測器製造業,252,16513,190,1634,62,14879,4,19,4,19,-,-,54,187,53,178,1,9,11,42,8,23,3,19,118,1402,104,969,14,433,19,1087,8,165,11,922,24,2188,9,239,15,1949,4,226,2,34,2,192,4,807,-,-,4,807,5,1928,-,-,5,1928,6,8534,-,-,6,8534
3,E,29,299,その他の電気機械器具製造業,73,2894,51,294,22,2600,1,2,1,2,-,-,17,71,16,63,1,8,3,15,3,15,-,-,29,265,22,133,7,132,5,183,1,6,4,177,6,492,3,56,3,436,3,238,1,5,2,233,1,18,-,-,1,18,-,-,-,-,-,-,1,1366,-,-,1,1366
