産業分類階層,大分類,中分類,小分類,分類名,東京都／事業所数（事業所）,東京都／従業者数（人）,区部／事業所数（事業所）,区部／従業者数（人）,千代田区／事業所数（事業所）,千代田区／従業者数（人）,中央区／事業所数（事業所）,中央区／従業者数（人）,港区／事業所数（事業所）,港区／従業者数（人）,新宿区／事業所数（事業所）,新宿区／従業者数（人）,文京区／事業所数（事業所）,文京区／従業者数（人）,台東区／事業所数（事業所）,台東区／従業者数（人）,墨田区／事業所数（事業所）,墨田区／従業者数（人）,江東区／事業所数（事業所）,江東区／従業者数（人）,品川区／事業所数（事業所）,品川区／従業者数（人）,目黒区／事業所数（事業所）,目黒区／従業者数（人）,大田区／事業所数（事業所）,大田区／従業者数（人）,世田谷区／事業所数（事業所）,世田谷区／従業者数（人）,渋谷区／事業所数（事業所）,渋谷区／従業者数（人）,中野区／事業所数（事業所）,中野区／従業者数（人）,杉並区／事業所数（事業所）,杉並区／従業者数（人）,豊島区／事業所数（事業所）,豊島区／従業者数（人）,北区／事業所数（事業所）,北区／従業者数（人）,荒川区／事業所数（事業所）,荒川区／従業者数（人）,板橋区／事業所数（事業所）,板橋区／従業者数（人）,練馬区／事業所数（事業所）,練馬区／従業者数（人）,足立区／事業所数（事業所）,足立区／従業者数（人）,葛飾区／事業所数（事業所）,葛飾区／従業者数（人）,江戸川区／事業所数（事業所）,江戸川区／従業者数（人）,境界未定地域／事業所数（事業所）,境界未定地域／従業者数（人）,市部／事業所数（事業所）,市部／従業者数（人）,八王子市／事業所数（事業所）,八王子市／従業者数（人）,立川市／事業所数（事業所）,立川市／従業者数（人）,武蔵野市／事業所数（事業所）,武蔵野市／従業者数（人）,三鷹市／事業所数（事業所）,三鷹市／従業者数（人）,青梅市／事業所数（事業所）,青梅市／従業者数（人）,府中市／事業所数（事業所）,府中市／従業者数（人）,昭島市／事業所数（事業所）,昭島市／従業者数（人）,調布市／事業所数（事業所）,調布市／従業者数（人）,町田市／事業所数（事業所）,町田市／従業者数（人）,小金井市／事業所数（事業所）,小金井市／従業者数（人）,小平市／事業所数（事業所）,小平市／従業者数（人）,日野市／事業所数（事業所）,日野市／従業者数（人）,東村山市／事業所数（事業所）,東村山市／従業者数（人）,国分寺市／事業所数（事業所）,国分寺市／従業者数（人）,国立市／事業所数（事業所）,国立市／従業者数（人）,福生市／事業所数（事業所）,福生市／従業者数（人）,狛江市／事業所数（事業所）,狛江市／従業者数（人）,東大和市／事業所数（事業所）,東大和市／従業者数（人）,清瀬市／事業所数（事業所）,清瀬市／従業者数（人）,東久留米市／事業所数（事業所）,東久留米市／従業者数（人）,武蔵村山市／事業所数（事業所）,武蔵村山市／従業者数（人）,多摩市／事業所数（事業所）,多摩市／従業者数（人）,稲城市／事業所数（事業所）,稲城市／従業者数（人）,羽村市／事業所数（事業所）,羽村市／従業者数（人）,あきる野市／事業所数（事業所）,あきる野市／従業者数（人）,西東京市／事業所数（事業所）,西東京市／従業者数（人）,町村部／事業所数（事業所）,町村部／従業者数（人）,西多摩郡／事業所数（事業所）,西多摩郡／従業者数（人）,瑞穂町／事業所数（事業所）,瑞穂町／従業者数（人）,日の出町／事業所数（事業所）,日の出町／従業者数（人）,檜原村／事業所数（事業所）,檜原村／従業者数（人）,奥多摩町／事業所数（事業所）,奥多摩町／従業者数（人）,島部／事業所数（事業所）,島部／従業者数（人）,大島支庁／事業所数（事業所）,大島支庁／従業者数（人）,大島町／事業所数（事業所）,大島町／従業者数（人）,利島村／事業所数（事業所）,利島村／従業者数（人）,新島村／事業所数（事業所）,新島村／従業者数（人）,神津島村／事業所数（事業所）,神津島村／従業者数（人）,三宅支庁／事業所数（事業所）,三宅支庁／従業者数（人）,三宅村／事業所数（事業所）,三宅村／従業者数（人）,御蔵島村／事業所数（事業所）,御蔵島村／従業者数（人）,八丈支庁／事業所数（事業所）,八丈支庁／従業者数（人）,八丈町／事業所数（事業所）,八丈町／従業者数（人）,青ヶ島村／事業所数（事業所）,青ヶ島村／従業者数（人）,小笠原支庁／事業所数（事業所）,小笠原支庁／従業者数（人）,小笠原村／事業所数（事業所）,小笠原村／従業者数（人）
2,G,41,000,映像・音声・文字情報制作業,7740,143108,7157,138655,993,29168,775,17952,1102,29985,794,11973,431,7356,142,1886,33,141,92,3328,151,3591,171,1463,86,741,298,1980,995,16765,160,2103,302,2953,227,2512,57,1075,26,204,64,730,175,2302,40,222,24,62,17,101,2,62,580,4443,43,204,39,339,88,933,39,439,5,29,32,169,5,15,56,538,38,169,25,219,15,80,18,89,7,28,33,240,19,105,4,30,17,81,6,113,5,6,10,61,2,9,23,160,8,39,2,3,3,13,38,332,3,10,1,2,-,-,1,2,-,-,-,-,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,1,7,-,-,1,1,1,1
3,G,41,410,管理，補助的経済活動を行う事業所,27,243,24,238,3,33,-,-,3,27,1,-,-,-,1,1,-,-,2,19,1,1,-,-,1,11,1,1,-,-,2,29,1,2,1,5,1,26,-,-,2,2,3,74,1,7,-,-,-,-,-,-,3,5,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,G,41,411,映像情報制作・配給業,2158,41903,1939,39597,92,2359,154,3601,452,12857,172,2217,37,715,32,194,9,34,25,574,39,1336,61,556,24,156,89,1029,384,8699,57,778,137,1851,43,559,13,153,4,63,12,248,83,1549,9,47,5,5,6,17,-,-,219,2306,12,46,12,130,40,620,16,313,1,4,10,114,2,9,17,168,13,58,13,194,7,66,5,13,3,5,13,172,6,17,1,2,6,24,1,1,3,3,4,12,2,9,10,74,-,-,2,3,1,3,19,246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,G,41,412,音声情報制作業,398,4744,366,4656,16,629,13,77,67,2070,25,119,5,28,1,15,-,-,1,2,9,30,18,58,15,48,41,132,97,1237,10,30,23,101,5,15,3,11,1,2,2,8,8,32,4,6,2,6,-,-,-,-,32,88,3,9,1,1,3,25,1,1,-,-,1,2,-,-,5,7,1,1,1,1,1,1,3,8,-,-,1,4,1,4,-,-,1,3,1,1,-,-,1,5,-,-,4,10,1,2,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,G,41,413,新聞業,336,18858,320,18730,84,9929,68,4612,46,1281,26,983,16,116,18,392,1,10,6,707,8,201,-,-,3,79,2,28,8,76,1,2,4,13,15,114,3,9,2,59,6,103,1,4,1,4,-,-,1,8,-,-,15,127,1,15,2,9,2,7,-,-,1,7,1,-,-,-,-,-,3,26,1,2,-,-,-,-,-,-,-,-,2,40,1,20,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1
3,G,41,414,出版業,2448,46815,2309,46003,519,13677,182,4911,187,4614,339,5545,311,6099,65,1028,14,69,19,795,50,1162,37,389,13,99,59,303,190,2840,53,986,60,571,100,1478,22,788,11,60,18,189,36,205,10,119,9,27,4,47,1,2,138,810,9,76,10,65,20,152,10,76,1,1,9,21,3,6,16,94,8,50,5,11,1,2,7,61,1,19,10,25,8,39,-,-,3,5,2,3,-,-,3,42,-,-,2,4,1,2,-,-,1,5,8,51,1,2,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,G,41,415,広告制作業,1047,13296,1001,12974,96,938,190,2212,178,3387,113,1857,27,185,18,201,2,18,21,1047,26,672,27,200,9,274,28,118,166,1131,10,17,16,43,32,199,5,62,4,9,8,84,11,223,8,13,4,16,1,8,1,60,46,322,5,7,5,96,4,11,3,5,1,16,3,8,-,-,3,8,4,18,1,1,2,3,1,1,1,2,3,11,1,4,1,7,2,8,2,108,-,-,-,-,-,-,2,4,-,-,-,-,-,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,G,41,416,映像・音声・文字情報制作に附帯するサービス業,1326,17249,1198,16457,183,1603,168,2539,169,5749,118,1252,35,213,7,55,7,10,18,184,18,189,28,260,21,74,78,369,150,2782,27,261,61,372,31,142,10,26,4,11,16,96,33,215,7,26,4,8,5,21,-,-,127,785,12,49,9,38,19,118,9,44,1,1,8,24,-,-,15,261,9,16,4,10,4,8,2,6,2,2,5,27,1,1,1,1,5,41,-,-,1,1,1,1,-,-,5,68,6,35,-,-,1,5,7,28,1,7,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,1,7,-,-,-,-,-,-
1,H,00,000,運輸業，郵便業,15099,442601,12829,371448,513,20573,822,22045,1037,34388,299,9445,144,2731,259,6497,267,6605,1146,39919,560,19069,99,4314,1404,69284,466,13499,185,9317,184,3966,289,8782,200,5544,391,11903,207,5145,683,15625,713,11564,1294,23804,477,9902,1178,17035,12,492,2077,67110,400,11363,133,4789,49,2380,142,5036,82,1966,133,4418,78,3314,108,3345,155,5296,28,918,70,2309,72,2460,82,1863,23,613,51,2156,23,581,19,566,45,1233,22,350,52,1321,101,2455,47,3694,34,963,48,1044,32,737,48,1940,193,4043,112,3537,84,2878,18,557,2,25,8,77,81,506,32,201,14,113,1,5,12,52,5,31,17,107,12,77,5,30,23,128,22,127,1,1,9,70,9,70
2,H,42,000,鉄道業,552,48305,428,41031,40,5829,16,831,33,5175,21,2922,4,501,27,3534,9,1237,18,701,27,2384,4,223,31,1654,32,2185,20,3651,14,771,9,351,16,1237,30,3888,17,1011,1,41,22,1036,11,1022,21,764,4,48,1,35,123,7267,15,1472,11,954,3,235,2,134,8,65,7,85,7,123,3,228,4,458,4,97,7,204,9,988,13,186,5,139,-,-,1,10,-,-,2,43,1,11,1,8,-,-,7,1387,4,137,-,-,1,9,8,294,1,7,1,7,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,H,42,420,管理，補助的経済活動を行う事業所,16,5338,14,4517,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,329,-,-,-,-,6,75,1,1609,-,-,-,-,-,-,1,2500,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,821,1,774,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,H,42,421,鉄道業,536,42967,414,36514,38,5825,16,831,33,5175,21,2922,4,501,27,3534,9,1237,18,701,24,2055,4,223,31,1654,26,2110,19,2042,14,771,9,351,16,1237,29,1388,17,1011,1,41,22,1036,11,1022,21,764,3,48,1,35,121,6446,14,698,11,954,3,235,2,134,8,65,7,85,7,123,3,228,4,458,4,97,7,204,9,988,13,186,5,139,-,-,1,10,-,-,2,43,1,11,1,8,-,-,7,1387,3,90,-,-,1,9,8,294,1,7,1,7,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,H,43,000,道路旅客運送業,4704,96775,4214,77301,24,1744,25,1814,35,1374,55,1125,27,199,44,435,72,1564,178,4843,114,1903,25,1604,364,7280,233,5309,22,896,64,1514,144,4181,68,1688,204,5312,64,1336,340,7306,489,5312,756,10983,256,4776,608,4611,3,192,461,18840,102,2761,16,777,21,1371,79,3272,4,246,16,1271,11,268,16,758,46,1661,10,381,15,667,19,591,13,367,9,360,5,221,5,182,3,374,11,168,6,175,9,523,10,80,9,1119,5,226,3,88,4,218,14,715,29,634,9,565,7,532,-,-,1,10,1,23,20,69,6,18,4,13,-,-,2,5,-,-,3,3,3,3,-,-,11,48,11,48,-,-,-,-,-,-
3,H,43,430,管理，補助的経済活動を行う事業所,14,448,11,418,1,134,1,9,-,-,1,3,-,-,-,-,1,15,-,-,-,-,-,-,2,98,1,6,1,106,-,-,-,-,1,6,-,-,1,22,-,-,-,-,1,19,-,-,-,-,-,-,2,7,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,23,1,23,-,-,-,-,-,-,1,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,H,43,431,一般乗合旅客自動車運送業,147,14850,99,9337,4,148,7,295,9,333,4,105,1,1,-,-,1,20,6,508,1,129,3,403,9,1780,8,1097,3,35,4,376,6,849,6,273,1,193,-,-,2,232,8,858,5,632,6,550,5,520,-,-,47,5415,9,1182,6,300,4,766,-,-,1,94,5,430,2,43,1,192,4,598,-,-,2,143,1,205,-,-,1,189,-,-,-,-,1,295,-,-,1,4,1,252,-,-,2,166,-,-,-,-,2,112,4,444,1,98,1,98,1,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,H,43,432,一般乗用旅客自動車運送業,4320,75895,3955,63698,12,1428,15,1495,21,826,50,1017,25,155,37,330,67,1456,166,4245,106,1500,16,1087,337,5073,211,3973,17,753,59,1132,133,3239,59,1399,200,4851,62,1305,331,6783,472,4171,724,9638,244,4178,588,3472,3,192,345,12128,78,1306,9,446,16,599,77,3253,2,143,9,824,7,156,8,478,31,749,8,366,9,429,16,361,10,301,7,143,4,199,5,182,2,79,10,155,2,148,6,235,9,69,7,953,3,154,3,88,2,106,5,206,20,69,-,-,-,-,-,-,-,-,-,-,20,69,6,18,4,13,-,-,2,5,-,-,3,3,3,3,-,-,11,48,11,48,-,-,-,-,-,-
3,H,43,433,一般貸切旅客自動車運送業,194,4873,127,3407,7,34,2,15,2,187,-,-,1,43,3,6,3,73,6,90,7,274,4,90,12,253,10,226,1,2,1,6,5,93,2,10,3,268,1,9,7,291,7,215,23,564,6,48,14,610,-,-,62,1171,15,273,1,31,1,6,2,19,1,9,1,14,2,69,4,51,10,310,2,15,2,13,2,25,3,66,1,28,1,22,-,-,-,-,1,13,3,23,2,36,1,11,-,-,2,72,-,-,-,-,5,65,5,295,5,295,4,285,-,-,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,H,43,439,その他の道路旅客運送業,29,709,22,441,-,-,-,-,3,28,-,-,-,-,4,99,-,-,-,-,-,-,2,24,4,76,3,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,68,3,130,-,-,1,9,-,-,5,119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,37,-,-,-,-,2,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,149,2,149,2,149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,H,44,000,道路貨物運送業,6226,152043,4954,119932,202,3314,310,6790,325,8590,150,2429,84,1384,132,1487,146,2669,569,20765,228,7622,55,1577,543,16437,167,4312,105,1378,80,1021,108,2871,82,1229,127,1813,84,1705,250,6029,176,4215,413,9645,156,2960,461,9532,1,158,1165,29500,225,5409,79,1867,19,379,49,1073,50,995,85,1963,42,2670,66,1615,85,2326,11,169,36,900,29,595,45,1142,8,110,33,1261,16,380,14,187,27,938,13,159,39,767,76,2040,27,697,19,450,29,609,22,239,21,560,107,2611,85,2430,62,1829,17,545,1,15,5,41,22,181,9,81,5,53,-,-,2,12,2,16,6,49,5,47,1,2,6,42,5,41,1,1,1,9,1,9
3,H,44,440,管理，補助的経済活動を行う事業所,92,2235,77,2116,3,4,15,896,13,325,1,3,1,16,1,21,-,-,14,507,4,21,-,-,6,146,3,56,1,3,-,-,2,28,1,19,1,17,3,32,1,1,1,5,1,1,2,3,3,12,-,-,14,118,-,-,1,3,-,-,1,1,1,5,2,16,2,44,-,-,1,1,-,-,1,13,-,-,-,-,-,-,1,2,1,5,-,-,-,-,-,-,2,22,-,-,1,6,-,-,-,-,-,-,-,-,1,1,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,H,44,441,一般貨物自動車運送業,5245,134583,4171,104525,175,2872,252,3628,256,6655,116,1930,61,1059,111,1081,121,2255,493,18700,189,6869,49,1514,448,14277,145,3883,89,1253,64,892,87,2732,73,1164,91,1428,64,1399,212,5741,158,3971,362,9001,128,2832,426,9231,1,158,978,27480,182,4941,71,1766,17,352,42,1029,43,961,72,1796,38,2568,57,1535,70,2088,10,168,29,872,16,511,43,1137,5,93,29,1130,13,360,13,185,22,796,10,143,36,731,65,1861,21,656,14,441,23,572,18,233,19,555,96,2578,78,2403,58,1807,15,542,1,15,4,39,18,175,7,79,4,52,-,-,1,11,2,16,5,46,4,44,1,2,5,41,5,41,-,-,1,9,1,9
3,H,44,442,特定貨物自動車運送業,168,3592,114,2657,2,33,5,69,1,1,2,30,5,40,5,245,9,228,13,280,3,52,2,36,14,342,4,157,2,43,2,64,3,25,-,-,2,303,3,37,9,99,3,139,12,212,7,67,6,155,-,-,51,914,12,140,1,50,1,6,1,1,1,9,5,101,1,57,3,19,4,91,-,-,-,-,2,51,-,-,2,10,1,84,-,-,-,-,3,103,-,-,-,-,4,156,1,4,3,7,3,20,3,5,-,-,3,21,3,21,1,17,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,H,44,443,貨物軽自動車運送業,454,3371,344,2789,5,32,3,36,7,91,19,331,15,261,8,62,12,78,23,170,15,122,3,20,37,643,13,82,5,25,13,44,15,83,6,35,30,55,11,211,24,119,13,99,28,69,17,26,22,95,-,-,105,575,27,129,4,10,1,21,4,33,4,8,5,39,1,1,5,46,8,90,1,1,5,11,10,23,2,5,1,7,-,-,2,15,1,2,2,39,2,2,1,14,7,23,4,31,2,2,3,17,1,1,2,5,5,7,3,5,3,5,-,-,-,-,-,-,2,2,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-
3,H,44,444,集配利用運送業,254,7881,238,7494,17,373,34,2050,46,1350,11,123,2,8,7,78,4,108,26,1108,17,558,1,7,36,1007,2,134,8,54,1,21,1,3,2,11,3,10,3,26,3,58,-,-,9,355,2,32,3,20,-,-,14,383,4,199,2,38,-,-,1,9,-,-,1,11,-,-,1,15,2,56,-,-,-,-,1,10,-,-,-,-,2,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,-,-,-,-,-,2,4,1,1,-,-,-,-,1,1,-,-,1,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-
3,H,44,449,その他の道路貨物運送業,13,381,10,351,-,-,1,111,2,168,1,12,-,-,-,-,-,-,-,-,-,-,-,-,2,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11,1,1,1,7,-,-,1,19,-,-,3,30,-,-,-,-,-,-,-,-,1,12,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,H,45,000,水運業,359,11557,349,11507,64,3841,98,3045,116,3489,1,40,2,12,8,233,3,51,20,197,14,327,1,75,6,56,-,-,-,-,-,-,1,4,2,7,2,10,1,4,-,-,-,-,4,38,-,-,6,78,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,9,43,-,-,-,-,-,-,-,-,-,-,9,43,4,17,-,-,-,-,3,14,1,3,1,3,-,-,1,3,-,-,-,-,-,-,4,23,4,23
3,H,45,450,管理，補助的経済活動を行う事業所,5,46,5,46,-,-,2,3,3,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,H,45,451,外航海運業,115,5996,114,5989,25,2810,33,870,42,1888,-,-,1,11,-,-,-,-,3,55,4,242,1,75,2,27,-,-,-,-,-,-,-,-,2,7,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,H,45,452,沿海海運業,140,4138,133,4103,25,839,46,1946,48,1191,-,-,1,1,-,-,-,-,8,93,2,10,-,-,1,13,-,-,-,-,-,-,1,4,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,35,-,-,-,-,-,-,-,-,-,-,7,35,3,11,-,-,-,-,2,8,1,3,1,3,-,-,1,3,-,-,-,-,-,-,3,21,3,21
3,H,45,453,内陸水運業,50,633,48,625,-,-,6,45,9,197,-,-,-,-,7,117,3,51,7,44,5,53,-,-,2,12,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,2,24,-,-,6,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,8,-,-,-,-,-,-,-,-,-,-,2,8,1,6,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2
3,H,45,454,船舶貸渡業,49,744,49,744,14,192,11,181,14,170,1,40,-,-,1,116,-,-,2,5,3,22,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,H,46,000,航空運輸業,172,33092,157,32908,20,513,8,104,36,1784,1,8,-,-,1,9,2,182,15,1198,6,655,-,-,64,28424,-,-,-,-,-,-,-,-,-,-,-,-,1,5,2,13,1,13,-,-,-,-,-,-,-,-,9,160,-,-,-,-,-,-,2,49,-,-,-,-,-,-,4,61,-,-,-,-,-,-,-,-,-,-,-,-,3,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,24,-,-,-,-,-,-,-,-,-,-,6,24,3,17,1,6,-,-,1,6,1,5,1,-,1,-,-,-,2,7,2,7,-,-,-,-,-,-
3,H,46,460,管理，補助的経済活動を行う事業所,11,3882,10,3836,-,-,-,-,2,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,3784,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,46,-,-,-,-,-,-,1,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,H,46,461,航空運送業,148,28928,138,28809,20,513,8,104,33,1729,1,8,-,-,1,9,1,179,9,944,6,655,-,-,55,24637,-,-,-,-,-,-,-,-,-,-,-,-,1,5,2,13,1,13,-,-,-,-,-,-,-,-,4,95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,45,-,-,-,-,-,-,-,-,-,-,-,-,3,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,24,-,-,-,-,-,-,-,-,-,-,6,24,3,17,1,6,-,-,1,6,1,5,1,-,1,-,-,-,2,7,2,7,-,-,-,-,-,-
3,H,46,462,航空機使用業（航空運送業を除く）,13,282,9,263,-,-,-,-,1,3,-,-,-,-,-,-,1,3,6,254,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,19,-,-,-,-,-,-,1,3,-,-,-,-,-,-,3,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,H,47,000,倉庫業,967,18132,835,15270,36,554,78,1509,83,1836,15,367,5,8,12,51,12,116,158,3221,46,1368,2,7,148,2559,11,32,7,76,5,10,12,245,10,92,15,131,16,155,36,452,6,28,58,772,14,186,50,1495,-,-,121,2381,20,560,17,209,-,-,1,6,7,144,11,293,9,181,8,58,3,38,2,27,3,7,1,1,7,85,-,-,6,419,-,-,-,-,1,3,2,5,-,-,10,144,1,2,3,29,5,82,1,83,3,5,11,481,11,481,11,481,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,H,47,470,管理，補助的経済活動を行う事業所,29,638,28,635,3,22,4,128,6,75,1,170,-,-,3,2,-,-,4,170,2,18,-,-,1,8,-,-,1,33,-,-,-,-,1,2,-,-,-,-,-,-,-,-,2,7,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
