"市区町村コード","番号","都道府県名","市区町村名","営業所名称","営業の種類","業態","営業所所在地","営業所方書","営業所電話番号","許可番号","初回許可年月日","許可日","許可開始日","許可満了日","最終確認日","経度","緯度","分類"
"","","","","","和食処　はじめ","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５７番２号","アミューズ中野ビルＢ１Ｆ室","","30中環生食第346号","平成30年7月17日","平成30年7月17日","平成30年7月17日","令和6年7月31日","","139.666649027485","35.7080354072414","食品等営業許可_届出一覧"
"","","","","","ＪＯＪＯ風ｂａｒ　ＤＩＯ","【～Ｒ３．５】飲食店営業（バー・キャバレー）","中野五丁目５７番２号","アミューズ中野ビル３ＦＣ室","03-3228-6077","31中健衛食第25号","平成31年4月22日","平成31年4月22日","平成31年4月22日","令和7年4月30日","","139.666649027485","35.7080354072414","食品等営業許可_届出一覧"
"","","","","","ルナ","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５７番２号","アミューズ中野ビル地下１－Ｃ","","31中健衛食第155号","令和1年7月22日","令和1年7月22日","令和1年7月22日","令和7年7月31日","","139.666649027485","35.7080354072414","食品等営業許可_届出一覧"
"","","","","","Ａｍｅｌｉｅ","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５７番２号","アミューズ中野ビル３階","","31中健衛食第202号","令和1年6月24日","令和1年6月24日","令和1年6月24日","令和7年6月30日","","139.666649027485","35.7080354072414","食品等営業許可_届出一覧"
"","","","","","筑前屋　中野店","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５７番２号","アミューズ中野ビル１階","03-5942-4181","31中健衛食第635号","令和1年11月21日","令和1年11月21日","令和1年11月21日","令和8年11月30日","","139.666649027485","35.7080354072414","食品等営業許可_届出一覧"
"","","","","","筑前屋　中野店","⑬ その他の食料・飲料販売業","中野五丁目５７番２号","アミューズ中野ビル１階","03-5942-4181","3中健衛食第1256号","","","","","","139.666649027485","35.7080354072414","食品等営業許可_届出一覧"
"","","","","","晩餐会","【～Ｒ３．５】飲食店営業（バー・キャバレー）","中野五丁目５７番２号","地下ＡＢ号室","","31中健衛食第1034号","令和2年4月9日","令和2年4月9日","令和2年4月9日","令和8年4月30日","","139.666649027485","35.7080354072414","食品等営業許可_届出一覧"
"","","","","","リリウム","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５７番２号","アミューズ中野地下１階Ｆ室","03-5942-5660","2中健衛食第86号","令和2年6月4日","令和2年6月4日","令和2年6月4日","令和8年6月30日","","139.666649027485","35.7080354072414","食品等営業許可_届出一覧"
"","","","","","Ｌｉｔｔｌｅ　ｌｉｌｙ","【～Ｒ３．５】飲食店営業（バー・キャバレー）","中野五丁目５７番２号","アミューズ中野ビルＢ１－Ｃ","","2中健衛食第422号","令和2年7月15日","令和2年7月15日","令和2年7月15日","令和8年7月31日","","139.666649027485","35.7080354072414","食品等営業許可_届出一覧"
"","","","","","ＪＯＪＯ風ｂａｒ　ＤＩＯ","【～Ｒ３．５】飲食店営業（バー・キャバレー）","中野五丁目５７番２号","アミューズ中野ビル３ＦＣ室","","2中健衛食第894号","令和2年12月1日","令和2年12月1日","令和2年12月1日","令和8年11月30日","","139.666649027485","35.7080354072414","食品等営業許可_届出一覧"
"","","","","","Ａｎｇｋｏｒ","飲食店営業［一般飲食店］","中野五丁目５７番２号","アミューズ中野ビル地下１階ＡＢ号室","","3中健衛食第357号","令和3年6月10日","令和3年6月10日","令和3年6月10日","令和9年6月30日","","139.666649027485","35.7080354072414","食品等営業許可_届出一覧"
"","","","","","Ｅｖｉｌ","飲食店営業［一般飲食店］","中野五丁目５７番２号","アミューズ中野ビル　地上２階ＢＣ室","","3中健衛食第1199号","令和3年10月8日","令和3年10月8日","令和3年10月8日","令和9年10月31日","","139.666649027485","35.7080354072414","食品等営業許可_届出一覧"
"","","","","","Ｌａ　Ｌｕｎａ","飲食店営業［一般飲食店］","中野五丁目５７番２号","アミューズ中野ビル地上２階ＢＣ室","03-5860-0422","4中健衛食第65号","令和4年5月2日","令和4年5月2日","令和4年5月2日","令和10年5月31日","","139.666649027485","35.7080354072414","食品等営業許可_届出一覧"
"","","","","","セゾン","【～Ｒ３．５】飲食店営業（一般・大衆酒場）","中野五丁目５７番４号","","3388-2633","30中環生食第19号","平成9年5月1日","平成30年4月13日","平成30年5月1日","令和7年4月30日","","139.666612333544","35.7081434835365","食品等営業許可_届出一覧"
"","","","","","広島じゃけぇ","飲食店営業［一般飲食店］","中野五丁目５７番４号","ナガシマビル１０３","6454-0321","4中健衛食第227号","令和4年7月1日","令和4年7月5日","令和4年7月1日","令和11年6月30日","","139.666612333544","35.7081434835365","食品等営業許可_届出一覧"
"","","","","","バームーンウォーク中野北口店","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５７番４号","永嶋ビル１階１０４号室","03-5942-6334","29中環生食第703号","平成29年9月29日","平成29年9月29日","平成29年9月29日","令和6年9月30日","","139.666612333544","35.7081434835365","食品等営業許可_届出一覧"
"","","","","","梵","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５７番４号","永嶋ビル１Ｆ","","30中環生食第377号","平成30年7月24日","平成30年7月24日","平成30年7月24日","令和6年7月31日","","139.666612333544","35.7081434835365","食品等営業許可_届出一覧"
"","","","","","けんちゃんカレー","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５７番４号","永嶋ビル１Ｆ","","2中健衛食第892号","令和2年12月11日","令和2年12月11日","令和2年12月11日","令和9年12月31日","","139.666612333544","35.7081434835365","食品等営業許可_届出一覧"
"","","","","","上戸","飲食店営業［一般飲食店］","中野五丁目５７番４号","永嶋ビル２階","03-3388-4584","3中健衛食第1114号","令和3年9月6日","令和3年9月6日","令和3年9月6日","令和10年9月30日","","139.666612333544","35.7081434835365","食品等営業許可_届出一覧"
"","","","","","麺屋こころ　中野店","飲食店営業［一般飲食店］","中野五丁目５７番４号","ナガシマビル１階１号室","03-6454-0178","4中健衛食第254号","令和4年7月20日","令和4年7月20日","令和4年7月20日","令和11年7月31日","","139.666612333544","35.7081434835365","食品等営業許可_届出一覧"
"","","","","","弥助","飲食店営業［一般飲食店］","中野五丁目５７番４号","ナガシマビル１階","","4中健衛食第608号","令和4年12月21日","令和4年12月21日","令和4年12月21日","令和11年12月31日","","139.666612333544","35.7081434835365","食品等営業許可_届出一覧"
"","","","","","トトト","飲食店営業［一般飲食店］","中野五丁目５７番５号","","03-6684-4224","3中健衛食第1819号","令和4年2月16日","令和4年2月16日","令和4年2月16日","令和11年2月28日","","139.666608458988","35.7084129133497","食品等営業許可_届出一覧"
"","","","","","金麦屋","飲食店営業［一般飲食店］","中野五丁目５７番７号","","03-6454-0220","4中健衛食第635号","令和5年1月11日","令和5年1月11日","令和5年1月11日","令和12年1月31日","","139.666808499618","35.708408558301","食品等営業許可_届出一覧"
"","","","","","焼肉家族　中野店","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５７番９号","第２三京ビル　１階","03-6454-0773","31中健衛食第751号","平成25年1月24日","令和2年1月21日","令和2年2月1日","令和9年1月31日","","139.666790611402","35.7082412949702","食品等営業許可_届出一覧"
"","","","","","アニソンカラオケバーＺ中野２号店","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５７番９号","第２三京ビル　３階　３０１号","03-6454-0790","2中健衛食第489号","平成25年7月4日","令和2年7月31日","令和2年8月1日","令和9年7月31日","","139.666790611402","35.7082412949702","食品等営業許可_届出一覧"
"","","","","","修静堂","飲食店営業［一般飲食店］","中野五丁目５７番９号","","3387-5459","4中健衛食第17号","令和4年4月11日","令和4年4月11日","令和4年4月11日","令和11年4月30日","","139.666790611402","35.7082412949702","食品等営業許可_届出一覧"
"","","","","","ルネッタ","【～Ｒ３．５】飲食店営業（一般・スナック）","中野五丁目５７番９号","第２三京ビル２０１","","30中環生食第274号","平成30年6月18日","平成30年6月18日","平成30年6月18日","令和7年6月30日","","139.666790611402","35.7082412949702","食品等営業許可_届出一覧"
"","","","","","Ｐａｔｃｈｗｏｒｋ　Ｌｉｆｅ","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５７番９号","第２三京ビル　２階２０２号室","","31中健衛食第591号","令和1年11月15日","令和1年11月15日","令和1年11月15日","令和7年11月30日","","139.666790611402","35.7082412949702","食品等営業許可_届出一覧"
"","","","","","ルネッタ","【～Ｒ３．５】飲食店営業（一般・スナック）","中野五丁目５７番９号","第２三京ビル２０１","03-6454-0280","2中健衛食第1066号","令和3年1月26日","令和3年1月26日","令和3年1月26日","令和10年1月31日","","139.666790611402","35.7082412949702","食品等営業許可_届出一覧"
"","","","","","ＳＵＩＴＥ","飲食店営業［一般飲食店］","中野五丁目５７番９号","第２三京ビル３階３０２号室","","4中健衛食第53号","令和4年4月20日","令和4年4月20日","令和4年4月20日","令和11年4月30日","","139.666790611402","35.7082412949702","食品等営業許可_届出一覧"
"","","","","","味治","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５７番１０号","","6677-1990","2中健衛食第941号","平成20年12月10日","令和2年12月9日","令和3年1月1日","令和8年12月31日","","139.666792904402","35.7082013940557","食品等営業許可_届出一覧"
"","","","","","奄美居酒屋　ほこらしや","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５７番１０号","志方ビル１０２","03-3319-7600","29中環生食第395号","平成29年7月5日","平成29年7月5日","平成29年7月5日","令和6年7月31日","","139.666792904402","35.7082013940557","食品等営業許可_届出一覧"
"","","","","","合同会社カプリコーン","【～Ｒ３．５】飲食店営業（一般・スナック）","中野五丁目５７番１０号","","03-3387-9750","31中健衛食第151号","令和1年6月4日","令和1年6月4日","令和1年6月4日","令和8年6月30日","","139.666792904402","35.7082013940557","食品等営業許可_届出一覧"
"","","","","","中野バル・どんぐり","【～Ｒ３．５】飲食店営業（一般・大衆酒場）","中野五丁目５７番１０号","ＣＵＢＵ中野３Ｆ","03-5942-7516","2中健衛食第888号","令和2年12月21日","令和2年12月21日","令和2年12月21日","令和9年12月31日","","139.666792904402","35.7082013940557","食品等営業許可_届出一覧"
"","","","","","中野バル・どんぐり","⑬ その他の食料・飲料販売業","中野五丁目５７番１０号","ＣＵＢＵ中野３Ｆ","03-5942-7516","3中健衛食第338号","","","","","","139.666792904402","35.7082013940557","食品等営業許可_届出一覧"
"","","","","","Ｒ９","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５７番１０号","Ｃｕｂｅ２Ｆ","","2中健衛食第906号","令和2年12月3日","令和2年12月3日","令和2年12月3日","令和8年12月31日","","139.666792904402","35.7082013940557","食品等営業許可_届出一覧"
"","","","","","Ｒ９","飲食店営業［一般飲食店］","中野五丁目５７番１０号","ＣＵＢＥ中野ビル２階","03-5942-9199","3中健衛食第987号","令和3年7月29日","令和3年7月29日","令和3年7月29日","令和9年7月31日","","139.666792904402","35.7082013940557","食品等営業許可_届出一覧"
"","","","","","牡蠣と日本酒　成光","飲食店営業［一般飲食店］","中野五丁目５７番１０号","ＣＵＢＥビル２Ｆ","03-5318-9907","4中健衛食第173号","令和4年6月23日","令和4年6月23日","令和4年6月23日","令和11年6月30日","","139.666792904402","35.7082013940557","食品等営業許可_届出一覧"
"","","","","","酒道場","【～Ｒ３．５】飲食店営業（一般・大衆酒場）","中野五丁目５８番１号","","3388-2671","2中健衛食第968号","昭和45年12月5日","令和3年1月4日","令和3年1月1日","令和8年12月31日","","139.666445198938","35.7080016710692","食品等営業許可_届出一覧"
"","","","","","四文屋　中野北口店","飲食店営業［一般飲食店］","中野五丁目５８番１号","１階","5380-2188","4中健衛食第797号","令和5年3月23日","令和5年3月23日","令和5年3月23日","令和11年3月31日","","139.666445198938","35.7080016710692","食品等営業許可_届出一覧"
"","","","","","元祖中野屋","【～Ｒ３．５】飲食店営業（一般・大衆酒場）","中野五丁目５８番１号","中野マルビル","3389-8741","31中健衛食第107号","平成19年5月16日","令和1年5月29日","令和1年6月1日","令和7年5月31日","","139.666445198938","35.7080016710692","食品等営業許可_届出一覧"
"","","","","","魚がし鮨分店","【～Ｒ３．５】飲食店営業（すし屋）","中野五丁目５８番１号","","3388-8767","29中環生食第484号","平成23年7月29日","平成29年7月28日","平成29年8月1日","令和5年7月31日","","139.666445198938","35.7080016710692","食品等営業許可_届出一覧"
"","","","","","中華そば　　青葉　中野本店","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５８番１号","１階","03-3388-5552","2中健衛食第353号","平成25年6月17日","令和2年6月22日","令和2年7月1日","令和9年6月30日","","139.666445198938","35.7080016710692","食品等営業許可_届出一覧"
"","","","","","伊勢路","飲食店営業［一般飲食店］","中野五丁目５８番２号","","03-3387-7400","3中健衛食第1984号","令和4年3月17日","令和4年3月17日","令和4年3月17日","令和10年3月31日","","139.666221930391","35.7080161122632","食品等営業許可_届出一覧"
"","","","","","ＢＹ　ＴＨＥ　ＷＡＹ　中野店","【～Ｒ３．５】飲食店営業（一般・スナック）","中野五丁目５８番２号","","","2中健衛食第773号","令和2年10月23日","令和2年10月23日","令和2年10月23日","令和8年10月31日","","139.666221930391","35.7080161122632","食品等営業許可_届出一覧"
"","","","","","中野アッカ","飲食店営業［一般飲食店］","中野五丁目５８番２号","","03-5877-8792","4中健衛食第213号","令和4年6月29日","令和4年6月29日","令和4年6月29日","令和11年6月30日","","139.666221930391","35.7080161122632","食品等営業許可_届出一覧"
"","","","","","味わい屋","【～Ｒ３．５】飲食店営業（一般・大衆酒場）","中野五丁目５８番４号","","3319-4510","2中健衛食第761号","平成11年10月6日","令和2年10月23日","令和2年11月1日","令和9年10月31日","","139.665963965651","35.7079749501623","食品等営業許可_届出一覧"
"","","","","","秘伝のにんにくダレ焼き鳥塩つくね博多水炊きてけてけ中野店","【～Ｒ３．５】飲食店営業（一般・大衆酒場）","中野五丁目５８番４号","ＧＣビル　地下１階","03-5942-6983","30中環生食第656号","平成23年11月2日","平成30年11月19日","平成30年12月1日","令和7年11月30日","","139.665963965651","35.7079749501623","食品等営業許可_届出一覧"
"","","","","","イタリアン＆ワインバーＣＯＮＡ中野店","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５８番５号","","","29中環生食第976号","平成29年12月26日","平成29年12月26日","平成29年12月26日","令和6年12月31日","","139.665824230958","35.7079434811476","食品等営業許可_届出一覧"
"","","","","","ＥＲＵＤＡ","飲食店営業［一般飲食店］","中野五丁目５８番５号","高木方１階の一部・２階","03-3389-1460","3中健衛食第1872号","令和4年2月17日","令和4年2月17日","令和4年2月17日","令和10年2月29日","","139.665824230958","35.7079434811476","食品等営業許可_届出一覧"
"","","","","","立ち寿司横丁　中野サンモール","【～Ｒ３．５】飲食店営業（すし屋）","中野五丁目５８番６号","","03-5345-6600","30中環生食第389号","平成30年10月2日","平成30年10月2日","平成30年10月2日","令和7年10月31日","","139.665725921161","35.7079205517288","食品等営業許可_届出一覧"
"","","","","","梅家","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５８番６号","","03-3387-2390","31中健衛食第156号","令和1年6月6日","令和1年6月6日","令和1年6月6日","令和7年6月30日","","139.665725921161","35.7079205517288","食品等営業許可_届出一覧"
"","","","","","加賀屋","【～Ｒ３．５】飲食店営業（一般・大衆酒場）","中野五丁目５８番９号","ソシアルビル　１階","3386-4194","3中健衛食第99号","平成5年5月6日","令和3年5月14日","令和3年6月1日","令和9年5月31日","","139.666128021055","35.7080027589291","食品等営業許可_届出一覧"
"","","","","","魚味","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５８番９号","ソシアルビル１階１０３号室","3388-5535","2中健衛食第1091号","平成13年2月5日","令和3年2月4日","令和3年3月1日","令和10年2月29日","","139.666128021055","35.7080027589291","食品等営業許可_届出一覧"
"","","","","","カラオケスナック　花","飲食店営業［一般飲食店］","中野五丁目５８番９号","ソシアルビル　地下１階","3389-8696","4中健衛食第729号","令和5年3月1日","令和5年3月7日","令和5年3月1日","令和12年2月28日","","139.666128021055","35.7080027589291","食品等営業許可_届出一覧"
"","","","","","大雅","【～Ｒ３．５】飲食店営業（一般・大衆酒場）","中野五丁目５８番９号","ソシアル山田ビル　１階","03-3387-2293","29中環生食第198号","平成22年5月31日","平成29年5月22日","平成29年6月1日","令和6年5月31日","","139.666128021055","35.7080027589291","食品等営業許可_届出一覧"
"","","","","","撫子","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５８番９号","ソシアルビルＹＡＭＡＤＡ　２０１、２０２号室","03-5318-9866","28中環生食第432号","平成28年9月15日","平成28年9月15日","平成28年9月15日","令和5年9月30日","","139.666128021055","35.7080027589291","食品等営業許可_届出一覧"
"","","","","","ｂａｒ　⊿　ＲＩＯ","【～Ｒ３．５】飲食店営業（バー・キャバレー）","中野五丁目５８番９号","ソシアルビル山田１階１０６号室","03-5942-8790","2中健衛食第500号","令和2年8月5日","令和2年8月5日","令和2年8月5日","令和8年8月31日","","139.666128021055","35.7080027589291","食品等営業許可_届出一覧"
"","","","","","ひまつぶし","飲食店営業［一般飲食店］","中野五丁目５８番９号","ソシアルビル山田１０１","","3中健衛食第1562号","令和3年11月25日","令和3年11月25日","令和3年11月25日","令和10年11月30日","","139.666128021055","35.7080027589291","食品等営業許可_届出一覧"
"","","","","","ＡＺＡＲＯ","飲食店営業［一般飲食店］","中野五丁目５８番９号","ソシアルビル地下１階","03-6454-0277","3中健衛食第1821号","令和4年1月28日","令和4年1月28日","令和4年1月28日","令和11年1月31日","","139.666128021055","35.7080027589291","食品等営業許可_届出一覧"
"","","","","","ＬＡＮＴＡＮＡ","飲食店営業［一般飲食店］","中野五丁目５８番９号","ソシアルビル山田２０２","","4中健衛食第427号","令和4年10月11日","令和4年10月11日","令和4年10月11日","令和11年10月31日","","139.666128021055","35.7080027589291","食品等営業許可_届出一覧"
"","","","","","Ｌｉｐ","飲食店営業［一般飲食店］","中野五丁目５８番９号","ソシアルビル山田２０１","","4中健衛食第618号","令和4年12月27日","令和4年12月27日","令和4年12月27日","令和10年12月31日","","139.666128021055","35.7080027589291","食品等営業許可_届出一覧"
"","","","","","Ｍ","飲食店営業［一般飲食店］","中野五丁目５８番１０号","","03-3387-4266","3中健衛食第1044号","令和3年8月23日","令和3年8月23日","令和3年8月23日","令和9年8月31日","","139.666312540945","35.7080214198597","食品等営業許可_届出一覧"
"","","","","","オフィスグリコ冷凍冷蔵庫１１９４２６","⑬ その他の食料・飲料販売業","中野五丁目５９番１号","","","3中健衛食第1367号","","","","","","139.666474622925","35.7076692889951","食品等営業許可_届出一覧"
"","","","","","台湾料理　味　王　中野店","飲食店営業［一般飲食店］","中野五丁目５９番１号","興産ビル１０１","5343-2588","3中健衛食第367号","令和3年6月22日","令和3年6月22日","令和3年6月22日","令和10年6月30日","","139.666474622925","35.7076692889951","食品等営業許可_届出一覧"
"","","","","","台湾料理　味　王　中野店","? そうざい製造業","中野五丁目５９番１号","興産ビル１０１","5343-2588","3中健衛食第664号","令和3年7月6日","令和3年7月6日","令和3年7月6日","令和10年7月31日","","139.666474622925","35.7076692889951","食品等営業許可_届出一覧"
"","","","","","ぢどり屋　中野店","【～Ｒ３．５】飲食店営業（一般・大衆酒場）","中野五丁目５９番１号","興産ビル　１階","3388-7447","31中健衛食第453号","平成17年10月21日","令和1年10月7日","令和1年11月1日","令和8年10月31日","","139.666474622925","35.7076692889951","食品等営業許可_届出一覧"
"","","","","","ｍｉｕ　ｍｉｕ","【～Ｒ３．５】飲食店営業（一般・スナック）","中野五丁目５９番１号","興産ビル１０５","3388-6003","2中健衛食第1328号","平成19年4月19日","令和3年4月9日","令和3年5月1日","令和10年4月30日","","139.666474622925","35.7076692889951","食品等営業許可_届出一覧"
"","","","","","Ｓｔｙｌｉｓｈ　ｃｌｕｂ　ＲＯＭＥＯ","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５９番１号","興産ビル　２階","3388-9576","31中健衛食第118号","平成25年5月10日","令和1年5月16日","令和1年6月1日","令和7年5月31日","","139.666474622925","35.7076692889951","食品等営業許可_届出一覧"
"","","","","","ｃｌｕｂ　Ｑｕｅｅｎｓ","【～Ｒ３．５】飲食店営業（バー・キャバレー）","中野五丁目５９番１号","興産ビル２０４号","03-3389-3775","3中健衛食第42号","平成26年4月30日","令和3年4月14日","令和3年5月1日","令和10年4月30日","","139.666474622925","35.7076692889951","食品等営業許可_届出一覧"
"","","","","","クラブ　チュチュ","【～Ｒ３．５】飲食店営業（バー・キャバレー）","中野五丁目５９番１号","興産ビル２階　２０１号","03-5380-4452","28中環生食第931号","平成29年3月1日","平成29年3月1日","平成29年3月1日","令和6年2月29日","","139.666474622925","35.7076692889951","食品等営業許可_届出一覧"
"","","","","","泰陽飯店","【～Ｒ３．５】飲食店営業（一般・中華料理）","中野五丁目５９番１号","","03-5942-4462","30中環生食第659号","平成30年11月7日","平成30年11月7日","平成30年11月7日","令和7年11月30日","","139.666474622925","35.7076692889951","食品等営業許可_届出一覧"
"","","","","","天ぷらとワイン大塩　中野店","【～Ｒ３．５】飲食店営業（一般・大衆酒場）","中野五丁目５９番１号","中野興産ビル１０１","03-5942-7557","2中健衛食第586号","令和2年9月8日","令和2年9月8日","令和2年9月8日","令和9年9月30日","","139.666474622925","35.7076692889951","食品等営業許可_届出一覧"
"","","","","","モア","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５９番１号","興産ビル２階２０２号","03-3387-8266","2中健衛食第1118号","令和3年2月5日","令和3年2月5日","令和3年2月5日","令和10年2月29日","","139.666474622925","35.7076692889951","食品等営業許可_届出一覧"
"","","","","","ＡＬＴＥＲ　ＦＡＴＥ","飲食店営業［一般飲食店］","中野五丁目５９番１号","興産ビル２階２０６号","03-5942-7725","3中健衛食第1959号","令和4年3月4日","令和4年3月4日","令和4年3月4日","令和11年3月31日","","139.666474622925","35.7076692889951","食品等営業許可_届出一覧"
"","","","","","ジンギスカン　牡羊屋","飲食店営業［一般飲食店］","中野五丁目５９番１号","興産ビル１階","03-3387-5658","4中健衛食第22号","令和4年4月27日","令和4年4月27日","令和4年4月27日","令和11年4月30日","","139.666474622925","35.7076692889951","食品等営業許可_届出一覧"
"","","","","","ＲＯＭＥＯ","飲食店営業［一般飲食店］","中野五丁目５９番１号","興産ビル２階２０３号","03-5942-5234","4中健衛食第93号","令和4年5月13日","令和4年5月13日","令和4年5月13日","令和11年5月31日","","139.666474622925","35.7076692889951","食品等営業許可_届出一覧"
"","","","","","豊洲市場　さかな酒場　魚星　中野北口店","【～Ｒ３．５】飲食店営業（一般・大衆酒場）","中野五丁目５９番２号","エフワンビル　１階","5345-6065","2中健衛食第490号","平成18年7月4日","令和2年7月30日","令和2年8月1日","令和9年7月31日","","139.666295633087","35.707648956502","食品等営業許可_届出一覧"
"","","","","","カラオケ　まねきねこ　中野北口店","飲食店営業［一般飲食店］","中野五丁目５９番２号","エフワンビル２Ｆ","03-6454-0904","3中健衛食第1202号","令和3年11月2日","令和3年11月2日","令和3年11月2日","令和10年11月30日","","139.666295633087","35.707648956502","食品等営業許可_届出一覧"
"","","","","","陸蒸気","【～Ｒ３．５】飲食店営業（一般・大衆酒場）","中野五丁目５９番３号","１階","3228-1230","30中環生食第476号","平成9年10月1日","平成30年9月11日","平成30年10月1日","令和7年9月30日","","139.666102345901","35.707595312662","食品等営業許可_届出一覧"
"","","","","","陸蒸気","【～Ｒ３．５】飲食店営業（一般そうざい）","中野五丁目５９番３号","３階","3228-1230","30中環生食第477号","平成4年9月21日","平成30年9月11日","平成30年10月1日","令和7年9月30日","","139.666102345901","35.707595312662","食品等営業許可_届出一覧"
"","","","","","伊勢路　中野北口店","飲食店営業［一般飲食店］","中野五丁目５９番４号","","03-3387-7400","4中健衛食第783号","令和5年3月17日","令和5年3月17日","令和5年3月17日","令和11年3月31日","","139.666102345901","35.707595312662","食品等営業許可_届出一覧"
"","","","","","インド．ネパール料理ミラン中野店","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５９番６号","中野ＫＳビル　２階","3388-5516","2中健衛食第28号","平成20年4月30日","令和2年4月15日","令和2年5月1日","令和8年4月30日","","139.665764827447","35.7075471609993","食品等営業許可_届出一覧"
"","","","","","イタリア食堂グランパ・サンモール店","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５９番６号","ＫＳビル　地下１階","03-3388-2005","28中環生食第982号","平成22年3月9日","平成29年3月29日","平成29年4月1日","令和6年3月31日","","139.665764827447","35.7075471609993","食品等営業許可_届出一覧"
"","","","","","銀座コージーコーナー中野サンモール店","【～Ｒ３．５】菓子製造業（生菓子・洋生）","中野五丁目５９番６号","中野ＫＳビル　１階","03-5380-1831","29中環生食第508号","平成23年8月10日","平成29年8月31日","平成29年9月1日","令和5年8月31日","","139.665764827447","35.7075471609993","食品等営業許可_届出一覧"
"","","","","","銀座コージーコーナー中野サンモール店","⑬ その他の食料・飲料販売業","中野五丁目５９番６号","中野ＫＳビル　１階","03-5380-1831","3中健衛食第1518号","","","","","","139.665764827447","35.7075471609993","食品等営業許可_届出一覧"
"","","","","","ＡＳＩＡＮ　ＳＴＡＲ","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５９番６号","ハタノビル２Ｆ","03-5942-4749","29中環生食第532号","平成29年8月14日","平成29年8月14日","平成29年8月14日","令和6年8月31日","","139.665764827447","35.7075471609993","食品等営業許可_届出一覧"
"","","","","","ｓｏｉ６１","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５９番６号","中野ＫＳビル４Ｆ","","29中環生食第809号","平成29年11月2日","平成29年11月2日","平成29年11月2日","令和6年11月30日","","139.665764827447","35.7075471609993","食品等営業許可_届出一覧"
"","","","","","うどん　嵐","【～Ｒ３．５】飲食店営業（一般・その他）","中野五丁目５９番６号","ハタノビル１Ｆ","","2中健衛食第966号","令和2年12月25日","令和2年12月25日","令和2年12月25日","令和9年12月31日","","139.665764827447","35.7075471609993","食品等営業許可_届出一覧"
"","","","","","Ｓｏｉ６１","【～Ｒ３．５】飲食店営業（一般・スナック）","中野五丁目５９番６号","中野ＫＳビル４Ｆ","03-5942-4189","2中健衛食第1195号","令和3年3月2日","令和3年3月2日","令和3年3月2日","令和9年3月31日","","139.665764827447","35.7075471609993","食品等営業許可_届出一覧"
"","","","","","イタリア食堂グランパ・サンモール店","? そうざい製造業","中野五丁目５９番６号","ＫＳビル地下１階","03-3388-2005","3中健衛食第578号","令和3年6月25日","令和3年6月25日","令和3年6月25日","令和10年6月30日","","139.665764827447","35.7075471609993","食品等営業許可_届出一覧"
"","","","","","いのしかちょう　粋","飲食店営業［一般飲食店］","中野五丁目５９番６号","中野Ｋｓビル３階","03-5942-5454","4中健衛食第68号","令和4年4月28日","令和4年4月28日","令和4年4月28日","令和11年4月30日","","139.665764827447","35.7075471609993","食品等営業許可_届出一覧"
"","","","","","ボンジュール　ボン中野店","【～Ｒ３．５】飲食店営業（調理パン）","中野五丁目５９番８号","湯澤ビル　１階","5345-6260","31中健衛食第482号","平成17年10月18日","令和1年10月23日","令和1年11月1日","令和8年10月31日","","139.665742777169","35.7077869176459","食品等営業許可_届出一覧"
"","","","","","ボンジュール　ボン中野店","【～Ｒ３．５】菓子製造業（パン製造業）","中野五丁目５９番８号","湯澤ビル　１階","5345-6260","31中健衛食第483号","平成17年10月18日","令和1年10月23日","令和1年11月1日","令和8年10月31日","","139.665742777169","35.7077869176459","食品等営業許可_届出一覧"
"","","","","","ボンジュール　ボン中野店","③ 乳類販売業","中野五丁目５９番８号","湯澤ビル　１階","5345-6260","3中健衛食第728号","","","","","","139.665742777169","35.7077869176459","食品等営業許可_届出一覧"
