調査項目,回答,全体(人),行っている(人),ウォーキング、散歩（散策、ペットの散歩など）(人),体操（ラジオ体操、職場体操、ストレッチ、エアロビクス、ヨガ、ピラティス、縄跳びなど）(人),室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を用いる運動(人),陸上競技（ランニング、ジョギングなどの軽い運動も含めます）(人),水泳・遊泳（水中歩行・水中運動）(人),ブラインドサッカー(人),車いすテニス(人),サウンドテーブルテニス(人),パラバレーボール(人),車いすバスケットボール(人),車いすラグビー(人),ボッチャ(人),球技（キャッチボールなどのボールを使った軽い運動も含めます）(人),ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊りなど）(人),格闘技（ボクシング、レスリング、相撲（すもう）など）(人),武道（柔道、剣道、空手、合気道など）(人),射的（弓道、アーチェリー、ダーツ、スポーツ吹矢など）(人),ウィンタースポーツ（スキー、スノーボード、スケートなど）(人),ウォータースポーツ（ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリングなど）(人),スカイスポーツ（ハンググライダー、パラグライダー、スカイダイビングなど）(人),アウトドアスポーツ（ハイキング、ワンダーフォーゲル、釣り、登山、キャンプなど）(人),サイクリング、モーター（サイクル）スポーツ(人),運動あそび（鬼ごっこ、かくれんぼ、鉄棒、ぶらんこなど）(人),ゲーム機を使い体を動かして行うスポーツ・フィットネス等(人),その他(人),行っていない（人）
スポーツを始めるきっかけとして必要な支援,その他,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
スポーツを始めるきっかけとして必要な支援,特にない,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385
スポーツを始めるきっかけとして必要な支援,わからない,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354
スポーツ以外に関心のある事,旅行,1225,954,805,284,156,92,158,8,10,5,7,5,3,26,64,53,12,9,8,33,23,4,69,72,69,40,25,271
スポーツ以外に関心のある事,グルメ・食べ歩き,1182,904,759,270,146,80,148,8,5,6,6,5,3,19,60,58,11,9,4,28,20,4,65,69,66,45,17,278
スポーツ以外に関心のある事,買い物・ショッピング,840,623,519,204,101,67,90,11,5,7,10,6,3,16,39,41,9,8,9,18,18,7,43,51,37,33,16,217
スポーツ以外に関心のある事,テレビ視聴,1133,733,585,227,111,62,116,6,5,6,4,5,4,20,56,39,6,5,8,24,16,4,46,44,66,38,17,400
スポーツ以外に関心のある事,動画配信サービス視聴,912,674,513,201,123,77,134,7,7,8,6,9,4,31,62,48,7,6,5,23,16,3,51,55,87,49,17,238
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,481,362,284,119,74,49,58,12,5,10,9,7,3,19,26,23,4,6,7,11,11,4,35,35,18,23,12,119
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,528,397,316,132,77,49,57,7,5,5,6,5,2,9,32,29,3,6,5,11,13,4,35,35,20,29,5,131
スポーツ以外に関心のある事,インターネット閲覧,957,681,538,211,128,71,118,7,3,7,7,5,3,16,41,33,6,8,6,19,16,2,44,55,45,36,13,276
スポーツ以外に関心のある事,映画鑑賞,765,565,454,177,103,53,79,9,5,7,5,5,2,9,27,26,9,10,6,17,19,4,42,51,32,28,15,200
スポーツ以外に関心のある事,読書,563,429,360,153,84,42,54,8,6,6,5,3,4,7,25,20,3,7,4,6,9,3,28,41,25,16,7,134
スポーツ以外に関心のある事,アニメ／漫画,592,429,321,144,78,56,84,9,4,7,6,7,5,17,46,27,7,8,4,14,7,2,42,42,58,37,14,163
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,615,454,328,145,79,72,100,7,4,11,11,6,6,23,66,33,9,14,8,20,14,3,44,42,68,43,20,161
スポーツ以外に関心のある事,写真の撮影,289,244,203,100,53,41,55,7,6,5,5,2,2,10,22,26,6,6,8,12,14,4,30,30,28,18,6,45
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,347,283,215,113,63,42,82,5,3,7,5,6,4,17,36,32,5,8,4,16,10,3,35,35,61,24,10,64
スポーツ以外に関心のある事,美術鑑賞,293,238,206,90,50,24,30,6,5,5,7,2,2,7,12,14,2,5,3,3,5,1,26,33,11,12,5,55
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,350,254,201,90,51,28,36,5,4,5,4,4,6,6,14,21,3,7,5,9,8,2,25,19,14,13,9,96
スポーツ以外に関心のある事,演劇・舞踏鑑賞,178,135,112,61,27,15,18,4,5,4,5,3,1,5,5,16,2,7,2,2,4,2,14,13,5,10,2,43
スポーツ以外に関心のある事,カラオケ,330,245,185,81,39,37,46,4,4,4,4,1,2,12,21,32,3,5,6,6,6,1,22,24,28,21,12,85
スポーツ以外に関心のある事,楽器の演奏,161,121,89,49,29,18,24,4,4,3,1,4,2,8,13,18,3,3,3,6,8,3,16,19,11,11,4,40
スポーツ以外に関心のある事,料理・菓子作り,284,222,176,85,46,31,41,3,4,3,4,0,1,8,19,21,2,6,2,8,8,0,25,24,26,18,8,62
スポーツ以外に関心のある事,園芸・ガーデニング,189,145,127,55,18,14,18,5,4,3,6,0,2,3,8,12,3,5,4,3,6,1,14,19,7,8,4,44
スポーツ以外に関心のある事,日曜大工,75,63,54,31,16,7,10,3,2,2,2,1,3,3,4,3,0,2,2,5,5,2,11,20,5,4,2,12
スポーツ以外に関心のある事,編み物・手芸,123,79,65,38,16,7,14,4,2,2,2,2,3,5,9,6,0,3,2,2,2,1,11,8,6,7,6,44
スポーツ以外に関心のある事,和裁・洋裁,46,33,30,17,9,5,1,1,2,0,0,0,0,1,1,3,0,2,1,1,2,1,5,4,3,2,2,13
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,33,29,22,11,11,8,7,2,2,2,0,2,1,4,4,5,1,1,2,1,0,1,4,8,5,3,1,4
スポーツ以外に関心のある事,ギャンブル,103,62,52,15,11,9,3,0,0,1,0,0,0,1,3,0,1,1,0,1,1,0,7,9,2,3,4,41
スポーツ以外に関心のある事,その他,134,77,60,23,11,8,11,0,0,0,0,0,0,2,5,4,1,1,1,1,5,0,9,10,6,3,7,57
スポーツ以外に関心のある事,特にない,322,98,87,9,6,4,2,1,1,0,1,0,0,2,3,0,0,1,0,0,0,0,1,0,0,1,1,224
情報入手先,家族,1446,1018,808,277,114,94,177,7,6,8,7,6,4,36,81,65,10,10,3,25,13,3,52,53,106,54,24,428
情報入手先,友人,791,611,464,195,88,73,117,4,6,8,4,7,0,15,63,52,12,11,6,23,17,4,54,43,71,44,25,180
情報入手先,学校や職場、施設の人,564,437,316,161,67,86,116,10,7,8,9,5,2,28,60,42,9,9,6,24,17,5,41,39,80,36,16,127
情報入手先,ボランティア,76,71,48,32,14,7,17,3,1,6,4,6,1,3,6,6,2,1,1,1,3,1,4,4,4,4,1,5
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,206,133,84,46,28,15,25,8,3,11,7,2,2,7,5,5,4,2,4,1,5,3,8,8,3,6,4,73
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,367,259,193,90,56,15,39,7,3,7,8,5,3,8,12,11,2,4,2,3,7,5,9,20,16,6,7,108
情報入手先,テレビ,1551,978,777,287,127,81,131,9,7,7,6,5,4,21,62,46,9,9,8,26,11,3,55,62,62,40,28,573
情報入手先,ラジオ,314,220,182,71,37,22,24,4,6,4,3,3,1,3,8,8,3,5,4,3,7,5,14,22,4,4,7,94
情報入手先,新聞,466,311,255,95,46,25,28,4,1,3,6,2,4,5,16,9,2,5,4,7,6,0,16,25,7,6,9,155
情報入手先,雑誌,199,156,129,61,22,18,19,4,2,3,3,2,0,3,12,9,4,5,3,4,6,1,14,15,7,6,3,43
情報入手先,障害者団体の会合や機関誌,80,63,39,21,14,9,12,4,1,6,8,2,2,3,5,5,3,1,4,1,1,1,4,7,4,4,1,17
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,743,538,435,169,93,47,76,5,2,5,5,4,3,10,36,23,7,7,4,17,17,2,47,51,31,28,17,205
情報入手先,インターネットのニュースサイトやニュースアプリ,1129,774,620,220,126,64,92,5,4,7,7,4,4,10,44,28,10,5,6,21,18,4,43,61,29,29,24,355
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,808,604,471,181,102,61,83,6,3,9,6,8,4,10,42,33,7,7,7,19,17,6,48,43,27,38,18,204
情報入手先,動画配信サービス（YouTubeなど）,718,527,406,173,91,66,102,5,2,5,3,5,3,15,55,34,7,4,5,18,13,2,50,51,68,35,20,191
情報入手先,行政の窓口,164,122,101,43,23,9,19,1,3,1,0,0,0,5,4,5,0,4,2,5,5,1,10,16,7,9,4,42
情報入手先,区市町村などの広報誌,272,195,169,76,31,13,29,0,2,1,0,0,0,8,7,7,1,1,3,4,4,0,12,19,9,10,8,77
情報入手先,その他,16,6,5,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10
情報入手先,わからない,84,41,25,3,2,0,2,0,0,0,1,0,0,0,2,2,0,1,0,0,1,0,1,1,0,1,4,43
情報入手先,得ていない,181,62,58,7,7,2,4,2,1,0,0,0,0,2,3,2,0,0,0,0,1,0,2,1,4,0,1,119
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,515,449,331,152,68,66,97,13,9,13,15,10,5,16,47,35,7,11,10,26,17,9,40,34,48,65,10,66
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,390,332,224,115,73,53,78,18,8,14,13,12,7,15,41,30,9,11,9,18,12,8,31,35,44,38,9,58
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,758,582,393,165,98,84,123,9,7,17,16,10,8,23,68,47,11,11,11,25,20,10,43,55,74,53,22,176
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,257,211,139,50,34,25,44,6,6,6,8,3,2,4,23,21,5,4,4,12,7,5,12,19,24,19,7,46
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,2004,1114,922,262,125,41,104,1,3,1,1,2,1,19,38,32,6,7,4,12,10,0,40,42,35,4,27,890
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,1431,1107,819,310,180,117,192,20,10,21,19,13,9,32,78,50,14,16,10,21,29,11,63,67,95,49,25,324
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,1733,931,743,204,98,43,84,2,2,3,5,3,3,15,36,32,3,7,2,17,6,1,37,36,29,18,27,802
デフリンピックの認知度,よく内容を知っている,187,169,112,61,42,31,37,15,9,16,15,10,7,6,15,13,8,7,7,12,13,9,14,13,9,7,1,18
デフリンピックの認知度,見たり聞いたりしたことがある,792,596,448,167,99,50,96,7,5,7,8,5,5,16,41,30,2,5,3,12,11,4,30,32,35,26,11,196
デフリンピックの認知度,知らない,2247,1326,1035,303,144,89,160,2,1,3,3,4,1,28,68,51,9,12,5,23,14,0,61,69,90,46,41,921
デフリンピックに期待すること,競技観戦,393,321,252,116,63,47,64,7,6,10,7,7,3,10,26,20,5,5,4,10,8,6,28,20,29,18,6,72
デフリンピックに期待すること,記録の更新,195,169,132,50,36,24,25,5,2,7,3,5,3,6,4,9,3,3,2,3,6,4,14,11,11,12,1,26
デフリンピックに期待すること,日本人選手の活躍,724,585,456,162,93,64,99,10,6,6,7,4,1,12,42,29,4,9,6,11,18,5,39,36,40,29,17,139
デフリンピックに期待すること,外国人選手の活躍,183,160,121,54,28,24,30,7,2,7,5,5,2,1,13,10,2,2,4,4,7,3,17,13,9,9,4,23
デフリンピックに期待すること,国際交流の促進,291,245,199,77,38,31,56,6,4,6,5,6,2,8,10,16,4,6,4,10,11,5,19,30,18,13,6,46
デフリンピックに期待すること,大会記念グッズの展開,91,84,55,37,24,18,16,8,3,11,10,6,4,5,6,7,4,3,6,4,8,5,9,14,4,6,1,7
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,190,159,116,59,36,22,29,10,4,11,9,6,3,4,16,13,5,3,4,3,8,4,7,17,10,9,3,31
デフリンピックに期待すること,競技体験,104,92,65,35,18,15,20,1,3,6,3,2,1,6,11,8,3,0,4,1,3,2,5,12,16,9,1,12
デフリンピックに期待すること,大会への子供の参加,160,130,94,40,25,19,38,4,5,7,8,5,6,13,14,15,6,3,7,11,7,6,18,20,24,12,1,30
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,155,132,97,48,28,21,29,4,3,7,8,5,3,7,11,8,8,4,7,7,8,3,12,16,11,11,1,23
デフリンピックに期待すること,手話の普及と理解の促進,187,161,124,61,35,19,30,7,5,5,3,5,1,5,16,21,6,6,5,7,10,4,14,20,16,17,4,26
デフリンピックに期待すること,デフスポーツの普及と理解の促進,323,261,213,93,48,37,51,3,3,4,1,3,0,11,22,25,4,6,3,10,8,3,18,27,32,25,11,62
デフリンピックに期待すること,障害や障害者への理解の促進,593,456,380,136,73,41,77,2,2,2,1,2,0,20,32,24,6,4,5,6,8,1,25,44,41,31,18,137
デフリンピックに期待すること,その他,13,9,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,4
デフリンピックに期待すること,期待するものはない,1686,851,670,187,93,45,81,2,2,1,2,3,1,11,39,30,4,6,1,12,7,0,32,36,40,25,22,835
