調査項目,回答,全体(人),旅行(人),グルメ・食べ歩き(人),買い物・ショッピング(人),テレビ視聴(人),動画配信サービス視聴(人),CDやスマートフォンによる音楽鑑賞(人),ＳＮＳ閲覧・投稿(人),インターネット閲覧(人),映画鑑賞(人),読書(人),アニメ／漫画(人),スマートフォン・家庭用ゲーム機によるゲーム(人),写真の撮影(人),遊園地・動物園・水族館などの見物(人),美術鑑賞(人),コンサートなどによる音楽鑑賞(人),演劇・舞踏鑑賞(人),カラオケ(人),楽器の演奏(人),料理・菓子作り(人),園芸・ガーデニング(人),日曜大工(人),編み物・手芸(人),和裁・洋裁(人),大道芸や手品等の鑑賞(人),ギャンブル(人),その他(人),特にない(人)
スポーツを始めるきっかけとして必要な支援,交通機関（電車やバス）やまちのバリアフリー化,32,15,17,11,11,7,6,6,13,8,6,7,6,4,3,1,4,0,4,1,1,2,0,1,0,1,2,1,2
スポーツを始めるきっかけとして必要な支援,会場までの送迎,95,24,31,17,42,24,14,9,25,17,11,7,16,3,9,7,4,0,8,4,4,5,2,4,1,1,3,4,10
スポーツを始めるきっかけとして必要な支援,障害者への施設開放の促進（障害者が優先的に使える施設が増える）,35,9,12,8,12,14,3,3,11,9,5,4,7,4,4,2,1,1,4,0,3,0,2,1,0,0,4,1,4
スポーツを始めるきっかけとして必要な支援,障害にあわせた教室やプログラム,112,37,41,29,53,33,12,11,38,29,12,12,20,7,11,11,17,7,11,6,9,3,0,7,0,0,3,6,10
スポーツを始めるきっかけとして必要な支援,介助者や手話通訳などの支援,29,10,9,4,13,6,4,1,7,4,0,3,4,0,3,3,0,1,2,1,1,3,0,4,1,0,0,2,2
スポーツを始めるきっかけとして必要な支援,障害に対応した情報の提供や問合せ方法の充実,38,9,12,6,18,12,6,8,16,7,5,6,12,2,1,0,3,3,4,0,4,1,1,1,0,0,0,2,5
スポーツを始めるきっかけとして必要な支援,施設や用具等を利用する際に必要な手続きの支援,13,2,0,1,4,1,1,1,3,4,1,2,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,3
スポーツを始めるきっかけとして必要な支援,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,5,1,3,1,0,1,1,2,3,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
スポーツを始めるきっかけとして必要な支援,健康や体調を管理する医療的なサポート,65,21,17,13,30,17,9,10,20,21,12,9,13,4,8,6,14,5,8,2,4,4,2,5,1,0,4,1,6
スポーツを始めるきっかけとして必要な支援,目標となる大会やイベント,9,4,1,2,4,4,2,2,5,3,1,3,1,2,2,1,2,1,1,1,1,0,0,1,0,0,0,0,1
スポーツを始めるきっかけとして必要な支援,スポーツ用具等の貸出し,17,8,4,5,7,6,3,4,10,9,3,2,4,3,2,1,2,0,3,1,0,1,1,2,0,0,0,0,2
スポーツを始めるきっかけとして必要な支援,施設の利用料減免（利用料が安くなったり、無料になったりする）,46,16,11,10,16,12,6,10,18,15,5,10,10,2,4,3,5,2,7,2,5,3,2,3,0,1,1,1,4
スポーツを始めるきっかけとして必要な支援,リモートにより、障害に応じたスポーツ・運動を指導してくれる支援、またはその充実,9,3,4,4,4,4,2,1,4,1,1,0,1,1,1,1,2,1,2,2,0,0,0,0,0,0,0,3,1
スポーツを始めるきっかけとして必要な支援,自宅でもできる、障害に応じたスポーツ・運動方法についての情報提供、またはその充実,57,13,17,12,30,14,7,6,25,13,10,10,10,1,5,5,6,2,3,4,4,3,0,3,1,2,3,2,1
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,49,16,21,9,23,24,8,8,18,12,6,12,13,5,4,0,4,0,9,3,2,1,2,3,0,0,2,2,1
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,65,24,20,12,37,22,9,10,26,13,9,13,16,4,5,3,6,1,8,2,5,0,0,2,0,0,4,3,1
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,5,5,2,6,8,4,2,5,3,2,2,1,0,0,1,2,0,1,0,1,0,0,0,0,0,1,1,1
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,87,29,33,18,43,26,7,7,28,15,9,12,15,6,6,7,10,4,8,5,6,3,1,5,0,0,2,4,5
スポーツを始めるきっかけとして必要な支援,その他,23,6,8,4,9,5,3,2,8,4,5,5,4,2,1,4,4,1,3,1,2,1,1,3,2,0,2,1,4
スポーツを始めるきっかけとして必要な支援,特にない,385,87,78,76,115,62,38,43,80,67,49,55,40,13,16,14,25,15,18,14,23,15,4,11,6,0,14,26,88
スポーツを始めるきっかけとして必要な支援,わからない,354,60,67,58,114,63,28,37,66,46,37,47,44,8,12,12,29,14,26,7,13,12,0,12,3,1,13,15,104
情報入手先,家族,1446,689,657,440,613,441,214,228,429,368,271,298,327,148,211,161,160,87,191,75,162,106,33,67,29,15,26,64,67
情報入手先,友人,791,429,428,298,331,311,158,178,292,274,188,188,212,114,152,119,119,78,130,70,107,71,26,50,22,12,27,39,11
情報入手先,学校や職場、施設の人,564,258,283,194,226,263,130,125,214,159,112,165,200,83,127,49,79,44,103,48,79,30,18,24,9,11,13,25,16
情報入手先,ボランティア,76,31,33,27,34,27,21,13,26,23,13,20,24,15,16,9,10,8,10,8,9,3,4,2,1,5,1,3,0
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,206,64,82,59,80,55,45,25,60,46,34,28,38,19,24,27,18,16,22,11,13,11,2,7,1,2,4,9,12
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,367,154,149,114,162,113,83,72,138,107,94,58,64,42,54,58,56,36,50,20,45,29,10,21,10,5,13,23,17
情報入手先,テレビ,1551,665,628,471,840,461,276,273,528,445,345,303,321,170,192,184,192,109,190,82,164,129,45,73,31,16,62,74,65
情報入手先,ラジオ,314,147,126,103,137,98,74,71,115,111,94,56,55,43,43,52,62,36,42,25,47,34,16,17,13,6,15,17,16
情報入手先,新聞,466,221,182,139,258,98,76,63,140,152,171,47,53,45,51,86,73,50,39,26,46,62,17,23,13,4,19,23,21
情報入手先,雑誌,199,108,104,88,98,74,59,49,97,95,105,60,55,37,46,47,50,32,35,19,48,30,11,12,5,4,15,11,0
情報入手先,障害者団体の会合や機関誌,80,37,28,28,36,20,15,13,31,28,22,13,19,12,15,15,11,10,13,2,12,5,4,5,1,2,1,2,4
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,743,379,345,273,298,379,217,248,440,293,223,235,241,137,158,128,144,79,120,61,117,55,31,43,15,14,36,48,13
情報入手先,インターネットのニュースサイトやニュースアプリ,1129,542,505,388,428,477,272,300,603,415,310,297,309,161,169,177,187,98,154,75,142,76,37,50,21,17,64,66,20
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,808,383,404,334,271,401,243,396,432,313,216,283,284,142,155,132,168,79,169,81,128,54,23,48,13,12,42,36,13
情報入手先,動画配信サービス（YouTubeなど）,718,336,327,254,272,469,210,256,403,296,189,271,294,130,161,113,130,73,144,65,118,50,25,46,15,19,37,45,9
情報入手先,行政の窓口,164,84,79,66,71,66,48,49,87,70,67,43,42,33,38,39,33,21,30,17,25,19,11,10,6,5,7,11,5
情報入手先,区市町村などの広報誌,272,154,122,105,137,104,76,77,136,116,100,59,52,53,59,76,67,43,44,22,42,36,14,25,13,6,14,21,7
情報入手先,その他,16,5,6,5,6,3,3,2,5,3,2,4,3,1,3,3,2,1,1,3,1,1,1,1,1,1,0,2,3
情報入手先,わからない,84,13,15,11,10,9,5,4,8,6,3,8,6,1,3,0,4,0,1,1,3,1,0,0,0,0,2,1,45
情報入手先,得ていない,181,23,16,8,19,13,8,10,16,12,11,13,6,3,5,2,4,3,6,3,2,4,2,4,2,1,6,2,123
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,515,247,259,190,187,215,125,131,193,156,110,168,198,84,108,54,71,48,98,50,85,42,19,37,10,13,14,15,8
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,390,168,179,139,137,184,107,102,148,113,80,132,165,73,80,45,65,32,78,38,57,23,16,30,10,12,15,15,3
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,758,320,321,253,305,373,194,218,339,253,166,272,374,118,169,87,119,53,145,57,104,39,24,48,15,18,30,45,5
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,257,115,117,90,95,122,69,81,127,84,51,105,123,45,59,31,39,19,43,20,44,14,8,14,8,8,5,5,4
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,2004,719,673,456,703,416,215,237,485,414,326,227,146,125,128,176,192,98,141,71,132,124,37,57,25,10,62,81,309
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,1431,612,627,447,537,499,272,283,511,391,273,340,388,159,198,137,182,89,195,78,154,82,43,66,21,20,55,49,38
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,1733,579,520,363,569,373,182,214,414,347,277,216,184,112,126,145,156,80,118,74,115,101,28,51,23,9,47,84,282
デフリンピックの認知度,よく内容を知っている,187,88,79,56,60,52,33,39,52,43,34,34,44,27,27,21,24,15,17,17,23,15,9,9,5,9,6,4,4
デフリンピックの認知度,見たり聞いたりしたことがある,792,351,327,221,295,227,135,143,245,188,170,135,147,78,90,89,105,60,82,46,73,44,27,41,15,5,20,24,39
デフリンピックの認知度,知らない,2247,786,776,563,778,633,313,346,660,534,359,423,424,184,230,183,221,103,231,98,188,130,39,73,26,19,77,106,279
デフリンピックに期待すること,競技観戦,393,212,199,132,168,125,75,85,132,113,90,83,95,53,64,48,61,38,53,34,54,29,18,23,10,14,13,12,6
デフリンピックに期待すること,記録の更新,195,100,101,77,86,72,51,52,76,56,48,42,56,30,29,27,36,19,30,17,26,17,12,10,8,8,7,3,2
デフリンピックに期待すること,日本人選手の活躍,724,375,354,255,316,236,155,163,264,216,169,152,158,102,106,87,109,55,106,44,94,68,31,43,21,12,24,25,11
デフリンピックに期待すること,外国人選手の活躍,183,95,96,79,86,80,55,62,83,76,61,52,51,43,41,36,45,27,39,23,40,29,11,22,13,8,10,8,2
デフリンピックに期待すること,国際交流の促進,291,168,149,108,125,109,73,78,125,106,92,68,74,53,48,47,52,31,47,21,51,35,12,22,14,9,7,13,5
デフリンピックに期待すること,大会記念グッズの展開,91,42,38,34,40,35,28,21,33,31,23,28,29,20,22,16,20,10,18,10,14,13,9,9,3,6,3,1,2
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,190,103,94,77,77,69,56,52,81,70,51,52,55,45,32,34,42,19,35,19,31,20,11,15,6,10,5,7,2
デフリンピックに期待すること,競技体験,104,62,60,49,54,51,26,25,37,38,32,29,36,25,25,17,28,12,25,16,20,12,8,9,4,9,3,4,1
デフリンピックに期待すること,大会への子供の参加,160,79,77,52,62,56,39,35,58,47,47,45,55,32,37,26,28,15,27,20,27,16,12,14,5,9,2,5,5
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,155,94,87,63,74,74,50,46,76,72,62,56,57,34,38,32,36,19,30,18,34,19,11,15,5,8,6,9,1
デフリンピックに期待すること,手話の普及と理解の促進,187,111,104,89,89,81,60,57,86,82,68,62,55,44,53,49,50,29,37,21,43,23,11,18,9,7,6,17,0
デフリンピックに期待すること,デフスポーツの普及と理解の促進,323,192,180,128,160,146,77,92,145,127,99,88,88,61,66,62,70,40,58,30,62,37,14,27,15,8,11,16,5
デフリンピックに期待すること,障害や障害者への理解の促進,593,306,292,213,262,242,145,147,247,207,169,148,154,88,111,100,106,55,94,39,93,48,19,43,18,9,20,35,16
デフリンピックに期待すること,その他,13,7,5,3,5,4,2,3,6,0,2,1,1,3,1,1,1,0,1,2,5,3,1,1,1,1,0,3,1
デフリンピックに期待すること,期待するものはない,1686,511,514,381,545,420,194,237,443,370,243,290,277,110,145,125,157,75,146,66,113,80,27,43,15,8,66,76,289
