調査項目,回答,全体(人),利用していない(人),居宅介護（ホームヘルプ）(人),重度訪問介護(人),同行援護(人),行動援護(人),重度障害者等包括支援(人),短期入所（ショートステイ）(人),療養介護(人),生活介護(人),施設入所支援(人),自立訓練(人),就労移行支援(人),就労継続支援（A型）(人),就労継続支援（B型）(人),就労定着支援(人),自立生活援助(人),共同生活援助（グループホーム）(人),計画相談支援(人),地域相談支援(人),移動支援(人),地域活動支援センター(人),福祉ホーム(人),児童発達支援(人),医療型児童発達支援(人),放課後等デイサービス(人),居宅訪問型児童発達支援(人),保育所等訪問支援(人),訪問看護(人),訪問リハビリテーション(人)
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（障害の無い人）,49,35,2,0,0,1,0,2,2,0,3,1,1,0,1,1,0,0,0,1,0,1,0,0,0,5,0,0,1,1
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と同じ障害のある人）,65,34,5,0,0,1,0,6,0,2,2,1,1,0,2,1,1,1,0,1,0,3,1,0,0,5,0,0,5,2
スポーツを始めるきっかけとして必要な支援,一緒に行う仲間（自分と異なる障害のある人）,13,7,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1
スポーツを始めるきっかけとして必要な支援,適切な指導者やコーチ、トレーナー,87,41,7,0,1,2,0,11,2,7,3,2,0,0,5,0,1,3,2,3,4,2,1,3,0,11,0,0,9,10
スポーツを始めるきっかけとして必要な支援,その他,23,13,2,1,0,0,0,2,0,0,1,1,1,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,2,1
スポーツを始めるきっかけとして必要な支援,特にない,385,288,26,4,4,6,1,19,2,8,3,3,2,0,6,1,3,0,4,5,5,2,2,0,1,19,0,0,35,12
スポーツを始めるきっかけとして必要な支援,わからない,354,239,23,5,6,5,1,19,2,6,8,5,1,2,7,0,2,4,1,2,5,5,2,2,0,11,0,0,30,34
スポーツ以外に関心のある事,旅行,1225,892,65,6,21,18,5,31,13,26,8,17,20,9,27,6,13,11,19,25,33,32,8,22,6,61,2,2,55,52
スポーツ以外に関心のある事,グルメ・食べ歩き,1182,827,76,8,25,33,6,37,16,28,14,21,20,10,33,10,16,9,16,22,24,37,10,19,4,62,2,0,60,60
スポーツ以外に関心のある事,買い物・ショッピング,840,601,50,11,17,19,8,15,7,24,5,17,15,7,28,6,14,10,15,19,17,27,9,12,4,25,3,1,56,41
スポーツ以外に関心のある事,テレビ視聴,1133,705,90,6,28,30,5,59,14,35,19,30,20,5,31,10,16,15,22,24,30,36,5,19,3,92,5,1,71,68
スポーツ以外に関心のある事,動画配信サービス視聴,912,610,47,6,22,22,5,25,9,24,8,12,16,8,34,9,17,6,26,16,26,26,8,27,6,87,3,2,48,33
スポーツ以外に関心のある事,ＣＤやスマートフォンによる音楽鑑賞,481,309,37,6,13,12,8,19,6,16,3,11,14,5,19,5,10,5,16,15,15,21,7,8,2,28,3,1,33,19
スポーツ以外に関心のある事,ＳＮＳ閲覧・投稿,528,383,23,6,9,10,7,7,5,15,2,5,13,5,22,6,14,4,10,10,11,19,5,8,3,13,2,0,37,17
スポーツ以外に関心のある事,インターネット閲覧,957,666,49,9,18,19,5,16,7,27,8,17,17,10,33,8,21,10,18,19,28,29,8,16,5,49,3,1,54,39
スポーツ以外に関心のある事,映画鑑賞,765,554,48,9,14,14,4,16,8,20,5,16,9,4,25,6,18,4,19,18,22,25,10,10,3,32,3,0,41,36
スポーツ以外に関心のある事,読書,563,400,37,2,9,9,3,20,8,17,5,17,10,4,14,5,10,3,13,12,13,18,7,6,3,21,3,2,35,31
スポーツ以外に関心のある事,アニメ／漫画,592,407,26,5,11,12,5,9,6,11,1,12,18,6,24,10,11,4,19,15,14,22,5,19,6,46,3,1,25,13
スポーツ以外に関心のある事,スマートフォン・家庭用ゲーム機によるゲーム,615,392,29,3,15,12,3,12,6,18,6,11,14,10,29,8,12,6,19,16,19,21,7,28,7,64,4,3,30,18
スポーツ以外に関心のある事,写真の撮影,289,196,22,3,7,9,4,8,8,9,2,5,10,1,16,3,4,4,6,9,11,12,4,8,2,20,3,2,14,4
スポーツ以外に関心のある事,遊園地・動物園・水族館などの見物,347,206,22,0,6,8,3,12,5,6,3,3,9,11,17,7,7,6,15,9,13,16,4,19,3,46,3,2,15,14
スポーツ以外に関心のある事,美術鑑賞,293,209,24,2,6,6,3,13,5,10,2,5,5,2,7,5,5,1,8,9,11,11,3,3,1,10,3,1,21,17
スポーツ以外に関心のある事,コンサートなどによる音楽鑑賞,350,261,20,0,4,6,1,13,3,8,2,4,7,5,8,3,8,3,7,11,14,11,2,4,2,13,3,0,20,17
スポーツ以外に関心のある事,演劇・舞踏鑑賞,178,131,16,1,4,4,2,8,1,6,2,5,2,1,2,2,3,3,5,3,7,4,2,0,0,10,2,0,11,8
スポーツ以外に関心のある事,カラオケ,330,205,27,0,7,11,1,12,4,11,6,6,12,5,20,5,4,5,12,9,13,16,2,5,4,24,1,1,19,12
スポーツ以外に関心のある事,楽器の演奏,161,114,9,2,3,4,1,10,3,7,1,3,1,1,4,1,2,1,2,2,8,8,2,4,2,10,0,0,9,8
スポーツ以外に関心のある事,料理・菓子作り,284,197,11,2,9,3,1,7,3,5,1,3,9,4,3,5,5,2,7,11,7,10,1,7,0,19,1,0,18,16
スポーツ以外に関心のある事,園芸・ガーデニング,189,128,10,0,4,4,2,8,4,6,3,3,5,3,4,1,3,2,2,9,5,8,1,4,0,8,0,0,12,14
スポーツ以外に関心のある事,日曜大工,75,58,3,1,3,3,1,4,1,3,0,1,0,1,0,1,1,0,1,3,2,1,2,1,1,2,0,0,2,5
スポーツ以外に関心のある事,編み物・手芸,123,80,5,2,3,1,1,7,2,4,0,3,5,1,4,2,2,0,3,4,2,2,0,1,2,4,0,0,14,7
スポーツ以外に関心のある事,和裁・洋裁,46,36,3,0,2,2,0,3,1,2,0,1,1,0,0,1,0,1,1,2,2,3,0,2,0,1,0,0,4,1
スポーツ以外に関心のある事,大道芸や手品等の鑑賞,33,18,3,1,0,2,0,2,0,1,0,2,0,0,1,1,1,0,2,1,1,1,0,3,3,6,1,0,0,1
スポーツ以外に関心のある事,ギャンブル,103,74,8,1,1,2,0,4,1,5,0,1,1,2,2,0,1,0,1,4,1,0,1,0,0,2,0,0,6,4
スポーツ以外に関心のある事,その他,134,82,6,0,3,2,0,4,2,5,1,2,2,2,7,2,2,1,9,5,1,4,1,2,1,14,0,0,9,4
スポーツ以外に関心のある事,特にない,322,219,23,7,4,5,0,25,1,9,4,6,3,1,5,1,2,2,2,3,4,4,0,2,0,19,1,1,27,24
情報入手先,家族,1446,935,98,10,31,35,5,74,19,45,19,26,21,10,32,10,17,16,29,21,37,37,11,31,8,120,2,4,80,90
情報入手先,友人,791,556,47,3,16,15,4,18,14,18,3,18,13,7,12,10,15,6,14,20,14,20,8,19,6,47,4,1,32,37
情報入手先,学校や職場、施設の人,564,298,31,3,21,28,5,28,6,23,20,13,11,10,32,10,13,14,21,12,28,20,9,33,5,99,3,4,27,25
情報入手先,ボランティア,76,28,9,4,5,11,3,2,4,5,0,3,3,1,3,1,4,3,6,4,9,6,4,4,1,4,3,0,4,2
情報入手先,ホームヘルパー、ガイドヘルパーなどの支援者,206,27,79,7,20,21,9,30,14,19,8,13,4,3,8,2,8,8,13,10,21,18,6,5,2,28,3,1,39,42
情報入手先,医師や看護師、理学療法士、作業療法士などの医療関係者,367,152,57,9,13,15,6,31,8,22,12,16,8,2,12,5,18,5,21,18,19,23,6,11,4,33,2,0,53,50
情報入手先,テレビ,1551,1070,111,8,35,32,5,60,18,45,19,37,18,11,29,10,19,18,24,27,36,36,8,24,5,89,2,2,99,92
情報入手先,ラジオ,314,196,32,6,15,13,4,15,9,11,8,10,6,4,7,4,8,6,5,10,11,11,5,4,3,14,2,1,22,17
情報入手先,新聞,466,314,36,3,9,8,3,18,6,13,8,12,5,6,6,4,6,5,9,14,11,13,3,4,1,22,2,1,36,34
情報入手先,雑誌,199,141,12,2,6,6,3,8,6,5,4,7,5,4,1,2,2,0,5,6,5,5,0,4,1,8,2,2,11,10
情報入手先,障害者団体の会合や機関誌,80,26,8,3,3,7,1,7,0,4,0,3,2,3,6,4,4,5,5,3,5,10,3,3,0,12,3,1,8,6
情報入手先,検索エンジンを活用（Yahoo!、Googleなど）,743,543,44,9,13,13,2,12,4,20,4,14,19,5,23,6,20,5,20,15,22,21,4,15,3,29,3,2,51,37
情報入手先,インターネットのニュースサイトやニュースアプリ,1129,852,63,8,17,21,2,19,9,24,4,16,17,8,25,9,23,9,17,19,28,31,7,15,6,31,3,0,55,46
情報入手先,ＳＮＳ（X（旧Twitter）、Facebook、Instagram、TikTokなど）,808,613,40,6,8,13,5,12,8,16,3,11,21,6,33,7,17,4,14,15,15,20,10,10,6,18,2,0,43,18
情報入手先,動画配信サービス（YouTubeなど）,718,497,35,4,13,15,3,11,6,15,4,10,15,6,25,6,14,3,23,14,18,15,6,24,6,65,3,2,41,24
情報入手先,行政の窓口,164,89,15,2,6,5,1,9,5,5,3,3,7,4,9,5,6,4,17,14,9,19,4,4,2,10,2,0,18,11
情報入手先,区市町村などの広報誌,272,175,22,4,8,4,2,9,3,8,0,7,5,3,14,2,9,2,18,13,13,18,2,4,1,9,2,0,29,21
情報入手先,その他,16,5,1,1,0,0,0,1,0,0,2,1,0,0,2,0,0,1,1,1,1,1,0,0,0,2,0,0,1,3
情報入手先,わからない,84,56,2,3,0,1,1,2,0,1,0,3,0,2,1,0,0,1,1,3,1,2,0,1,0,6,1,0,5,5
情報入手先,得ていない,181,132,9,2,1,2,0,12,1,3,1,3,1,0,4,1,1,1,0,1,3,4,0,0,0,10,1,0,6,9
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツやフィットネスのゲーム（「ニンテンドースイッチスポーツ」や「リングフィットアドベンチャー」、「ウィーフィット」など）,515,331,37,6,18,18,7,18,9,13,0,12,16,6,14,7,10,6,17,16,11,23,14,24,6,39,5,2,14,7
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,実際に体を動かして行う、スポーツ以外のゲーム（「太鼓の達人」、「ドラゴンクエストソード」など）,390,216,36,6,23,18,7,14,13,14,2,7,11,8,13,5,9,3,13,17,9,14,7,23,7,38,6,3,12,8
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして一般的なコントローラーを操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,758,476,47,6,23,23,7,20,10,16,5,17,21,8,28,9,17,10,24,20,18,24,13,28,6,70,3,3,26,22
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,指先など体の一部を動かして障害の状態に応じた入力装置（フレックスコントローラーや視線入力装置、個人用にカスタムされたスイッチ等）を操作して行うゲーム（ポケットモンスター、スプラトゥーン、マインクラフト、ぷよぷよなど）,257,150,18,6,11,11,5,10,7,10,3,6,6,4,8,3,7,7,5,11,6,7,3,16,3,18,2,1,10,5
家庭用ゲーム機を使って行うスポーツ・フィットネス等の経験,やったことはない,2004,1362,132,15,28,40,7,104,15,53,35,40,15,8,51,5,21,19,20,30,47,45,4,13,1,114,2,2,134,130
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたい,1431,883,106,15,43,51,22,64,23,42,13,33,25,15,44,8,25,18,32,24,47,39,19,36,7,113,5,4,68,66
家庭用ゲーム機を使って行うスポーツ・フィットネス等の興味関心,やりたくない,1733,1197,112,13,24,28,7,76,9,42,30,32,15,7,43,9,18,14,16,26,28,38,6,15,1,90,1,1,109,99
デフリンピックの認知度,よく内容を知っている,187,90,24,8,11,16,8,12,9,8,1,4,3,3,3,3,8,4,4,8,3,11,11,6,3,12,3,2,3,3
デフリンピックの認知度,見たり聞いたりしたことがある,792,513,55,9,19,20,11,31,12,18,8,20,16,6,22,5,7,4,15,19,24,28,6,19,2,37,1,2,33,33
デフリンピックの認知度,知らない,2247,1514,143,12,40,45,10,98,13,59,34,41,23,14,64,11,30,25,32,30,49,42,8,30,6,159,4,1,143,129
デフリンピックに期待すること,競技観戦,393,241,35,8,17,19,7,18,7,13,4,9,8,6,12,3,6,6,6,9,9,20,9,14,3,28,3,0,14,22
デフリンピックに期待すること,記録の更新,195,108,24,5,11,6,2,8,6,9,1,8,3,2,4,2,5,2,3,7,8,9,5,3,1,13,2,0,6,12
デフリンピックに期待すること,日本人選手の活躍,724,464,55,9,17,24,3,33,13,20,7,18,11,8,17,8,16,5,12,19,19,29,9,12,4,45,3,0,38,41
デフリンピックに期待すること,外国人選手の活躍,183,120,12,2,3,5,4,10,5,7,0,4,3,2,4,3,3,4,0,6,3,9,2,5,0,7,1,0,7,10
デフリンピックに期待すること,国際交流の促進,291,185,21,1,9,10,2,13,6,14,1,10,8,2,7,3,7,3,8,12,12,15,3,8,2,17,3,0,18,14
デフリンピックに期待すること,大会記念グッズの展開,91,32,9,2,7,9,4,6,5,6,2,3,4,5,4,2,6,2,3,7,3,8,5,5,2,12,3,1,3,4
デフリンピックに期待すること,日本東京の観光、伝統文化や食などの海外発信,190,98,19,5,6,9,6,9,7,9,3,8,4,4,8,2,6,5,7,6,9,13,4,10,4,18,3,0,10,13
デフリンピックに期待すること,競技体験,104,55,9,1,5,4,1,10,7,4,2,3,2,1,5,2,5,3,5,5,5,8,3,8,2,13,4,1,5,4
デフリンピックに期待すること,大会への子供の参加,160,84,17,0,5,5,1,10,3,5,0,4,4,2,6,2,6,2,7,6,10,5,7,11,3,24,3,3,9,7
デフリンピックに期待すること,デジタル技術を活用したコミュニケーション,155,95,14,2,6,5,2,6,5,5,2,4,4,1,3,2,6,3,5,7,5,7,5,9,2,14,4,2,7,8
デフリンピックに期待すること,手話の普及と理解の促進,187,120,15,0,2,4,2,7,5,5,2,4,7,3,8,3,3,5,7,5,5,5,4,6,2,12,2,1,11,7
デフリンピックに期待すること,デフスポーツの普及と理解の促進,323,210,27,2,8,11,0,12,9,11,4,7,10,3,11,5,5,4,15,11,11,14,3,13,1,27,3,1,22,19
デフリンピックに期待すること,障害や障害者への理解の促進,593,357,47,5,13,20,3,29,7,22,9,16,11,7,25,9,11,9,25,10,24,21,5,22,3,58,3,4,41,37
デフリンピックに期待すること,その他,13,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,2
デフリンピックに期待すること,期待するものはない,1686,1195,98,13,27,21,6,64,9,39,23,22,16,7,42,4,19,18,18,24,30,29,4,13,2,89,1,0,106,88
