年度,区分,区分2,基金名,区分3,金額（億円）,備考
2017,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2017年度末残高（当初）,116,
2017,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2016年度最終補正後残高,1,
2017,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2017年度取崩額（当初）,0,
2017,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2017年度末残高（当初）,1,
2017,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2016年度最終補正後残高,3788,
2017,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2017年度取崩額（当初）,-265,
2017,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2017年度末残高（当初）,3525,
2017,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2016年度最終補正後残高,-1,
2017,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2017年度取崩額（当初）,0,
2017,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2017年度末残高（当初）,-1,
2017,財源として活用可能な基金,財政調整基金,財政調整基金,2016年度最終補正後残高,6228,
2017,財源として活用可能な基金,財政調整基金,財政調整基金,2017年度取崩額（当初）,0,
2017,財源として活用可能な基金,財政調整基金,財政調整基金,2017年度末残高（当初）,6229,
2017,合計,合計,合計,2016年度最終補正後残高,22370,
2017,合計,合計,合計,2017年度取崩額（当初）,-3394,
2017,合計,合計,合計,2017年度末残高（当初）,19035,
