経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
社福法人,江戸川かもめ第三事業所,134-0088,江戸川区西葛西７－２８－１８,139.86244,35.659,JGD2011,03-5676-1430
他の法人,ワークスペースことのはBooks,134-0091,江戸川区船堀２－２１－６　藤ビル１階,139.86176,35.68161,JGD2011,03-6456-0735
他の法人,Ｓｏｒａ,192-0001,八王子市戸吹町５５７,139.28345,35.71232,JGD2011,042-696-3108
社福法人,ESPRIT,192-0001,八王子市戸吹町１１１－３－１Ｆ　　,139.29999,35.70688,JGD2011,042-696-3381
社福法人,ぽぷら八王子,192-0001,八王子市戸吹町２１０４　株式会社エフピコ八王子ＰＷ工場内,139.2892,35.70714,JGD2011,042-696-5090
他の法人,まこもっちゃ,192-0005,八王子市宮下町４６５番地４,139.31049,35.70528,JGD2011,042-621-541
他の法人,あけぼの事業所,192-0011,八王子市滝山町１－５３－１,139.34106,35.68974,JGD2011,042-692-4113
他の法人,滝山事業所,192-0011,八王子市滝山町１－１２－１,139.3418,35.68787,JGD2011,042-696-3531
他の法人,梅坪事業所,192-0013,八王子市梅坪町１１６－１,139.34016,35.68695,JGD2011,042-696-5631
社福法人,八王子福祉作業所,192-0051,八王子市元本郷町４－１３－３,139.31326,35.66514,JGD2011,042-626-631
社福法人,いちょう工房　そら,192-0051,八王子市元本郷町２－１９－１,139.31847,35.66594,JGD2011,042-627-79
他の法人,かたつむり食堂,192-0051,八王子市元本郷町３－１６－１５,139.31552,35.66496,JGD2011,042-621-5367
他の法人,木馬工房,192-0051,八王子市元本郷町３－１７－１３,139.31551,35.66546,JGD2011,042-624-3340
他の法人,ミナモ,192-0051,八王子市元本郷町１－３１－１,139.32106,35.666,JGD2011,042-686-1689
他の法人,ほっとスペース八王子,192-0053,八王子市八幡町１３－２　ふくしまやビル２階,139.32812,35.66062,JGD2011,042-628-2319
社福法人,オープンスペース本郷町,192-0054,八王子市小門町７５－７　エイビット小門町ビル１・２階,139.32355,35.65935,JGD2011,042-625-7317
営利法人,桜草　追分工房,192-0056,八王子市追分町２２－４,139.31805,35.66185,JGD2011,042-697-7713
営利法人,いちょう企画,192-0066,八王子市本町４－７　東屋ビル,139.33443,35.66169,JGD2011,042-686-1870
他の法人,ファースト・ステップ,192-0071,八王子市八日町７－１８,139.32962,35.66088,JGD2011,042-649-7085
他の法人,きゃとる,192-0071,八王子市八日町１－４－１０１,139.33311,35.65956,JGD2011,042-634-9603
他の法人,クレヨンハウス,192-0073,八王子市寺町６８－２２,139.33437,35.65542,JGD2011,042-621-1344
社福法人,デイサービスＴＲＹ,192-0073,八王子市寺町６０－５,139.33437,35.65694,JGD2011,042-634-9067
社福法人,ピアわかくさ,192-0081,八王子市横山町２０－１９　橋本ビル２階・３階,139.33641,35.6605,JGD2011,042-631-9404
他の法人,ｌｙｋｋｅアカデミー,192-0081,八王子市横山町２５－１６　フロイデンビル２階,139.33994,35.66012,JGD2011,042-686-2833
他の法人,ＨＥＬＬＯＳ八王子,192-0082,八王子市東町１－６　橋完ＬＫビル５階,139.34068,35.65786,JGD2011,042-649-9945
社福法人,希望の里,192-0151,八王子市上川町３８８９,139.24167,35.70431,JGD2011,042-654-7311
社福法人,グループＧ,192-0153,八王子市西寺方町３６６　グランドソレイユ１階,139.26622,35.67478,JGD2011,042-650-5515
他の法人,ホープスカイ,192-0154,八王子市下恩方町１７４８－１　グローブ武田ビル店舗Ｂ,139.25957,35.6717,JGD2011,042-659-1383
他の法人,パン工房「うさぎとかめ」,192-0352,八王子市大塚４２２－３,139.42134,35.63983,JGD2011,042-689-6152
他の法人,草夢,192-0354,八王子市松が谷１１－５－１０２,139.41591,35.62817,JGD2011,042-682-3063
社福法人,かたくりの家,192-0355,八王子市堀之内１２３６,139.38853,35.63586,JGD2011,042-674-520
社福法人,由木工房,192-0355,八王子市堀之内１２３６－１,139.38853,35.63586,JGD2011,042-677-1685
他の法人,夢畑,192-0355,八王子市堀之内１０５２,139.40219,35.62971,JGD2011,042-653-9247
社福法人,ぷらさｄｅかたくり,192-0362,八王子市松木１４－１１,139.39117,35.62592,JGD2011,042-674-8653
他の法人,まんじゅう屋遊夢,192-0362,八王子市松木４８－１０　グランドール１０３、１０２,139.39453,35.6239,JGD2011,042-674-475
他の法人,ひなげし,192-0362,八王子市松木３５－７－１０２,139.39693,35.62508,JGD2011,042-675-3411
他の法人,パソコンサロン夢像,192-0363,八王子市別所１－１１－８　アルデバラン１０１,139.39821,35.62222,JGD2011,042-674-407
他の法人,夢来,192-0363,八王子市別所１－３－１８　ラソネット２０１、２０２,139.39763,35.62477,JGD2011,042-674-5994
社福法人,いちょう工房　ゆぎ,192-0372,八王子市下柚木２－１８－１６　ビーブル南大沢１０１,139.3777,35.62316,JGD2011,042-675-8887
営利法人,めだか販売店,192-0904,八王子市子安町１－２－６　南口駅前ビル５Ｆ,139.33928,35.65414,JGD2011,042-649-4410
他の法人,すまいる工房,192-0906,八王子市北野町５９３－１７　マンション浮羽１階,139.35263,35.65306,JGD2011,042-649-3373
営利法人,サポートセンター「なないろ」,192-0906,八王子市北野町５３７－９,139.35199,35.64753,JGD2011,042-649-3990
社福法人,浅川園,193-0801,八王子市川口町１５４３,139.29678,35.68365,JGD2011,042-654-4043
他の法人,きずな工房からまつ,193-0801,八王子市川口町１５５９－８,139.29805,35.68612,JGD2011,042-659-1885
営利法人,HACHIOJI FARMER'S KITCHEN　ふぁむ,193-0801,八王子市川口町３７２１－２,139.28712,35.68825,JGD2011,042-659-1722
他の法人,藍作業所,193-0803,八王子市楢原町３８４－５,139.31171,35.67667,JGD2011,042-623-2534
他の法人,そらいろ作業所,193-0811,八王子市上壱分方町２７４－１,139.28828,35.68016,JGD2011,042-659-1461
社福法人,八王子障害者総合支援センターとことこ,193-0824,八王子市長房町３７４－１０　１階,139.29825,35.65576,JGD2011,042-668-8848
社福法人,ひのき工房,193-0826,八王子市元八王子町２－１８３９－２,139.27609,35.65963,JGD2011,042-667-2158
他の法人,あらいと,193-0831,八王子市並木町１４－２０,139.30113,35.65146,JGD2011,042-663-6966
他の法人,プレワーク,193-0831,八王子市並木町３－３　グランドメゾン八王子１Ｆ,139.30507,35.65409,JGD2011,042-686-325
社福法人,ビーイングスペース萌,193-0834,八王子市東浅川町５２８－３　石井ビル,139.29353,35.64368,JGD2011,042-668-7226
他の法人,レストランあさかわ,193-0834,八王子市東浅川町５５１－１　八王子市東浅川保健福祉センター内,139.29314,35.64509,JGD2011,042-667-1771
社福法人,ふきのとう,193-0834,八王子市東浅川町６２５－５,139.29965,35.64325,JGD2011,042-667-4158
他の法人,れっつ,193-0834,八王子市東浅川町５２５－５　第五小池ビル１階,139.29518,35.64355,JGD2011,042-629-9010
他の法人,ワークポート,193-0835,八王子市千人町２－７－５,139.31187,35.65978,JGD2011,042-669-340
他の法人,森のぱんやさん,193-0835,八王子市千人町２－３－１,139.31375,35.65834,JGD2011,042-673-7827
社福法人,リサイクルわかくさ,193-0836,八王子市日吉町１３－３０　仁命堂マンション２階,139.31248,35.66162,JGD2011,042-624-9671
他の法人,ハッピーフルーツ,193-0841,八王子市裏高尾町３９７－１４,139.26619,35.64045,JGD2011,042-673-4255
他の法人,イル・ヴェント,193-0932,八王子市緑町２９１－５,139.32185,35.64657,JGD2011,042-686-2421
他の法人,アイワークス,193-0934,八王子市小比企町４８０－１　サニーヒルいそま２０７号,139.32018,35.64383,JGD2011,042-636-9993
他の法人,ココテラス,193-0934,八王子市小比企町５３６－３,139.31859,35.64184,JGD2011,042-683-3435
他の法人,花音,190-0003,立川市栄町４－３３－５　岡田ビル１階,139.42419,35.71233,JGD2011,042-535-4009
他の法人,キッチンさかえ,190-0003,立川市栄町３－２,139.42239,35.70792,JGD2011,042-540-1033
その他,栄福祉作業所,190-0003,立川市栄町５－３８－４,139.4245,35.71812,JGD2011,042-536-0549
社福法人,柏の葉,190-0004,立川市柏町４－６６－３,139.41566,35.73047,JGD2011,042-537-8547
他の法人,立川けやき福祉作業所,190-0011,立川市高松町３－２０－９　みくにローラー貸事務所１０１,139.41786,35.70333,JGD2011,042-522-0155
他の法人,リカバリーセンター転,190-0011,立川市高松町１－１７－２０,139.41808,35.70881,JGD2011,042-548-3561
他の法人,アイル,190-0011,立川市高松町３－２９－１５　浦野ハイツ１階２０２号室,139.42036,35.70288,JGD2011,042-849-2771
他の法人,柿の木カンパニー,190-0012,立川市曙町３－４－３　ウェルダン武藤ビル３階,139.42029,35.70009,JGD2011,042-523-2962
社福法人,ワークステーション立川,190-0013,立川市富士見町７－３３－３,139.39806,35.68917,JGD2011,042-521-1234
他の法人,たんぽぽ,190-0013,立川市富士見町１－１８－１０　ワコーレ立川１階１号室,139.39642,35.699,JGD2011,042-519-3159
他の法人,立川こぶし福祉作業所,190-0021,立川市羽衣町２－１７－１０　望月ビル,139.42914,35.69356,JGD2011,042-524-2482
他の法人,WORK SPACE hinata,190-0021,立川市羽衣町２－４１－１　羽衣第一ビル１階,139.42598,35.69376,JGD2011,042-512-9763
他の法人,テン,190-0021,立川市羽衣町２－５２－１１　１階,139.42931,35.6929,JGD2011,042-512-9136
他の法人,ワークショップモア,190-0022,立川市錦町１－１７－１１　モアコート貴１階,139.42113,35.69638,JGD2011,042-525-7754
社福法人,ワークセンターまことくらぶ,190-0022,立川市錦町６－２６－１５,139.41733,35.68465,JGD2011,042-521-3988
他の法人,いすきあ立川,190-0022,立川市錦町２－１－２６　Ｎｂｕｉｌｄｉｎｇ２０２,139.41441,35.69512,JGD2011,042-512-5979
他の法人,たちかわーく,190-0022,立川市錦町２－１２－９　１階,139.41367,35.69209,JGD2011,042-512-9315
社福法人,立川福祉作業所,190-0023,立川市柴崎町３－１３－１１,139.41185,35.69411,JGD2011,042-527-2721
他の法人,しらゆり福祉作業所,190-0023,立川市柴崎町３－１１－９,139.41341,35.6943,JGD2011,042-525-0022
他の法人,グループいもっこ,190-0033,立川市一番町３－６－１,139.38106,35.72831,JGD2011,042-531-6798
社福法人,武蔵野福祉作業所,180-0001,武蔵野市吉祥寺北町４－１２－２０,139.56587,35.713,JGD2011,0422-53-1782
社福法人,ワークセンターけやき,180-0001,武蔵野市吉祥寺北町４－１１－１６,139.56555,35.71499,JGD2011,0422-54-5096
社福法人,ワークステージりぷる,180-0001,武蔵野市吉祥寺北町４－１２－１１　北町ほっと館１階,139.56587,35.713,JGD2011,0422-60-2663
他の法人,ワークショップＭＥＷ,180-0006,武蔵野市中町３－４－９　ディアハイム武蔵野ビル１階,139.56412,35.71168,JGD2011,0422-36-2089
社福法人,八幡作業所,180-0011,武蔵野市八幡町４－５－５,139.55615,35.71934,JGD2011,0422-27-8390
他の法人,ゆうあい製作所,180-0012,武蔵野市緑町１－５－１６,139.56174,35.71431,JGD2011,0422-60-5353
社福法人,ワークイン関前,180-0014,武蔵野市関前３－４１－６,139.54953,35.71539,JGD2011,0422-37-6266
社福法人,武蔵境ワーキングセンター,180-0022,武蔵野市境南町３－１０－１,139.5415,35.70114,JGD2011,0422-33-1708
営利法人,カバーヌ,180-0022,武蔵野市境１－１７－６　興栄マンションむさしの１０６号,139.54669,35.70363,JGD2011,0422-55-1533
社福法人,チャレンジャー,180-0023,武蔵野市境南町４－２０－５,139.53691,35.69858,JGD2011,0422-30-3010
社福法人,むうぷ舎中原,181-0002,三鷹市牟礼７－５－１４－１階,139.57362,35.68239,JGD2011,0422-44-7507
他の法人,すきっぷ,181-0002,三鷹市牟礼３－８－１９,139.58061,35.68891,JGD2011,050-1558-1184
他の法人,ぽけっと工房,181-0002,三鷹市牟礼１－１８－１３　ハイツ白樺３号棟１階,139.58533,35.68466,JGD2011,0422-26-7123
社福法人,むうぷ舎新川,181-0004,三鷹市新川４－９－５,139.57092,35.67205,JGD2011,0422-44-7507
社福法人,食茶房むうぷ,181-0004,三鷹市新川６－９－２３,139.56808,35.6775,JGD2011,0422-43-4600
社福法人,ワークセンター　いくせい工房,181-0004,三鷹市新川３－１０－８－２階,139.5719,35.67849,JGD2011,0422-71-5499
社福法人,ワークセンターゆうゆう舎,181-0004,三鷹市新川３－１０－８　１階,139.5719,35.67849,JGD2011,0422-41-5959
他の法人,リビングハウスマム,181-0012,三鷹市上連雀２－１８－１６　１Ｆ,139.55612,35.69964,JGD2011,0422-41-8758
社福法人,巣立ち工房,181-0013,三鷹市下連雀４－１７－６　ミタカサンライズマンション１０２,139.56097,35.69373,JGD2011,0422-24-7739
社福法人,三鷹ひまわり第一共同作業所,181-0013,三鷹市下連雀４－８－２０,139.56287,35.6936,JGD2011,0422-76-0388
社福法人,三鷹ひまわり第二共同作業所,181-0013,三鷹市上連雀４－１－８　福祉コアかみれんＢ１,139.55896,35.69746,JGD2011,0422-48-5240
社福法人,三鷹ひまわり第三共同作業所,181-0013,三鷹市下連雀３－１１－８,139.56306,35.69781,JGD2011,0422-72-0231
社福法人,ワークセンターゆめ,181-0013,三鷹市下連雀４－１５－１８　下連雀複合施設１階,139.56152,35.69614,JGD2011,0422-48-8843
社福法人,ワークセンタータートルステップ,181-0013,三鷹市下連雀３－８－１３,139.56363,35.69941,JGD2011,0422-41-2180
社福法人,巣立ち風,181-0014,三鷹市野崎２－６－４２,139.54785,35.68307,JGD2011,0422-34-2761
社福法人,工房　時,181-0014,三鷹市野崎２－６－４１,139.54785,35.68307,JGD2011,0422-30-5571
社福法人,未来工房にじ,181-0015,三鷹市大沢１－６－３,139.54095,35.6707,JGD2011,0422-39-2411
社福法人,いいあさファーム,198-0001,青梅市成木３－３１５－５,139.26357,35.83031,JGD2011,0428-85-8676
他の法人,ポラリスワーク,198-0002,青梅市富岡１－１６８,139.29877,35.82604,JGD2011,0428-74-9124
営利法人,ダックス,198-0005,青梅市黒沢３－１７７８－１,139.25616,35.79982,JGD2011,0428-74-9546
他の法人,ジョイントワークひこばえ,198-0014,青梅市大門２－２６１－１,139.2917,35.79549,JGD2011,0428-32-8757
社福法人,なかま亭,198-0021,青梅市今寺４－６－２５,139.29955,35.79657,JGD2011,0428-32-8825
区市町村,青梅市自立センター　就労支援事業所,198-0023,青梅市今井五丁目２４３４番地の２,139.32863,35.79336,JGD2011,0428-32-1631
社福法人,かすみの里,198-0024,青梅市新町１－８－１,139.29781,35.78582,JGD2011,0428-30-7055
営利法人,自立支援塾クリード新町,198-0024,青梅市新町７－５４－６　クリード青梅新町,139.31378,35.78828,JGD2011,0428-33-1256
他の法人,自立支援塾クリード青梅,198-0032,青梅市野上町４－４－５　藤村ビル１階,139.28752,35.78819,JGD2011,0428-30-7103
他の法人,自立支援塾ぱん工房,198-0042,青梅市東青梅２－１８－５　セトル東青梅１０６・１０７,139.27466,35.79024,JGD2011,0428-84-2421
他の法人,和気あいあいグリーンハウス,198-0042,青梅市東青梅１－８－８　ケイ・コーナービル１階,139.27318,35.7892,JGD2011,0428-24-6825
社福法人,青梅福祉作業所,198-0043,青梅市千ケ瀬町３－３９３－４,139.2688,35.78476,JGD2011,0428-23-3612
社福法人,わかたけ作業所,183-0004,府中市紅葉丘１－２９－３,139.51237,35.67417,JGD2011,042-369-1185
社福法人,ギャロップ,183-0005,府中市若松町１－９－１,139.49915,35.66898,JGD2011,042-365-7363
他の法人,ケアチーム大芽,183-0005,府中市若松町１－２－５　芽生会ＢＬＤ,139.49571,35.67023,JGD2011,042-314-7014
社福法人,童里夢工房,183-0006,府中市緑町１－２６－１１,139.48531,35.67342,JGD2011,042-334-4083
他の法人,カンタービレ,183-0006,府中市緑町３－１８－１３　ロイヤルプラザ東府中１階,139.49406,35.67186,JGD2011,042-306-9253
社福法人,府中ひまわり園,183-0012,府中市押立町１－１７－１３,139.50966,35.65971,JGD2011,042-365-3715
社福法人,梅の木の家共同作業所,183-0015,府中市清水が丘２－２－４　ダイトビル１・２Ｆ,139.49486,35.66729,JGD2011,042-368-6841
社福法人,わかまつ共同作業所,183-0015,府中市清水が丘３－２－２０,139.49948,35.6677,JGD2011,042-334-3126
社福法人,集いの家,183-0026,府中市南町１－４５－１,139.47037,35.65764,JGD2011,042-360-0044
他の法人,毎日ＣＡＭＰ,183-0027,府中市本町１－１－２２,139.47804,35.66853,JGD2011,042-302-5959
社福法人,西府いこいプラザ,183-0031,府中市西府町３－２９－１７,139.45697,35.67886,JGD2011,042-354-6760
社福法人,作業所スクラム,183-0033,府中市分梅町５－２５－１,139.46388,35.66115,JGD2011,042-304-6000
他の法人,コットンハウス,183-0034,府中市住吉町２－１３－３　ベルメゾン住吉第２　１０１号室,139.45897,35.65796,JGD2011,042-368-2550
他の法人,プロジェクツけやきのもり,183-0034,府中市住吉町１－６０－１０,139.45995,35.66067,JGD2011,042-368-7989
社福法人,むさし結いの家,183-0042,府中市武蔵台１－８－１８　大貫ビル１階,139.4666,35.68768,JGD2011,042-340-4441
社福法人,レスポワール工房,183-0045,府中市美好町１－３０－３　シャロンベテル矢代１階,139.46857,35.67274,JGD2011,042-367-5080
他の法人,ちえホーム,183-0051,府中市栄町３－１２－１　メディカルビル・グレイス４階,139.46922,35.68819,JGD2011,042-314-2200
他の法人,FLAGS design,183-0054,府中市幸町２－１３－２９　府中ひだまり１０１号,139.48466,35.67886,JGD2011,042-315-4508
社福法人,ワークセンターこむたん,183-0056,府中市寿町３－３－６,139.47404,35.67354,JGD2011,042-306-8639
その他,社会福祉法人府中市社会福祉協議会「は～もにぃ」,183-0056,府中市寿町１－１　府中グリーンプラザ分館内,139.47888,35.67287,JGD2011,042-340-0212
社福法人,ワークショップさかえ,183-0057,府中市晴見町３－１８－７　晴見町ハイツ,139.47807,35.68587,JGD2011,042-336-5807
他の法人,ぷーやんあしながくらぶ２号館,196-0001,昭島市美堀町４－９－８,139.35294,35.72004,JGD2011,042-545-6640
社福法人,障害者就労プラザあいあい,196-0001,昭島市美堀町３－８－１　昭島市環境コミュニケーションセンター,139.35432,35.72346,JGD2011,042-546-6009
社福法人,昭島ひまわりの家,196-0002,昭島市拝島町２－５－１７,139.34087,35.70823,JGD2011,042-544-4485
他の法人,通所作業所こまくさ工房,196-0004,昭島市緑町２－２９－６,139.34875,35.71423,JGD2011,042-544-4461
社福法人,食工房ゆいのもり,196-0011,昭島市上川原町１－９－１５,139.36278,35.70959,JGD2011,042-542-5160
社福法人,ゆいのもりつつじが丘,196-0012,昭島市つつじが丘３－５－６－１０８,139.3683,35.71367,JGD2011,042-545-5451
社福法人,ゆいのもり田中町,196-0014,昭島市田中町１－１９－４,139.35486,35.70662,JGD2011,042-542-6776
社福法人,みしょう,196-0015,昭島市昭和町４－７－１　昭島市保健福祉センター内,139.36354,35.71101,JGD2011,042-544-5033
その他,あきしま福祉作業所,196-0015,昭島市昭和町５－８－２０,139.35959,35.71151,JGD2011,042-541-0742
社福法人,第１リサイクル洗びんセンター,196-0021,昭島市武蔵野３－２－１９,139.37791,35.71861,JGD2011,042-542-5800
社福法人,第２リサイクル洗びんセンター,196-0021,昭島市武蔵野３－２－１９,139.37791,35.71861,JGD2011,042-542-5800
他の法人,あんだんて,196-0022,昭島市中神町１１５７番地３０,139.37553,35.71208,JGD2011,042-519-2816
他の法人,MIRAI,196-0025,昭島市朝日町１－９－７　Ｋ・Ｋビル１０１号室,139.3741,35.70822,JGD2011,042-519-2942
他の法人,にこにこ食堂,196-0025,昭島市朝日町１－５－１１,139.37509,35.70802,JGD2011,042-541-0706
社福法人,創造印刷,182-0005,調布市東つつじケ丘２－２９－１,139.57703,35.65601,JGD2011,03-5314-7081
他の法人,だいち調布事業所,182-0005,調布市東つつじケ丘１－２－７　１階,139.57559,35.65874,JGD2011,03-6279-6482
他の法人,だいち調布第２事業所,182-0006,調布市西つつじケ丘４－２７－９－１０５,139.57573,35.65452,JGD2011,042-426-9555
他の法人,ゆうわーく,182-0006,調布市西つつじケ丘３－３２－２０　宝陽ビル２階,139.57388,35.65853,JGD2011,042-430-0844
他の法人,わかば第一事業所,182-0011,調布市深大寺北町５－３５－２６,139.55042,35.68056,JGD2011,042-484-1360
他の法人,第２ポピーの家,182-0015,調布市八雲台２－１１－２４,139.56075,35.65314,JGD2011,042-483-7090
他の法人,ぴいす,182-0017,調布市深大寺元町４－７－１２,139.54236,35.6685,JGD2011,042-230-9776
他の法人,めじろ作業所,182-0022,調布市国領町１－３－１　調布セントラルアパート１階,139.55125,35.65062,JGD2011,042-443-1633
他の法人,わかば第二事業所,182-0022,調布市国領町２－１８－１　アトラック国領１階,139.55962,35.65225,JGD2011,042-488-2870
他の法人,就労継続支援B型事業所ファーストステップ,182-0023,調布市染地３－１－９４６,139.55704,35.6399,JGD2011,042-426-4223
社福法人,しごと場大好き,182-0024,調布市布田３－２０－１,139.54785,35.64746,JGD2011,042-486-1022
他の法人,クッキングハウス,182-0024,調布市布田１－１０－５　稲毛家ビル１階,139.54626,35.65432,JGD2011,042-488-6369
社福法人,旭出調布福祉作業所,182-0026,調布市小島町３－２６－１,139.53586,35.64694,JGD2011,042-485-5885
社福法人,はあと・ふる・えりあ,182-0026,調布市小島町１－２２－７,139.5401,35.65489,JGD2011,042-490-8625
社福法人,調布くすの木作業所,182-0026,調布市小島町３－７２－２６,139.54176,35.64832,JGD2011,042-486-9129
他の法人,リフレッシュ工房,182-0026,調布市小島町１－４－１８　メゾン調布１０２号室,139.54158,35.6555,JGD2011,042-486-4531
区市町村,調布市知的障害者援護施設すまいる,182-0032,調布市西町２９０－４,139.52269,35.66634,JGD2011,042-481-7723
社福法人,シェア,182-0034,調布市下石原１－４２－１１,139.53401,35.65594,JGD2011,042-481-1157
他の法人,リサイクルショップ　不思議屋,182-0034,調布市下石原１－５－５,139.53487,35.65769,JGD2011,042-489-3754
社福法人,こひつじ舎,182-0035,調布市上石原１－３６－７,139.53252,35.65906,JGD2011,042-488-4433
他の法人,爽々苑,182-0035,調布市上石原３－７－８,139.52574,35.65388,JGD2011,042-480-8294
他の法人,高次脳機能障がい者活動センター調布ドリーム,182-0036,調布市飛田給２－２２－７,139.52402,35.65965,JGD2011,042-444-3068
社福法人,原町田スクエア,194-0013,町田市原町田５－４－１９,139.44977,35.54497,JGD2011,042-725-0786
他の法人,喫茶けやき,194-0013,町田市原町田４－２８－１　町田市立国際版画美術館内,139.45494,35.54449,JGD2011,042-728-8062
社福法人,ラ・ドロン,194-0022,町田市森野３－１９－１３,139.43915,35.55256,JGD2011,042-721-0402
営利法人,しんわ町田事業所,194-0022,町田市森野６－１９５－５　横山第３ビル１階,139.42839,35.55404,JGD2011,042-709-6066
他の法人,クローバーの会,194-0032,町田市本町田２５０７－４　町田木曽住宅ハ－１６－１０３,139.43564,35.56699,JGD2011,042-791-3357
他の法人,黎音,194-0032,町田市本町田３４８６　１－５０－１０１,139.44574,35.56961,JGD2011,042-860-7104
区市町村,町田市美術工芸館,194-0035,町田市忠生３－６－２２,139.41733,35.57758,JGD2011,042-793-2227
社福法人,町田おかしの家,194-0035,町田市忠生２－７－９,139.42595,35.57911,JGD2011,042-792-9773
社福法人,富士清掃サービス,194-0035,町田市忠生３－１８－１　コーポラス坂の上１０２,139.41423,35.57825,JGD2011,042-792-0757
社福法人,富士作業所,194-0035,町田市忠生２－２６－１２,139.42097,35.57945,JGD2011,042-792-0865
他の法人,森工房,194-0035,町田市忠生４－２３－６,139.41289,35.58019,JGD2011,042-792-3661
社福法人,就労継続支援事業Ｂ型なないろ,194-0037,町田市木曽西２－１７－１６,139.41527,35.56957,JGD2011,042-794-3252
社福法人,ボワ・アルモニー,194-0037,町田市木曽西２－９－１８,139.41325,35.57067,JGD2011,042-791-0144
社福法人,第２赤い屋根,194-0041,町田市玉川学園２－７－１３,139.46236,35.56198,JGD2011,042-785-5040
他の法人,福祉レストランフレンズ,194-0045,町田市南成瀬５－１２　町田市立総合体育館内,139.47917,35.53612,JGD2011,042-727-9844
社福法人,ベロニカ苑Ⅱ,194-0046,町田市西成瀬１－５１－２８,139.46599,35.54328,JGD2011,042-851-8572
区市町村,町田市大賀藕絲館,194-0202,町田市下小山田町３２６７,139.40848,35.58714,JGD2011,042-797-1616
社福法人,花の家,194-0202,町田市下小山田町３２６７－２,139.40848,35.58714,JGD2011,042-797-6004
社福法人,町田ゆめ工房,194-0211,町田市相原町２９８３－１５７,139.31288,35.6076,JGD2011,042-782-1491
他の法人,エッグドーム・スローワールド,194-0298,町田市相原町４３４２,139.29341,35.61339,JGD2011,042-782-6588
社福法人,ひあたり野津田,195-0063,町田市野津田町１８３２－５,139.436,35.58799,JGD2011,042-736-8421
他の法人,ワークショップ七国山,195-0063,町田市野津田町３４４５－３,139.44322,35.57977,JGD2011,042-736-1767
他の法人,町田リス園　,195-0071,町田市金井町７３３－１,139.45003,35.57748,JGD2011,042-734-1001
他の法人,クラフト工房Ｌａ　Ｍａｎｏ,195-0072,町田市金井５－１４－１８,139.46162,35.57825,JGD2011,042-736-1455
社福法人,こころみ,195-0074,町田市山崎町９９６,139.44041,35.57985,JGD2011,042-791-3388
社福法人,かがやき,195-0074,町田市山崎町１２１４－１,139.44037,35.57578,JGD2011,042-794-4888
営利法人,ノーマライゼーションK,195-0074,町田市山崎町２２００　山?団地名店街３－１８－１０４・１０５,139.43161,35.57292,JGD2011,042-794-9056
区市町村,小金井市福祉共同作業所,184-0002,小金井市梶野町５－１０－５８,139.52632,35.70354,JGD2011,042-383-1185
社福法人,小金井聖ヨハネ支援センター,184-0002,小金井市梶野町５－８－９,139.52461,35.70428,JGD2011,042-386-7731
他の法人,フラワー工房さくら,184-0004,小金井市本町６－５－３　シャトー小金井,139.5042,35.69926,JGD2011,042-386-3690
他の法人,あん工房,184-0004,小金井市本町３－８－１　第二佐藤ビル,139.50818,35.70604,JGD2011,042-385-1126
他の法人,にこにこファクトリー,184-0004,小金井市本町１－１４－１５,139.51057,35.69993,JGD2011,042-401-2556
社福法人,パン工房ノアノア,184-0004,小金井市本町四丁目１番１号,139.50676,35.70591,JGD2011,042-388-4020
社福法人,小金井生活実習所,184-0005,小金井市桜町２－４－３,139.50256,35.70986,JGD2011,042-381-2423
他の法人,共同作業所　希望の家,184-0011,小金井市東町２－２４－１７,139.53326,35.69857,JGD2011,0422-32-5071
他の法人,スペース楽,184-0011,小金井市東町４－１０－１４　第２黒沢コーポ１F,139.52373,35.69493,JGD2011,042-388-6456
他の法人,ワークセンター「あい」,184-0011,小金井市東町４－１７－１,139.5244,35.69593,JGD2011,042-387-5045
他の法人,木馬の会（ライブワークス）,184-0013,小金井市前原町１－８－５　サンテラス前原１０１,139.50862,35.68946,JGD2011,042-316-5438
他の法人,手づくり工房　たいさんぼく,184-0014,小金井市貫井南町４－１１－１１　グランバレイ１０２・１０５,139.49141,35.69624,JGD2011,042-380-8224
他の法人,ゆめ工房さくら,184-0015,小金井市貫井北町２－１８－６,139.49623,35.70755,JGD2011,042-385-6683
社福法人,小金井聖ヨハネワークセンター,184-0015,小金井市貫井北町２－１３－６,139.49817,35.70636,JGD2011,042-315-2238
社福法人,のぞみ作業所,187-0001,小平市大沼町２－１２－５,139.49596,35.74274,JGD2011,042-342-5711
社福法人,ワークセンター夢の樹,187-0001,小平市大沼町２－１－５,139.49225,35.73862,JGD2011,042-349-2587
社福法人,小平福祉園,187-0002,小平市花小金井８－１－１０,139.50266,35.73167,JGD2011,042-433-9330
社福法人,リズム工房,187-0002,小平市花小金井１－６－１３,139.51389,35.72971,JGD2011,042-410-2484
他の法人,８７５Ｂｅａｎｓ,187-0003,小平市花小金井南町１－１４－２,139.51271,35.72356,JGD2011,042-467-8750
社福法人,小平第二みどり作業所,187-0004,小平市天神町３－７－１６,139.49947,35.73102,JGD2011,042-313-4461
社福法人,あしたば作業所,187-0011,小平市鈴木町２－１８７－３,139.50702,35.72341,JGD2011,042-467-8071
