施設の名称,施設所在地,施設所在地ビル名,営業者氏名,営業者住所,営業の種類,施設電話番号,届出日,営業者電話番号,代表者氏名
セブン－イレブン　西東京柳沢東伏見店,東京都西東京市柳沢２丁目１番８号,,,,コンビニエンスストア,042-461-9077,2021/6/7,,
セブンイレブン西東京柳沢２丁目店,東京都西東京市柳沢２丁目２番１３号,,有限会社ストリームよしだ,東京都東久留米市幸町４丁目２番１号,コンビニエンスストア,042-465-5711,2021/6/7,042-471-0045,吉田　輝男
本間商店,東京都西東京市柳沢２丁目２番４号,,,,精穀・製粉業,042-461-2721,2021/9/28,,
三河屋,東京都西東京市柳沢２丁目２番９号,,,,その他の食料・飲料販売業(店舗),042-461-4966,2021/10/14,,
有限会社　般戸青果,東京都西東京市柳沢２丁目３番１３号,１０３,有限会社般戸青果,東京都西東京市柳沢２丁目３番１３号１０３,野菜果物販売業(自動車以外),042-462-6714,2021/11/19,042-462-6714,矢部　正
らーめん龍,東京都西東京市柳沢２丁目７番１号,,合同会社RYU,東京都西東京市柳沢２丁目７番１号,調味料製造・加工業,,2022/7/6,,菅谷　道成
ファミリーマート柳沢南口店,東京都西東京市柳沢６丁目１番１号,,株式会社ＮＴＳサービス,東京都東久留米市柳窪１丁目１０番３７号,コンビニエンスストア,042-451-9573,2022/8/17,042-653-3439,笠原　史久
コーヒーショップチャオ,東京都西東京市柳沢６丁目１番２号,タイエイビル１階,,,乳類販売業(ショーケース売り),0424-67-2958,2021/6/1,,
丸茂商店,東京都西東京市柳沢６丁目７番１２号,,,,その他の食料・飲料販売業(店舗),042-453-0295,2024/3/21,,
HOPPA柳沢保育園,東京都西東京市柳沢６丁目８番２号,,,,集団給食施設(児童福祉施設Ⅰ),0424608130,2021/12/7,,
デニーズ　保谷柳沢店,東京都西東京市柳沢二丁目１８番４５号,,株式会社セブン＆アイ・フードシステムズ,東京都千代田区二番町８番地８,その他の食料・飲料販売業(店舗),,2021/11/11,,
東京みらい農業協同組合　西東京支店　西東京ふれあい新鮮館,東京都西東京市緑町１丁目１番２３号,,東京みらい農業協同組合,東京都東久留米市幸町３丁目７番２号,野菜果物販売業(自動車以外),042-452-5566,2023/10/17,042-477-0037,大山　裕視
西東京市立　田無保育園,東京都西東京市緑町１丁目２番２６号,,社会福祉法人　大誠会,東京都西東京市北原町２丁目１番１４号,集団給食施設(児童福祉施設Ⅱ),042-461-4478,2021/10/12,042-461-4478,海老沢　憲一
セブン－イレブン西東京緑町２丁目店,東京都西東京市緑町２丁目１４番２２号,,株式会社INFINI,東京都西東京市緑町２丁目１４番２２号,コンビニエンスストア,042-463-7661,2021/6/15,042-463-7661,八木　弘
社会福祉法人たつの子の会　西東京市立みどり保育園,東京都西東京市緑町２丁目１５番１２号,,社会福祉法人　たつの子の会,東京都羽村市五ノ神２丁目６番地２０号,集団給食施設(児童福祉施設Ⅱ),0424-62-6261,2021/10/12,042-462-6261,武田　美代子
田無病院/エバグリーン田無/介護医療院,東京都西東京市緑町3-6-1,,医療法人財団緑秀会,東京都西東京市緑町3-6-1,集団給食施設(病院・診療所Ⅱ),,2021/11/8,,
セブン―イレブン　田無谷戸店,東京都西東京市緑町３丁目５番２８号,,有限会社ストリームよしだ,東京都東久留米市幸町４丁目２番１号,コンビニエンスストア,042-467-0045,2021/6/15,042-471-0045,吉田輝男
いずみや,東京都西東京市緑町３丁目８番３号,１０９,,,その他の食料・飲料販売業(店舗),0424-67-7876,2022/5/9,,
青ヶ島村学校給食,東京都青ヶ島村無番地,,青ヶ島村,東京都青ヶ島村無番地,集団給食施設(学校・幼稚園Ⅰ),04996-9-0121,2021/10/28,,
御宿　為朝,東京都青ヶ島村無番地,,,,調味料製造・加工業,04996-9-0410,2021/6/22,,
十一屋,東京都青ヶ島村無番地,,,,その他の食料・飲料販売業(店舗),04996-9-0135,2021/6/22,,
民宿 かいゆう丸,東京都青ヶ島村無番地,,,,調味料製造・加工業,04996-9-0093,2023/1/18,,
マツミ荘,東京都青ヶ島村無番地,,,,調味料製造・加工業,04996-9-0162,2021/6/22,,
塩船観音寺売店,東京都青梅市塩船１９４番地,,宗教法人　観音寺,東京都青梅市塩船１９４番地,その他の食料・飲料販売業(店舗),0428-22-6677,2021/7/28,0428-22-6677,橋本　公延
塩船園,東京都青梅市塩船２５７番地の１,,社会福祉法人　東京武尊会,東京都青梅市成木１丁目６３４番地の７,集団給食施設(社会福祉施設Ⅱ),0428-21-1011,2021/6/18,0428-20-0770,野村　有信
セブンイレブン河辺駅北口店,東京都青梅市河辺町１０丁目１番地の２,,株式会社カネコストアー,東京都青梅市河辺町５丁目９番地の１,コンビニエンスストア,0428-23-2617,2021/6/3,0428-22-0745,金子　英雄
ファッション　美麗,東京都青梅市河辺町１０丁目１番地の３,スプリングビル１F,株式会社　八方商事,東京都青梅市新町１丁目２６番地の１２,その他の食料・飲料販売業(店舗),,2022/8/18,0428-27-1306,市川　馨盈
マルシン　河辺店,東京都青梅市河辺町１０丁目１番地の４,,有限会社フレッシュグリーン・マルシン,東京都羽村市羽加美１丁目１１番１２,野菜果物販売業(自動車以外),0428-25-8750,2021/7/21,042-578-8401,末村　春子
ミニコスット,東京都青梅市河辺町１０丁目５番地の２,,,,コンビニエンスストア,,2023/11/6,,
ぎょうざの満洲　河辺北口店,東京都青梅市河辺町１０丁目６番地の１,トミタワー１階,株式会社　ぎょうざの満洲,埼玉県川越市的場新町２１番地１,その他の食料・飲料販売業(包装),0428-25-8266,2021/7/5,049-273-9333,池野谷　ひろみ
ファミリーマート河辺駅北口店,東京都青梅市河辺町１０丁目６番地の６,,,,コンビニエンスストア,042-825-8311,2021/11/12,,
イオンスタイル河辺,東京都青梅市河辺町１０丁目７番地の１,河辺タウンビルA棟,イオンリテール株式会社,千葉県千葉市美浜区中瀬１丁目５番地１,乳類販売業(ショーケース売り),0428-20-1090,2001/6/1,043-212-6500,井出　武美
イオンスタイル河辺,東京都青梅市河辺町１０丁目７番地の１,,イオンリテール株式会社,千葉県千葉市美浜区中瀬１丁目５番地１,百貨店、総合スーパー,0428-20-1090,2021/7/26,,
リンガーハット　イオンスタイル河辺店,東京都青梅市河辺町１０丁目７番地の１,河辺タウンビルA　１階,リンガーハットジャパン株式会社,長崎県長崎市鍛冶屋町６番５０号,その他の食料・飲料販売業(店舗),042-825-8755,2021/7/28,095-826-8117,福原　扶美男
サンジェルマンイオンスタイル河辺店,東京都青梅市河辺町１０丁目７番地の１,,株式会社サンジェルマン,神奈川県横浜市港北区新羽町６８８号,その他の食料・飲料販売業(電子申請（未区分）),0428229938,2021/10/28,,
ダイソー　イオンスタイル河辺店,東京都青梅市河辺町１０丁目７番地の１,イオンスタイル河辺４階,株式会社大創産業,広島県東広島市西条吉行東一丁目４番１４号,その他の食料・飲料販売業(電子申請（未区分）),,2021/10/28,,
無印良品イオンスタイル河辺,東京都青梅市河辺町１０丁目７番地の１,イオンスタイル河辺3F,株式会社良品計画,東京都文京区後楽２丁目５番１号,その他の食料・飲料販売業(店舗),0428202025,2021/11/17,,
社会福祉法人　東京武尊会　青梅河辺温泉デイサービスセンター　湯梅の郷,東京都青梅市河辺町１０丁目８番地の１,河辺タウンビルＢ　1階,社会福祉法人東京武尊会,東京都青梅市成木１丁目６３４番地７,集団給食施設(社会福祉施設Ⅰ),0428-20-1526,2021/11/30,0428-74-5105,野村　有信
株式会社西友 河辺店,東京都青梅市河辺町１０丁目９番地の１,,株式会社西友,東京都武蔵野市吉祥寺本町１丁目１２番１０号,百貨店、総合スーパー,0428-24-6711,2021/9/13,,
バーミヤン 青梅河辺店,東京都青梅市河辺町４丁目１４番地の２,,株式会社すかいらーくレストランツ,東京都武蔵野市西久保１丁目２５番８号,その他の食料・飲料販売業(店舗),0428-20-7005,2021/11/5,,
河辺保育園,東京都青梅市河辺町４丁目２０番地の１２,,社会福祉法人河辺保育園,東京都青梅市河辺町４丁目２０番地の１２,集団給食施設(児童福祉施設Ⅱ),0428-22-1321,2021/10/7,0428-22-1321,市川　薫
すき家　青梅河辺店,東京都青梅市河辺町５丁目２５番地の１,,株式会社すき家,東京都港区港南２丁目１８番１号,その他の食料・飲料販売業(店舗),,2021/12/3,,
ＨＩＭＡＷＡＲＩ　ＦＲＥＳＨ　ＦＯＯＤ,東京都青梅市河辺町５丁目８番地の１４,,向日葵株式会社,東京都福生市大字福生８８３番地３バームハイツ福生弐番館１Ｆ,その他の食料・飲料販売業(店舗),,2021/9/24,,ブィ・ティエン・ダット
セブンイレブン青梅河辺駅南口店,東京都青梅市河辺町５丁目９番地の１,,株式会社カネコストアー,東京都青梅市河辺町５丁目９番地の１,コンビニエンスストア,0428-22-0745,2021/6/17,0428-22-0745,金子　英雄
ドラッグセイムス青梅河辺6丁目店,東京都青梅市河辺町6-10-1,,株式会社富士薬品,埼玉県さいたま市大宮区桜木町４丁目３８３番地,その他の食料・飲料販売業(店舗),0428-20-1765,2021/10/22,,
セブンイレブン青梅河辺町６丁目店,東京都青梅市河辺町６丁目１０番地の２,,,,コンビニエンスストア,0428-22-0260,2021/6/3,,
青梅梨の木保育園,東京都青梅市河辺町６丁目１２番地の３,,社会福祉法人　梨の木福祉会,東京都青梅市河辺町６丁目１２番地の３,集団給食施設(児童福祉施設Ⅱ),0428-24-7481,2021/10/6,0428-24-7481,小山　豊
ファミリーマート青梅河辺町六丁目店,東京都青梅市河辺町６丁目２０番地の３,,,,コンビニエンスストア,0428-20-6737,2021/11/16,,
から好し 青梅河辺店,東京都青梅市河辺町６丁目４番地の８,,株式会社すかいらーくレストランツ,東京都武蔵野市西久保一丁目２５番８号,その他の食料・飲料販売業(電子申請（未区分）),0428-25-8230,2021/10/26,,
ニチイケアセンター河辺,東京都青梅市河辺町６丁目５番地の９,,株式会社ニチイ学館,東京都千代田区神田駿河台２丁目９番地,集団給食施設(社会福祉施設Ⅰ),0428-20-1731,2021/11/29,03-3291-2121,森　信介
ドラッグセイムス青梅河辺店,東京都青梅市河辺町7-7-1,,株式会社富士薬品,埼玉県さいたま市大宮区桜木町４丁目３８３番地,その他の食料・飲料販売業(店舗),0428-30-7441,2021/10/22,,
新町西保育園,東京都青梅市河辺町７丁目１４番地の２,,社会福祉法人新町保育会,東京都青梅市新町２丁目２１番地の９,集団給食施設(児童福祉施設Ⅱ),0428-31-1429,2021/10/26,0428-31-5302,高野　好男
青梅幼稚園,東京都青梅市河辺町７丁目２番地の３,,学校法人久山学園,東京都青梅市河辺町７丁目２番地の３,集団給食施設(学校・幼稚園Ⅰ),0428-31-0373,2022/9/1,0428-31-0373,横山　牧人
相模原(相模480つ1587)_東京都エリア,東京都青梅市河辺町８丁目１４番地の３,,株式会社モビーズ,神奈川県横浜市中区扇町２丁目４－４,その他の食料・飲料販売業(電子申請（未区分）),,2023/12/26,,
セブン-イレブン　青梅河辺東店,東京都青梅市河辺町８丁目３番地の２,,有限会社　合田商店,東京都青梅市新町７丁目３番地の１８,コンビニエンスストア,0428-32-3975,2023/6/30,0428-32-5535,合田　秀敏
セブンイレブン　青梅河辺町８丁目店,東京都青梅市河辺町８丁目９番地の３,,,,コンビニエンスストア,0428-32-0885,2021/6/3,,
ビッグ・エー青梅河辺町店,東京都青梅市河辺町９丁目６番地の２,,株式会社ビッグ・エー,東京都板橋区大山東町２５番１３号,百貨店、総合スーパー,042-821-1575,2021/11/10,,
ｍａｒｕ．+ ＢＥＡＮＳ ＣＡＦＥ,東京都青梅市駒木町１丁目８４３番地,,有限会社　心のひろば,東京都青梅市河辺町１丁目８１６番地の１０,その他の食料・飲料販売業(包装),0428-84-0260,2022/4/18,0428-78-3461,"井上　信太郎
井上　信太郎
井上　信太郎"
?橋酒店,東京都青梅市駒木町１丁目８４７番地,,,,乳類販売業(ショーケース売り),0428-22-3032,2021/6/1,,
社会福祉法人　駒木野保育園,東京都青梅市駒木町２丁目４６番地の１,,社会福祉法人　駒木野保育園,東京都青梅市駒木町２丁目４６番地の１,集団給食施設(児童福祉施設Ⅱ),0428-22-4804,2021/6/15,0428-22-4804,武藤勝則
亀の井ホテル青梅,東京都青梅市駒木町３丁目６６８番地の２,,株式会社マイステイズ・ホテル・マネジメント,東京都港区六本木六丁目2番31号,その他の食料・飲料販売業(店舗),0428-23-1171,2022/3/25,03-6866-4347,代田　量一
御岳登山鉄道,東京都青梅市御岳２丁目４８３番地,,株式会社東京フィナンシャルコンサルタンツ,東京都青梅市木野下２丁目２３４番地の１２,その他の食料・飲料販売業(電子申請（未区分）),,2023/3/20,,
滝本売店,東京都青梅市御岳２丁目４８３番地,,御岳登山鉄道株式会社,東京都青梅市御岳２丁目４８３番地,その他の食料・飲料販売業(店舗),0428-78-8121,2021/6/21,0428-78-8121,佐田　貴宏
MITAKE　TERRACE,東京都青梅市御岳２丁目４８３番地,,桜ホテルズ株式会社,東京都渋谷区２丁目１４番１５号,その他の食料・飲料販売業(店舗),,2021/11/1,03-5467-3802,嶋田　美恵子
駒鳥売店,東京都青梅市御岳山１４６番地,,有限会社　駒鳥売店,東京都青梅市御岳山１４６番地,その他の食料・飲料販売業(店舗),0428-78-9298,2024/6/17,0428-78-9298,馬場　欣哉
御岳山売店,東京都青梅市御岳山１７番地,,御岳登山鉄道株式会社,東京都青梅市御岳２丁目４８３番地,乳類販売業(ショーケース売り),0428-78-8497,2001/6/1,0428-78-8121,佐田　貴宏
御岳山売店,東京都青梅市御岳山１７番地,,御岳登山鉄道株式会社,東京都青梅市御岳２丁目４８３番地,その他の食料・飲料販売業(店舗),0428-78-8497,2021/10/5,0428-78-8121,佐田　貴宏
展望食堂,東京都青梅市御岳山１７番地,,御岳登山鉄道株式会社,東京都青梅市御岳２丁目４８３番地,その他の食料・飲料販売業(店舗),0428-78-8121,2021/6/21,0428-78-8121,佐田　貴宏
山の上広告株式会社,東京都青梅市御岳山１７番地２,,山の上広告株式会社,東京都青梅市藤橋三丁目１８番地１４,その他の食料・飲料販売業(店舗),,2021/11/2,0428-31-8881,奥住尚弘
原島荘,東京都青梅市御岳山６５番地,,,,その他の食料品製造・加工業(食料品製造・加工),0428-78-8973,2024/6/17,,
特別養護老人ホーム御岳園,東京都青梅市御岳本町１６３番地の１,,社会福祉法人　東京武尊会,東京都青梅市成木１丁目６３４番地の７,集団給食施設(社会福祉施設Ⅱ),0428-79-0802,2024/4/15,0428-74-5105,野村　有信
命のかずら老庵,東京都青梅市御岳本町２０７番地,,有限会社アールズ,東京都江戸川区北葛西４丁目４番４号－１１０１,製茶業,0428-74-9011,2023/8/8,0428-74-9011,老田　洋子
火の鳥　御岳店,東京都青梅市御岳本町３３９番地の１,,株式会社チャス,東京都青梅市野上町２丁目９番地２６,その他の食料・飲料販売業(店舗),,2022/8/8,,菊池　康弘
（有）向山食品　御岳店,東京都青梅市御岳本町３４０番地の１,,有限会社　向山食品,東京都青梅市藤橋２丁目５２７番地の６,その他の食料・飲料販売業(店舗),,2024/3/12,0428-31-3225,向山　利彦
（有）向山食品　御岳店,東京都青梅市御岳本町３４０番地の１,,有限会社　向山食品,東京都青梅市藤橋２丁目５２７番地の６,その他の食料・飲料販売業(店舗),,2024/1/23,0428-31-3225,向山　利彦
医療法人社団　純正会　青梅東部病院,東京都青梅市黒沢１丁目６１９番地の９,,医療法人社団　純正会　,東京都練馬区東大泉７丁目３６番１０号,集団給食施設(病院・診療所Ⅱ),0428-74-7711,2021/6/14,,作田　美緒子
有限会社カネヒロ食品,東京都青梅市今井１丁目１１５番地の１,,有限会社カネヒロ食品,東京都青梅市今井１丁目１１５番地の１,その他の食料品製造・加工業(食料品製造・加工),0428-31-5945,2023/6/20,0428-31-5945,神山　典久
中里園,東京都青梅市今井１丁目２３０番地,,,,製茶業,0428-31-6836,2021/9/28,,
社会福祉法人天使園　青梅天使園,東京都青梅市今井１丁目２６０９番地の１,,社会福祉法人　天使園,東京都青梅市今井１丁目２６０９番地の１,集団給食施設(社会福祉施設Ⅱ),0428-32-2250,2021/9/9,0428-32-2250,池田　幸司
有限会社　柳丸　今井店,東京都青梅市今井１丁目３６６番地の３,,有限会社柳丸,東京都青梅市西分町３丁目１０４番地,その他の食料・飲料販売業(店舗),0428-32-3549,2023/6/15,0428-22-5349,加藤　栄次郎
すずらん,東京都青梅市今井１丁目４３番地の１,,株式会社日本クリード,東京都中央区東日本橋３丁目６番１８号,集団給食施設(社会福祉施設Ⅰ),0428-34-9310,2022/5/17,03-5643-6150,浅葉　秀実
有限会社やますぎ,東京都青梅市今井２丁目１０４０番地の１,,有限会社やますぎ,東京都青梅市今井２丁目１０４０番地の１,製茶業,0428-31-5708,2021/8/16,0428-31-5708,杉田　裕彦
海野水産,東京都青梅市今井２丁目１０４７番地の７,,,,その他の食料・飲料販売業(店舗),0428-85-8787,2023/6/12,,
特別養護老人ホーム 杜の園,東京都青梅市今井２丁目１０７９番地,,社会福祉法人 七日会,東京都青梅市今井２丁目１０７９番地,集団給食施設(社会福祉施設Ⅱ),0428-32-7699,2021/6/17,0428-32-7699,森谷　修三
今井城学園,東京都青梅市今井２丁目１２０７番地の８,,社会福祉法人　天使園,東京都青梅市今井２丁目１２０７番地８,集団給食施設(児童福祉施設Ⅰ),0428-31-2277,2021/6/11,0428-31-2277,池田 幸司
有限会社タマ食品３,東京都青梅市今井２丁目７５５番地,,有限会社　タマ食品,東京都青梅市今井２丁目７３７番地,調味料製造・加工業,0428-31-3769,2021/10/21,0428-31-3769,若林　正樹
茶のサシダ園,東京都青梅市今井２丁目７５９番地,,,,製茶業,0428-31-3861,2021/10/11,,
有限会社タマ食品１,東京都青梅市今井２丁目７９６番地の１,,有限会社　タマ食品,東京都青梅市今井２丁目７３７番地,調味料製造・加工業,0428-31-3769,2021/10/21,0428-31-3769,若林　正樹
有限会社　寿庵,東京都青梅市今井２丁目７９６番地の１,,有限会社　寿庵,東京都青梅市今井２丁目７３７番地,その他の食料・飲料販売業(店舗),0428-31-2793,2021/10/21,0428-31-2793,若林　正樹
(有)　杉田園,東京都青梅市今井２丁目９１３番地,,有限会社　杉田園,東京都青梅市今井２丁目９１３番地,製茶業,0428-31-3770,2021/10/1,0428-31-3770,杉田　茂
社会福祉法人　仁育会　特別養護老人ホーム　青梅療育院,東京都青梅市今井３丁目１２番地の６,,社会福祉法人　仁育会,東京都青梅市今井３丁目１２番地の６,集団給食施設(社会福祉施設Ⅱ),0428-31-8055,2021/7/12,0428-31-8055,宇津木　敏郎
ファミリーマート青梅今井店,東京都青梅市今井３丁目１８番地の２,,,,コンビニエンスストア,0428-33-3521,2021/11/12,,
ファミリーマート青梅インター,東京都青梅市今井３丁目１番地の１,,株式会社ファミリーマート,東京都港区芝浦三丁目１番２１号,コンビニエンスストア,042-830-7088,2022/3/15,03-3989-6600,細見　研介
セブン-イレブン　青梅インター店,東京都青梅市今井３丁目２番地の１,,桑田商事株式会社,東京都青梅市上町３５０番地,コンビニエンスストア,0428-33-6656,2021/6/3,0428-23-2221,桑田　新一
クリード青梅・今井,東京都青梅市今井３丁目３０番地の７,クリード青梅　今井寮,株式会社日本クリード,東京都中央区東日本橋３丁目６番１８号,集団給食施設(社会福祉施設Ⅰ),0428-30-7103,2021/11/29,,
（株）日立製作所ヘルスケア東京事業所４Ｆ,東京都青梅市今井３丁目７番地の１９,,西武商事株式会社,埼玉県狭山市大字北入曽１１６９番地の１,弁当販売業(自動車以外),,2024/5/16,04-2957-2900,清水　威志
社会福祉法人　一石会　特別養護老人ホーム　大洋園,東京都青梅市今井５丁目２４４０番地の１４１,,社会福祉法人　一石会,東京都青梅市今井５丁目２４４０番地の１４１,集団給食施設(社会福祉施設Ⅱ),0428-31-3666,2021/6/16,0428-31-3666,大堀　洋一
社会福祉法人今寺保育園,東京都青梅市今寺１丁目５３１番地２,,社会福祉法人今寺保育園,東京都青梅市今寺１丁目５３１番地２,集団給食施設(児童福祉施設Ⅱ),0428-31-1268,2021/10/22,0428-31-1268,加藤　孝一
デイサービスほほえみ,東京都青梅市今寺３丁目４１８番地の５,,株式会社椋晃,東京都青梅市今寺１丁目５３３番地,集団給食施設(社会福祉施設Ⅰ),0428-31-6363,2022/9/7,0428-31-6363,増田　勝彦
ファミリーマート　青梅今寺店,東京都青梅市今寺３丁目４４１番地の６,,株式会社ファミリーマート,東京都港区芝浦３丁目１番２１号,コンビニエンスストア,0428-30-7487,2021/7/5,03-6436-7717,細見　研介
青梅大学いも学部,東京都青梅市今寺４丁目１０番地,今寺4丁目運動広場,,,その他の食料・飲料販売業(包装),,2024/5/7,,
ラヴィスタ青梅　今寺,東京都青梅市今寺４丁目１５番地の５,,株式会社ベストパートナー,東京都渋谷区恵比寿１丁目２６－１４,集団給食施設(社会福祉施設Ⅰ),0428-78-0091,2021/11/12,03-5447-8873,森　勝巳
ジェーソン　青梅今寺店,東京都青梅市今寺４丁目４番地の２,,株式会社ジェーソン,千葉県柏市大津ケ丘２丁目８番５号,その他の食料・飲料販売業(電子申請（未区分）),0428-32-8733,2021/10/26,,
セブン-イレブン青梅今寺４丁目店,東京都青梅市今寺４丁目４番地の７,,,,コンビニエンスストア,0428-31-8550,2021/6/3,,
担々麺　杉山,東京都青梅市今寺４丁目５番地の２４,村野ビル１階,,,その他の食料・飲料販売業(店舗),0428-31-9633,2021/7/12,,
株式会社小山畜産青梅工場,東京都青梅市今寺５丁目１０番地の４,,株式会社　小山畜産,東京都青梅市今寺５丁目１０番地の４,調味料製造・加工業,0428-31-1818,2024/2/28,0428-31-1818,小山　武也
ウエルシア青梅今寺店,東京都青梅市今寺５丁目１３番地の１,,ウエルシア薬局株式会社,東京都千代田区外神田二丁目２番１５号,乳類販売業(ショーケース売り),0428-30-0621,2001/6/1,03-5209-5672,水野　秀晴
ウエルシア青梅今寺店,東京都青梅市今寺５丁目１３番地の１,,ウエルシア薬局株式会社,東京都千代田区外神田2丁目2番15号,百貨店、総合スーパー,0428-30-0621,2021/12/16,,
ヤオコー　青梅今寺店,東京都青梅市今寺５丁目１４番地の１,,株式会社ヤオコー,埼玉県川越市新宿町１丁目１０番地１,百貨店、総合スーパー,0428-30-7311,2021/9/14,,
株式会社　チアフル,東京都青梅市今寺５丁目８番地の１,,株式会社チアフル,東京都青梅市今寺５丁目８番地の１,その他の食料品製造・加工業(食料品製造・加工),0428-32-3093,2022/4/5,0428-32-3093,市川　和子
萬金堂,東京都青梅市根ヶ布１丁目３２０番地の４,,,,コーヒー製造・加工業（飲料の製造を除く。）,,2024/2/13,,
おうめクレープ,東京都青梅市根ヶ布１丁目６４２番地の１,,株式会社東京ファイナンシャルコンサルタンツ,東京都青梅市木野下２丁目２３４番地の１２,その他の食料・飲料販売業(包装),0428-34-9207,2023/10/30,0428-34-9207,佐藤　洋
小山製菓,東京都青梅市根ヶ布１丁目６４２番地の１,,,,その他の食料・飲料販売業(包装),0428-31-2700,2023/10/30,,
@Herbs,東京都青梅市根ヶ布２丁目２３７番地の４６４,,,,製茶業,,2022/9/26,,
青梅みどり第二保育園,東京都青梅市師岡町１丁目１１３番地の２０,,社会福祉法人　青梅みどり福祉会,東京都青梅市師岡町４丁目８番地の８,集団給食施設(児童福祉施設Ⅱ),0428-24-7400,2021/7/6,0428-23-3600,原嶋　邦利
MDGYM,東京都青梅市師岡町２丁目３２番地の４,ラークビル２階,増田電気工事合資会社,埼玉県飯能市上名栗２５９５－４,その他の食料・飲料販売業(店舗),,2021/7/13,042-979-1076,増田　正
セブン－イレブン青梅師岡町２丁目店,東京都青梅市師岡町２丁目３８３番地の５,,,,コンビニエンスストア,0428-21-4447,2022/12/20,,
いなげや青梅師岡店,東京都青梅市師岡町３丁目１８番地,,株式会社 いなげや,東京都立川市栄町６丁目１番地の１,百貨店、総合スーパー,0428-24-1321,2021/9/9,042-537-5126,本杉　吉員
ドラッグセイムス師岡店,東京都青梅市師岡町３丁目１８番地の１,,株式会社富士薬品,埼玉県さいたま市大宮区桜木町４丁目３８３番地,その他の食料・飲料販売業(電子申請（未区分）),0428-24-1939,2021/10/27,,
小僧寿し河辺店,東京都青梅市師岡町３丁目１９番地の１,,株式会社小僧寿し,東京都中央区日本橋蛎殻町１丁目５番６号,その他の食料・飲料販売業(店舗),0428243767,2021/11/30,,
社会福祉法人　青梅みどり福祉会　青梅みどり第一保育園,東京都青梅市師岡町４丁目８番地の８,,社会福祉法人青梅みどり福祉会,東京都青梅市師岡町４丁目８番地８,集団給食施設(児童福祉施設Ⅱ),0428-23-3600,2021/11/30,0428-23-3600,原嶋　邦利
ジョナサン 青梅店,東京都青梅市師岡町４丁目９番地の４,,株式会社すかいらーくレストランツ,東京都武蔵野市西久保１丁目２５番８号,その他の食料・飲料販売業(電子申請（未区分）),0428-20-7197,2021/10/29,,
有限会社宏川屋酒店,東京都青梅市勝沼１丁目２７番地,,有限会社宏川屋酒店,東京都青梅市勝沼１丁目２７番地,その他の食料・飲料販売業(店舗),0428-24-2669,2022/7/26,0428-24-2669,高橋　浩
薪釜屋　YOSHIZO　東青梅店,東京都青梅市勝沼１丁目２７番地の５,,,,野菜果物販売業(自動車以外),0428-84-0663,2023/1/13,,
都立青梅総合高等学校,東京都青梅市勝沼１丁目６０番地の１,,有限会社　火打屋本店,東京都青梅市勝沼１丁目４３番地,その他の食料・飲料販売業(包装),,2023/9/7,0428-22-2483,塚本　多美子
セブンイレブン　青梅勝沼店,東京都青梅市勝沼３丁目５７番地の２,,桑田商事株式会社,東京都青梅市上町３５０番地,コンビニエンスストア,0428-25-2911,2021/6/3,0428-23-2221,桑田新一
有限会社　高山商店,東京都青梅市勝沼３丁目７９番地,,有限会社　高山商店,東京都青梅市勝沼３丁目７９番地,魚介類販売業（包装済みの魚介類のみの販売）(一般),0428-22-2841,2001/6/1,0428-22-2841,?山　博之
有限会社　高山商店,東京都青梅市勝沼３丁目７９番地,,有限会社　高山商店,東京都青梅市勝沼３丁目７９番地,食肉販売業（包装済みの食肉のみの販売）(一般),0428-22-2841,2001/6/1,0428-22-2841,?山　博之
有限会社　高山商店,東京都青梅市勝沼３丁目７９番地,,有限会社　高山商店,東京都青梅市勝沼３丁目７９番地,乳類販売業(ショーケース売り),0428-22-2841,2001/6/1,0428-22-2841,?山　博之
アオティア小曽木工場,東京都青梅市小曾木１丁目１３６番地の３,,有限会社 アオティア,東京都あきる野市草花１６２６番地３,乳類販売業(ショーケース売り),0428-75-7160,2021/12/17,042-559-5629,高橋　修二
かわなべ鶏卵農場,東京都青梅市小曾木２丁目２７１番地,,,,卵選別包装業,0428-74-5492,2021/11/24,,
八百喜,東京都青梅市小曾木３丁目１８７３番地の６,,,,野菜果物販売業(自動車以外),0428-74-5310,2021/11/22,,
西東京農業協同組合小曽木経済店舗,東京都青梅市小曾木４丁目２２４４番地,,西東京農業協同組合,東京都青梅市野上町２丁目２１番地の５,野菜果物販売業(自動車以外),0428-74-5381,2021/6/14,0428-22-2176,松永　重徳
東京バーディクラブ　16番売店,東京都青梅市小曾木５丁目２９４３番地,,株式会社　ユニマットプレシャス,東京都港区南青山２丁目１２番１４号,その他の食料・飲料販売業(店舗),0428-74-5101,2021/7/26,03-5770-2080,?橋　洋二
東京バーディクラブ　７番売店,東京都青梅市小曾木５丁目２９４３番地,,株式会社　ユニマットプレシャス,東京都港区南青山２丁目１２番１４号,その他の食料・飲料販売業(店舗),0428-74-5960,2021/7/26,03-5770-2080,?橋　洋二
多喜山館,東京都青梅市小曾木５丁目３０７４番地の１,,株式会社アメニティ,東京都あきる野市草花４６９番地８,その他の食料・飲料販売業(店舗),050-8881-4822,2021/12/6,042-550-9068,細谷　弘
有限会社　桑田商店,東京都青梅市上町３５０番地,,有限会社桑田商店,東京都青梅市上町３５０番地,米穀類販売業,0428-23-2221,2021/6/4,0428-23-2221,桑田　新一
