"施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"医療法人社団東雲会　新橋虎ノ門健康クリニック","東京都港区新橋三丁目1番9号","301SHIMBASHI BUILDING3階","03-6550-9318","2023/9/1","内科、消化器内科（胃腸内科）、消化器外科（胃腸外科）","35.666236","139.754130"
"新橋１４クリニック","東京都港区新橋三丁目2番2号","ラヴィーナ新橋4階","03-6206-1582","2012/6/28","心療内科、精神科、内科、児童・思春期精神科、小児精神科、小児科","35.666637","139.754764"
"リゾナスフェイスクリニック東京","東京都港区新橋三丁目3番13号","Tsao Hibiya 4階・5階","03-6273-3252","2021/4/7","形成外科、美容外科","35.665861","139.753943"
"リゾナスフェイスクリニック東京","東京都港区新橋三丁目3番13号","Tsao Hibiya 4階・5階","03-6273-3252","2024/3/1","形成外科、美容外科","35.665861","139.753943"
"医療法人社団京仁会　ＴＯＭクリニック美容外科新橋院","東京都港区新橋三丁目7番3号","新橋フォディアビル5階","03-5510-7600","2019/1/5","美容外科","35.665751","139.755096"
"新橋スリープ・メンタルクリニック","東京都港区新橋三丁目7番4号","赤レンガ通りビル3階","03-6268-8178","2010/5/21","精神科、心療内科","35.665598","139.755006"
"ＬｏｎａＬｏｎａＣＬＩＮＩＣ","東京都港区新橋三丁目7番7号","Tビル2階・3階","03-3519-6767","2023/1/5","美容皮膚科、美容内科","35.665354","139.754776"
"新橋トラストクリニック","東京都港区新橋三丁目11番1号","マルイト新橋ビル1、2、地下1階","03-5733-3581","2005/9/2","内科、皮膚科、精神科、整形外科","35.666198","139.755964"
"医療法人社団ＰｒｉｍｅＰａｒｔｎｅｒｓ　新橋ファーストクリニック","東京都港区新橋三丁目14番5号","S'TEC-3ビル3階","03-5777-5066","2018/4/1","皮膚科、泌尿器科","35.665448","139.756174"
"医療法人社団新青会　新橋青木クリニック","東京都港区新橋三丁目23番4号","青木ビル","03-3432-0381","2008/4/1","内科、皮膚科、泌尿器科、心療内科、精神科、腎臓内科、糖尿病内科","35.664635","139.757950"
"医療法人社団進興会　セラヴィ新橋クリニック","東京都港区新橋四丁目3番1号","新虎安田ビル3階・4階","03-5408-8690","2024/3/18","内科","35.664931","139.754649"
"医療法人社団川村内科医院","東京都港区新橋五丁目10番6号","川村ビル1階","03-3431-3322","2017/4/1","内科、消化器内科","35.663228","139.755445"
"医療法人社団悠翔会　悠翔会在宅クリニック新橋","東京都港区新橋五丁目14番10号","新橋スクエアビル7階","03-6432-0312","2015/3/3","内科、緩和ケア内科、精神科、皮膚科","35.661947","139.756144"
"一般財団法人労働医学研究会　新橋クリニック","東京都港区新橋五丁目15番5号","交通ビル2階","03-3434-5151","1997/4/1","内科","35.662101","139.75583"
"公益財団法人原子力安全研究協会放射線災害医療研究所　しおがま診療所","東京都港区新橋五丁目18番7号","1階","03-5470-1973","2013/9/1","内科、放射線科","35.662858","139.755242"
"医療法人社団二藍会　スキンケアクリニック美のかほり","東京都港区新橋五丁目29番4号","吉岡ビル1階","03-5776-1112","2018/10/1","皮膚科、美容皮膚科","35.662435","139.755884"
"いけのうち内科精神科クリニック","東京都港区新橋五丁目31番7号","フラットビル4階","03-3242-6139","2019/1/1","内科、精神科","35.662376","139.754974"
"新橋さくらの園医務室","東京都港区新橋六丁目19番2号","福祉プラザさくら川6階","03-3433-0180","2006/5/1","内科、精神科","35.661359","139.753850"
"医療法人財団南葛勤医協芝診療所","東京都港区新橋六丁目19番21号",,"03-3432-8701","2014/4/1","内科、呼吸器内科、乳腺内科、循環器内科、消化器内科","35.661053","139.753294"
"病理診断科パス・リンク","東京都港区新橋六丁目23番7号","新橋TSビル6階",,"2020/7/1","病理診断科","35.660478","139.75488"
"医療法人社団宙麦会ひだクリニックお台場","東京都港区台場一丁目5番","トミンハイム台場五番街4号棟202号","03-6457-1511","2020/8/1","精神科、心療内科","35.630205","139.777948"
"医療法人社団彩風会　お台場クリニック","東京都港区台場一丁目5番7号","105","03-5531-0731","2002/10/1","内科、小児科、外科、皮膚科","35.630205","139.777948"
"サントリー健康相談室","東京都港区台場二丁目3番3号",,"03-5579-1632","2009/5/8","内科、精神科","35.629101","139.778791"
"株式会社フジテレビジョン健康相談センター","東京都港区台場二丁目4番8号","18階","03-5500-8888","1997/2/19","内科、皮膚科、耳鼻いんこう科、歯科、眼科、整形外科","35.626804","139.774457"
"ホスピタリティークリニック東京","東京都港区台場二丁目6番1号","グランドニッコー東京 3階","03-6426-0900","2024/1/24","内科、歯科","35.625144","139.771569"
"白金高輪海老根ウィメンズクリニック","東京都港区高輪一丁目2番17号","高輪梶ビル5階","03-5789-2590","2015/4/1","小児科、産婦人科、婦人科、泌尿器科、乳腺外科、内科","35.644361","139.735325"
"五良会クリニック白金高輪","東京都港区高輪一丁目3番1号","プレミストタワー白金高輪1階・2階","03-6432-5353","2023/4/28","内科、小児科、消化器内科、気管食道内科、糖尿病内科、脂質代謝内科、代謝内科、内分泌内科、胃腸内科、内視鏡内科、アレルギー疾患内科、アレルギー科、漢方内科、腫瘍内科、老年内科、皮膚科、小児皮膚科、形成外科、美容皮膚科、美容外科、女性内科","35.643617","139.735347"
"白金高輪駅前ゆう皮膚科クリニック","東京都港区高輪一丁目3番20号","MANOA白金高輪2階","03-3444-1222","2023/2/1","皮膚科、小児皮膚科、美容皮膚科、アレルギー科","35.643384","139.734812"
"ロイヤルレディスクリニック白金高輪","東京都港区高輪一丁目4番13号","3階","03-3280-3338","2021/6/28","産科、婦人科、心療内科、精神科、産婦人科","35.643458","139.735714"
"白金高輪耳鼻咽喉科クリニック","東京都港区高輪一丁目4番13号","高輪NYビル 5階","03-3441-1133","2021/8/2","アレルギー科、耳鼻いんこう科、小児耳鼻いんこう科","35.643458","139.735714"
"医療法人社団新穂会白金高輪皮フ科クリニック","東京都港区高輪一丁目4番13号","高輪NYビル4階",,"2021/8/3","アレルギー科、皮膚科","35.643458","139.735714"
"白金高輪駅前内科・糖尿病クリニック","東京都港区高輪一丁目4番13号","2階","03-6456-2939","2023/5/1","内科、糖尿病内科","35.643458","139.735714"
"医療法人社団ハクナマタタぽれぽれクリニック","東京都港区高輪一丁目5番21号","ルート高輪ビル4階","03-5422-7626","2017/10/1","小児科、漢方内科、アレルギー科","35.641024","139.73756"
"高輪内科クリニック","東京都港区高輪一丁目16番4号",,"03-3449-6748","2012/4/1","内科","35.64004","139.733699"
"かただ小児科クリニック","東京都港区高輪二丁目5番14号","エルメゾン高輪101",,"2008/10/27","小児科、アレルギー科、精神科、内科","35.636741","139.733479"
"ドクターゴールドマンクリニック東京高輪院","東京都港区高輪二丁目14番17号","グレイス高輪11階","03-6379-0056","2007/3/10","美容外科、形成外科、皮膚科、泌尿器科、性病科","35.635454","139.738299"
"医療法人社団敬友会　敬友クリニック高輪","東京都港区高輪二丁目14番17号","グレイス高輪1階","03-3442-5161","2000/10/1","内科、循環器科","35.635454","139.738299"
"高輪整形外科クリニック","東京都港区高輪二丁目15番8号","グレイスビル泉岳寺前5階","03-5447-6808","2013/10/31","整形外科、リハビリテーション科","35.637554","139.738838"
"品川ハートメディカルクリニック","東京都港区高輪二丁目15番11号","高輪ホワイトマンション105号室","03-5422-8841","2013/6/1","内科、血管外科、循環器内科、外科","35.637301","139.739057"
"（職域）コシダテックグループ職域接種会場","東京都港区高輪二丁目15番21号","コシダビル7階","03-5789-1630","2021/8/29",,"35.636122","139.738624"
"統合医療ＳＤＭ高輪クリニック","東京都港区高輪二丁目16番5号","東武高輪第2ビル5階","03-6455-6958","2022/5/13","内科","35.640037","139.739616"
"高輪みつるクリニック","東京都港区高輪二丁目16番10号",,"03-6432-5224","2022/6/30","救急科、内科、外科、脳神経外科、整形外科、小児科","35.639859","139.739756"
"高輪眼科医院","東京都港区高輪二丁目16番36号",,"03-3441-2702","2004/1/1","眼科","35.637901","139.738792"
"伊皿子坂医院","東京都港区高輪二丁目16番52号","101号","03-5447-7701","2007/5/1","内科、循環器科、小児科、アレルギー科","35.639331","139.738848"
"医療法人社団ブレストサージャリークリニック　千晶医院","東京都港区高輪二丁目21番43号","YCC高輪ビル3階","03-5793-4646","2007/10/4","皮膚科","35.636386","139.739237"
"医療法人社団ブレストサージャリークリニック","東京都港区高輪二丁目21番43号","YCC高輪ビル2階","03-5793-5070","2004/3/1","形成外科、美容外科","35.636386","139.739237"
"城南高輪クリニック","東京都港区高輪三丁目5番20号","グランドメゾン高輪台1階","03-3441-0435","2014/7/1","内科、肝臓内科、小児科","35.633869","139.731394"
"アイデス・クリニック","東京都港区高輪三丁目6番23号","102B","03-5860-2290","2018/12/1","内科、小児科、精神科、心療内科","35.633999","139.732197"
"医療法人社団くちばクリニック　口羽医院","東京都港区高輪三丁目7番7号","ピアース高輪1階","03-3441-2819","2006/10/1","内科","35.632883","139.732292"
"医療法人社団　康寿会　堀産婦人科","東京都港区高輪三丁目7番8号","西町ビル1階2階","03-3449-3541","2022/3/1","産科、婦人科、産婦人科、婦人科（不妊治療）","35.632756","139.732319"
"高輪マリンこどもクリニック","東京都港区高輪三丁目7番8号","西町ビル2階","03-6277-4548","2023/3/1","小児科、アレルギー科","35.632756","139.732319"
"品川胃腸肛門内視鏡クリニック","東京都港区高輪三丁目8番17号","メディカルプライム高輪2階","03-3447-6337","2019/10/1","内科、消化器内科、胃腸内科、肛門内科、内視鏡内科","35.632912","139.731176"
"医療法人社団Ｓ＆Ｙ　高輪台レディースクリニック","東京都港区高輪三丁目8番17号","TK高輪ビル3階","03-3441-1377","2020/5/1","産科、婦人科","35.632912","139.731176"
"高輪台眼科クリニック","東京都港区高輪三丁目8番17号","メディカルプライム高輪(TK高輪ビル)7階","03-6277-2460","2017/9/1","眼科","35.632912","139.731176"
"かがやき内科・糖尿病クリニック","東京都港区高輪三丁目8番17号","メディカルプライム高輪(TK高輪ビル)6F","03-3441-0398","2017/9/1","糖尿病内科、内科、内分泌内科","35.632912","139.731176"
"しもだ皮ふ科クリニック","東京都港区高輪三丁目8番17号","TK高輪ビル4階","03-3440-4112","2017/10/24","皮膚科、アレルギー科、小児皮膚科、美容皮膚科","35.632912","139.731176"
"医療法人社団アズロード高輪台整形外科クリニック","東京都港区高輪三丁目8番17号","メディカルプライム高輪4階・5階","03-6450-4762","2018/3/1","整形外科、リハビリテーション科","35.632912","139.731176"
"高輪台皮フ科","東京都港区高輪三丁目10番3号","UKハウス高輪台1、2階","03-5488-7855","2013/12/25","皮膚科","35.628889","139.736667"
"品川ブレストクリニック","東京都港区高輪三丁目11番5号","IEIイマス高輪ビル1階","03-5475-8600","2017/10/1","乳腺外科、放射線科、脳神経外科","35.631358","139.730456"
"グランドプリンスホテル新高輪　診療所","東京都港区高輪三丁目13番1号","グランドプリンスホテル新高輪1階2166号室・2184号室","03-3447-1111","2022/4/1","内科","35.630053","139.733490"
"京野アートクリニック高輪","東京都港区高輪三丁目13番1号","高輪コート5階","03-6408-4124","2012/9/3","婦人科（不妊治療）、泌尿器科（不妊治療）","35.631065","139.736181"
"村上クリニック","東京都港区高輪三丁目21番19号",,"03-5421-2250","2003/2/20","内科","35.632677","139.736112"
"ＴＣＢ　東京中央美容外科　品川院","東京都港区高輪三丁目23番17号","品川センタービルディング2階","03-6277-2631","2021/8/24","皮膚科、形成外科、美容外科、美容皮膚科","35.630636","139.737022"
"品川こころのクリニック","東京都港区高輪三丁目24番18号","高輪エンパイヤビル2階","03-5422-8253","2021/5/1","心療内科、精神科","35.632436","139.738019"
"ｙｏｂｏ　ｃｌｉｎｉｃ","東京都港区高輪四丁目8番9号","りぶ高輪303","03-5422-7957","2023/9/13","内科、心療内科、婦人科、皮膚科、泌尿器科","35.629080","139.734527"
"医療法人財団玉川会　エム・オー・エー高輪クリニック","東京都港区高輪四丁目8番10号","MOA会館1階","03-5421-0021","1997/10/12","心療内科、内科、小児科、循環器内科、精神科","35.62901","139.734667"
"医療法人財団玉川会　エムオーエー新高輪クリニック","東京都港区高輪四丁目9番16号","東京療院新館2階","03-5421-0325","2006/12/14","内科、心療内科、精神科","35.628707","139.734986"
"日野原記念クリニック","東京都港区高輪四丁目10番8号","京急第7ビル2階","03-6277-2970","2022/11/29","内科、消化器内科、婦人科、内分泌内科、乳腺内科","35.628912","139.735585"
"品川プリンスホテル　医務室","東京都港区高輪四丁目10番30号","イーストタワー2階275号室","03-3440-1111","2022/12/23","内科","35.627622","139.737021"
"クリニックやなぎさわ","東京都港区高輪四丁目10番31号","934","03-5739-0222","2012/5/9","内科、漢方内科、心療内科","35.627272","139.735032"
"星子クリニック","東京都港区高輪四丁目18番10号",,"03-6447-7818","2014/12/8","内科、皮膚科、心療内科","35.626065","139.734233"
"東京インターナショナルクリニック","東京都港区高輪四丁目18番19号","TICビル2階","03-5798-3585","2007/1/11","内科、外科","35.625621","139.734188"
"みゆきクリニック","東京都港区高輪四丁目21番16号",,"03-5447-1236","2013/2/1","精神科、心療内科、児童精神科","35.626063","139.736958"
"リウマチ・ひざ研究所クバさんクリニック","東京都港区高輪四丁目24番43号",,"03-6459-3423","2014/8/6","リウマチ科","35.62555","139.736283"
"医療法人社団城南すこやか会　城南レディスクリニック品川","東京都港区高輪四丁目24番58号","サマセット品川東京1階","03-3440-5562","2016/7/25","産婦人科、婦人科（不妊治療）","35.625118","139.737949"
"Ｒメディカルクリニック","東京都港区虎ノ門一丁目1番11号","マスダビル3階","03-6206-7301","2022/12/9","美容内科","35.670152","139.751333"
"虎の門眼科","東京都港区虎ノ門一丁目1番16号","虎ノ門中央ビル5階","03-3501-8580","2004/1/1","眼科","35.670032","139.751213"
"虎ノ門とうまクリニック","東京都港区虎ノ門一丁目1番16号","虎ノ門中央ビル4階","03-3502-4080","2015/8/1","内科、神経内科、循環器内科、呼吸器内科","35.670032","139.751213"
"にっぽん丸診療所","東京都港区虎ノ門一丁目1番18号",,"03-4446-7530","2002/8/16","内科、外科","35.670054","139.750888"
"霞ヶ関診療所","東京都港区虎ノ門一丁目1番18号","ヒューリック虎ノ門ビル2階","03-3501-7797","2015/11/6","内科、消化器内科、アレルギー科、内視鏡内科、心療内科、精神科","35.670054","139.750888"
"医療法人社団ゆかり会　虎ノ門ウィメンズクリニック","東京都港区虎ノ門一丁目1番18号","ヒューリック虎ノ門ビル1階","03-3502-1211","2023/7/7","産婦人科","35.670054","139.750888"
"眠りと咳のクリニック虎ノ門","東京都港区虎ノ門一丁目1番18号","ヒューリック虎ノ門ビル1階","03-6205-7541","2022/9/26","心療内科、呼吸器内科、内科、精神科","35.670054","139.750888"
"キヤンメディカルクリニック虎ノ門","東京都港区虎ノ門一丁目1番18号","ヒューリック虎ノ門ビル1階","03-6826-2312","2024/1/1","内科","35.670054","139.750888"
"虎ノ門皮フ科形成外科","東京都港区虎ノ門一丁目1番18号","ヒューリック虎ノ門1階","03-6435-6801","2024/3/1","皮膚科、形成外科、美容外科、アレルギー科","35.670054","139.750888"
"日比谷クリニック","東京都港区虎ノ門一丁目1番20号","虎ノ門実業会館5階","03-3508-2508","2014/10/20","内科、泌尿器科、皮膚科、性感染症内科","35.670155","139.750592"
"虎の門耳鼻科クリニック","東京都港区虎ノ門一丁目1番20号","虎ノ門実業会館3階","03-5860-9666","2023/8/18","耳鼻いんこう科","35.670155","139.750592"
"アイビークリニック虎ノ門","東京都港区虎ノ門一丁目9番11号","GATE虎ノ門104","03-5501-1511","2023/3/1","内科、外科、消化器内科、消化器外科","35.668790","139.750877"
"医療法人ここから　虎ノ門こころのクリニック","東京都港区虎ノ門一丁目12番11号","虎ノ門ファーストビル8階","03-6206-6590","2022/8/1","心療内科、精神科","35.668606","139.749646"
"医療法人社団　飛白会　虎の門山下メンタルクリニック","東京都港区虎ノ門一丁目16番8号","虎ノ門石井ビル2階","03-5532-0111","2018/11/1","精神科、心療内科","35.668349","139.749247"
"医療法人社団雄仁会　メディカルケア虎ノ門","東京都港区虎ノ門一丁目16番16号","虎ノ門一丁目MGビル4階","03-5510-3898","2013/5/1","精神科、心療内科、漢方内科、神経内科","35.668405","139.748635"
"神谷町耳鼻科虎ノ門クリニック","東京都港区虎ノ門一丁目16番17号","虎ノ門黒沢ビル3階","03-3592-7877","2020/10/1","耳鼻咽喉科、小児耳鼻咽喉科、気管食道外科、アレルギー科","35.668512","139.748569"
"患者目線のクリニック　虎ノ門　内科・皮膚科","東京都港区虎ノ門一丁目16番17号","虎ノ門黒沢ビル5階","03-6268-8797","2022/3/1","内科、アレルギー科、皮膚科","35.668512","139.748569"
"西松建設診療所","東京都港区虎ノ門一丁目17番1号","虎ノ門ヒルズビジネスタワー6階","03-3502-7574","2020/3/30","内科","35.667681","139.750349"
"ＡＤＫ健康管理室","東京都港区虎ノ門一丁目23番1号","虎ノ門ヒルズ森タワー13階","03-6830-3832","2014/6/16","内科","35.666822","139.749418"
"株式会社商船三井診療所","東京都港区虎ノ門二丁目1番1号","商船三井ビル7階","03-3587-7655","2023/12/25","内科、精神科","35.669722","139.747018"
"独立行政法人国立印刷局本局診療所","東京都港区虎ノ門二丁目2番5号","共同通信会館6階","03-3587-4436","2014/11/10","内科","35.669099","139.744543"
"医療法人社団　虎ノ門スリープクリニック","東京都港区虎ノ門二丁目3番20号","YHKビル2階","03-5510-1039","2010/4/1","内科、循環器内科、呼吸器内科","35.668717","139.746861"
"パナソニック虎ノ門健康管理室","東京都港区虎ノ門二丁目6番1号","虎ノ門ステーションタワー23階","03-3593-1050","2024/1/29","内科","35.667332","139.747313"
"医療法人社団東京桜十字　虎ノ門ヒルズ桜十字クリニック","東京都港区虎ノ門二丁目6番3号","虎ノ門ヒルズステーションタワー5階","03-6205-8035","2023/8/1","内科、消化器内科、婦人科","35.666953","139.749203"
"ＪＸ金属株式会社　健康相談室","東京都港区虎ノ門二丁目10番4号","オークラプレステージタワー14階","03-6433-6119","2020/7/28","内科","35.666911","139.743999"
"積水化学工業株式会社　東京本社　診療所","東京都港区虎ノ門二丁目10番4号","オークラ プレステージタワー24階","03-6748-6470","2019/11/18","内科","35.666911","139.743999"
"ホテルオークラ東京　健康管理室","東京都港区虎ノ門二丁目10番4号","オークラ プレステージタワー地下1階","03-3224-6717","2019/9/9","内科","35.666911","139.743999"
"独立行政法人中小企業基盤整備機構　医務室","東京都港区虎ノ門三丁目5番1号","6階","03-5470-1503","2004/7/26","内科","35.666470","139.746232"
"かつき虎ノ門クリニック","東京都港区虎ノ門三丁目8番26号","巴町アネックス地下1階","03-5843-8764","2021/3/25","内科、消化器内科","35.666953","139.749203"
"神谷町ヒルサイドクリニック","東京都港区虎ノ門三丁目10番4号","虎ノ門ガーデン101","03-5776-7701","2020/11/1","心療内科、精神科","35.664775","139.74772"
"一般社団法人虎ノ門中村クリニック神谷町院","東京都港区虎ノ門三丁目10番4号","虎ノ門ガーデン103","03-6823-1409","2022/11/1","内科、皮膚科、耳鼻咽喉科、小児科、消化器内科、糖尿病・代謝内科、呼吸器内科、美容皮膚科、精神科","35.664775","139.74772"
"医療法人社団貴雄会神谷町クリニック","東京都港区虎ノ門三丁目17番1号","TOKYU REIT虎ノ門ビル1階","03-3433-0343","2018/4/1","内科、皮膚科、リハビリテーション科","35.664043","139.746454"
"かもみーる心のクリニック","東京都港区虎ノ門三丁目17番7号","2階","03-4400-6807","2024/1/1","精神科、心療内科","35.664174","139.746439"
"日本たばこ産業株式会社　人事部　健康支援室","東京都港区虎ノ門四丁目1番1号","神谷町トラストタワー27階","03-6636-2029","2020/10/5","内科","35.665016","139.745407"
"ＴＯＫＹＯウェルネスクリニック神谷町","東京都港区虎ノ門四丁目1番1号","神谷町トラストタワー2階","03-6432-0527","2021/12/1","内科","35.665016","139.745407"
"神谷町脳神経外科クリニック","東京都港区虎ノ門四丁目1番1号","神谷町トラストタワー2階","03-6809-2802","2023/8/1","脳神経外科、内科、放射線科","35.665016","139.745407"
"神谷町ＷＧレディースクリニック","東京都港区虎ノ門四丁目1番1号","神谷町トラストタワー2階","03-6809-2262","2023/2/1","婦人科、産科、産婦人科","35.665016","139.745407"
"東京脳神経センター","東京都港区虎ノ門四丁目1番17号",,"03-5776-1200","2006/3/27","脳神経外科、神経内科、精神科、放射線科、内科","35.665065","139.744067"
"医療法人財団檜扇会　クリニック　東京虎ノ門ＣＯＲ","東京都港区虎ノ門四丁目1番17号","神谷町プライムプレイス2階","03-6403-1511","2022/6/1","整形外科、内科、形成外科","35.665065","139.744067"
"かみや町駅前クリニック","東京都港区虎ノ門四丁目2番4号","ヨシノビル5階","03-6450-1375","2010/2/15","脳神経外科、心療内科、漢方内科、内科、外科","35.664233","139.745956"
"中日本高速道路株式会社　東京支社医務室・健康相談室","東京都港区虎ノ門四丁目3番1号",,"03-5776-5296","2008/7/28","内科","35.664553","139.743194"
"医療法人社団セルシア会　神谷町眼科クリニック","東京都港区虎ノ門四丁目3番1号","城山トラストタワー3階","03-6435-8960","2021/3/1","眼科、美容外科","35.664640","139.743089"
"医療法人社団東京桜十字　城山ガーデン桜十字クリニック","東京都港区虎ノ門四丁目3番1号","城山トラストタワー3階","03-3433-1911","2017/7/24","内科、婦人科、消化器内科","35.664640","139.743089"
"神谷町カリスメンタルクリニック","東京都港区虎ノ門四丁目3番1号","城山トラストタワー2階","03-6432-0777","2024/2/15","心療内科、精神科、内科","35.664640","139.743089"
"ＴＨＥ　ＯＮＥ．","東京都港区虎ノ門四丁目3番10号","虎ノ門きよしビル2階、3階","03-6403-1915","2022/4/1","美容外科、美容皮膚科","35.664417","139.744191"
"日経ＢＰ社診療所","東京都港区虎ノ門四丁目3番12号","日経虎ノ門別館10階","03-6811-8407","2017/8/9","内科、心療内科","35.664100","139.743431"
"神谷町内科・循環器・糖尿病クリニック","東京都港区虎ノ門五丁目6番7号","1階",,"2022/5/23","循環器内科、糖尿病内科、老年内科、脳・心臓血管内科、内科","35.662916","139.742619"
"うらちるクリニック","東京都港区虎ノ門五丁目11番2号","オランダヒルズ森タワー2階","03-3432-0415","2023/11/1","小児科","35.661333","139.744045"
"中尾形成外科","東京都港区虎ノ門五丁目12番1号","虎ノ門ワイコービル1階","03-6435-8720","2023/11/27","形成外科、美容外科、美容皮膚科","35.662810","139.745324"
"神谷町スキンケアクリニック","東京都港区虎ノ門五丁目13番7号","虎ノ門A&K-IPビル2階3階","03-5777-1102","2013/6/24","皮膚科、美容皮膚科、アレルギー科、児童・思春期皮膚科、漢方皮膚科","35.663068","139.745651"
"西麻布ヒフ・形成外科","東京都港区西麻布一丁目1番1号","EDGEビル6階","03-5775-5353","2010/10/5","形成外科、美容外科、皮膚科、美容皮膚科","35.661761","139.727877"
"医療法人社団クリア・スキン　クリア・スキンクリニック西麻布","東京都港区西麻布一丁目1番1号","西麻布EDGEビル4階","03-5474-0311","2004/6/24","皮膚科、形成外科","35.661761","139.727877"
"良クリニック","東京都港区西麻布一丁目1番3号","ワダビル5階","03-5775-7655","2001/5/21","内科","35.661545","139.728111"
"松柏堂医院","東京都港区西麻布一丁目5番11号",,"03-3479-5890","2011/8/1","内科","35.661462","139.725064"
"ＡＺＡＣＬＩ麻布クリニック","東京都港区西麻布一丁目9番17号",,"03-6804-2882","2021/12/16","美容外科、皮膚科","35.661294","139.725478"
"医療法人社団麻心会　麻布メンタルクリニック","東京都港区西麻布二丁目15番16号","1階","03-3400-6640","2018/10/1","心療内科、精神科","35.66136","139.721684"
"岡部医院","東京都港区西麻布二丁目24番12号",,"03-3407-0076","1998/6/2","内科、神経内科","35.660496","139.722286"
"富士フイルムグループ健康管理室","東京都港区西麻布二丁目26番30号",,"03-3406-2111","2007/5/7","内科","35.659836","139.719059"
"富士フイルム西麻布検診センター","東京都港区西麻布二丁目26番30号","1号館1階","03-6418-2271","2014/7/1","内科","35.659836","139.719059"
"医療法人社団光輝会　麻布光輝クリニック","東京都港区西麻布三丁目3番2号","メディケア332-1階地下1階地下2階","03-6240-2912","2006/12/1","内科、皮膚科","35.658058","139.727051"
"雫－Ｓｈｉｚｕｋｕ－Ｃｌｉｎｉｃ","東京都港区西麻布三丁目6番1号","六本木センチュリオンタワー10階","03-4400-9194","2024/2/1","皮膚科、美容皮膚科、内科","35.656290","139.726345"
"八事石坂クリニック　東京院","東京都港区西麻布三丁目6番1号","六本木センチュリオンタワー 3階","03-6284-5805","2022/9/6","美容外科、形成外科","35.656290","139.726345"
"ＴＫＣ東京クリニック","東京都港区西麻布三丁目6番6号","地下1階・1階・2階・3階","03-3449-9029","2014/4/1","内科、消化器内科、糖尿病内科、腎臓内科、腫瘍内科、神経泌尿器科、美容外科、美容皮膚科、形成外科、皮膚科、整形外科、婦人科","35.655637","139.726216"
"ＴＨＥ　ＣＬＩＮＩＣ　東京","東京都港区西麻布三丁目16番23号","Azabu Body Design Center1階及び2階","03-5775-3400","2020/12/1","美容外科、形成外科、皮膚科、整形外科、麻酔科","35.658281","139.725094"
"バストクリニック東京","東京都港区西麻布三丁目17番15号","中島ビル2階","03-6386-8676","2021/5/1","美容外科、皮膚科","35.658437","139.724990"
"西麻布インターナショナルクリニック","東京都港区西麻布三丁目17番20号","LY西麻布2階","03-6447-5966","2017/4/1","内科、外科、小児科、泌尿器科","35.658098","139.724265"
"医療法人社団哲医会西麻布クリニック","東京都港区西麻布三丁目20番6号","杉友ビル1階","03-3403-6696","2015/10/1","内科、外科、胃腸内科、肛門外科","35.660127","139.725986"
"ポケセラメンタルクリニック","東京都港区西麻布三丁目22番7号","西麻布KY101",,"2024/1/1","精神科、心療内科","35.659011","139.72486"
"吉田医院","東京都港区西麻布三丁目24番24号",,"03-3408-1049","1997/6/13","内科、消化器内科","35.659681","139.724321"
"麻布ホームクリニック","東京都港区西麻布四丁目1番4号","西麻布MKビル3階","03-6419-9170","2022/2/5","内科、外科、整形外科、神経内科、精神科、皮膚科、美容外科","35.659106","139.723352"
"耳鼻咽喉科　クマダ・クリニック","東京都港区西麻布四丁目2番6号","エル・ファーストビル3階","03-5766-3357","2015/11/1","耳鼻いんこう科","35.658365","139.723557"
"医療法人社団ＮＬＣ　西麻布ライフケアクリニック","東京都港区西麻布四丁目4番3号","フリーディオ西麻布1階","03-3797-1717","2023/4/1","外科、消化器内科（胃腸内科）、小児科","35.657182","139.723702"
"社会福祉法人葵新生会　特別養護老人ホームベル医務室","東京都港区西麻布四丁目7番2号",,"03-3499-2823","1997/4/16","内科","35.656158","139.72229"
"医療法人社団礼恵会　むすび葉ゆうクリニック","東京都港区西麻布四丁目18番25号","ヨシノハウス102号室","03-6433-5438","2015/8/1","内科、整形外科、皮膚科","35.658199","139.719841"
"株式会社東急エージェンシー健康支援室","東京都港区西新橋一丁目1番1号","日比谷フォートタワー17階","03-6811-2413","2021/11/25","心療内科、精神科、内科","35.669827","139.753372"
"公益財団法人日産厚生会診療所","東京都港区西新橋一丁目2番9号","日比谷セントラルビル2階","03-3504-1641","2014/1/1","内科、外科、耳鼻咽喉科、放射線科","35.669538","139.754644"
"新橋ガーデンクリニック","東京都港区西新橋一丁目3番1号","西新橋スクエア3階","03-6205-4991","2014/8/1","心療内科、精神科","35.668933","139.754666"
"日比谷川畑診療室","東京都港区西新橋一丁目3番1号","西新橋スクエア3階","03-3502-5711","2016/5/1","内科","35.668933","139.754666"
"ひびおクリニック","東京都港区西新橋一丁目5番9号","ル・グラシエルBLDG.70　8階","03-3519-7830","2004/9/29","精神科、心療内科、神経科","35.669151","139.753761"
"西新橋みむろクリニック","東京都港区西新橋一丁目5番9号","ル・グラシエルBLDG.70　4階","03-5251-8256","2007/4/1","皮膚科、形成外科、内科、外科","35.669151","139.753761"
"医療法人社団師友堂　東文中醫クリニック・新橋","東京都港区西新橋一丁目5番9号","TSビル5階","03-6268-8582","2023/1/1","内科、漢方内科","35.668188","139.751892"
