"ごみの品目","インデックス","種別","説明","GIS搭載用住所","経度","緯度","分類"
"洗濯ばさみハンガー（金属製）","せんたくばさみはんがー（きんぞくせい）","陶器・ガラス・金属ごみ","折りたたみ式のもの・30cm超のものを含みます。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"洗濯ばさみハンガー（プラスチック製）","せんたくばさみはんがー（ぷらすちっくせい）","燃やすごみ","折りたたみ式のもの・30cm超のものを含みます。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"栓抜き","せんぬき","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"扇風機","せんぷうき","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"洗面器（金属製）","せんめんき（きんぞくせい）","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"洗面器（プラスチック製）","せんめんき（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。
一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"洗面器（木製）","せんめんき（もくせい）","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"双眼鏡","そうがんきょう","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"掃除機","そうじき","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ソファー
※いす","そふぁー
※いす","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ソファーベッド
※ベッド","そふぁーべっど
※べっど","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"そろばん","そろばん","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ソーラーシステム","そーらーしすてむ","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"造花","ぞうか","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ぞうきん","ぞうきん","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"体温計（水銀使用のもの）","たいおんけい（すいぎんしようのもの）","陶器・ガラス・金属ごみ","他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"体温計（電子体温計）","たいおんけい（でんしたいおんけい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"耐火金庫","たいかきんこ","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"体重計","たいじゅうけい","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"タイツ","たいつ","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は燃やすごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"タイヤ","たいや","区では収集しないもの","販売店やメーカー、専門業者に相談してください。
※自転車のタイヤは30cm以下に切って燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"タイヤチェーン
※車両装備品","たいやちぇーん
※しゃりょうそうびひん","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"タイル","たいる","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"タオル","たおる","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は燃やすごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"タオルケット","たおるけっと","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は粗大ごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"高枝切りばさみ
※作業用具","たかえだきりばさみ
※さぎょうようぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"卓上計算機","たくじょうけいさんき","使用済小型家電（拠点回収）","区立施設に設置してある「小型家電回収ボックス」へ入れてください。回収ボックスを利用できない場合は、陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"卓上コンロ","たくじょうこんろ","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。
カセットボンベは必ずはずしてください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"畳","たたみ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"卓球台","たっきゅうだい","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"タッパー","たっぱー","資源プラスチック","ゴムパッキンは外して燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"棚","たな","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"たばこの吸殻","たばこのすいがら","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"たばこの箱","たばこのすいがらはこ","古紙（集団回収）","セロハン・銀紙は取り除いて燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"タブレット","たぶれっと","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"卵の殻","たまごのから","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"卵パック（紙製）","たまごぱっく（かみせい）","燃やすごみ","古紙再生の妨げとなるため古紙（集団回収）には出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"卵パック（プラスチック製）","たまごぱっく（ぷらすちっくせい）","資源プラスチック","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"たわし（金属製）","たわし（きんぞくせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"たわし（プラスチック製）","たわし（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"たわし（毛質製）","たわし（もうしつせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"たんす","たんす","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"反物","たんもの","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"台車
※作業用具","だいしゃ
※さぎょうようぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"大理石製品","だいりせきせいひん","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"脱臭剤","だっしゅうざい","燃やすごみ","プラスチック製の容器は資源プラスチックにお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"断熱材","だんねつざい","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ダンベル","だんべる","粗大ごみ","水を入れるタイプのものは、水を抜いて燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"段ボール","だんぼーる","古紙（集団回収）","汚れている場合、汚れが落ちない場合は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"チェーンソー","ちぇーんそー","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"地球儀","ちきゅうぎ","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"チャイルドシート
※車両装備品","ちゃいるどしーと
※しゃりょうそうびひん","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"茶殻","ちゃがら","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"茶碗","ちゃわん","陶器・ガラス・金属ごみ","割れたものは、危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"注射針","ちゅうしゃばり","区では収集しないもの","受診した病院や薬局に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"彫刻刀","ちょうこくとう","陶器・ガラス・金属ごみ","危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ちらし（広告紙）","ちらし（こうこくし）","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ちり紙","ちりがみ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ちりとり（金属製）","ちりとり（きんぞくせい）","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ちりとり（プラスチック製）","ちりとり（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。
一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"使い捨てカイロ","つかいすてかいろ","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"使い捨てカメラ","つかいすてかめら","陶器・ガラス・金属ごみ","フラッシュ機能が付いていない物は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"使い捨てライター","つかいすてらいたー","陶器・ガラス・金属ごみ","できるだけ中身を使い切り、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"机","つくえ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"漬物石","つけものいし","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"漬物石（プラスチック製）","つけものいし（ぷらすちっくせい）","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"土","つち","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"突っ張り棒（金属製）","つっぱりぼう（きんぞくせい）","粗大ごみ","一辺が30cm以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"突っ張り棒（木製・プラスチック製）","つっぱりぼう（もくせい・ぷらすちっくせい）","粗大ごみ","一辺が30cm以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"つまようじ","つまようじ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"爪切り","つめきり","陶器・ガラス・金属ごみ","危険のないよう紙などで包んで出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"釣り糸","つりいと","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"釣り竿（木製・プラスチック製・金属製）","つりざお（もくせい・ぷらすちっくせい・きんぞくせい）","粗大ごみ","5本1セットで回収します。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"釣り針","つりばり","陶器・ガラス・金属ごみ","危険のないよう紙などで包んで出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"つるはし
※作業用具","つるはし
※さぎょうようぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ティッシュペーパー","てぃっしゅぺーぱー","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ティッシュペーパーの箱","てぃっしゅぺーぱーのはこ","古紙（集団回収）","ビニール部分は取り除いて資源プラスチックへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"Ｔシャツ","てぃーしゃつ","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は燃やすごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"手提げ金庫","てさげきんこ","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"鉄板","てっぱん","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"鉄アレイ","てつあれい","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"鉄の棒","てつのぼう","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"鉄パイプ","てつぱいぷ","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"テニスボール","てにすぼーる","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"テニスラケット
※ラケット類","てにすらけっと
※らけっとるい","粗大ごみ","5本1セットで回収します。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"手袋（革製・ゴム製）","てぶくろ（かわせい・ごむせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"手袋（ビニール製）","てぶくろ（びにーるせい）","資源プラスチック","汚れを落としてからお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"テレビアンテナ（屋外用）","てれびあんてな（おくがいよう）","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"テレビアンテナ（室内用）","てれびあんてな（しつないよう）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"テレビアンテナ（パラボラ）","てれびあんてな（ぱらぼら）","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"テレビ台","てれびだい","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"テレビ（液晶、ブラウン管、プラズマ）","てれび（えきしょう、ぶらうんかん、ぷらずま）","家電リサイクル法対象品目","区では収集できません。家電リサイクル受付センターに回収を依頼してください。連絡先等詳しくは、区ホームページでご確認ください。
https://www.city.tokyo-nakano.lg.jp/dept/473000/d006207.html","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"天体望遠鏡","てんたいぼうえんきょう","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"テント
※キャンプ用品","てんと
※きゃんぷようひん","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"天ぷら油","てんぷらあぶら","食用油（拠点回収）","食用の植物油のみ拠点回収を行っています。拠点回収に出せない場合は、凝固剤で固めるか紙や布にしみこませて燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"テーブル","てーぶる","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"テーブルクロス（ビニール製・布製）","てーぶるくろす（びにーるせい・ぬのせい）","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ＤＶＤ","でぃーぶいでぃー","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ＤＶＤケース","でぃーぶいでぃーけーす","資源プラスチック","紙は取り外して古紙（集団回収）へ","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ＤＶＤプレイヤー
※ビデオデッキ","でぃーぶいでぃーぷれいやー
※びでおでっき","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"デジタルカメラ","でじたるかめら","使用済小型家電（拠点回収）","区立施設に設置してある「小型家電回収ボックス」へ入れてください。回収ボックスを利用できない場合は、陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"デスクマット","ですくまっと","粗大ごみ","一辺が30cm以下の場合は資源プラスチックです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電気あんか","でんきあんか","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電気カーペット
※敷物","でんきかーぺっと
※しきもの","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電気シェーバー","でんきしぇーばー","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電気ストーブ
※暖房器具","でんきすとーぶ
※だんぼうきぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電気鍋","でんきなべ","陶器・ガラス・金属ごみ","一辺が30cmを超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電気ポット","でんきぽっと","陶器・ガラス・金属ごみ","一辺が30cmを超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電気毛布","でんきもうふ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電子オルガン
※オルガン","でんしおるがん
※おるがん","粗大ごみ","70㎏超えるものは区で収集できません。販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電子辞書","でんしじしょ","使用済小型家電（拠点回収）","区立施設に設置してある「小型家電回収ボックス」へ入れてください。回収ボックスを利用できない場合は、陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電子たばこ（本体）","でんしたばこ（ほんたい）","陶器・ガラス・金属ごみ","内蔵の乾電池やバッテリーは取り外してください。
取り外せない場合は、他のごみとは別の袋に入れ、中身が何か分かるように表記をして、陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電子ピアノ","でんしぴあの","粗大ごみ","70㎏超えるものは区で収集できません。販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電子レンジ","でんしれんじ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電卓","でんたく","使用済小型家電（拠点回収）","区立施設に設置してある「小型家電回収ボックス」へ入れてください。回収ボックスを利用できない場合は、陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電池（充電式電池）","でんち（じゅうでんしきでんち）","区では収集しないもの","ボタン電池や小型二次電池（充電式電池）など区で回収していない電池は、区内のリサイクル協力店へ。詳しくは区のＨＰをご覧ください。http://www.city.tokyo-nakano.lg.jp/dept/473000/d001349.html","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電池（ボタン電池）","でんち（ぼたんでんち）","区では収集しないもの","ボタン電池や小型二次電池（充電式電池）など区で回収していない電池は、区内のリサイクル協力店へ。詳しくは区のＨＰをご覧ください。http://www.city.tokyo-nakano.lg.jp/dept/473000/d001349.html","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電動カミソリ","でんどうかみそり","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電動車いす","でんどうくるまいす","粗大ごみ","バッテリーは区では収集できません。販売店やメーカー、専門業者に依頼してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電動車いすのバッテリー","でんどうくるまいすのばってりー","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電動自転車","でんどうじどうしゃ","粗大ごみ","バッテリーは取り外して、前かごに入れてください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電動ドライバー","でんどうどらいばー","陶器・ガラス・金属ごみ","危険のないよう紙などで包んで出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電動のこぎり","でんどうのこぎり","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電動歯ブラシ","でんどうはぶらし","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電話機","でんわき","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"電話帳","でんわちょう","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"砥石","といし","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"トイレットペーパー","といれっとぺーぱー","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"トイレットペーパーの芯","といれっとぺーぱーのしん","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"トイレブラシ","といれぶらし","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"陶磁器（焼き物）","とうじき（やきもの）","陶器・ガラス・金属ごみ","割れたものは、危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"灯油","とうゆ","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"灯油の容器","とうゆのようき","粗大ごみ","一辺が30㎝以下の場合は燃やすごみです。中身が入っている場合は収集できません。販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"時計","とけい","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"塗料（ラッカー・シンナー等）","とりょう（らっかー・しんなーとう）","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"トロフィー（金属製）","とろふぃー（きんぞくせい）","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"トロフィー（プラスチック製、木製）","とろふぃー（ぷらすちっくせい・もくせい）","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"トースター
※オーブントースター","とーすたー
※おーぶんとーすたー","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"土鍋","どなべ","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ドライバー","どらいばー","陶器・ガラス・金属ごみ","危険のないよう紙などで包んで出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ドライヤー","どらいやー","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ナイフ","ないふ","陶器・ガラス・金属ごみ","危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"長靴","ながぐつ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"流し台","ながしだい","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"菜種油","なたねあぶら","食用油（拠点回収）","食用の植物油のみ拠点回収を行っています。拠点回収に出せない場合は、凝固剤で固めるか紙や布にしみこませて燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"納豆の容器（紙製）","なっとうのようき（かみせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"納豆の容器（プラスチック製）","なっとうのようき（ぷらすちっくせい）","資源プラスチック","水で軽くすすいで汚れを落としてからお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"鍋","なべ","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"生ごみ","なまごみ","燃やすごみ","水をよく切って出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"縄","なわ","燃やすごみ","30cm以下に切って出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"臭いのついた紙","においのついたかみ","燃やすごみ","古紙再生の妨げとなるため古紙（集団回収）には出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"二段ベット","にだんべっと","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"人形ケース（ガラス製）","にんぎょうけーす（がらすせい）","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"人形ケース（プラスチック製）","にんぎょうけーす（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。
一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"人形ケース（木製）","にんぎょうけーす（もくせい）","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"人形（紙製・木製）","にんぎょう（かみせい・もくせい）","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"人形（陶器製・金属製）","にんぎょう（とうきせい・きんぞくせい）","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
