№,施設名,種別    ,住所,電話,備考 
226,ワークセンター「あい」,就継Ｂ,小金井市東町4-17-1,042-387-5045,軽度の高次脳機能障害の方は何名か受け入れた経験があります。
227,手作り工房「みらい」,就継Ｂ,小金井市東町4-20-3,042-383-8668,軽度の高次脳機能障害の方は受け入れ可能です。
228,一般社団法人にこにこにこにこファクトリー,就継Ｂ,小金井市本町1-14-15,042-401-2556,店舗でのお弁当製造・販売の他、パソコンの解体処分、軽作業、公園清掃、手芸等、病状や好みに合わせて作業を選べます。時間の調整が難しい方にもできる作業があります。JR武蔵小金井駅から徒歩４分と便利です。
229,社会福祉法人未来ワークセンター夢の樹,就継Ｂ    ,小平市大沼町2-1-5,042-349-2586,当事業所は２つのグループに分かれて活動を行っています。本人に合ったグループを利用できます。利用前に見学や実習を行い、自分に合っているかを確認してもらっています。現在２名の高次脳機能障害の方が利用しています。
230,社会福祉法人未来ワークセンター夢の樹,就移　その他※  ,小平市大沼町2-1-3,042-349-2586,個々に合わせた支援や企業とのマッチングを行います。見学は随時受け付けておりますので、ご希望の方はご相談ください。※就労定着支援
231,社会福祉法人未来みくま,就継Ａ,小平市大沼町2-1-12,042-312-3739,知的障害、精神障害、身体障害の方が一緒に働いています。弁当製造、洗浄、清掃などを中心に行っています。お問い合わせ、見学は随時受け付けています。
232,社会福祉法人桂会あしたば作業所,就継Ｂ,小平市鈴木町2-187-3,042-467-8071,あしたば作業所は障害種別を問わない、様々な障害をお持ちの方、年齢も20代から80代までの方が、労働とリハビリを通じて社会参加する、就継Ｂです。
233,小平市立あおぞら福祉センター,機能訓　生介　指特相,小平市鈴木町1-472,042-326-4980,65歳未満で身体障害者手帳をお持ちの方が対象です。脳血管障害や神経難病の方が通所し、PT、OT、STによる自立に向けた必要なリハビリを提供しています。
234,生活リハビリセンター六三四,生介,小平市仲町364-1,042-343-1895,障がいの有無に関わらず、社会参加を目的にどなたでも気軽に立ち寄りお話しできる、地域でのセンター的な役割をめざす施設です。送迎により近隣市からの通所を受け入れています。
235,小平第二みどり作業所,就継Ｂ,小平市天神町3-7-16,042-313-4461,お問い合わせ、見学は随時受け付けています。
236,サングリーン,就継Ｂ　就移　その他※  ,小平市小川町1-943,042-345-1585,建物が古く、段差や急な階段もあり、自力での通所が原則となります。※就労定着支援　
237,社会福祉法人つむぎおだまき,就継Ｂ,小平市小川東町4-2-1小平元気村おがわ東,042-346-4530,着物の生地などを裂いて織る「さき織り」の仕事に取り組んでいます。古い布地がバッグやポーチに生まれ変わります。高次脳機能障害の方１名在籍
238,社会福祉法人おおぞらやまばと（地域活動支援センターⅠ型）,地活　指特相　その他※,日野市旭が丘2-42-5,042-582-3400,市内在住、18歳以上65歳未満の障害をお持ちの方が利用できます。午前・午後に軽体操・音楽療法・絵てがみ・調理活動等々の活動を提供し、必要に応じて相談支援を行っています。送迎あり。見学・体験は随時受付 ※障害者やその家族、障害児の保護者又は障害者の介護を行う方からの相談も実施しています（市委託相談事業）。
239,社会福祉法人東京緑新会多摩療護園,生介,日野市程久保872-1,042-591-6885,利用者の方は、集団生活が営める方に限定させていただいております。
240,社会福祉法人東京光の家光の家新生園,機能訓　生介,日野市旭が丘1-17-17,042-581-2340,高次脳機能障害の方へ理学療法士、言語聴覚士、作業療法士による機能訓練を実施しております。日野市内と送迎可能な地域にお住まいの方で、18歳～64歳の方が対象です。随時受付を行っております。
241,株式会社あやめ会メダカフェ,就継B,日野市日野本町4-6-20ホテルブーゲンビリア日野１階,042-589-3633,メダカフェでは高次脳機能障害のご利用者が２名働いています。メダカフェは、日野駅から徒歩１分とアクセス抜群。めだかの飼育や水槽のメンテナンスなどを中心に仕事をしています。自力通所できる方なら、どなたでもご利用いただけます。
242,社会福祉法人東京コロニー コロニー東村山,就継Ａ　就継Ｂ　就移,東村山市秋津町2-22-9,042-394-1111,就労に特化した多機能事業所。就継Ａ・就継Ｂ、就労移行で合計80名定員。内４名が高次脳機能障害の方
243,社会福祉法人東京コロニー トーコロ青葉ワークセンター,就継Ｂ　就移 ,東村山市青葉町2-39-10,042-395-1439,「地域の中で安心して暮らせる社会の実現」をめざして、障害のある人たちの働く場の充実と施設支援サービスの向上に努めています。
244,社会福祉法人ネット十二月,就継Ｂ,東村山市廻田町3-16-8,042-394-3523,緑多く静かな所で皆仲良く自分のペースで作業をしています。ご自宅から施設までの送迎（リフト車１台あります）。昼食は200円で食べられます。登録者22名中、脳梗塞の方４名、脳出血の方５名、くも膜下出血の方２名です。
245,高齢者在宅サービスセンター白十字八国苑,通介,東村山市諏訪町2-26-1,042-392-3402,通所介護施設です。要介護認定された方が対象になります。　
246,社会福祉法人村山苑福祉事業センター,就継Ｂ　就移　その他※  ,東村山市富士見町2-7-5,042-395-3636,見学は随時受け付けております。詳細については、お問い合せください。※就労定着支援
247,社会福祉法人いずみライフサポートつばさ,生介,東村山市富士見町3-4-16,042-394-1761,市内及び近郊在住の様々な障害をお持ちの方々が通所しています。レクリエーションや作業、リハビリ等、多様なプログラムの中から参加したいものを選んでいただきます。
248,社会福祉法人小さい共同体就労継続支援Ｂ型飛翔クラブ,就継Ｂ　指特相,東村山市栄町2-9-32晃正プラザ303,042-395-1427,室外・室内でできる作業の種類を多くし、利用者が選びやすいようにしてます。東村山市及び近郊在住の主に精神障害・知的障害の方が通所しています。
249,特定非営利活動法人けやきけやき第二作業所,就継Ｂ    ,東村山市萩山町3-19-2,042-395-4655,2021年４月新築物件に移転。作業に関しては、数種類導入し、利用する方の選択の幅を拡げられるよう努めています。
250,株式会社ウィズケアメディカル ウィズケアリハビリセンター,通介,東村山市久米川町3-1-1,042-398-8773,理学療法士・作業療法士が月曜日から土曜日まで、常駐しているデイサービスです。心身機能の維持・向上のため、リハビリを提供しております。
251,社会福祉法人東京蒼生会寿デイ･サービスセンター,通介,東村山市富士見町2-1-2,042-392-7721,立位が困難な方でも安心して、入浴できる設備があります。毎週土曜日には理学療法士によるリハビリ訓練を行っています。見学は、随時行っておりますので、気軽にご相談ください。
252,特定非営利活動法人セサミ萩共同作業所セサミ萩,就継Ｂ,東村山市萩山町2-2-15,042-347-4587,こころの病を抱えた方々の毎日の生活が潤いのあるものとなるよう、また地域社会の中で個々の能力を発揮できるよう、お手伝いをしたいと思っております。
253,かりん,就継Ｂ,東村山市秋津町2-37-47,042-393-2013,自力で通所でき、他利用者と共同作業が可能なことが利用条件
254,社会福祉法人ネット久米川共同作業所,就継Ｂ,東村山市久米川町2-21-14,042-396-5649,市内及び近郊在住の方が通所。主に脳血管障害・内部障害の方が、和やかな雰囲気の中、陶芸などの作業をしています。
255,特定非営利活動法人ワーカーズコープ東村山楠の樹地域福祉事業所ふたば,生介,東村山市野口町1-15-5グランドハイツ野口１階,042-306-0721,三障害の方が通所されています。多様性を認め合える居場所にしていきたいと思っています。得意を活かして役割を作り、活躍してもらっています。
256,社会福祉法人万葉の里国分寺市障害者センター,地活　機能訓　生活訓　生介　就継Ｂ　指特相　,国分寺市泉町2-3-8,042-321-1212　 ,利用は、国分寺市在住の方。身体障害・知的障害・精神障害等、すべての障害に対応
257,社会福祉法人ななえの里就労継続支援Ｂ型ともしび工房,就継Ｂ,国分寺市西恋ヶ窪4-10-2,042-324-7071,年齢も障害も様々な方々に利用していただいております。製菓・製パン・印刷・各種内職・リサイクル販売などに意欲的に取り組んでおります。
258,一般社団法人一粒福祉会デイオアシスまほろば,生介　通介,国分寺市富士本2-18-13,042-505-8419,利用者様が和気あいあいと楽しみながら過ごせる場所・お仕事ができる場所を提供しています。
259,特定非営利活動法人燦福祉作業所天成舎,生介　就継Ｂ,国立市富士見台3-33-22,042-571-2231,室内軽作業の他、屋外での清掃、古紙やペットボトルキャップの回収等、作業は多種あります。各障害特性等を考慮し、通所日数・時間を決定できます。
260,一般社団法人クリエイティブ・ソーシャルワーカーズ・ジャポン レジリエンス,就移　その他※  ,国立市中1-14-6市野沢ビル３階,042-505-6194,高次脳機能障害の方を中心に就労移行支援・就労定着支援をしています。パソコン、脳リハ等希望するプログラムを選び、個別対応で進めるので、ご自身のペースで取り組めます。都内全域、隣接県からの通所可　　※就労定着支援
261,一般社団法人一粒福祉会ワークオアシスアレーズまほろば,生介　就継B,国立市谷保5019-7エスポワール国立１階,042-505-7514,利用者様が和気あいあいと楽しみながら過ごせる場所・お仕事ができる場所を提供しています。
262,株式会社でかぬーて　ふっくりー,生活訓　就継B,国立市西2-20-8第３村上ビル２階,042-505ｰ8963,「ふっくりー」は落ち着いた環境の中にあります。事業所内は、一人一人のスペースが広く確保されているため、ゆっくりと自分のペースで過ごすことができます。送迎も行います。是非、一度、見学に来てください。
263,医療法人社団幸悠会地域活動支援センターハッピーウイング,地活　指特相,福生市東町6-8ＭＥビル３階,042-553-9888,福生市、羽村市に住所を有する方にご利用いただけます。
264,社会福祉法人福生市社会福祉協議会福生市生活介護事業所はっぴい,地活　生介,福生市南田園2-13-1福生市福祉センター内,042-552-2121,身体障害者の生活の改善及び機能の維持向上を図るため、創作的活動等の各種サービスを提供する通所施設です。また、自立支援に努めて、社会参加の促進を図れるように支援しています。
265,デイサービスあさがお,通介,福生市南田園1-6-14,042-513-3551,人と人とのつながりを意識した通所介護施設です。OTやSTが在籍し、症状の緩和や生活のしやすさを意識して対応しています。また、失語症をはじめ高次脳機能障害の緩和を図っています。
266,株式会社友心就労継続支援Ｂ型わーくあっぷ福生,就継Ｂ,福生市武蔵野台1-11-7,042-513-7132,毎月の楽しいイベントやサークル活動も行っております。また、送迎やお昼の提供もございます。まずはご相談ください。幅広いニーズの多種多様な作業などもご用意しております。
267,株式会社友心わーくあっぷ福生西口,就継Ｂ　就移,福生市本町123加藤ビル４階,042-513-0041,同法人内で高次脳機能障害のご利用者の対応実績があります。
268,社会福祉法人福生ひまわり会麦わら帽子,就継Ｂ　指特相,福生市福生2125-3,042-552-2258,様々な出会いを通して、仲間づくりや社会的な経験をより深め、自立した生活と自分らしさを見つける場です。
269,特定非営利活動法人青少年自立援助センタージョブスペース游,就継Ｂ　就移,福生市福生2351-1,042-553-2575,機械部品や箱の組み立て、資源分別、自主製作品の作製を行っております。通所されている方の意見を尊重し、仲間同士の支え合いを大切に考えております。見学をご希望される際はご連絡ください。
270,地域生活支援センターリヒト,地活　指特相,狛江市元和泉2-35-1あいとぴあセンター３階,03-3480-6656,精神科に継続受診している方が利用できます。フリースペースの利用は、登録が必要です。作業やプログラムはありません。
271,社会福祉法人足立邦栄会ポンテ,生介,狛江市元和泉2-35-1あいとぴあセンター４階,03-3480-2794,重度の障害を持った方が、自己実現と社会参加をめざし活動しています。
272,社会福祉法人光友会ひかり作業所,生介　就継Ｂ,狛江市岩戸南3-11-9,03-3489-6452,当施設では事業別に様々な個別プログラムを用意していますが、先ずは見学をしてみてください。又、相談もいつでもお受けいたしますので、気軽にお電話ください。
273,一般社団法人GGサポート多機能事業所パザパ,生活訓　生介,狛江市和泉本町1-9-4光洋産業第2ビル１階,03-5761-7380,個別支援を重視し、日常生活の様々な困りごとに対して支援を行っています。生活訓練で提供できる訪問支援では、外出が難しい方の自宅へ訪問し、社会に出るきっかけを作る支援を行うことができます。
274,社会福祉法人友遊会東大和市総合福祉センターは～とふる,地活　生活訓　生介　就継Ａ　就継Ｂ　就移,東大和市桜が丘2-53-6,042-516-3981,多機能型の障害福祉サービス事業所。高次脳機能障害の方は現在１名の方が在籍されています。 
275,社会福祉法人みんなの会第一みんなの家,就継Ｂ,東大和市奈良橋6-728-2,042-564-1900,陶芸、さをり織、手芸などのものづくりを中心に、適性や希望によって資源回収や下請け作業などに取り組んでいる。利用条件は障害者手帳をお持ちの方。現在、高次脳機能障害の方の利用は２名
276,社会福祉法人みんなの会第二みんなの家,就継Ｂ,東大和市奈良橋1-276-2,042-567-0267,中途障害の方が多く通所し、近年は知的障害など、様々な障害の方も増えてきました。陶芸や押し花、菓子製造、資源回収。下請け作業などをしながら、楽しく活動しています。
277,社会福祉法人みんなの会第三みんなの家,就継Ｂ,東大和市中央2-1122-5,042-562-8776,陶芸、さをり織、手芸などのものづくりを中心に、適性や希望によって資源回収や下請け作業などに取り組んでいる。利用条件は障害者手帳をお持ちの方
278,特定非営利活動法人生活支援センター２０７あとりえトントン,就継Ｂ,東大和市南街5-69-6,042-566-3920,高次脳機能障害の方、現在１名在籍。東大和駅から徒歩５分、出席率が高い作業所です。仲間づくりのために週３日以上通所できる方を募集中
279,特定非営利活動法生活支援センター２０７第2あとりえトントン,就継Ｂ,東大和市向原4-33-9ブルーバード101・206,042-566-4001,主治医の了解と見学、体験利用を経た上で受け入れを検討します。革製品制作、ケーキ作り、資源回収等を行っています。
280,清瀬市障害者福祉センター,機能訓　生介　指特相,清瀬市上清戸1-16-62,042-495-5511,主に市内在住で障がいをお持ちの方が対象です。お気軽にお問い合わせください。
281,社会福祉法人椎の木会地域生活支援センターどんぐり,地活　指特相　,清瀬市元町1-13-24常岡ビル１階,042-495-5110,年度登録制です。開所時間であれば好きな時に来所可能です。送迎はありません。今年度の高次脳機能障害の方の利用登録はありません。
282,社会福祉法人東京アフターケア協会汽車の家作業所,就移,清瀬市松山2-18-2,042-491-1236,一般就労をめざす方。自力通所可能な方。地域の障害者就労支援センターなどと連携しながら支援を行っています。
283,社会福祉法人東京アフターケア協会清瀬作業所,生介,清瀬市松山2-18-2,042-491-1236,原則、自力通所が可能な方。ケースにより送迎もあり。作業のほか、運動やレクリエーションを行っています。
284,社会福祉法人東京アフターケア協会セルプ清瀬,就継Ｂ,清瀬市松山2-18-2,042-491-1236,働く意欲があり、自力通所が可能な方
285,社会福祉法人恩賜財団東京都同胞援護会東久留米市立さいわい福祉センター,身福セ　地活　生介　就移　指特相　その他※  ,東久留米市幸町3-9-28,042-477-2711,多くの事業を展開しているため、事業間連携が可能です。対象者は市内在住の方になります。※居宅介護・重度訪問介護・同行援護事業　
286,特定非営利活動法人コイノニア就労支援事業所コイノニア,就継Ａ　就継Ｂ　指特相　その他※  ,東久留米市滝山5-1-16メルヘン２階,042-470-9009,地域において、パン・菓子作り・販売等をとおしての作業訓練を行っています。３名の高次脳機能障害の方が在籍されて元気に過ごされています。※共同生活援助
287,特定非営利活動法人武蔵野の里ぶどうの郷,就継Ｂ,東久留米市大門町1-2-4,042-471-6388,男性１名、女性１名の高次脳機能障害の方が利用されています。食事作りや自主製品に携わっている。
288,特定非営利活動法人武蔵野の里くるめパソコン作業所,就継Ｂ　就移,東久留米市氷川台1-2-12,042-471-4995,定期的に作業所に通うことにより生活のリズムを身につける。精神障害の方が主に利用されているが、高次脳機能障害の方も５名在籍しています。
289,武蔵村山市身体障害者福祉センター,身福セ　地活,武蔵村山市学園4-5-1武蔵村山市民総合センター内,042-590-1270,高次脳機能障害の方のご利用は現在ありませんが、隣接している障害者地域自立生活支援センターは家族会と連携し相談を受けておりますので、お気軽にお問い合わせください。
290,特定非営利活動法人村山たんぽぽ,就継Ｂ,武蔵村山市学園3-59-3コロコロセンター１階,042-569-8373,現在は２名の高次脳機能障害の利用者が在籍しています。様々なサポートを行い２名とも貴重な戦力として作業に従事されています。
291,社会福祉法人あかつきコロニーあかつき授産所,就継Ｂ,武蔵村山市伊奈平1-64-1,042-560-7840,身体障害、知的障害、難病の方を対象に多種作業を行っております。利用は、身辺自立、自力通所（状況により応相談）が要件となり、見学実習の上、利用開始となります。お気軽にお問い合わせください。
292,社会福祉法人あかつきコロニセルプあかつき,就移,武蔵村山市伊奈平1-64-1,042-560-7840,当施設は一般就職を希望される方が訓練し、就職をめざす施設です。見学、実習を経て利用となります。三障害及び難病等対象者の方が利用可能です。当施設は訓練プログラムと作業プログラムに特徴があります。
293,社会福祉法人あかつきコロニースペース・まどか,就継Ｂ,武蔵村山市伊奈平1-64-1,042-560-7900,精神障害の方を対象とした事業所です。基本的には、自力通所が可能である方、服薬の自己管理ができる方を対象としています。高次脳機能障害の方は、２名在籍されています。
294,多摩市社会福祉協議会地域活動支援センターあんど,地活　指特相,多摩市南野3-15-1二幸産業・NSP健幸福祉プラザ（多摩市総合福祉センター）３階,042-356-0307,相談支援のほか、趣味、教養講座などの開催、水浴訓練事業を実施しています。（事業は障害者手帳所持者対象）
295,多摩市在宅障がい者デイサービスセンター,地活,多摩市南野3-15-1二幸産業・NSP健幸福祉プラザ（多摩市総合福祉センター）４階,042-356-0307,市内在住18歳以上64歳以下の在宅障害者で、身体障害者手帳所持者、高次脳機能障害等の方。送迎サービスあり
296,特定非営利活動法人多摩市身体障害者福祉協会アートひまわり,就継Ｂ,多摩市南野3-15-1 ５階,042-373-8455,13名が通所しています。半数の方が高次脳機能障害の方です。身辺自立が条件となっておりますが、個別に対応しています。車椅子や片麻痺の方も訓練や作業に取り組んでいます。
297,特定非営利活動法人わこうど若人塾,就継Ｂ,多摩市永山3-12-1西永山福祉施設内,042-376-8431,利用者の多くは精神障害者の方で、高次脳機能障害のための特別なプログラムは行っていません。自力での通所可能な方が対象です。関係機関からの紹介、見学・実習を経てご利用のご相談となります。
298,特定非営利活動法人ＦｉｌｏＡＲＯＭＡ,就継Ｂ　その他※,多摩市落合1-3-7ハルシオンコート２階,042-338-1919,基本的には、自主通所が前提です。当施設の就継Ｂは、仕事が中心なので指示が入る人が集まっています。日中一時支援事業の方は、常勤が困難な方が利用しています。大体は知的障害と発達障害の方です。 ※日中一時支援事業
299,稲城市社会福祉協議会稲城市障害者地域活動支援センター,地活,稲城市百村7福祉センター内,042-370-2480,高次脳機能障害に特化したプログラムはございません。相談・見学の上でご利用ください。　
300,稲城市社会福祉協議会エイトピア工房,就継Ｂ,稲城市平尾1-9-1複合施設ふれんど平尾内,042-350-1891,市内外を問わず18歳以上の身体障害・知的障害・精神障害のいずれかの障害のある方が通所しています。現在、高次脳機能障害の方の在籍はありませんが、通所枠に空きがありますので、希望される方はご相談ください。
301,わくわく,就継Ｂ,稲城市大丸60-11,042-378-1514,清掃作業、食品関連作業がありますが、当事業所は精神障害の方を対象としております。高次脳機能障害に特化したプログラムはございません。ご利用の際はご相談ください。見学は随時可能です。
302,稲城柔道接骨師会デイサービス株式会社,通介,稲城市東長沼1174-7リベラルハイツ101号,042-401-8755,１単位10人以下。短時間による機能訓練を行っています。
303,障害者就労継続支援Ｂ型事業いちょう,就継Ｂ,羽村市栄町2-18-1,042-555-1200,市内在住の18歳以上の方が対象。ベアリング加工作業や電気照明部品の製作、資源回収作業を中心に作業しています。
304,地域活動支援センターⅠ型事業あおば,地活　指特相,羽村市栄町2-18-1,042-554-0336,18歳以上65歳未満の感染症等の疾病を有しない障害者を対象としており、原則として医師の指示を要する医療的処置は行えません。
305,社会福祉法人そよかぜ福祉作業所ひばり園,就継Ｂ　就移　その他※  ,羽村市栄町3-3-1,042-555-5512,安定した作業量と工賃を提供しています。自力通所ができる方が対象です。見学・ご相談は随時受付。作業内容や雰囲気を見てからご検討ください。※就労定着支援
306,社会福祉法人緑水会精神障害者地域生活支援センターフィレ,地活,あきる野市二宮670-5秋川健康会館２階,042-518-2826,利用をご検討される場合は、あらかじめお問い合わせください。原則として市内在住の方を利用対象としております。
307,一般社団法人こーゆうネットワーク就労継続支援Ｂ型事業所こーゆうハウス,就継Ｂ,あきる野市雨間322-12赤坂ビル,042-533-2786,高次脳機能障害の方の居場所を作りたいと家族会が令和２年２月に立ち上げました。自力で通えるようにと秋川駅の近くにあります。高次脳機能障害の方は８名在籍。お弁当と手作り品の販売、農作業もします。
308,西東京市保谷障害者福祉センター,地活　指特相　その他※,西東京市保谷町1-6-20,042-463-9861,市内在住者対象。機能訓練・相談事業に力を入れています。※指定一般相談支援事業所
309,特定非営利活動法人どろんこ会どろんこ作業所,生介,西東京市東伏見6-1-36,042-461-8364,障害支援区分３以上の方対象。楽しみながら園芸・陶芸・アクセサリー作業等を行っています。そして、店舗や地域でのイベントにて販売し交流活動を行っています。高次機能障害の方は５名在籍しています。
310,特定非営利活動法人ミモザ富士町作業所,就継Ｂ,西東京市田無町5-5-12田無総合福祉センター内,042-462-1093　,身の回りのことが一人でできる方、通所及び軽作業ができる方
311,特定非営利活動法人ミモザパッソ西東京,就継Ｂ,西東京市柳沢6-11-13,042-497-4841,高次脳機能障害のある方を中心にお受け入れしております。軽作業や自主生産品の製作を行っています。お一人おひとりのニーズに合わせた支援を行い、個別プログラムや就労・社会復帰のためのサポートもいたします。
312,特定非営利活動法人燦燦会サンワーク田無,就継Ｂ,西東京市緑町1-8-3-102,042-452-7401,現在、高次脳機能障害をお持ちの通所者は１名。職員は順次、研修を受け対応できるようにスキルアップを図っています。作業は50分程度で休憩を入れ、作業中でも何かあれば休憩できる体制を取っています。
313,日の出リハビリ,就継Ｂ,西多摩郡日の出町平井218-1,042-597-4111,クリーニング作業やウエス加工等の軽作業など幅広い作業があります。座位でできる作業もあるため、安心して作業に取り組めます。現在102名中２名の高次脳機能障害の方が働いています。
314,ワークスタディ日の出,生介　就継Ｂ,西多摩郡日の出町平井218-1,042-597-4111,クリーニング作業やウエス加工等の軽作業など幅広い作業があります。座位でできる作業もあるため、安心して作業に取り組めます。現在102名中２名の高次脳機能障害の方が働いています。
315,ひのきのその,就継Ｂ　指特相　その他※,西多摩郡檜原村5354-6,042-598-3113,現在、高次脳機能障害の方を１名受け入れています。ご利用の際は、初めに見学をしていただき、見学利用期間を設けています。※指定障害児・指定一般相談支援事業所
316,波浮港福祉作業所,就継Ｂ,大島町差木地字下地,04992-4-1588,出張作業、企業・個人宅の除草作業
317,東京都立中部総合精神保健福祉センター,精デイ,世田谷区上北沢2-1-7,03-3302-7575,高次脳機能障害専門のCODYプロジェクトに加え、就労、復職、進学などの目的に応じて、他のプログラムに参加できます。利用期間は１年以内。対象は、都内在住の方
