施設名称,所在地,緯度,経度,電話番号,施設概要,URL
中川小学校,墨田区立花五丁目49番4号,35.713561,139.831476,03-3617-7921,使用可能時間帯：午前8時～午後9時（年末年始（12/29～1/3）は除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
医療法人社団立圭会平野医院,墨田区立花六丁目1番14号,35.71063,139.833238,,使用可能時間帯：午前8時～午後6時（木曜日・土曜日午後・日曜日・祝日等を除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
立花図書館,墨田区立花六丁目8番1号101号室,35.710694,139.834842,03-3618-2620,使用可能時間帯：午前9時～午後8時（日・月曜日・祝日は午後5時まで、館内整理日等を除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
立花ゆうゆう館,墨田区立花六丁目8番号102号室,35.710595,139.834744,03-3613-3911,使用可能時間帯：午前9時～午後5時（日曜日・祝日は午後5時まで）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
すみだスポーツ健康センター,墨田区東墨田一丁目6番1号,35.716461,139.830555,03-5247-7755,使用可能時間帯：午前10時～午後8時（水曜日等を除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
社会福祉会館,墨田区東墨田二丁目7番1号,35.71903,139.830361,03-3619-1051,使用可能時間帯：午前9時～午後9時（日曜日は午後5時まで、第3月曜日・祝日等を除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
東墨田会館,墨田区東墨田二丁目12番9号,35.721384,139.832596,03-3612-0286,使用可能時間帯：午後0時～午後9時（日曜日・祝日等を除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
株式会社大東マーク工業,墨田区東墨田二丁目17番9号,35.722704,139.832752,,使用可能時間帯：午前7時30分～午後5時30分（休業日を除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
荒川四ツ木橋緑地少年野球場,墨田区東墨田三丁目先,35.721291,139.837284,03-3614-6131,使用可能時間帯：午前5時30分～午後6時30分（4月～9月）、午前7時30分～午後4時30分（10月～3月）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
株式会社杉田製線第二工場,墨田区東墨田三丁目1番12号,35.718485,139.834016,,使用可能時間帯：午前8時30分～午後5時（土・日曜日等を除く）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
東墨田テニスコート,墨田区東墨田三丁目19番6号,35.718387,139.837146,03-3618-3337,使用可能時間帯：午前9時～午後6時（4月～9月）、午前9時～午後4時（10月～3月）,https://www.city.sumida.lg.jp/kenko_fukushi/kenko/iryou_kyuukyuu/aed/aedsetup.html
