産業分類階層,大分類,中分類,小分類,分類名,総数／事業所数（事業所）,総数／従業者数／総数（人）,総数／従業者数／男（人）,総数／従業者数／女（人）,総数／従業者数／うち常用雇用者／総数（人）,総数／従業者数／うち常用雇用者／男（人）,総数／従業者数／うち常用雇用者／女（人）,民営の合計／事業所数（事業所）,民営の合計／従業者数／民営の合計（人）,民営の合計／従業者数／男（人）,民営の合計／従業者数／女（人）,民営の合計／従業者数／うち常用雇用者／民営の合計（人）,民営の合計／従業者数／うち常用雇用者／男（人）,民営の合計／従業者数／うち常用雇用者／女（人）,民営／個人／事業所数（事業所）,民営／個人／従業者数／総数（人）,民営／個人／従業者数／男（人）,民営／個人／従業者数／女（人）,民営／個人／従業者数／うち常用雇用者数／総数（人）,民営／個人／従業者数／うち常用雇用者数／男（人）,民営／個人／従業者数／うち常用雇用者数／女（人）,民営／法人／事業所数（事業所）,民営／法人／従業者数／総数（人）,民営／法人／従業者数／男（人）,民営／法人／従業者数／女（人）,民営／法人／従業者数／うち常用雇用者数／総数（人）,民営／法人／従業者数／うち常用雇用者数／男（人）,民営／法人／従業者数／うち常用雇用者数／女（人）,民営／法人／会社／事業所数（事業所）,民営／法人／会社／従業者数／総数（人）,民営／法人／会社／従業者数／男（人）,民営／法人／会社／従業者数／女（人）,民営／法人／会社／従業者数／うち常用雇用者数／総数（人）,民営／法人／会社／従業者数／うち常用雇用者数／男（人）,民営／法人／会社／従業者数／うち常用雇用者数／女（人）,民営／法人／会社／株式・有限・相互会社／事業所数（事業所）,民営／法人／会社／株式・有限・相互会社／従業者数／総数（人）,民営／法人／会社／株式・有限・相互会社／従業者数／男（人）,民営／法人／会社／株式・有限・相互会社／従業者数／女（人）,民営／法人／会社／株式・有限・相互会社／従業者数／うち常用雇用者数／総数（人）,民営／法人／会社／株式・有限・相互会社／従業者数／うち常用雇用者数／男（人）,民営／法人／会社／株式・有限・相互会社／従業者数／うち常用雇用者数／女（人）,民営／法人／会社／合名・合資会社／事業所数（事業所）,民営／法人／会社／合名・合資会社／従業者数／総数（人）,民営／法人／会社／合名・合資会社／従業者数／男（人）,民営／法人／会社／合名・合資会社／従業者数／女（人）,民営／法人／会社／合名・合資会社／従業者数／うち常用雇用者数／総数（人）,民営／法人／会社／合名・合資会社／従業者数／うち常用雇用者数／男（人）,民営／法人／会社／合名・合資会社／従業者数／うち常用雇用者数／女（人）,民営／法人／会社／合同会社／事業所数（事業所）,民営／法人／会社／合同会社／従業者数／総数（人）,民営／法人／会社／合同会社／従業者数／男（人）,民営／法人／会社／合同会社／従業者数／女（人）,民営／法人／会社／合同会社／従業者数／うち常用雇用者数／総数（人）,民営／法人／会社／合同会社／従業者数／うち常用雇用者数／男（人）,民営／法人／会社／合同会社／従業者数／うち常用雇用者数／女（人）,民営／法人／会社／外国の会社／事業所数（事業所）,民営／法人／会社／外国の会社／従業者数／総数（人）,民営／法人／会社／外国の会社／従業者数／男（人）,民営／法人／会社／外国の会社／従業者数／女（人）,民営／法人／会社／外国の会社／従業者数／うち常用雇用者数／総数（人）,民営／法人／会社／外国の会社／従業者数／うち常用雇用者数／男（人）,民営／法人／会社／外国の会社／従業者数／うち常用雇用者数／女（人）,民営／法人／会社以外の法人／事業所数（事業所）,民営／法人／会社以外の法人／従業者数／総数（人）,民営／法人／会社以外の法人／従業者数／男（人）,民営／法人／会社以外の法人／従業者数／女（人）,民営／法人／会社以外の法人／従業者数／うち常用雇用者数／総数（人）,民営／法人／会社以外の法人／従業者数／うち常用雇用者数／男（人）,民営／法人／会社以外の法人／従業者数／うち常用雇用者数／女（人）,民営／法人でない団体／事業所数（事業所）,民営／法人でない団体／従業者数／総数（人）,民営／法人でない団体／従業者数／男（人）,民営／法人でない団体／従業者数／女（人）,民営／法人でない団体／従業者数／うち常用雇用者数／総数（人）,民営／法人でない団体／従業者数／うち常用雇用者数／男（人）,民営／法人でない団体／従業者数／うち常用雇用者数／女（人）,国・地方公共団体の合計／事業所数（事業所）,国・地方公共団体の合計／従業者数（人）,国・地方公共団体の合計／従業者数／男（人）,国・地方公共団体の合計／従業者数／女（人）,国・地方公共団体の合計／従業者数／うち常用雇用者（人）,国・地方公共団体の合計／従業者数／うち常用雇用者／男（人）,国・地方公共団体の合計／従業者数／うち常用雇用者／女（人）,国・地方公共団体／国／事業所数（事業所）,国・地方公共団体／国／従業者数（人）,国・地方公共団体／国／従業者数／男（人）,国・地方公共団体／国／従業者数／女（人）,国・地方公共団体／国／従業者数／うち常用雇用者（人）,国・地方公共団体／国／従業者数／うち常用雇用者／男（人）,国・地方公共団体／国／従業者数／うち常用雇用者／女（人）,国・地方公共団体／地方公共団体の合計／事業所数（事業所）,国・地方公共団体／地方公共団体の合計／業者数（人）,国・地方公共団体／地方公共団体の合計／従業者数／男（人）,国・地方公共団体／地方公共団体の合計／従業者数／女（人）,国・地方公共団体／地方公共団体の合計／従業者数／うち常用雇用者（人）,国・地方公共団体／地方公共団体の合計／従業者数／うち常用雇用者／男（人）,国・地方公共団体／地方公共団体の合計／従業者数／うち常用雇用者／女（人）,国・地方公共団体／地方公共団体／都道府県／事業所数（事業所）,国・地方公共団体／地方公共団体／都道府県／業者数（人）,国・地方公共団体／地方公共団体／都道府県／従業者数／男（人）,国・地方公共団体／地方公共団体／都道府県／従業者数／女（人）,国・地方公共団体／地方公共団体／都道府県／従業者数／うち常用雇用者（人）,国・地方公共団体／地方公共団体／都道府県／従業者数／うち常用雇用者／男（人）,国・地方公共団体／地方公共団体／都道府県／従業者数／うち常用雇用者／女（人）,国・地方公共団体／地方公共団体／区市町村／事業所数（事業所）,国・地方公共団体／地方公共団体／区市町村／業者数（人）,国・地方公共団体／地方公共団体／区市町村／従業者数／男（人）,国・地方公共団体／地方公共団体／区市町村／従業者数／女（人）,国・地方公共団体／地方公共団体／区市町村／従業者数／うち常用雇用者（人）,国・地方公共団体／地方公共団体／区市町村／従業者数／うち常用雇用者／男（人）,国・地方公共団体／地方公共団体／区市町村／従業者数／うち常用雇用者／女（人）,国・地方公共団体／地方公共団体／一部事務組合等／事業所数（事業所）,国・地方公共団体／地方公共団体／一部事務組合等／業者数（人）,国・地方公共団体／地方公共団体／一部事務組合等／従業者数／男（人）,国・地方公共団体／地方公共団体／一部事務組合等／従業者数／女（人）,国・地方公共団体／地方公共団体／一部事務組合等／従業者数／うち常用雇用者（人）,国・地方公共団体／地方公共団体／一部事務組合等／従業者数／うち常用雇用者／男（人）,国・地方公共団体／地方公共団体／一部事務組合等／従業者数／うち常用雇用者／女（人）
3,I,52,521,農畜産物・水産物卸売業,4251,49520,35904,13616,41294,29686,11608,4251,49520,35904,13616,41294,29686,11608,536,1583,984,599,838,422,416,3714,47921,34906,13015,40453,29263,11190,3638,47206,34382,12824,39842,28837,11005,3617,47120,34332,12788,39778,28801,10977,14,58,35,23,40,24,16,2,8,7,1,7,6,1,5,20,8,12,17,6,11,76,715,524,191,611,426,185,1,16,14,2,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,I,52,52A,米穀類卸売業,410,3893,2716,1177,3170,2150,1020,410,3893,2716,1177,3170,2150,1020,52,137,74,63,68,24,44,358,3756,2642,1114,3102,2126,976,340,3631,2541,1090,2986,2034,952,335,3619,2534,1085,2978,2029,949,4,9,5,4,6,4,2,1,3,2,1,2,1,1,-,-,-,-,-,-,-,18,125,101,24,116,92,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,I,52,52B,野菜・果実卸売業,1165,15301,10958,4343,12809,9128,3681,1165,15301,10958,4343,12809,9128,3681,177,538,325,213,288,131,157,987,14747,10619,4128,12518,8996,3522,964,14517,10466,4051,12313,8868,3445,960,14504,10458,4046,12304,8862,3442,3,11,8,3,7,6,1,-,-,-,-,-,-,-,1,2,-,2,2,-,2,23,230,153,77,205,128,77,1,16,14,2,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,I,52,52C,食肉卸売業,895,11407,8307,3100,9681,6999,2682,895,11407,8307,3100,9681,6999,2682,141,388,242,146,193,97,96,754,11019,8065,2954,9488,6902,2586,743,10898,7966,2932,9397,6830,2567,738,10868,7952,2916,9370,6818,2552,4,27,13,14,24,11,13,-,-,-,-,-,-,-,1,3,1,2,3,1,2,11,121,99,22,91,72,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,I,52,52D,生鮮魚介卸売業,1418,15476,11592,3884,12822,9548,3274,1418,15476,11592,3884,12822,9548,3274,124,410,285,125,239,154,85,1294,15066,11307,3759,12583,9394,3189,1282,14962,11237,3725,12493,9335,3158,1276,14936,11221,3715,12476,9325,3151,2,6,4,2,-,-,-,1,5,5,-,5,5,-,3,15,7,8,12,5,7,12,104,70,34,90,59,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,I,52,52E,その他の農畜産物・水産物卸売業,363,3443,2331,1112,2812,1861,951,363,3443,2331,1112,2812,1861,951,42,110,58,52,50,16,34,321,3333,2273,1060,2762,1845,917,309,3198,2172,1026,2653,1770,883,308,3193,2167,1026,2650,1767,883,1,5,5,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,135,101,34,109,75,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,52,522,食料・飲料卸売業,5079,97121,64345,32598,88362,58078,30106,5079,97121,64345,32598,88362,58078,30106,362,977,542,435,447,174,273,4714,96139,63800,32161,87911,57902,29831,4667,94458,62656,31624,86291,56812,29301,4618,93776,62321,31277,85707,56532,28997,20,85,40,45,57,23,34,15,514,246,268,452,216,236,14,83,49,34,75,41,34,47,1681,1144,537,1620,1090,530,3,5,3,2,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,I,53,000,建築材料，鉱物・金属材料等卸売業,11265,184887,137861,46785,164695,121513,42944,11265,184887,137861,46785,164695,121513,42944,800,2028,1353,675,913,475,438,10461,182839,136489,46109,163762,121019,42505,10382,181941,135807,45893,163002,120470,42294,10301,180903,135096,45566,162051,119830,41983,36,157,106,51,99,61,38,18,701,498,203,687,484,203,27,180,107,73,165,95,70,79,898,682,216,760,549,211,4,20,19,1,20,19,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,53,530,管理，補助的経済活動を行う事業所,154,1388,1066,322,1200,900,300,154,1388,1066,322,1200,900,300,1,1,-,1,1,-,1,153,1387,1066,321,1199,900,299,153,1387,1066,321,1199,900,299,153,1387,1066,321,1199,900,299,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,53,531,建築材料卸売業,3592,39702,29324,10378,34091,24891,9200,3592,39702,29324,10378,34091,24891,9200,262,677,465,212,303,158,145,3329,39023,28858,10165,33786,24732,9054,3305,38805,28706,10099,33592,24602,8990,3275,38674,28623,10051,33505,24552,8953,25,104,66,38,65,35,30,1,4,3,1,4,3,1,4,23,14,9,18,12,6,24,218,152,66,194,130,64,1,2,1,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,53,532,化学製品卸売業,3332,70358,52818,17457,63954,47522,16349,3332,70358,52818,17457,63954,47522,16349,60,136,77,59,47,15,32,3272,70222,52741,17398,63907,47507,16317,3267,70201,52727,17391,63889,47496,16310,3246,69855,52512,17260,63557,47295,16179,1,2,1,1,2,1,1,9,295,182,113,286,173,113,11,49,32,17,44,27,17,5,21,14,7,18,11,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,53,533,石油・鉱物卸売業,661,19784,15479,4304,18325,14204,4120,661,19784,15479,4304,18325,14204,4120,15,30,19,11,7,2,5,645,19754,15460,4293,18318,14202,4115,626,19379,15186,4192,18022,14005,4016,614,18968,14889,4078,17616,13713,3902,1,3,2,1,1,-,1,5,342,259,83,341,258,83,6,66,36,30,64,34,30,19,375,274,101,296,197,99,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,53,534,鉄鋼製品卸売業,1307,32534,23652,8879,29673,21289,8384,1307,32534,23652,8879,29673,21289,8384,45,109,73,36,53,30,23,1262,32425,23579,8843,29620,21259,8361,1261,32421,23576,8842,29617,21257,8360,1255,32404,23563,8838,29607,21250,8357,3,10,9,1,5,5,-,1,2,1,1,1,-,1,2,5,3,2,4,2,2,1,4,3,1,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,53,535,非鉄金属卸売業,999,12733,8975,3604,11049,7664,3231,999,12733,8975,3604,11049,7664,3231,98,259,134,125,127,45,82,901,12474,8841,3479,10922,7619,3149,898,12463,8836,3473,10913,7615,3144,892,12367,8762,3451,10821,7544,3123,1,5,3,2,3,2,1,1,54,49,5,54,49,5,4,37,22,15,35,20,15,3,11,5,6,9,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,53,536,再生資源卸売業,1220,8388,6547,1841,6403,5043,1360,1220,8388,6547,1841,6403,5043,1360,319,816,585,231,375,225,150,899,7554,5944,1610,6010,4800,1210,872,7285,5710,1575,5770,4595,1175,866,7248,5681,1567,5746,4576,1170,5,33,25,8,23,18,5,1,4,4,-,1,1,-,-,-,-,-,-,-,-,27,269,234,35,240,205,35,2,18,18,-,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,I,54,000,機械器具卸売業,14736,346775,267880,78071,323105,248958,73324,14736,346775,267880,78071,323105,248958,73324,340,741,502,239,299,153,146,14392,346024,267369,77831,322799,248799,73177,14361,345651,267084,77743,322471,248558,73090,14207,341788,264316,76648,318709,245877,72009,24,88,67,21,62,45,17,40,2892,2077,815,2866,2056,810,90,883,624,259,834,580,254,31,373,285,88,328,241,87,4,10,9,1,7,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,54,540,管理，補助的経済活動を行う事業所,219,17971,14470,3489,17720,14262,3446,219,17971,14470,3489,17720,14262,3446,-,-,-,-,-,-,-,219,17971,14470,3489,17720,14262,3446,219,17971,14470,3489,17720,14262,3446,218,17969,14469,3488,17719,14261,3446,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,54,541,産業機械器具卸売業,4946,89432,70515,18898,81940,64420,17501,4946,89432,70515,18898,81940,64420,17501,112,234,157,77,89,41,48,4833,89195,70356,18820,81848,64377,17452,4823,89124,70310,18795,81783,64337,17427,4791,88627,69948,18660,81309,63996,17294,13,57,43,14,43,31,12,9,237,203,34,235,201,34,10,203,116,87,196,109,87,10,71,46,25,65,40,25,1,3,2,1,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,54,542,自動車卸売業,1623,23010,17650,4698,20571,15669,4240,1623,23010,17650,4698,20571,15669,4240,94,219,157,62,97,62,35,1529,22791,17493,4636,20474,15607,4205,1524,22747,17457,4628,20453,15594,4197,1510,22585,17349,4574,20305,15495,4148,3,8,6,2,5,4,1,6,56,30,26,48,26,22,5,98,72,26,95,69,26,5,44,36,8,21,13,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,54,543,電気機械器具卸売業,5234,156474,119851,36493,147309,112663,34516,5234,156474,119851,36493,147309,112663,34516,77,168,115,53,67,34,33,5155,156300,119730,36440,147239,112626,34483,5146,156090,119563,36397,147038,112468,34440,5073,153722,117894,35698,144710,110836,33744,5,14,11,3,8,5,3,9,1933,1326,607,1930,1323,607,59,421,332,89,390,304,86,9,210,167,43,201,158,43,2,6,6,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,54,549,その他の機械器具卸売業,2714,59888,45394,14493,55565,41944,13621,2714,59888,45394,14493,55565,41944,13621,57,120,73,47,46,16,30,2656,59767,45320,14446,55518,41927,13591,2649,59719,45284,14434,55477,41897,13580,2615,58885,44656,14228,54666,41289,13377,3,9,7,2,6,5,1,16,666,518,148,653,506,147,15,159,103,56,152,97,55,7,48,36,12,41,30,11,1,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,I,55,000,その他の卸売業,14656,237277,146700,88223,213587,129952,81287,14656,237277,146700,88223,213587,129952,81287,935,2345,1284,1061,1039,423,616,13705,234841,145347,87140,212494,129493,80653,13573,231959,143245,86360,209874,127623,79903,13473,230178,141980,85844,208212,126440,79424,34,273,171,102,215,133,82,31,1200,933,267,1160,905,255,35,308,161,147,287,145,142,132,2882,2102,780,2620,1870,750,16,91,69,22,54,36,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,55,550,管理，補助的経済活動を行う事業所,198,4260,2867,1393,4074,2703,1371,198,4260,2867,1393,4074,2703,1371,-,-,-,-,-,-,-,198,4260,2867,1393,4074,2703,1371,196,4225,2842,1383,4041,2680,1361,195,4209,2838,1371,4025,2676,1349,-,-,-,-,-,-,-,1,16,4,12,16,4,12,-,-,-,-,-,-,-,2,35,25,10,33,23,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,55,551,家具・建具・じゅう器等卸売業,2151,27166,17581,9140,24066,15315,8306,2151,27166,17581,9140,24066,15315,8306,162,343,219,124,138,61,77,1989,26823,17362,9016,23928,15254,8229,1974,26638,17231,8962,23753,15133,8175,1960,26526,17162,8919,23671,15084,8142,8,58,34,24,33,19,14,2,20,10,10,19,9,10,4,34,25,9,30,21,9,15,185,131,54,175,121,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,55,552,医薬品・化粧品等卸売業,2611,78662,42096,34665,74300,39334,33065,2611,78662,42096,34665,74300,39334,33065,136,375,136,239,188,43,145,2474,78284,41958,34425,74110,39290,32919,2448,77875,41653,34321,73774,39050,32823,2436,77675,41552,34222,73585,38956,32728,2,105,67,38,102,65,37,5,21,8,13,17,6,11,5,74,26,48,70,23,47,26,409,305,104,336,240,96,1,3,2,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,55,553,紙・紙製品卸売業,1473,23567,16620,6947,20841,14666,6175,1473,23567,16620,6947,20841,14666,6175,97,212,132,80,80,42,38,1374,23348,16485,6863,20754,14621,6133,1367,23304,16459,6845,20716,14600,6116,1360,23276,16441,6835,20694,14586,6108,6,22,15,7,16,11,5,-,-,-,-,-,-,-,1,6,3,3,6,3,3,7,44,26,18,38,21,17,2,7,3,4,7,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,55,559,他に分類されない卸売業,8223,103622,67536,36078,90306,57934,32370,8223,103622,67536,36078,90306,57934,32370,540,1415,797,618,633,277,356,7670,102126,66675,35443,89628,57625,32001,7588,99917,65060,34849,87590,56160,31428,7522,98492,63987,34497,86237,55138,31097,18,88,55,33,64,38,26,23,1143,911,232,1108,886,222,25,194,107,87,181,98,83,82,2209,1615,594,2038,1465,573,13,81,64,17,45,32,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,I,55,55A,代理商，仲立業,285,2539,1643,896,2156,1336,820,285,2539,1643,896,2156,1336,820,14,28,16,12,10,5,5,265,2456,1584,872,2114,1307,807,249,2387,1541,846,2061,1279,782,244,2349,1522,827,2024,1261,763,-,-,-,-,-,-,-,1,2,2,-,1,1,-,4,36,17,19,36,17,19,16,69,43,26,53,28,25,6,55,43,12,32,24,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,I,55,55B,他に分類されないその他の卸売業,7938,101083,65893,35182,88150,56598,31550,7938,101083,65893,35182,88150,56598,31550,526,1387,781,606,623,272,351,7405,99670,65091,34571,87514,56318,31194,7339,97530,63519,34003,85529,54881,30646,7278,96143,62465,33670,84213,53877,30334,18,88,55,33,64,38,26,22,1141,909,232,1107,885,222,21,158,90,68,145,81,64,66,2140,1572,568,1985,1437,548,7,26,21,5,13,8,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,I,56,000,各種商品小売業,374,52992,21302,31690,51244,20516,30728,374,52992,21302,31690,51244,20516,30728,10,19,9,10,2,1,1,364,52973,21293,31680,51242,20515,30727,358,52874,21272,31602,51143,20494,30649,339,49566,20203,29363,48020,19480,28540,-,-,-,-,-,-,-,19,3308,1069,2239,3123,1014,2109,-,-,-,-,-,-,-,6,99,21,78,99,21,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,56,560,管理，補助的経済活動を行う事業所,20,6866,3761,3105,6687,3657,3030,20,6866,3761,3105,6687,3657,3030,-,-,-,-,-,-,-,20,6866,3761,3105,6687,3657,3030,20,6866,3761,3105,6687,3657,3030,18,6606,3560,3046,6465,3490,2975,-,-,-,-,-,-,-,2,260,201,59,222,167,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,56,561,百貨店，総合スーパー,133,42848,16403,26445,41353,15744,25609,133,42848,16403,26445,41353,15744,25609,-,-,-,-,-,-,-,133,42848,16403,26445,41353,15744,25609,132,42798,16397,26401,41303,15738,25565,115,39750,15529,24221,38402,14891,23511,-,-,-,-,-,-,-,17,3048,868,2180,2901,847,2054,-,-,-,-,-,-,-,1,50,6,44,50,6,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,56,569,その他の各種商品小売業（従業者が常時50人未満のもの）,221,3278,1138,2140,3204,1115,2089,221,3278,1138,2140,3204,1115,2089,10,19,9,10,2,1,1,211,3259,1129,2130,3202,1114,2088,206,3210,1114,2096,3153,1099,2054,206,3210,1114,2096,3153,1099,2054,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,49,15,34,49,15,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,I,57,000,織物・衣服・身の回り品小売業,18578,125684,39000,86650,109980,31768,78178,18578,125684,39000,86650,109980,31768,78178,4377,8458,3179,5279,2638,584,2054,14194,117194,35815,81345,107322,31181,76107,14180,117127,35802,81291,107269,31169,76066,14042,115248,35018,80196,105502,30452,75016,61,188,77,111,116,36,80,66,1580,652,928,1540,626,914,11,111,55,56,111,55,56,14,67,13,54,53,12,41,7,32,6,26,20,3,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,57,570,管理，補助的経済活動を行う事業所,205,8093,3732,4351,7697,3477,4210,205,8093,3732,4351,7697,3477,4210,-,-,-,-,-,-,-,205,8093,3732,4351,7697,3477,4210,205,8093,3732,4351,7697,3477,4210,203,8087,3729,4348,7691,3474,4207,2,6,3,3,6,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,57,571,呉服・服地・寝具小売業,1506,6202,2188,4014,4139,1118,3021,1506,6202,2188,4014,4139,1118,3021,571,1118,532,586,291,86,205,935,5084,1656,3428,3848,1032,2816,935,5084,1656,3428,3848,1032,2816,923,5039,1640,3399,3823,1025,2798,9,32,13,19,17,6,11,3,13,3,10,8,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
