産業分類階層,大分類,中分類,小分類,分類名,東京都／総数（民営＋国、地方公共団体）／事業所数（事業所）,東京都／総数（民営＋国、地方公共団体）／従業者数（人）,区部／経営組織／民営／事業所数（事業所）,区部／経営組織／民営／従業者数（人）,千代田区／経営組織／民営／事業所数（事業所）,千代田区／経営組織／民営／従業者数（人）,中央区／経営組織／民営／事業所数（事業所）,中央区／経営組織／民営／従業者数（人）,港区／経営組織／民営／事業所数（事業所）,港区／経営組織／民営／従業者数（人）,新宿区／経営組織／民営／事業所数（事業所）,新宿区／経営組織／民営／従業者数（人）,文京区／経営組織／民営／事業所数（事業所）,文京区／経営組織／民営／従業者数（人）,台東区／経営組織／民営／事業所数（事業所）,台東区／経営組織／民営／従業者数（人）,墨田区／経営組織／民営／事業所数（事業所）,墨田区／経営組織／民営／従業者数（人）,江東区／経営組織／民営／事業所数（事業所）,江東区／経営組織／民営／従業者数（人）,品川区／経営組織／民営／事業所数（事業所）,品川区／経営組織／民営／従業者数（人）,目黒区／経営組織／民営／事業所数（事業所）,目黒区／経営組織／民営／従業者数（人）,大田区／経営組織／民営／事業所数（事業所）,大田区／経営組織／民営／従業者数（人）,世田谷区／経営組織／民営／事業所数（事業所）,世田谷区／経営組織／民営／従業者数（人）,渋谷区／経営組織／民営／事業所数（事業所）,渋谷区／経営組織／民営／従業者数（人）,中野区／経営組織／民営／事業所数（事業所）,中野区／経営組織／民営／従業者数（人）,杉並区／経営組織／民営／事業所数（事業所）,杉並区／経営組織／民営／従業者数（人）,豊島区／経営組織／民営／事業所数（事業所）,豊島区／経営組織／民営／従業者数（人）,北区／経営組織／民営／事業所数（事業所）,北区／経営組織／民営／従業者数（人）,荒川区／経営組織／民営／事業所数（事業所）,荒川区／経営組織／民営／従業者数（人）,板橋区／経営組織／民営／事業所数（事業所）,板橋区／経営組織／民営／従業者数（人）,練馬区／経営組織／民営／事業所数（事業所）,練馬区／経営組織／民営／従業者数（人）,足立区／経営組織／民営／事業所数（事業所）,足立区／経営組織／民営／従業者数（人）,葛飾区／経営組織／民営／事業所数（事業所）,葛飾区／経営組織／民営／従業者数（人）,江戸川区／経営組織／民営／事業所数（事業所）,江戸川区／経営組織／民営／従業者数（人）,境界未定地域／経営組織／民営／事業所数（事業所）,境界未定地域／経営組織／民営／従業者数（人）,市部／経営組織／民営／事業所数（事業所）,市部／経営組織／民営／従業者数（人）,八王子市／経営組織／民営／事業所数（事業所）,八王子市／経営組織／民営／従業者数（人）,立川市／経営組織／民営／事業所数（事業所）,立川市／経営組織／民営／従業者数（人）,武蔵野市／経営組織／民営／事業所数（事業所）,武蔵野市／経営組織／民営／従業者数（人）,三鷹市／経営組織／民営／事業所数（事業所）,三鷹市／経営組織／民営／従業者数（人）,青梅市／経営組織／民営／事業所数（事業所）,青梅市／経営組織／民営／従業者数（人）,府中市／経営組織／民営／事業所数（事業所）,府中市／経営組織／民営／従業者数（人）,昭島市／経営組織／民営／事業所数（事業所）,昭島市／経営組織／民営／従業者数（人）,調布市／経営組織／民営／事業所数（事業所）,調布市／経営組織／民営／従業者数（人）,町田市／経営組織／民営／事業所数（事業所）,町田市／経営組織／民営／従業者数（人）,小金井市／経営組織／民営／事業所数（事業所）,小金井市／経営組織／民営／従業者数（人）,小平市／経営組織／民営／事業所数（事業所）,小平市／経営組織／民営／従業者数（人）,日野市／経営組織／民営／事業所数（事業所）,日野市／経営組織／民営／従業者数（人）,東村山市／経営組織／民営／事業所数（事業所）,東村山市／経営組織／民営／従業者数（人）,国分寺市／経営組織／民営／事業所数（事業所）,国分寺市／経営組織／民営／従業者数（人）,国立市／経営組織／民営／事業所数（事業所）,国立市／経営組織／民営／従業者数（人）,福生市／経営組織／民営／事業所数（事業所）,福生市／経営組織／民営／従業者数（人）,狛江市／経営組織／民営／事業所数（事業所）,狛江市／経営組織／民営／従業者数（人）,東大和市／経営組織／民営／事業所数（事業所）,東大和市／経営組織／民営／従業者数（人）,清瀬市／経営組織／民営／事業所数（事業所）,清瀬市／経営組織／民営／従業者数（人）,東久留米市／経営組織／民営／事業所数（事業所）,東久留米市／経営組織／民営／従業者数（人）,武蔵村山市／経営組織／民営／事業所数（事業所）,武蔵村山市／経営組織／民営／従業者数（人）,多摩市／経営組織／民営／事業所数（事業所）,多摩市／経営組織／民営／従業者数（人）,稲城市／経営組織／民営／事業所数（事業所）,稲城市／経営組織／民営／従業者数（人）,羽村市／経営組織／民営／事業所数（事業所）,羽村市／経営組織／民営／従業者数（人）,あきる野市／経営組織／民営／事業所数（事業所）,あきる野市／経営組織／民営／従業者数（人）,西東京市／経営組織／民営／事業所数（事業所）,西東京市／経営組織／民営／従業者数（人）,町村部／経営組織／民営／事業所数（事業所）,町村部／経営組織／民営／従業者数（人）,西多摩郡／経営組織／民営／事業所数（事業所）,西多摩郡／経営組織／民営／従業者数（人）,瑞穂町／経営組織／民営／事業所数（事業所）,瑞穂町／経営組織／民営／従業者数（人）,日の出町／経営組織／民営／事業所数（事業所）,日の出町／経営組織／民営／従業者数（人）,檜原村／経営組織／民営／事業所数（事業所）,檜原村／経営組織／民営／従業者数（人）,奥多摩町／経営組織／民営／事業所数（事業所）,奥多摩町／経営組織／民営／従業者数（人）,島部／経営組織／民営／事業所数（事業所）,島部／経営組織／民営／従業者数（人）,大島支庁／経営組織／民営／事業所数（事業所）,大島支庁／経営組織／民営／従業者数（人）,大島町／経営組織／民営／事業所数（事業所）,大島町／経営組織／民営／従業者数（人）,利島村／経営組織／民営／事業所数（事業所）,利島村／経営組織／民営／従業者数（人）,新島村／経営組織／民営／事業所数（事業所）,新島村／経営組織／民営／従業者数（人）,神津島村／経営組織／民営／事業所数（事業所）,神津島村／経営組織／民営／従業者数（人）,三宅支庁／経営組織／民営／事業所数（事業所）,三宅支庁／経営組織／民営／従業者数（人）,三宅村／経営組織／民営／事業所数（事業所）,三宅村／経営組織／民営／従業者数（人）,御蔵島村／経営組織／民営／事業所数（事業所）,御蔵島村／経営組織／民営／従業者数（人）,八丈支庁／経営組織／民営／事業所数（事業所）,八丈支庁／経営組織／民営／従業者数（人）,八丈町／経営組織／民営／事業所数（事業所）,八丈町／経営組織／民営／従業者数（人）,青ヶ島村／経営組織／民営／事業所数（事業所）,青ヶ島村／経営組織／民営／従業者数（人）,小笠原支庁／経営組織／民営／事業所数（事業所）,小笠原支庁／経営組織／民営／従業者数（人）,小笠原村／経営組織／民営／事業所数（事業所）,小笠原村／経営組織／民営／従業者数（人）
3,I,58,584,鮮魚小売業,872,4989,713,3919,7,43,33,226,20,171,21,193,23,96,26,278,31,149,37,178,32,124,15,70,67,248,62,292,21,150,23,106,27,157,32,264,28,126,21,82,26,112,33,332,41,212,51,169,36,141,-,-,149,1046,24,134,6,115,10,83,8,45,6,26,14,95,4,30,5,30,9,97,5,16,8,80,4,16,5,20,5,32,2,3,1,7,1,3,3,21,1,2,5,44,3,7,3,24,1,3,3,33,3,26,10,54,8,18,2,4,1,2,-,-,1,2,-,-,6,14,4,9,3,7,-,-,1,2,-,-,-,-,-,-,-,-,2,5,2,5,-,-,-,-,-,-
3,I,58,585,酒小売業,2313,9399,1820,7841,46,230,70,326,73,515,80,385,55,210,88,386,79,266,84,311,81,329,44,236,111,434,122,521,65,359,51,241,78,356,66,331,66,278,67,191,94,335,92,331,133,549,72,291,103,430,-,-,457,1476,45,133,25,70,19,64,27,94,26,102,35,121,14,36,26,80,29,118,15,55,24,65,14,29,19,55,13,33,10,43,10,42,14,50,10,33,12,26,10,27,5,39,9,30,5,22,3,9,12,27,26,73,36,82,17,30,8,14,3,5,2,3,4,8,19,52,11,29,7,16,-,-,2,5,2,8,1,2,1,2,-,-,7,21,6,17,1,4,-,-,-,-
3,I,58,586,菓子・パン小売業,6631,54190,4925,41818,221,2274,260,2595,222,3884,215,2434,110,658,267,1917,177,1192,176,1148,176,1251,133,1306,334,3105,417,3400,218,2951,140,714,257,1808,203,1893,146,1424,107,508,204,1221,231,1478,252,1596,223,1477,231,1537,5,47,1651,12105,212,1630,83,555,143,1473,60,326,64,284,79,572,52,369,97,575,153,1225,46,329,73,419,52,360,59,383,47,386,30,387,22,134,27,119,35,211,35,157,44,412,28,209,55,498,25,190,21,98,33,296,76,508,55,267,28,170,12,41,11,114,2,10,3,5,27,97,16,44,9,23,-,-,4,16,3,5,1,1,1,1,-,-,6,22,6,22,-,-,4,30,4,30
3,I,58,589,その他の飲食料品小売業,16000,183140,12252,135964,578,8545,558,5971,597,8388,679,8615,296,3317,487,4698,407,3953,542,6386,525,5199,302,3023,856,9073,856,9616,510,5839,339,3607,569,5761,536,6056,404,3611,262,2215,545,6385,600,6948,736,7089,485,4523,577,7073,6,73,3617,46305,476,6889,221,3004,243,2673,138,1693,136,1535,232,2869,114,1540,181,2957,330,4485,91,1098,151,1862,114,1633,112,1391,101,1301,72,834,49,534,63,617,91,888,62,888,78,944,77,990,130,1789,54,739,59,796,78,671,164,1685,130,871,69,623,37,368,12,170,6,23,14,62,61,248,36,118,21,56,4,14,5,30,6,18,9,35,9,35,-,-,11,51,11,51,-,-,5,44,5,44
4,I,58,58A,料理品小売業,3077,30931,2468,24370,139,1914,143,1525,116,1128,132,1624,62,579,98,769,84,729,93,1198,115,1028,49,427,188,1501,156,1554,112,1031,61,595,116,1323,115,1444,84,627,56,410,111,965,102,1204,153,1049,100,673,82,1071,1,2,592,6505,60,769,48,503,65,735,19,184,22,209,39,443,10,126,31,459,49,628,15,114,24,195,18,220,23,266,16,146,10,105,5,35,14,158,16,59,3,6,11,177,9,163,24,295,5,14,11,93,18,99,27,304,17,56,5,29,3,18,1,7,-,-,1,4,12,27,7,19,5,15,-,-,1,2,1,2,-,-,-,-,-,-,3,6,3,6,-,-,2,2,2,2
4,I,58,58B,他に分類されない飲食料品小売業,12923,152209,9784,111594,439,6631,415,4446,481,7260,547,6991,234,2738,389,3929,323,3224,449,5188,410,4171,253,2596,668,7572,700,8062,398,4808,278,3012,453,4438,421,4612,320,2984,206,1805,434,5420,498,5744,583,6040,385,3850,495,6002,5,71,3025,39800,416,6120,173,2501,178,1938,119,1509,114,1326,193,2426,104,1414,150,2498,281,3857,76,984,127,1667,96,1413,89,1125,85,1155,62,729,44,499,49,459,75,829,59,882,67,767,68,827,106,1494,49,725,48,703,60,572,137,1381,113,815,64,594,34,350,11,163,6,23,13,58,49,221,29,99,16,41,4,14,4,28,5,16,9,35,9,35,-,-,8,45,8,45,-,-,3,42,3,42
2,I,59,000,機械器具小売業,9840,81775,6688,57591,295,5027,164,1682,233,4092,255,3557,109,872,236,1364,219,1450,252,2427,226,1983,170,1742,486,3160,591,3948,174,3238,180,935,359,2435,228,3974,209,1247,135,535,339,2406,458,3041,561,3342,317,2117,490,3003,2,14,3024,23573,493,3861,155,1335,96,820,98,833,138,918,169,1364,85,657,153,1196,336,3124,62,557,125,1013,87,469,91,613,65,413,34,196,77,476,43,154,75,540,41,169,80,574,120,701,89,1657,46,387,61,374,80,371,125,801,128,611,88,450,67,298,16,129,1,3,4,20,40,161,25,97,15,60,1,2,6,21,3,14,4,7,4,7,-,-,11,57,11,57,-,-,-,-,-,-
3,I,59,590,管理，補助的経済活動を行う事業所,57,2244,50,2150,5,134,4,28,6,422,7,38,1,65,-,-,1,4,2,11,4,59,1,19,2,37,4,86,2,823,-,-,-,-,4,203,1,1,-,-,3,197,-,-,1,2,1,1,1,20,-,-,5,77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,41,-,-,-,-,-,-,-,-,-,-,1,21,1,1,-,-,2,17,2,17,2,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,59,591,自動車小売業,4346,38034,2600,23801,23,554,54,776,101,1971,52,545,34,403,85,419,105,736,124,1414,81,701,57,1035,215,1729,265,2310,34,299,58,355,128,1268,46,573,68,406,44,202,150,1398,194,1665,286,1949,140,1187,256,1906,-,-,1651,13787,305,2290,72,737,25,187,47,530,91,585,86,705,48,436,75,726,210,1816,23,123,67,524,36,243,41,404,30,217,14,104,54,378,19,77,41,291,14,84,40,363,91,484,41,1262,23,108,38,281,56,295,64,537,95,446,71,330,55,247,12,61,1,3,3,19,24,116,15,70,6,35,1,2,5,19,3,14,2,3,2,3,-,-,7,43,7,43,-,-,-,-,-,-
3,I,59,592,自転車小売業,1334,3661,954,2532,13,74,20,36,19,72,33,127,17,31,31,70,30,66,28,68,26,63,31,84,69,183,93,283,24,143,33,64,63,161,31,88,38,73,26,62,50,111,75,172,76,192,57,135,71,174,-,-,377,1121,43,232,28,70,29,70,17,58,10,24,29,66,13,29,20,66,22,56,9,16,19,57,9,21,21,68,7,25,4,15,8,19,5,10,7,15,7,13,15,46,7,14,10,41,5,20,5,16,9,15,19,39,3,8,3,8,3,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,59,593,機械器具小売業（自動車，自転車を除く）,4103,37836,3084,29108,254,4265,86,842,107,1627,163,2847,57,373,120,875,83,644,98,934,115,1160,81,604,200,1211,229,1269,114,1973,89,516,168,1006,147,3110,102,767,65,271,136,700,189,1204,198,1199,119,794,162,903,2,14,991,8588,145,1339,55,528,42,563,34,245,37,309,54,593,24,192,57,393,103,1249,30,418,39,432,42,205,29,141,28,171,16,77,15,79,19,67,26,193,20,72,25,165,22,203,38,354,18,259,17,56,14,60,42,225,28,140,12,95,7,26,4,68,-,-,1,1,16,45,10,27,9,25,-,-,1,2,-,-,2,4,2,4,-,-,4,14,4,14,-,-,-,-,-,-
2,I,60,000,その他の小売業,36882,266335,27829,196827,1434,15105,1365,11697,1506,12895,1579,19193,691,3587,1430,7333,813,4563,982,7824,1015,7835,889,5883,1655,9974,2049,11761,1471,12963,855,4673,1389,6916,1131,8562,854,6515,572,2658,1134,6991,1241,8029,1492,8688,1038,5106,1191,7722,53,354,8708,67360,1202,10421,492,4478,654,4250,313,2151,310,2130,496,3803,236,1849,466,3445,937,7893,219,1692,359,2612,250,1870,276,2058,244,1669,204,1176,175,1123,120,895,182,1444,133,792,215,1965,151,1170,271,2648,119,1144,114,756,194,1273,376,2653,344,2144,163,1419,88,962,55,368,8,23,12,66,181,725,102,323,67,214,-,-,22,62,13,47,18,74,16,61,2,13,44,242,44,242,-,-,17,86,17,86
3,I,60,600,管理，補助的経済活動を行う事業所,365,14414,304,13984,34,2970,30,594,49,1755,28,5807,4,78,8,101,7,42,11,504,7,349,10,134,11,147,10,133,16,691,4,6,7,58,12,230,11,84,3,17,11,41,7,21,12,52,3,22,9,148,-,-,61,430,11,68,2,29,5,18,3,11,1,3,3,9,-,-,2,3,10,120,2,4,-,-,4,15,4,14,1,4,1,4,2,46,-,-,1,3,-,-,1,40,-,-,1,8,-,-,3,16,2,7,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,60,601,家具・建具・畳小売業,1853,10711,1361,8005,25,168,42,291,56,307,56,520,32,65,87,525,25,73,47,784,57,251,93,523,96,292,96,334,68,614,46,168,68,159,55,218,43,1522,35,104,58,166,59,306,85,257,72,190,59,160,1,8,477,2661,68,630,30,246,38,188,23,78,18,66,30,241,8,26,21,78,57,408,7,32,13,63,11,30,11,32,7,27,12,31,17,37,8,14,13,106,7,19,6,19,11,33,11,34,7,14,3,2,16,42,24,165,15,45,7,32,5,28,2,4,-,-,-,-,8,13,6,8,3,5,-,-,2,2,1,1,1,2,1,2,-,-,1,3,1,3,-,-,-,-,-,-
3,I,60,602,じゅう器小売業,1829,7657,1468,6303,52,230,85,439,89,532,66,256,40,111,109,431,48,173,48,133,50,174,62,461,69,193,109,329,90,1159,49,120,79,220,53,184,42,104,39,102,69,195,48,180,70,234,49,162,51,177,2,4,343,1318,45,189,24,132,40,193,6,24,17,36,22,58,7,26,14,36,38,190,7,22,15,36,9,40,10,30,5,22,16,54,4,8,6,15,8,14,6,41,7,30,5,17,8,30,3,11,1,1,4,7,16,56,18,36,6,15,5,14,-,-,-,-,1,1,12,21,8,15,5,7,-,-,2,5,1,3,-,-,-,-,-,-,2,4,2,4,-,-,2,2,2,2
3,I,60,603,医薬品・化粧品小売業,9559,74675,7096,54026,240,2193,277,2125,331,3505,421,3450,193,1350,237,1447,219,1451,277,2012,313,2890,206,1611,494,3510,550,4133,306,2365,242,1485,342,2332,267,1969,244,1795,151,1017,333,2432,400,3149,399,2976,304,1984,339,2768,11,77,2431,20516,311,2696,125,1057,159,1233,117,834,65,492,133,1130,57,485,142,1135,268,2490,56,473,97,952,88,760,86,708,78,535,47,419,48,417,42,361,56,512,53,377,64,572,31,227,83,837,42,338,29,213,36,302,118,961,32,133,20,93,10,45,8,40,1,2,1,6,12,40,7,20,6,18,-,-,1,2,-,-,2,7,2,7,-,-,3,13,3,13,-,-,-,-,-,-
3,I,60,604,農耕用品小売業,127,873,54,369,1,5,1,2,2,8,2,5,2,8,3,7,2,5,2,169,-,-,4,13,4,15,3,11,1,6,1,27,7,25,1,2,2,4,2,3,4,12,4,27,4,8,-,-,2,7,-,-,60,359,8,22,-,-,1,2,4,34,-,-,2,12,4,10,5,15,8,24,2,9,2,6,2,5,2,40,1,2,1,2,-,-,-,-,1,2,3,13,3,57,1,5,2,3,1,4,-,-,4,22,3,70,13,145,2,21,2,21,-,-,-,-,-,-,11,124,4,44,2,28,-,-,1,8,1,8,2,20,1,10,1,10,4,45,4,45,-,-,1,15,1,15
3,I,60,605,燃料小売業,1880,15882,1175,9707,23,95,52,870,56,751,35,248,18,139,33,171,44,335,67,758,33,256,28,237,83,694,87,653,18,144,20,149,38,344,19,291,34,196,35,205,59,513,81,617,134,891,73,392,105,758,-,-,630,5717,108,940,30,590,5,35,17,122,43,288,23,187,28,186,25,354,53,510,8,54,31,354,22,161,21,192,15,115,9,76,25,161,5,49,16,117,8,49,19,142,23,261,15,132,10,100,20,160,33,246,18,136,75,458,37,246,22,178,5,32,5,15,5,21,38,212,19,85,12,50,-,-,4,20,3,15,5,22,5,22,-,-,10,77,10,77,-,-,4,28,4,28
3,I,60,606,書籍・文房具小売業,4286,43377,3295,30394,317,2956,117,1374,138,1572,209,2429,113,799,127,704,84,610,118,1042,108,1103,85,842,190,1412,275,2481,142,1613,94,922,177,1445,136,1771,103,1118,45,293,150,1124,160,1443,166,1250,112,842,127,1238,2,11,963,12787,134,2395,53,994,63,642,36,395,30,323,51,552,33,352,55,656,85,1271,33,296,45,424,31,450,32,336,32,363,22,241,12,148,9,113,19,302,17,151,29,399,13,185,41,667,14,268,12,169,19,209,43,486,28,196,11,131,7,50,3,49,-,-,1,32,17,65,10,30,8,28,-,-,2,2,-,-,2,5,2,5,-,-,5,30,5,30,-,-,-,-,-,-
3,I,60,607,スポーツ用品・がん具・娯楽用品・楽器小売業,2612,20147,1970,15808,238,2550,53,837,97,738,164,1820,32,111,132,922,57,301,66,413,45,675,50,206,85,721,116,595,199,2338,70,247,74,264,115,1065,44,244,26,65,51,470,70,347,64,272,54,229,66,372,2,6,609,4135,107,865,50,268,61,432,12,62,12,44,34,364,12,153,32,188,87,739,14,126,26,113,7,13,10,36,12,46,11,26,10,43,3,8,11,62,5,17,19,115,10,89,23,180,8,38,9,31,7,20,17,57,33,204,13,164,8,95,5,69,-,-,-,-,20,40,12,19,7,10,-,-,1,1,4,8,1,2,1,2,-,-,5,14,5,14,-,-,2,5,2,5
4,I,60,60A,スポーツ用品小売業,1301,9406,935,6961,104,1151,28,330,61,414,71,854,18,67,62,547,25,108,33,231,25,156,30,131,39,146,66,344,87,930,15,47,34,148,45,396,18,106,17,42,18,104,36,160,38,173,27,112,36,258,2,6,342,2307,67,555,22,118,30,213,8,57,6,17,18,202,6,84,21,147,48,367,8,30,16,66,4,9,7,24,7,21,5,16,4,26,-,-,7,49,2,2,10,75,7,57,12,102,4,8,9,31,4,8,10,23,24,138,7,102,5,53,2,49,-,-,-,-,17,36,9,15,5,8,-,-,1,1,3,6,1,2,1,2,-,-,5,14,5,14,-,-,2,5,2,5
4,I,60,60B,がん具・娯楽用品小売業,798,5321,633,4242,82,811,12,126,29,297,29,185,6,22,57,295,22,135,29,146,10,30,13,26,29,111,22,99,50,516,45,161,17,53,41,417,17,89,7,15,28,332,24,138,19,77,21,85,24,76,-,-,158,1027,25,217,19,100,17,103,2,2,3,17,12,140,5,59,5,11,22,148,3,23,5,28,2,2,1,6,4,12,3,4,3,10,1,5,2,4,2,14,5,17,2,27,9,58,1,2,-,-,2,4,3,14,7,52,5,50,3,42,2,8,-,-,-,-,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,I,60,60C,楽器小売業,513,5420,402,4605,52,588,13,381,7,27,64,781,8,22,13,80,10,58,4,36,10,489,7,49,17,464,28,152,62,892,10,39,23,63,29,252,9,49,2,8,5,34,10,49,7,22,6,32,6,38,-,-,109,801,15,93,9,50,14,116,2,3,3,10,4,22,1,10,6,30,17,224,3,73,5,19,1,2,2,6,1,13,3,6,3,7,2,3,2,9,1,1,4,23,1,5,2,20,3,28,-,-,1,8,4,20,2,14,1,12,-,-,1,12,-,-,-,-,1,2,1,2,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,60,608,写真機・時計・眼鏡小売業,2255,12430,1707,9852,89,839,114,1301,84,454,104,818,42,135,83,350,63,241,60,320,67,519,53,242,82,318,111,447,104,1069,51,262,80,272,84,676,49,368,33,86,66,182,70,224,83,257,65,220,67,230,3,22,533,2511,70,377,31,162,54,360,13,45,16,57,27,130,15,63,35,144,54,288,12,40,24,100,15,48,18,46,14,66,13,40,12,35,6,27,7,29,6,13,13,57,12,57,19,99,8,30,6,31,7,23,26,144,15,67,11,55,5,14,6,41,-,-,-,-,4,12,2,8,2,8,-,-,-,-,-,-,-,-,-,-,-,-,2,4,2,4,-,-,-,-,-,-
3,I,60,609,他に分類されない小売業,12116,66169,9399,48379,415,3099,594,3864,604,3273,494,3840,215,791,611,2675,264,1332,286,1689,335,1618,298,1614,541,2672,692,2645,527,2964,278,1287,517,1797,389,2156,282,1080,203,766,333,1856,342,1715,475,2491,306,1065,366,1864,32,226,2601,16926,340,2239,147,1000,228,1147,82,546,108,821,171,1120,72,548,135,836,277,1853,78,636,106,564,61,348,82,624,79,489,72,283,45,228,41,308,50,297,28,112,54,534,45,296,68,658,26,341,31,133,66,395,109,570,115,860,56,662,24,517,26,133,2,6,4,6,59,198,34,94,22,60,-,-,9,22,3,12,5,16,4,13,1,3,12,52,12,52,-,-,8,36,8,36
4,I,60,60D,花・植木小売業,2630,10346,1991,7603,67,365,79,364,141,876,116,437,56,223,80,243,55,135,58,197,92,344,67,271,131,489,186,643,94,425,55,191,109,335,77,291,59,213,45,147,70,242,95,299,102,325,67,228,90,320,-,-,619,2668,83,345,29,245,44,178,16,67,21,108,37,152,17,66,31,101,58,254,24,80,18,71,22,87,20,94,22,93,19,82,7,29,13,33,17,88,9,39,15,68,7,40,21,77,9,36,14,54,20,83,26,98,20,75,7,24,3,14,3,8,-,-,1,2,13,51,8,16,4,8,-,-,3,6,1,2,-,-,-,-,-,-,5,35,5,35,-,-,-,-,-,-
4,I,60,60E,ペット・ペット用品小売業,640,3256,469,2394,2,3,9,84,18,99,14,94,8,41,12,51,10,28,20,239,21,59,27,118,31,215,53,203,25,108,19,62,30,125,24,133,20,66,6,20,19,72,25,140,34,243,20,94,22,97,-,-,167,833,19,147,6,22,15,57,4,8,5,25,9,53,6,22,7,19,26,129,7,34,11,48,-,-,7,40,8,35,3,22,2,10,4,16,3,5,4,5,3,7,5,51,4,21,1,18,2,10,-,-,6,29,4,29,4,29,-,-,4,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,I,60,60F,中古品小売業（他に分類されないもの）,1672,7906,1277,6019,81,449,104,441,80,344,47,344,21,52,61,228,9,31,14,55,39,220,58,195,48,137,144,644,93,418,43,129,158,479,42,243,26,136,12,45,32,400,48,291,41,422,27,81,38,209,11,26,392,1878,46,297,21,145,40,144,14,65,14,70,12,28,7,16,17,66,63,322,9,42,25,98,9,15,9,20,12,38,19,46,8,20,2,10,8,44,4,25,8,52,3,24,10,111,3,49,6,38,8,37,15,56,2,5,1,1,-,-,1,1,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4
4,I,60,60G,他に分類されないその他の小売業,7174,44661,5662,32363,265,2282,402,2975,365,1954,317,2965,130,475,458,2153,190,1138,194,1198,183,995,146,1030,331,1831,309,1155,315,2013,161,905,220,858,246,1489,177,665,140,554,212,1142,174,985,298,1501,192,662,216,1238,21,200,1423,11547,192,1450,91,588,129,768,48,406,68,618,113,887,42,444,80,650,130,1148,38,480,52,347,30,246,46,470,37,323,31,133,28,169,22,249,22,160,11,43,28,407,30,181,33,449,13,238,9,31,38,275,62,387,89,751,44,608,21,503,18,95,2,6,3,4,45,143,26,78,18,52,-,-,6,16,2,10,5,16,4,13,1,3,7,17,7,17,-,-,7,32,7,32
2,I,61,000,無店舗小売業,4439,59306,3559,50871,237,3317,263,4337,268,5247,251,4465,102,788,176,2095,104,970,135,2611,173,3197,79,537,161,2154,206,2147,228,6274,93,1425,128,1667,159,1599,81,1807,38,288,127,1030,164,1265,159,1421,94,560,131,1076,2,594,855,8354,142,1633,46,1105,38,210,38,430,29,177,49,566,26,184,48,391,97,989,19,52,30,232,40,177,28,332,14,43,16,260,11,53,19,156,19,203,7,34,21,183,11,49,37,430,14,72,12,124,17,70,27,199,25,81,15,57,8,46,5,8,2,3,-,-,10,24,4,5,3,3,-,-,-,-,1,2,1,2,1,2,-,-,3,4,2,3,1,1,2,13,2,13
3,I,61,610,管理，補助的経済活動を行う事業所,30,1253,23,1009,-,-,1,214,3,293,1,3,-,-,-,-,-,-,2,6,2,66,-,-,1,61,4,265,3,11,1,6,-,-,-,-,1,2,-,-,1,1,1,6,-,-,-,-,2,75,-,-,7,244,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,3,132,-,-,-,-,-,-,1,5,-,-,-,-,1,4,-,-,1,102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,I,61,611,通信販売・訪問販売小売業,3452,43665,2778,38530,196,2781,215,3311,207,3857,197,2841,87,596,141,1198,83,843,86,1581,134,2583,59,474,113,1458,160,1443,202,5684,74,1338,99,1490,137,1372,70,1763,26,201,100,650,124,707,113,813,62,316,91,636,2,594,656,5077,115,1293,30,229,33,187,28,290,21,93,35,329,18,128,42,360,73,652,14,30,26,171,32,114,21,237,13,41,9,107,10,49,14,52,14,73,5,30,18,167,7,24,30,189,7,11,8,62,13,44,20,115,18,58,12,48,6,38,5,8,1,2,-,-,6,10,2,3,1,1,-,-,-,-,1,2,1,2,1,2,-,-,2,3,1,2,1,1,1,2,1,2
