"施策の体系","重点的取組","数値目標","計画番号","事業名","所管局","平成17年度実績","平成18年度実績","平成19年度実績","平成20年度実績","平成21年度実績","重点戦略通し番号"
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（1）子どもの生きる力を育成する教育環境の整備／エ　家庭や地域の教育力の向上／(1)家庭や地域の教育力の回復を","","●","再掲","地域スポーツクラブの設立・育成支援事業","スポーツ振興局","No.75参照","No.75参照","No.75参照","No.75参照","No.75参照",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（1）子どもの生きる力を育成する教育環境の整備／エ　家庭や地域の教育力の向上／(1)家庭や地域の教育力の回復を","★","●","再掲","子ども家庭支援センター事業","福祉保健局","No.1参照","No.1参照","No.1参照","No.1参照","No.1参照",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（1）子どもの生きる力を育成する教育環境の整備／エ　家庭や地域の教育力の向上／(1)家庭や地域の教育力の回復を","★","●","再掲","先駆型子ども家庭支援センター事業","福祉保健局","No.2参照","No.2参照","No.2参照","No.2参照","No.2参照",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（1）子どもの生きる力を育成する教育環境の整備／エ　家庭や地域の教育力の向上／(1)家庭や地域の教育力の回復を","","","再掲","心の東京塾","青少年・治安対策本部","No.17参照","No.17参照","No.17参照","No.17参照","No.17参照",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（2）次代を担う人づくりの推進／(1)若者の社会的自立の支援","","","81","若年者の雇用就業支援事業（東京しごとセンター事業等）","産業労働局","(1)東京しごとセンターヤングコーナー／○利用者数：新規　7450人、再来　20077人／○就職者数：2015人／(2)若者ジョブサポーター／○申込企業数：119社／○登録企業数：78社","(1)東京しごとセンターヤングコーナー／○利用者数：新規6541人、再来29656人／○就職者数：2065人／(2)若者ジョブサポーター／○登録企業数：282社","(1)東京しごとセンターヤングコーナー／○利用者数：新規6096人、再来30784人／○就職者数：3033人／(2)若者ジョブサポーター／○登録企業数：344社","(1)東京しごとセンターヤングコーナー／○利用者数：新規7240人、再来48657人／○就職者数：3171人／(2)若者ジョブサポーター／○登録企業数：404社","(1)東京しごとセンターヤングコーナー／○利用者数：新規8537人、再来56252人／○就職者数：3684人／(2)若者ジョブサポーター／○登録企業数：426社",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（2）次代を担う人づくりの推進／(1)若者の社会的自立の支援","","","82","公共職業訓練の実施","産業労働局","入校812人／修了637人／注1／注2","入校829人／修了653人／注1","入校667人／修了505人／注1","入校616人／修了460人／注1注2","入校626人／修了484人／※",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（2）次代を担う人づくりの推進／(1)若者の社会的自立の支援","","","83","日本版デュアルシステム","産業労働局","財務管理科　入校30人／溶接科　入校5人／修了4人／注1／注2","財務管理科　入校27人／修了　21人／溶接科　入校 5人／修了5人／注1／注2","科目を廃止","科目を廃止","科目を廃止",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（2）次代を担う人づくりの推進／(1)若者の社会的自立の支援","","","84","ものづくり人材・育成連携事業（ものづくり教育支援プログラム事業）","産業労働局","○夏休み工作教室 18コース494名　（10コース300名）／○こども技能塾　4コース87名　（ 4コース80名）／○工業高校生向け実習講座　14コース135名　（7コース105名）／※","○夏休み工作教室　17コース462名（400名）／○こども技能塾　4コース95名（80名）／○工業高校生向け実習講座　14コース144名（105名）／※","○夏休み工作教室　21コース456名（400名）／○こども技能塾　4コース92名（80名）／○高校生向け実習講座　20コース148名（105名）／※","○夏休み工作教室　17コース356名（400名）／○こども技能塾　4コース92名（80名）／○高校生向け実習講座　21コース176名（105名）／※","○夏休み工作教室　13コース300名（400名）／○こども技能塾　5コース85名（80名）／○高校生向け実習講座　27コース177名（105名）／※",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（2）次代を担う人づくりの推進／(1)若者の社会的自立の支援","","","85","中学生の職場体験","青少年・治安対策本部教育庁","都内全公立中学校数　645校／参加校数　304校（参加率　47.1%）／参加生徒数　40602人（参加校内訳　5日以上実施　82校、3～4日実施　55校、1～2日実施　167校）","都内全公立中学校数　640校／参加学校数　506校（参加率　79.1％）／参加生徒数　62255人（参加校内訳　5日以上実施　151校、3～4日実施　130校、１～2日実施　225校）","都内全公立中学校数　639校／参加学校数　561校（参加率　87.8％）／参加生徒数　68842人（参加校内訳　5日以上実施　131校、3～4日実施　273校、1～2日実施　157校）","都内全公立中学校数　639校／参加学校数　629校（参加率　98.4％）／参加生徒数　80327人（参加校内訳　5日以上実施　194校、3～4日実施　277校、1～2日実施　158校）","都内全公立中学校数　627校／参加学校数　623校（参加率　99.36％）／参加生徒数　74310人（参加校内訳　5日以上実施　246校、3～4日実施　256校、1～2日実施　121校）",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（2）次代を担う人づくりの推進／(1)若者の社会的自立の支援","★","","86","勤労観・職業観育成推進プラン","教育庁","○職業観育成推進校10校を指定（本所、足立西、小平、紅葉川、松原、杉並工業、練馬工業、小金井工業、第三商業、第五商業）／○アドバイザー派遣事業　73校／○年度末に「インターンシップ応援事業推進校連絡会」を開催し、各推進校の今年度の成果や課題について情報交換を行い、次年度における事業推進のための現状把握を行うとともに、各推進校での一層のインターンシップ推進を図った。","○年度末に各推進校が報告書を作成･提出することにより、各推進校の今年度の成果や課題、次年度における事業推進のための現状等を把握し、各推進校での一層のインターンシップ推進を図った。／○職業観育成推進校１０校＜平成17年度指定＞／（本所・足立西・小平・紅葉川・松原・杉並工業・練馬工業・小金井工業・第三商業・第五商業）","○年度末に「インターンシップ関連事業実施校連絡協議会」を開催し、学校の実践報告等を行い、都立高校の教職員に対する啓発を図った。また３か年の成果を、「インターンシップ応援事業報告書」にまとめた。／○職業観育成推進校１０校＜平成17年度指定＞／（本所・足立西・小平・紅葉川・松原・杉並工業・練馬工業・小金井工業・第三商業・第五商業）","（１）都立高校キャリア教育実践連絡協議会（12月8日、東京都教職員研修センターにおいて実施）／（２）キャリア教育推進フォーラム（10月4日、都庁第一庁舎５階大会議場において実施）／（３）国際ロータリーとのインターンシップ事業連絡会（5月20日、6月9日、都庁において実施）","都立高校におけるキャリア教育の拡大・充実を通じて、発育段階に応じた勤労観・職業観を育成し、自ら進路選択ができる生徒の育成を図ることを目標に以下の取組を行った。／○都立高校キャリア教育実践連絡協議会（12月、東京都教職員研修センターにおいて実施）／○キャリア教育推進／・キャリア教育推進フォーラムの実施（平成21年度終了）／・技能習得型インターンシップの実施／・キャリア教育年間指導計画（全体計画）の作成／・国際ロータリーと連携したインターンシップの実施",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（2）次代を担う人づくりの推進／(1)若者の社会的自立の支援","","","87","東京版デュアルシステム","教育庁","○　第２期生入学。長期就業訓練（２年次。２か月間）を開始。／○　２年連続して生徒を受け入れた就業訓練先の協力企業に対して、企業表彰を行った（１５社）。","第3期生入学。長期就業訓練（3年次。前期2か月間、後期２か月間（選択））を開始。／第1期生卒業（卒業生のうち半数がデュアルシステム協力企業に就職）","○　第４期生入学。／○　インターンシップ（１年次。１０日間）、長期就業訓練（２年次。２か月間）、長期就業訓練（３年次。前期２か月間、後期２か月間（選択））により、引き続きデュアルシステムを実施。／○　第２期生（卒業者のうち半数がデュアルシステム協力企業に就職）。／○　２年以上連続して生徒を受け入れた就業訓練先の協力企業に対して、企業表彰を行った（１２社）。","○　第5期生入学。／○　インターンシップ（１年次。10日間）、長期就業訓練（2年次。2か月間）、長期就業訓練（3年次。前期2か月間、後期2か月間（選択））により、引き続きデュアルシステムを実施。／○　第3期生（卒業者のうち半数以上がデュアルシステム協力企業に就職）。／○　2年以上連続して生徒を受け入れた就業訓練先の協力企業に対して、企業表彰を行った（13社）。","○　第６期生入学。／○　インターンシップ（１年次。１０日間×３回）、長期就業訓練（２年次。２か月間）、長期就業訓練（３年次。前期２か月間、後期２か月間（選択））により、引き続きデュアルシステムを実施。／○　第４期生（卒業者の３割以上がデュアルシステム協力企業に就職）。／○　２年以上連続して生徒を受け入れた就業訓練先の協力企業に対して、企業表彰を行った（７社）。",""
"目標３次代を担う子どもたちがたくましく成長し自立する基盤づくり／（2）次代を担う人づくりの推進／(2)次代の親の育成","","","88","高等学校教科「家庭」における保育体験活動の充実","教育庁","平成17年9月（調査用紙により実施）／（1）保育体験活動の実施校／○全日制課程　111／193校（57.5%）／○定時制・通信制課程　9／96校（9.4%）／（2）実施形態及び実習場所／【実施形態】必修科目の中で31校／選択科目の中で93校／学校家庭クラブ活動で5校／総合的な学習の時間で11校／特別活動等・その他13校／【主な実習場所】保育園121校／幼稚園16校／保育園・幼稚園14校／児童館2校／自校7校","平成18年8月（調査用紙により実施）／（1）保育体験活動の実施校／○全日制課程　102／183校（55.7%）／○定時制・通信制課程　6／97校（6.2%）／※／（2）実施形態及び実習場所／【実施形態】必修科目の中で26校／選択科目の中で54校／総合的な学習の時間で8校／特別活動等・その他96校／【主な実習場所】保育園94校／幼稚園19校／児童館4校／自校2校","専門高校等学習成果発表会を実施して、保育体験活動を行っている学校の取組みを発表し、普及・啓発を行った。","保育体験活動の平成19年度の実施状況について、全都立高校を対象に調査を実施し、集計分析を行った。／○保育体験活動の実施校　　全日制課程　107校（58.5％）、定時制課程　8校（8.5％）／○保育体験活動生徒数(のべ人数）　　全日制課程　3290 名、定時制課程　67名／家庭科における保育に関する学習や総合的な学習の時間、教科｢奉仕」等において、子育て理解教育を推進するため、｢子育て理解教育検討委員会」を設置し、平成21年2月に第1回委員会を開催した。","保育体験活動の平成20年度実施状況について、全都立高校を対象に調査を実施し、集計分析を行った。平成21年5月には第2回「子育て理解教育検討委員会」を開催し、家庭科や総合的な学習の時間、教科「奉仕」等における保育に関する学習で活用するための、「子育て理解教育の推進」ブックレットを作成した。",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（1）児童虐待防止対策の推進／(1)予防的な取組の充実","","●","再掲","要支援家庭の早期発見・予防事業","福祉保健局","No.12参照","No.12参照","No.12参照","No.12参照","No.12参照",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（1）児童虐待防止対策の推進／(1)予防的な取組の充実","★","●","再掲","先駆型子ども家庭支援センター事業","福祉保健局","No.2参照","No.2参照","No.2参照","No.2参照","No.2参照",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（1）児童虐待防止対策の推進／(2)発見後の対応体制の強化","★","●","再掲","子ども家庭総合センター（仮称）の整備","福祉保健局","No.3参照","No.3参照","No.3参照","No.3参照","No.3参照",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（1）児童虐待防止対策の推進／(2)発見後の対応体制の強化","★","","89","児童相談所の体制と取組の強化","福祉保健局","(1)児童福祉司の増員／前年度より増員し、地域連携、アフターケア及び相談体制を強化。／(2)家族再統合のための援助事業／親子再統合グループ　45名、父親グループ　10名、母親グループ　22名／(3)児童虐待カウンセリング強化事業／各児童相談所において、精神科医が虐待をしてしまった保護者等に月1回実施。／(4)NO３４の事業参照。","(1) 地域支援機能の強化／虐待ケース進行管理の徹底・子どもの安全確認、院内CAPS（虐待対策委員会）立上支援等／(2) コンピテンシーモデルの作成、協力医制度の拡充（法医学、精神科、小児科）／(3)家族再統合のための援助事業の実施、運営マニュアルの作成／(4)児童虐待カウンセリング事業","(1)児童福祉司の増員／(2)専門機能の強化／(3)家族再統合のための援助事業の実施、運営マニュアルの検討／(4)児童虐待カウンセリング事業（月1回）","(1)地域支援班児童福祉司人員要求を実施／(2)専門機能の強化／(3)家族再統合のための援助事業の実施ｘ／(4)児童虐待カウンセリング事業の実施","(1)児童福祉司の定数増　159名→172名児童福祉司の増員要求／(2)専門機能の強化／・子ども家庭総合センター　工事契約、三機関連携の検討／・一時保護所の需要推計を検討し、墨田児童相談所の移転改築（一時保護所併設）、立川児童相談所一時保護所の移転改築を要求／・児童福祉司任用資格認定講習会の実施／・区市町村支援を充実するために、子供家庭支援センター相談体制調査の実施／・性的虐待における被害確認面接の実施／(3)家族再統合のための援助事業の実施／・家族カウンセリング利用　6家族、母親グループ利用",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（2）社会的養護の拡大と支援の強化／(1)養育家庭の拡大と支援の強化","★","●","90","養育家庭の拡充","福祉保健局","委託児童数349人","委託児童数357人","委託児童数382人","委託児童数374人","委託児童数　343人／ファミリーホーム委託児童　45人",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（2）社会的養護の拡大と支援の強化／(1)養育家庭の拡大と支援の強化","","","91","家庭的養護推進モデル事業","福祉保健局","○児童養護施設／・サテライト型グループホームでの本園機能を強化した困難児ケアの施行及び検証／・精神科医師によるケースカンファレンスの実施及び検証／・臨床心理士による個別児童への重点的指導の実施及び検証／○乳児院／・乳児院における里親支援の検討、試行及び検証／・乳児院におけるフレンドホーム事業の検討、試行及び検証／・乳児院利用者（保護者等）に対する里親への委託に関するアンケート調査の実施及び委託促進策の検討","○児童養護施設／・グループホームへの補助スタッフの配置及び臨床心理士による面接と職員コンサルテーション／・精神科医師による困難児童のケースカンファレンスの実施(年10回)／・臨床心理士による研修　グループホームリーダー向け(7回)職員向け(2回)／○乳児院／・児の里親促進に向けたモデル委託の実施（1ケース）／・乳児院におけるフレンドホーム事業の検討、試行及び検証（交流 8ケース）／・乳児院における里親支援マニュアルの作成、乳幼児養育のための里親研修","18年度で事業終了","18年度で事業終了","18年度で事業終了",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（2）社会的養護の拡大と支援の強化／(2)グループホームの拡大","★","●","92","養護児童グループホームの設置推進","福祉保健局","56ホーム　336人（18年3月1日現在）","76ホーム　456人（平成19年3月1日現在）","97ホーム　582人（平成20年3月1日現在）","101ホーム610人（平成21年3月1日現在）","118ホーム　712人",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（2）社会的養護の拡大と支援の強化／(2)グループホームの拡大","","","再掲","家庭的養護推進モデル事業","福祉保健局","No.91参照","No.91参照","No.91参照","No.91参照","No.91参照",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（2）社会的養護の拡大と支援の強化／(3)自立支援の強化","","","93","児童福祉施設での取組の強化","福祉保健局","各施設において「自立」をテーマとし、さまざまなプログラムが実施されている。／（例）／・NPO法人が主催する「自立のためのプログラム」への参加（高校生）／・ 園内の建物を活用した、２日～２週間程度の「一人生活体験学習（自立訓練）」を実施／・グループホームを活用した、自立に向けた買い物実習及び調理実習の実施／・退所予定の子どもに対する退所前支援として「自立訓練室」（施設内）にて、職員２名がともに住んで、就労に向けた指導、訓練を含む自立訓練を重点的に行っている。／・企業やNPO法人へ子どもをボランティア派遣し、労働体験や社会生活体験を行わせている。","各施設において「自立」をテーマとし、さまざまなプログラムが実施されている。／（例）／・NPO法人が主催する「自立のためのプログラム」への参加（高校生）／・園内の建物を活用した、２日～２週間程度の「一人生活体験学習（自立訓練）」を実施／・グループホームを活用した、自立に向けた買い物実習及び調理実習の実施／・退所予定の子どもに対する退所前支援として「自立訓練室」（施設内）にて、職員２名がともに住んで、就労に向けた指導、訓練を含む自立訓練を重点的に行っている。／・企業やNPO法人へ子どもをボランティア派遣し、労働体験や社会生活体験を行わせている。","各施設において「自立」をテーマとし、さまざまなプログラムが実施されている。／（例）／・NPO法人が主催する「自立のためのプログラム」への参加（高校生）／・園内の建物を活用した、２日～２週間程度の「一人生活体験学習（自立訓練）」を実施／・グループホームを活用した、自立に向けた買い物実習及び調理実習の実施／・退所予定の子どもに対する退所前支援として「自立訓練室」（施設内）にて、職員２名がともに住んで、就労に向けた指導、訓練を含む自立訓練を重点的に行っている。／・企業やNPO法人へ子どもをボランティア派遣し、労働体験や社会生活体験を行わせている。","再チャレンジホームの設置","再チャレンジホームの事業開始",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（2）社会的養護の拡大と支援の強化／(3)自立支援の強化","","","94","児童福祉施設の改築等","福祉保健局","老朽改築　1件／大規模修繕　1件／小規模児童養護施設（創設）2件／グループホームの設備整備　13件","老朽改築　2件／大規模修繕　2件／小規模児童養護施設（創設）1件／グループホームの設備整備　20件","児童養護施設の創設　1件(二か年目)／老朽改築　1件(二か年目)／大規模修繕　1件／グループホームの設備整備　16件","創設(初年度39%)　1件／老朽改築・大規模修繕　1件増築　６名増／グループホームの新設　１件／グループホームの設備整備　８件／再チャレンジホームの整備　1件","創設(2年目61%)　1件／老朽改築　1件／グループホームの新設　１件／グループホームの設備整備　１３件",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（2）社会的養護の拡大と支援の強化／(3)自立支援の強化","","","95","自立援助ホームの充実","福祉保健局","○運営費等補助　１１か所／○自立援助ホームの自立定着促進事業　 ２か所／○自立援助ホームの自立定着促進緊急支援事業　９か所","○運営費等補助　12か所／○自立援助ホームの自立定着促進事業　2か所／○自立援助ホームの自立定着促進緊急支援事業　10か所","○東京都児童自立生活援助事業（自立援助ホーム事業）補助　15か所／○東京都民間社会福祉施設サービス推進費補助（自立援助ホーム）　 9か所／○東京都自立援助ホーム支援機能強化補助 6か所","○東京都児童自立生活援助事業（自立援助ホーム事業）補助　18か所／○東京都民間社会福祉施設サービス推進費補助（自立援助ホーム）　12か所／○東京都自立援助ホーム支援機能強化補助　6か所","○東京都自立援助ホーム委託費支弁基準　18か所／○東京都民間社会福祉施設サービス推進費補助（自立援助ホーム）　12か所／○東京都自立援助ホーム支援機能強化補助　6か所",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（2）社会的養護の拡大と支援の強化／(3)自立支援の強化","","","96","フレンドホーム事業","福祉保健局","１泊2300円（2泊3日から支給）／合計2781日(延べ)／登録家庭数457","１泊2300円（2泊3日から支給）／延べ交流児童数922人／登録家庭数457","１泊2300円（2泊3日から支給）／延べ交流児童数900人／登録家庭数479","１泊2300円（2泊3日から支給）／延べ交流児童数935人／登録家庭数490","１泊2300円（2泊3日から支給）／延べ交流児童数930人／登録家庭数522",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（3）ひとり親家庭の自立の推進／(1)就業支援","★","","97","母子家庭等就業・自立支援センターによる就業の支援等","福祉保健局","○ひとり親家庭等の自立促進事業（相談件数　829件）／○母子家庭及び寡婦自立促進講習会（パソコン講習会 10回 、受講者数188人）／○母子家庭相談指導者研修会（実施回数5回、受講者数194人）","○ひとり親家庭等の自立促進事業（相談件数　1298件）／○母子家庭及び寡婦自立促進講習会（パソコン講習会 10回 、受講者数183人）／○母子家庭相談指導者研修会（実施回数5回、受講者数205人）","○ひとり親家庭等の自立促進事業（相談件数　1084件）／○母子家庭及び寡婦自立促進講習会（パソコン講習会 10回 、受講者数183人）／○母子家庭相談指導者研修会（実施回数5回、受講者数216人）","○ひとり親家庭等の自立促進事業（相談件数　865件）／○母子家庭及び寡婦自立促進講習会（パソコン講習会 10回 、受講者数185人）／○母子家庭相談指導者研修会（実施回数5回、受講者数195人）／○しごとセンターとの連携強化（相談窓口の開設等）（相談件数789件）／○養育費相談事業（相談件数298件）","○ひとり親家庭等の自立促進事業（相談件数　2914件）／○母子家庭及び寡婦自立促進講習会（パソコン講習会 10回 、受講者数177人）／○母子家庭相談指導者研修会（実施回数5回、受講者数187人）／○養育費相談事業（相談件数237件）",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（3）ひとり親家庭の自立の推進／(1)就業支援","","●","98","母子家庭自立支援教育訓練給付金事業","福祉保健局","15区・8市・13町村","29区市・13町村","34区市・13町村","46区市・13町村","49区市・13町村",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（3）ひとり親家庭の自立の推進／(1)就業支援","","●","99","母子家庭高等技能訓練促進費事業","福祉保健局","9区・7市・13町村","24区市・13町村","30区市・13町村","40区市・13町村","46区市・13町村",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（3）ひとり親家庭の自立の推進／(1)就業支援","","●","100","母子家庭常用雇用転換奨励金事業","福祉保健局","1区・2市・13町村","2区市・13町村","5区市・13町村","国の制度廃止に伴い事業廃止","国の制度廃止に伴い事業廃止",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（3）ひとり親家庭の自立の推進／(1)就業支援","★","","101","東京しごとセンター事業","産業労働局","利用者数　新規23189人、再来47264人／就職者数　7733人／※","利用者数　新規15859人、再来78112人／就職者数　8409人／※","１　利用者数　新規17800人、再来81052人／２　就職者数　8768人／３　女性再就職支援事業実施（平成19年度～）／・女性再就職サポートプログラム／・女性の再就職支援セミナー／・利用者向け託児サービスの実施／※","１　利用者数　新規23852人、再来108484人／２　就職者数　9510人／※入校172人／修了143人／就職95人／※就職は、訓練修了後3か月以内の就職実績","利用者数　新規30331人、再来146961人／就職者数　11888人／※",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（3）ひとり親家庭の自立の推進／(1)就業支援","","","102","公共職業訓練の実施","産業労働局","入校98人／修了79人／就職51人／※","入校181人／修了153人／就職91人／※就職は、訓練修了後3か月以内の就職実績","入校172人／修了146人／就職94人／※就職は、訓練修了後3か月以内の就職実績","入校172人／修了143人／就職95人／※就職は、訓練修了後3か月以内の就職実績","入校168人／修了151人／就職76人／※就職は、訓練修了後3か月以内の就職実績",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（3）ひとり親家庭の自立の推進／(1)就業支援","","","103","母子自立支援プログラム策定事業","福祉保健局","なし","6区市、プログラム策定件数175件","14区市","39区市","34区市",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（3）ひとり親家庭の自立の推進／(1)就業支援","","","104","就業支援の事例の収集と活用","福祉保健局","平成17年6月　第一回：全区市町村に対し事業実施調査実施／8月　調査結果を取りまとめ区市町村に情報提供／平成18年1月　第二回：全区市町村に対し事業実施調査実施／3月　調査結果を取りまとめ区市町村に情報提供","平成18年8月　母子自立支援プログラム策定事業意見交換会実施／平成19年3月　母子自立支援プログラム策定事業公開意見交換会実施","年度を通じて、未実施の区市を訪問し実施を働きかけた。","未実施の区市に対し、策定を働きかけた。","平成22年1月から3月　区市及びひとり親家庭支援センターより好事例を収集",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（3）ひとり親家庭の自立の推進／(2)相談体制の整備","","","105","母子自立支援員の資質の向上（母子自立支援員研修）","福祉保健局","新任研修3回／現任研修3回","新任研修3回／現任研修2回","新任研修3回／現任研修1回","新任研修3回／現任研修1回","新任研修3回／現任研修1回",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（3）ひとり親家庭の自立の推進／(2)相談体制の整備","","","106","ひとり親家庭等電話相談事業","福祉保健局","日数　65日／人数　526人／件数　785人","日数　65日／人数　445人／件数　708人","日数　66日／人数　418人／件数　707人","日数　66日／人数　464人／件数　913人","日数　66日／人数539人／件数1094人",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（3）ひとり親家庭の自立の推進／(2)相談体制の整備","","","107","ひとり親家庭総合支援事業","福祉保健局","6区9市","15区市","17区市","（１）先駆的事業（0区市）／（２）選択事業／(1)母子自立支援プログラム策定推進事業（16区市）／(2)ひとり親家庭就業促進事業（0区市）／(3)ひとり親家庭職業訓練等支援事業（0区市）／(4)ひとり親家庭親子心のふれあい事業【市町村対象事業】（4市）／(5)母子緊急一時保護事業（31区市）／(6)その他ひとり親家庭の自立支援に資すると認められる事業（提案型）（19区市）／（３）一般事業（24市）","（１）先駆的事業（1区）／（２）選択事業／(1)母子自立支援プログラム策定推進事業（18区市）／(2)ひとり親家庭就業促進事業（0区市）／(3)ひとり親家庭職業訓練等支援事業（0区市）／(4)ひとり親家庭親子心のふれあい事業【市町村対象事業】（4市）／(5)母子緊急一時保護事業／(6)その他ひとり親家庭の自立支援に資すると認められる事業（提案型）／（３）一般事業（22市）",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（3）ひとり親家庭の自立の推進／(3)子育て支援・生活の場の整備","","","再掲","ひとり親家庭総合支援事業","福祉保健局","No.107参照","No.107参照","No.107参照","No.107参照","No.107参照",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（3）ひとり親家庭の自立の推進／(3)子育て支援・生活の場の整備","","","108","ひとり親家庭ホームヘルプサービス事業","福祉保健局","21区26市","45区市","48区市","48区市","48区市",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（3）ひとり親家庭の自立の推進／(3)子育て支援・生活の場の整備","","","109","都営住宅の優先入居","都市整備局","○都営住宅の当選倍率の優遇制度　17年度募集戸数　3061戸（世帯向け募集全体）／○ポイント方式による募集／17年度募集戸数　1798戸（ポイント方式募集全体）／○母子アパートへの入居 17年度募集戸数　25戸／○母子生活支援施設転出者向け特別割当て　17年度割当て戸数　80戸","○都営住宅の当選倍率の優遇制度／18年度募集戸数　1950戸（世帯向け募集全体）／○ポイント方式による募集／18年度募集戸数　2272戸（ポイント方式募集全体）／○母子アパートへの入居　18年度募集戸数　22戸／○母子生活支援施設転出者向け特別割当て　18年度割当て戸数　56戸","○都営住宅の当選倍率の優遇制度　19年度募集戸数　3051戸（世帯向け募集全体）／○ポイント方式による募集　19年度募集戸数　2553戸（ポイント方式募集全体）／○母子生活支援施設転出者向け特別割当て 19年度割当て戸数　56戸／○母子アパートへの入居　18年度をもって終了","○都営住宅の当選倍率の優遇制度　20年度募集戸数　3007戸（世帯向け募集全体）／○ポイント方式による募集　20年度募集戸数　2581戸（ポイント方式募集全体）／○母子生活支援施設転出者向け特別割当て 20年度割当て戸数　56戸","○都営住宅の当選倍率の優遇制度　21年度募集戸数　3000戸（世帯向け募集全体）／○ポイント方式による募集　21年度募集戸数　2580戸（ポイント方式募集全体）／○母子生活支援施設転出者向け特別割当て 21年度割当て戸数　50戸",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（3）ひとり親家庭の自立の推進／(3)子育て支援・生活の場の整備","","","110","母子生活支援施設の環境改善等","福祉保健局","民間：老朽化による立て替え　1件","民間：耐震補強及び老朽化による大規模改修　１件／創設　１件","民間：創設１件（18～19年度継続事業）","0件","0件",""
