"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"364","北区立赤羽西福祉作業所","社会福祉法人北区社会福祉事業団","北区","03-3907-5801","田中","http://kitajigyo.com/handicapped/","ansagyo-1979@jcom.zaq.ne.jp","両面テープ貼り","その他","500","5000","作業日数1日以降","5円","発注元による回収希望","無","無","有","納期、数量相談に応じます"
"365","北区立赤羽西福祉作業所","社会福祉法人北区社会福祉事業団","北区","03-3907-5801","田中","http://kitajigyo.com/handicapped/","ansagyo-1979@jcom.zaq.ne.jp","手帳カバー付け","事務用品","500","10000","作業日数1日以降","10円","発注元による回収希望","無","無","有","納期、数量相談に応じます"
"366","北区立赤羽西福祉作業所","社会福祉法人北区社会福祉事業団","北区","03-3907-5801","田中","http://kitajigyo.com/handicapped/","ansagyo-1979@jcom.zaq.ne.jp","鉛筆入れ","箱・袋詰め","500","10000","作業日数1日以降","5円","発注元による回収希望","無","無","有","納期、数量相談に応じます"
"367","工房ヴイ","社会福祉法人ドリームヴイ","北区","03-3906-7767","荒井","http://www.dream-v.or.jp/","dream-v@jcom.zaq.ne.jp","パウンドケーキ","食品","要相談","要相談","30日","160円","発注元による回収希望","無","有","有","サブレ、パウンドケーキ、フィナンシェのセットも、ご予算に応じて承ります。"
"368","工房ヴイ","社会福祉法人ドリームヴイ","北区","03-3906-7767","荒井","http://www.dream-v.or.jp/","dream-v@jcom.zaq.ne.jp","フィナンシェ","食品","要相談","要相談","30日","110円","発注元による回収希望","無","有","有","サブレ、パウンドケーキ、フィナンシェのセットも、ご予算に応じて承ります。"
"369","工房ヴイ","社会福祉法人ドリームヴイ","北区","03-3906-7767","荒井","http://www.dream-v.or.jp/","dream-v@jcom.zaq.ne.jp","革製品（定期入れ、キーホルダー、小銭入れほか）","生活用品","要相談","要相談","30日","250円から1000円くらい","発注元による回収希望","無","無","有","詳細はご相談願います。"
"370","工房ヴイ","社会福祉法人ドリームヴイ","北区","03-3906-7767","荒井","http://www.dream-v.or.jp/","dream-v@jcom.zaq.ne.jp","チラシ封入","封入・封緘","要相談","1点封入2000枚","3日間","1枚3円","発注元による回収希望","無","無","有","詳細はご相談願います。"
"371","荒川ひまわり第2","社会福祉法人トラムあらかわ","荒川区","03-3895-6149","","https://www.tram-arakawa.org/","tram2@rf7.so-net.ne.jp","クッキーの製造","食品","100枚","18000枚","2か月","40円～/10ｇ","自力での納品可","無","有","有","クッキーをイベント記念品として注文いただきました。保育園や小学校の卒業シーズンには謝恩会の記念品の注文多数いただいてます。"
"372","荒川ひまわり第2","社会福祉法人トラムあらかわ","荒川区","03-3895-6149","","https://www.tram-arakawa.org/","tram2@rf7.so-net.ne.jp","チラシ印刷","印刷","10枚","5000枚","3週間","15円～/枚","発注元による回収希望","無","有","有","官公庁からのお知らせや各種イベントの広報、学園祭チラシ・ポスター等。"
"373","荒川ひまわり第2","社会福祉法人トラムあらかわ","荒川区","03-3895-6149","","https://www.tram-arakawa.org/","tram2@rf7.so-net.ne.jp","フルカラー名刺（片面）","印刷","100枚","2000枚","2～3週間","8円～/枚","自力での納品可","無","有","有","ご希望の字体やイラストで仕上げることが可能です。デザインも承ります。"
"374","作業所スカイ","社会福祉法人すかい","荒川区","03-3891-7060","","http://www.sukai.jp/","sagyou-arkw@sukai.jp","名刺データ入力","データ入力","500","10000","5","19","自力での納品可","無","無","有","名刺やホームページのお問い合わせ情報をExcel表等にまとめます。"
"375","作業所スカイ","社会福祉法人すかい","荒川区","03-3891-7060","","http://www.sukai.jp/","sagyou-arkw@sukai.jp","建物巡回清掃","清掃","1","4","1","6000","自力での納品可","無","有","有","マンション、アパート、法人管理建物の定海清掃および退居後のハウスクリーニングを行っています。"
"376","作業所スカイ","社会福祉法人すかい","荒川区","03-3891-7060","","http://www.sukai.jp/","sagyou-arkw@sukai.jp","DM封入","封入・封緘","1000","10000","5","2","自力での納品可","無","有","有","オートコレーターにて最大10種を機械丁合できます。送付先の区分け等にもご対応できます。"
"377","作業所スカイ","社会福祉法人すかい","荒川区","03-3891-7060","","http://www.sukai.jp/","sagyou-arkw@sukai.jp","ネット販売梱包","箱・袋詰め","100","10000","5","10","自力での納品可","無","有","有","ECの梱包に豊富な経験があります。また、発送業務もご対応できます。"
"378","ウィズミー","一般社団法人ウィズミー","板橋区","03-5943-5595","安藤","","withme_n_r@yahoo.co.jp","データ入力","データ入力","応相談","応相談","応相談","応相談","自力での納品可","無","無","有","住所録、アンケート、名刺、書籍の電子化等、ExcelやWord入力が可能です"
"379","ウィズミー","一般社団法人ウィズミー","板橋区","03-5943-5595","安藤","","withme_n_r@yahoo.co.jp","各種印刷","印刷","応相談","応相談","応相談","応相談","自力での納品可","無","無","有","ﾊﾟﾝﾌﾚｯﾄ・チラシ・冊子・ポスター等各種の印刷が可能です"
"380","ウィズミー","一般社団法人ウィズミー","板橋区","03-5943-5595","安藤","","withme_n_r@yahoo.co.jp","屋外清掃（駐車場等）、洗車","清掃","応相談","応相談","応相談","応相談","自力での納品可","無","無","有","マンションの共有スペースの日常清掃、駐車場等の清掃、除草の実績があります"
"381","ウィズミー","一般社団法人ウィズミー","板橋区","03-5943-5595","安藤","","withme_n_r@yahoo.co.jp","封入・封緘","封入・封緘","応相談","応相談","応相談","応相談","自力での納品可","無","無","有","各種封入・封緘、DM宛名貼り、袋詰め、箱折り等の実績があります"
"382","とくまる福祉作業所","社会福祉法人にりん草","板橋区","03-3558-1910","林","http://www.nirinsou.jp","","マグネット製品部品組み立て","箱・袋詰め","100個","15000個","5日間","相談","発注元による回収希望","無","無","有","各種部品組み立て"
"383","とくまる福祉作業所","社会福祉法人にりん草","板橋区","03-3558-1910","林","http://www.nirinsou.jp","","ＤＭ等封入・封緘ラベル貼り・シール貼り","封入・封緘","100枚","15000枚","5日間","相談","発注元による回収希望","無","無","有","複数点の丁合・封入可数量・納期要相談（結束機あり）"
"384","とくまる福祉作業所","社会福祉法人にりん草","板橋区","03-3558-1910","林","http://www.nirinsou.jp","","紙袋制作・箱類組み立て","箱・袋詰め","100枚","5000枚","5日間","相談","発注元による回収希望","無","無","有","ショッピングバック制作（穴あけ機あり）菓子箱等"
"385","とくまる福祉作業所","社会福祉法人にりん草","板橋区","03-3558-1910","林","http://www.nirinsou.jp","","公園清掃","清掃","350m2","2500m2","1年間","400/m2","自力での納品可","無","有","無","ブロワー・草刈り機有り"
"386","東京聴覚障害者支援センター","社会福祉法人友愛十字会","板橋区","03-3967-0051","山城","http://yuai.or.jp/17/index.html","yamasiro-yosi@yuai.or.jp","採尿セット","箱・袋詰め","2000","20000","10日間","1.1円～1.6円（応相談）","自力での納品可","無","無","有","分納可であれば万単位での受注可。"
"387","東京聴覚障害者支援センター","社会福祉法人友愛十字会","板橋区","03-3967-0051","山城","http://yuai.or.jp/17/index.html","yamasiro-yosi@yuai.or.jp","缶バッジ","封入・封緘","2000","20000","14日間","4円（応相談）","自力での納品可","無","無","有","分納可であれば万単位での受注可。"
"388","東京聴覚障害者支援センター","社会福祉法人友愛十字会","板橋区","03-3967-0051","山城","http://yuai.or.jp/17/index.html","yamasiro-yosi@yuai.or.jp","キーホルダー、アクリルバッジ","封入・封緘","2000","5000","10日間","8円（応相談）","自力での納品可","無","無","有","キーホルダーのプレートへのチェーン付け、ナス環、カニ環付け、クリッキー付も受注可。"
"389","東京聴覚障害者支援センター","社会福祉法人友愛十字会","板橋区","03-3967-0051","山城","http://yuai.or.jp/17/index.html","yamasiro-yosi@yuai.or.jp","カシメ","その他","1000","5000","7日間","0.95円（応相談）","自力での納品可","無","無","有","プレートの大きさ、種類により仕上がり個数に差が出るため応相談"
"390","あかねっこ弁当","社会福祉法人あかねの会","練馬区","03-5848-6139","吉見","https://akanenokai.com/","takuhai@akanenokai.com","弁当の製造","食品","2","100","翌日","600","自力での納品可","無","無","有","体にやさしく、野菜がたくさん入ったお弁当をお届けいたします。"
"391","あかねっこ弁当","社会福祉法人あかねの会","練馬区","03-5848-6139","吉見","https://akanenokai.com/","takuhai@akanenokai.com","清掃","清掃","50m2","150m2","要相談","要見積もり","自力での納品可","無","無","有","エアコン清掃、レンジフードの清掃、草むしり、レストランの厨房の清掃など、どんな清掃も行います。"
"392","あかねっこ弁当","社会福祉法人あかねの会","練馬区","03-5848-6139","吉見","https://akanenokai.com/","takuhai@akanenokai.com","軽作業","封入・封緘","100","2000","３日","１円/枚","自力での納品可","無","無","有","チラシ折り、封入、丁合など軽作業のお仕事は何でもご相談ください。"
"393","あかねっこ弁当","社会福祉法人あかねの会","練馬区","03-5848-6139","吉見","https://akanenokai.com/","takuhai@akanenokai.com","ポスティング","その他","500","2000","２日","５円/枚","自力での納品可","無","無","有","練馬区内のポスティングを行っています。"
"394","あんずの家","特定非営利活動法人あんずの家","練馬区","03-6914-8393","","https://anzunoie-nerima.com/","anzu_info@anzunoie-nerima.com","まんじゅう","食品","50","600","２週間","110","自力での納品可","","","有","お祝い事、お土産"
"395","あんずの家","特定非営利活動法人あんずの家","練馬区","03-6914-8393","","https://anzunoie-nerima.com/","anzu_info@anzunoie-nerima.com","クッキー","食品","20","300","２週間","170","自力での納品可","","","有","お祝い事、お土産"
"396","あんずの家","特定非営利活動法人あんずの家","練馬区","03-6914-8393","","https://anzunoie-nerima.com/","anzu_info@anzunoie-nerima.com","パウンドケーキ","食品","20","300","２週間","170","自力での納品可","","","有","お祝い事、お土産"
"397","あんずの家","特定非営利活動法人あんずの家","練馬区","03-6914-8393","","https://anzunoie-nerima.com/","anzu_info@anzunoie-nerima.com","ピクルス","食品","20","500","３週間","400","自力での納品可","","","有","お祝い事、お土産"
"398","田柄福祉園","社旗福祉法人東京援護協会","練馬区","03-3577-2201","鈴木","https://www.tokyoengokyokai.or.jp/11tagara/","tagara-shien@mirror.ocn.ne.jp","ビーズ製品、石鹸、その他遊具の制作","生活用品","10個","30個","1カ月","未定","自力での納品可","無","無","無","ビーズ製品、石鹸、その他遊具も制作・販売しております。10個以上注文の場合は、事前に連絡いただければと思います。"
"399","練馬区立かたくり福祉作業所","社会福祉法人練馬区社会福祉協議会","練馬区","03-5387-4610","上野","https://www.neri-shakyo.com/","","和紙・ちりめん商品（祝箸、ぽち袋、ふせん等）","事務用品","10セット","100セット","10日","200～500円","自力での納品可","無","有","有","日本伝統の和紙や布で作成した小物は、海外の方へのお土産や記念品等にもご活用いただけます。また、希望の金額に応じて詰め合わせることができます。"
"400","練馬区立かたくり福祉作業所","社会福祉法人練馬区社会福祉協議会","練馬区","03-5387-4610","上野","https://www.neri-shakyo.com/","","ＤＭ・チラシの封入や宛名シール貼り 等","封入・封緘","2000","20000","１週間","１工程１円～","自力での納品可","無","無","有","数量・金額・短納期等については、ご相談ください。"
"401","練馬区立かたくり福祉作業所","社会福祉法人練馬区社会福祉協議会","練馬区","03-5387-4610","上野","https://www.neri-shakyo.com/","","箱組み立て、菓子の袋詰め、箸の袋入れ 等","箱・袋詰め","300","3000","１週間","１工程１円～","自力での納品可","無","無","有","数量・金額・短納期等については、ご相談ください。"
"402","練馬区立貫井福祉工房","東京都手をつなぐ育成会","練馬区","03-5987-0401","成田","http://www.ikuseikai-tky.or.jp/~iku-nukui/kobo/index.html","nukuikoubou@ikuseikai-tky.or.jp","パン","食品","30","200","2週間","60～320円","自力での納品可","無","有","有","当日、店頭販売も行っております。"
"403","練馬区立貫井福祉工房","東京都手をつなぐ育成会","練馬区","03-5987-0401","成田","http://www.ikuseikai-tky.or.jp/~iku-nukui/kobo/index.html","nukuikoubou@ikuseikai-tky.or.jp","名刺印刷","印刷","50","1000枚","5日間","1300円～/100枚","自力での納品可","有","有","有","印刷物については内容によって値段、納期、納品方法が変わります。ご注文の際にご相談させて頂きます。"
"404","練馬区立貫井福祉工房","東京都手をつなぐ育成会","練馬区","03-5987-0401","成田","http://www.ikuseikai-tky.or.jp/~iku-nukui/kobo/index.html","nukuikoubou@ikuseikai-tky.or.jp","封筒印刷","印刷","100","1000部","2週間","6.7円～／1枚","自力での納品可","有","有","有","印刷物については内容によって値段、納期、納品方法が変わります。ご注文の際にご相談させて頂きます。"
"405","練馬区立貫井福祉工房","東京都手をつなぐ育成会","練馬区","03-5987-0401","成田","http://www.ikuseikai-tky.or.jp/~iku-nukui/kobo/index.html","nukuikoubou@ikuseikai-tky.or.jp","パンフレット印刷","印刷","100","1000部","2週間","15.7円/1枚","自力での納品可","無","無","有","印刷物については内容によって値段、納期、納品方法が変わります。ご注文の際にご相談させて頂きます。"
"406","練馬区立大泉福祉作業所","社会福祉法人同愛会","練馬区","03-3922-6193","相田","https://www.douaikai.com","ooizumi06@hyuman.com","煎餅","食品","1","300","2週間～","100円","自力での納品可","無","無","有","ラベル、内容オリジナル作成が可能です。手土産だけではなく、名刺代わりもご活用いただけます。"
"407","練馬区立大泉福祉作業所","社会福祉法人同愛会","練馬区","03-3922-6193","相田","https://www.douaikai.com","ooizumi06@hyuman.com","チラシ折り","その他","1","10万","10日間","0.3円～","発注元による回収希望","無","無","有","状況により、短納期にも対応が可能です。お気軽にご相談ください。"
"408","練馬区立大泉福祉作業所","社会福祉法人同愛会","練馬区","03-3922-6193","相田","https://www.douaikai.com","ooizumi06@hyuman.com","差し込み","その他","1","10万","10日間","0.3円～","発注元による回収希望","無","無","有","様々な内容に対応が可能です。ぜひご相談ください。"
"409","練馬区立大泉福祉作業所","社会福祉法人同愛会","練馬区","03-3922-6193","相田","https://www.douaikai.com","ooizumi06@hyuman.com","封入","封入・封緘","1","4万","10日間","0.3円～","発注元による回収希望","無","無","有","封入する内容によって、納期等異なります。記入した納期は封入のみの場合になります。"
"410","練馬区立白百合福祉作業所","社会福祉法人練馬区社会福祉協議会","練馬区","03-3995-7796","丹保","http://www.neri-shakyo.com/","s-yuri01@neri-shakyo.com","手すきはがき等の作製","事務用品","1","100","5日間","100円～250円/枚","発注元による回収希望","無","無","有","記念品"
"411","練馬区立白百合福祉作業所","社会福祉法人練馬区社会福祉協議会","練馬区","03-3995-7796","丹保","http://www.neri-shakyo.com/","s-yuri01@neri-shakyo.com","織物の作製","生活用品","1","5","5日間","400円～4000円/個","発注元による回収希望","無","無","有","記念品"
"412","練馬区立白百合福祉作業所","社会福祉法人練馬区社会福祉協議会","練馬区","03-3995-7796","丹保","http://www.neri-shakyo.com/","s-yuri01@neri-shakyo.com","梅干しの委託販売","食品","1","","5日間","500円～1000円","発注元による回収希望","無","有","無","催し物の景品"
"413","練馬区立白百合福祉作業所","社会福祉法人練馬区社会福祉協議会","練馬区","03-3995-7796","丹保","http://www.neri-shakyo.com/","s-yuri01@neri-shakyo.com","紙器組み立て","箱・袋詰め","1","10000","5日間","2.5円/個","発注元による回収希望","無","無","無",""
"414","練馬区立北町福祉作業所","社会福祉法人武蔵野会","練馬区","03-3559-0361","武田","http://care-net.biz/13/kitamachi/","musasinokai@kitamachi.net","パウンドケーキの制作","食品","パウンドケーキ９本","パウンドケーキ３０本","３日","６００１０００円","自力での納品可","","","","利用者の方と一緒に作成しており、種類も豊富で、季節限定の商品等も販売しております。"
"415","練馬区立北町福祉作業所","社会福祉法人武蔵野会","練馬区","03-3559-0361","武田","http://care-net.biz/13/kitamachi/","musasinokai@kitamachi.net","公園清掃","清掃","","週３回","１年間","１００万","","","有","","利用者の方と一緒に週３回練馬区内にある公園を清掃しております。"
"416","練馬区立北町福祉作業所","社会福祉法人武蔵野会","練馬区","03-3559-0361","武田","http://care-net.biz/13/kitamachi/","musasinokai@kitamachi.net","丁合、封入れ、封緘","封入・封緘","","週5000枚","１週間","２円／枚","自力での納品可","","","有","丁合機、紙折り機等を導入している為、数量に関してはご相談下さい。"
"417","練馬区立北町福祉作業所","社会福祉法人武蔵野会","練馬区","03-3559-0361","武田","http://care-net.biz/13/kitamachi/","musasinokai@kitamachi.net","箱折り","箱・袋詰め","","3000／週","１週間","８円／箱","発注元による回収希望","","","有","普段、食品の箱を折っている事もあり、箱に髪の毛が混入しない様に帽子を被ったり、手袋の着用と衛生面への配慮はしっかり行って作業を行っております。"
"418","アトリエほっと・しかはま","社会福祉法人あしなみ","足立区","03-3855-6135","桑原芳枝","http://www.ashinami.com/","atorie@ashinami.or.jp","封入封緘・発送代行","封入・封緘","5000","2点封入程度7000","１週間","２点封入５円","自力での納品可","無","有","有",""
"419","アトリエほっと・しかはま","社会福祉法人あしなみ","足立区","03-3855-6135","桑原芳枝","http://www.ashinami.com/","atorie@ashinami.or.jp","缶バッジ製作","その他","要相談","300","１日","６３円～","自力での納品可","無","有","無","キャンペーン、記念品、販促等"
"420","アトリエほっと・しかはま","社会福祉法人あしなみ","足立区","03-3855-6135","桑原芳枝","http://www.ashinami.com/","atorie@ashinami.or.jp","クリーニング","その他","フェイスタオル200枚","フェイスタオル500枚","１週間","1枚当たり20円","自力での納品可","無","無","無",""
"421","アトリエほっと・しかはま","社会福祉法人あしなみ","足立区","03-3855-6135","桑原芳枝","http://www.ashinami.com/","atorie@ashinami.or.jp","組付け作業等軽作業","箱・袋詰め","要相談","要相談","要相談","要相談","発注元による回収希望","無","無","有",""
"422","アリス","特定非営利活動法人メンタルサポートアリス","足立区","03-3849-6300","","","alice@ma.point.ne.jp","クッキー製造販売","食品","","400袋","3週間","200円/袋9枚入り","自力での納品可","無","有","有","会議でのお菓子、贈答用箱詰め等"
"423","アリス","特定非営利活動法人メンタルサポートアリス","足立区","03-3849-6300","","","alice@ma.point.ne.jp","箱組立","箱・袋詰め","","400箱","1日","10円～/箱","発注元による回収希望","無","無","有",""
"424","アリス","特定非営利活動法人メンタルサポートアリス","足立区","03-3849-6300","","","alice@ma.point.ne.jp","封入・封緘","封入・封緘","","3000セット","5日","封入点数による","自力での納品可","無","有","無",""
"425","アリス","特定非営利活動法人メンタルサポートアリス","足立区","03-3849-6300","","","alice@ma.point.ne.jp","貝の根付け製造","箱・袋詰め","","3000セット","即日","100円","自力での納品可","無","無","有","イベント・キャンペーン等の記念品など"
"426","ベルの会共同作業所","NPO法人ベルの会共同作業所","足立区","03-3956-9420","市川真吾","http://www.bell-nishiarai.net","bell.nishiarai@forest.ocn.ne.jp","箸の袋入れ","箱・袋詰め","1膳","100000膳","1ヶ月","０．３５～/1膳","発注元による回収希望","無","無","無","1４年毎日箸を入れております。納期、単価共にご相談ください。"
"427","葦の会作業所","社会福祉法人リード・エー","足立区","03-3857-8839","池田","http://www.reed-a.org","master@reed-a.org","花苗","その他","","800","","100~","自力での納品可","有","","有","区立公園花壇の植え替えなども行っています。"
"428","葦の会作業所","社会福祉法人リード・エー","足立区","03-3857-8839","池田","http://www.reed-a.org","master@reed-a.org","花壇植栽・管理","その他","","","半日～２日","面積・植栽花個数による","自力での納品可","","","有","公園・公共施設・老人ホーム等の花壇植替え・店舗等の年間を通じての花壇管理を行っています。（年間管理は花の植栽も含みます）"
"429","葦の会作業所","社会福祉法人リード・エー","足立区","03-3857-8839","池田","http://www.reed-a.org","master@reed-a.org","受注作業","箱・袋詰め","","10000","２日～３日","応相談","自力での納品可","有","","有","お茶・お菓子等の箱詰め・化粧箱の箱折り・箱詰め・１～２日の短い納期の仕事も出来ます"
"430","葦の会作業所","社会福祉法人リード・エー","足立区","03-3857-8839","池田","http://www.reed-a.org","master@reed-a.org","受注作業","封入・封緘","","10000","２日～３日","応相談","自力での納品可","有","","有","行政から区民の方への通知の封入封緘10000件程度を２～３日で行いました。"
"431","江北ひまわり園","あだちの里","足立区","03-5809-5815","加藤","http://www.a-sato.jp","k.himawari@a-sato.jp","パン製造","食品","1","500","4日間","商品による","自力での納品可","無","無","有","最大数であれば4日間での準備があれば納品できます。一般的な家庭での消費量であっても生地の量が変わりますので、ご注文は3日前までにお願いします。"
"432","江北ひまわり園","あだちの里","足立区","03-5809-5815","加藤","http://www.a-sato.jp","k.himawari@a-sato.jp","クッキー製造","食品","1","500","7日間","100~120","自力での納品可","無","無","有",""
"433","江北ひまわり園","あだちの里","足立区","03-5809-5815","加藤","http://www.a-sato.jp","k.himawari@a-sato.jp","受注作業","箱・袋詰め","100","500","随時","その都度","自力での納品可","無","無","有","各社からの受注もおまちしております。"
"434","竹の塚ひまわり園","社会福祉法人あだちの里","足立区","03-5831-1721","渡部","https://a-sato.or.jp/","takehimashien@a-sato.or.jp","封入封緘","封入・封緘","5000枚","30000枚","一週間","未定","発注元による回収希望","無","無","有",""
"435","竹の塚ひまわり園","社会福祉法人あだちの里","足立区","03-5831-1721","渡部","https://a-sato.or.jp/","takehimashien@a-sato.or.jp","パン製造・販売","食品","200個","500個","一週間","1個130円～","発注元による回収希望","無","有","有","庁舎内販売、イベント等"
"436","竹の塚ひまわり園","社会福祉法人あだちの里","足立区","03-5831-1721","渡部","https://a-sato.or.jp/","takehimashien@a-sato.or.jp","施設内清掃","清掃","500m2","2000m2","一年間","東京都最低賃金","自力での納品可","有","有","有","日常清掃、フロア、トイレ等"
"437","竹の塚ひまわり園","社会福祉法人あだちの里","足立区","03-5831-1721","渡部","https://a-sato.or.jp/","takehimashien@a-sato.or.jp","組立、バラシ作業","箱・袋詰め","1000個","10000個","一週間","未定","発注元による回収希望","無","無","有",""
"438","保木間作業所","特定非営利活動法人みなづき会","足立区","03-3860-9513","北浦","","hms-9513@image.ocn.ne.jo","アパートの定期清掃・点検","清掃","1日2～3件程度","1日5件程度","応相談","応相談","","","","有","複数の利用者による視点で、様々な箇所に注意を払い作業を行っています。"
"439","保木間作業所","特定非営利活動法人みなづき会","足立区","03-3860-9513","北浦","","hms-9513@image.ocn.ne.jo","除草","清掃","応相談","応相談","応相談","応相談","","有","","","施設利用者や職員の方の目にどう映るか、を意識しながら仕上げています。"
"440","保木間作業所","特定非営利活動法人みなづき会","足立区","03-3860-9513","北浦","","hms-9513@image.ocn.ne.jo","除草・剪定","清掃","応相談","応相談","応相談","300円/1m2","","","","有","営業開始時間前に迅速かつ丁寧に行っています。"
"441","渕江作業所","特定非営利活動法人みなづき会","足立区","03-5856-5806","泊","","minazuki@mx4.alpha-web.ne.jp","食品容器","箱・袋詰め","20個","500個","2日","0.45～5円／個","発注元による回収希望","無","無","有","ピクニック用品の容器を商品化しています。"
"442","渕江作業所","特定非営利活動法人みなづき会","足立区","03-5856-5806","泊","","minazuki@mx4.alpha-web.ne.jp","割り箸","箱・袋詰め","20000膳","25000膳","１週間","0.2円／膳","発注元による回収希望","無","無","有","飲食店等の割り箸を商品化しています。"
"443","渕江作業所","特定非営利活動法人みなづき会","足立区","03-5856-5806","泊","","minazuki@mx4.alpha-web.ne.jp","飲食店","清掃","75m2","145m2","半日","300円／m2","自力での納品可","無","無","有","店舗周りの清掃を行っています。"
"444","渕江作業所","特定非営利活動法人みなづき会","足立区","03-5856-5806","泊","","minazuki@mx4.alpha-web.ne.jp","共同住宅","清掃","１棟","８棟","1日","3000円／棟","自力での納品可","無","無","有","共有部分の清掃を行っています。"
"445","あさひ","株式会社ビジネスパートナーズ","葛飾区","03-3826-6075","","https//www.asahi-bp.co.jp/","asahi@dynam.co.jp","オフィスビル清掃","清掃","１フロアー","１フロアー","１日","10000～30000円","自力での納品可","無","無","有","1フロアー掃除機掛けと男女トイレを清掃"
"446","あさひ","株式会社ビジネスパートナーズ","葛飾区","03-3826-6075","","https//www.asahi-bp.co.jp/","asahi@dynam.co.jp","封入封緘","封入・封緘","5000","10000","5日","5～10円／枚","発注元による回収希望","無","無","有","封入物の数により単価が異なる。"
"447","あさひ","株式会社ビジネスパートナーズ","葛飾区","03-3826-6075","","https//www.asahi-bp.co.jp/","asahi@dynam.co.jp","ボタン加工・検品","その他","1000","10000","10日","3～8円／個","発注元による回収希望","無","無","有","ハンドプレス機2台で2～4ヶ所のボタンの加工をし、検品後納入。"
"448","ドンと来い亀有","株式会社おもつな","葛飾区","03-6662-5658","大谷徳博","http://www.omotsuna.co.jp/index.html","ootani@dontokoi-kameari.com","パウンドケーキ・チョコブラウニーの製造","食品","3","15","7日間","1000円/個","自力での納品可","無","無","有","1個当たり、ﾊﾟｳﾝﾄﾞｹﾝｰｷは270g、ﾁｮｺﾌﾞﾗｳﾆｰは150ｇで販売しています。ﾁｮｺﾌﾞﾗｳﾆｰは500円で販売。ご贈答用としてｾｯﾄもできます。"
"449","ドンと来い亀有","株式会社おもつな","葛飾区","03-6662-5658","大谷徳博","http://www.omotsuna.co.jp/index.html","ootani@dontokoi-kameari.com","アクセサリー・フラワーアレジメントの製造","生活用品","1","20","2週間","1000円～","自力での納品可","無","無","有","ﾚｼﾞﾝや水引等を使ったﾋﾟｱｽやｲﾔﾘﾝｸﾞ、髪留め、ﾈｯｸﾚｽ等を作っています。ﾌﾗﾜｰｱﾚｼﾞﾒﾝﾄは誕生日や母の日等の催事にも適しています。"
"450","ドンと来い亀有","株式会社おもつな","葛飾区","03-6662-5658","大谷徳博","http://www.omotsuna.co.jp/index.html","ootani@dontokoi-kameari.com","データ入力","データ入力","応相談","応相談","応相談","応相談","発注元による回収希望","無","無","有","税理士法人より依頼を受け、通帳やﾚｼｰﾄ・領収書の情報をｴｸｾﾙｼｰﾄに入力したり、AIを活用してｽｷｬﾝをしています。"
"451","ドンと来い亀有","株式会社おもつな","葛飾区","03-6662-5658","大谷徳博","http://www.omotsuna.co.jp/index.html","ootani@dontokoi-kameari.com","物流加工","箱・袋詰め","応相談","応相談","応相談","応相談","発注元による回収希望","無","無","有","化粧品等のｱｯｾﾝﾌﾞﾘ作業やｼｭﾘﾝｸによる結束作業、梱包・発送作業及びﾊﾞｰｺｰﾄﾞﾗﾍﾞﾙ・送付票の発行と貼付作業をしています。"
"452","やすらぎリバーシティ","社会福祉法章佑会","葛飾区","03-5678-6170","西元","http://www.yasuragi1977.jp","yasuragi-rivercity@shouyuhkai.jp","施設清掃","清掃","50m2","500m2","１年間","４０円/m2","自力での納品可","無","有","有","感染症対策に特化した清掃システムで障害者施設や高齢者施設等の清掃を行います。施設を利用されている方々に配慮して作業を進めています。"
"453","やすらぎリバーシティ","社会福祉法章佑会","葛飾区","03-5678-6170","西元","http://www.yasuragi1977.jp","yasuragi-rivercity@shouyuhkai.jp","お米の精米","食品","3kg","100kg","７日間","400円/kg","自力での納品可","無","有","有","区立施設の給食に納品しています。その他地域の方々やご家族に購入していただいています。岩手県奥州市江刺金札米ひとめぼれ特Aの美味しいお米を精米したてで提供できます。"
"454","やすらぎリバーシティ","社会福祉法章佑会","葛飾区","03-5678-6170","西元","http://www.yasuragi1977.jp","yasuragi-rivercity@shouyuhkai.jp","米ぬか商品","食品","３個","食品：６０個生活用品：３０個","７日間","１２０円～270円","自力での納品可","無","無","有","米ぬかを使ってのクッキー、ふりかけや入浴剤を製造しています。ビタミンC豊富で健康食品です。また乾燥肌に良い入浴剤を作っています。"
"455","やすらぎリバーシティ","社会福祉法章佑会","葛飾区","03-5678-6170","西元","http://www.yasuragi1977.jp","yasuragi-rivercity@shouyuhkai.jp","煎餅","食品","３個","２０個","７日間","200円","自力での納品可","無","無","有","揚げ煎餅、手焼きせんべいを作っています。区役所や区関連施設、バザーや模擬店での販売を行っています。"
"456","奥戸福祉館","社会福祉法人原町成年寮","葛飾区","03-5670-8111","丸山","http://www.haramachiseinenryo.com/","okudo8111@msn.com","パン製品（メロンパン等）","食品","20","300以上","応相談","100円～","自力での納品可","無","無","有","区内小学校、保育園の祝賀行事で紅白メロンパンセット（300個以上）実績があります。その他、イベント使用の製品納品・販売も行えます。"
