産業分類階層,産業コード,産業細分類,事業所数,従業者数（送出者を除く）／総数（人）,従業者数（送出者を除く）／うち男（人）,常用労働者／総数（人）,常用労働者／うち男（人）,個人業主及び無給家族従業者（人）,現金給与総額（万円）,原材料使用額等（万円）,製造品出荷額等／総額（万円）,製造品出荷額／製造品出荷額（万円）,製造品出荷額／加工賃収入額（万円）,製造品出荷額／修理料収入額（万円）,製造品出荷額／くず・廃物出荷額（万円）,製造品出荷額／その他の収入額（万円）,付加価値額（29人以下は粗付加価値額）（万円）,粗付加価値額（万円）,有形固定資産額（30人以上）／年初現在高（万円）,有形固定資産額（30人以上）／取得額（万円）,有形固定資産額（30人以上）／除却額（万円）,有形固定資産額（30人以上）／減価償却額（万円）
2,2510,ボイラ・原動機製造業,9,110,91,110,91,-,55016,57188,149958,66316,80003,-,-,3639,85898,85898,-,-,-,-
3,2512,蒸気機関・タービン・水力タービン製造業（舶用を除く）,4,80,69,80,69,-,36320,44985,115357,41638,70155,-,-,3564,65159,65159,-,-,-,-
3,2513,はん用内燃機関製造業,3,17,14,17,14,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,2519,その他の原動機製造業,2,13,8,13,8,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
2,2520,ポンプ・圧縮機器製造業,86,2078,1553,2077,1552,2,955699,2374669,4674550,4397845,195496,33987,118,47104,2307061,2158853,1109905,142586,8458,69795
3,2521,ポンプ・同装置製造業,25,1117,830,1116,829,1,513203,1231797,2791224,2720125,40236,6420,-,24443,1642264,1468879,379837,121517,5945,52566
3,2522,空気圧縮機・ガス圧縮機・送風機製造業,18,330,260,331,261,-,161222,282756,603592,573931,13948,13065,-,2648,290064,298559,66248,7651,-,4811
3,2523,油圧・空圧機器製造業,43,631,463,630,462,1,281274,860116,1279734,1103789,141312,14502,118,20013,374733,391415,663820,13418,2513,12418
2,2530,一般産業用機械・装置製造業,105,2341,1891,2344,1894,1,1180931,3079689,6296359,5729873,320415,134982,13,111076,3083950,3069829,1327765,185419,1027,51251
3,2531,動力伝導装置製造業（玉軸受、ころ軸受を除く）,40,631,473,631,473,-,278546,377970,945726,772475,173183,55,13,-,516632,527160,324638,19683,2,12675
3,2532,エレベータ・エスカレータ製造業,16,478,410,478,410,-,202855,450283,921426,894242,2363,6741,-,18080,413134,438072,133409,22771,556,25531
3,2533,物流運搬設備製造業,27,355,273,355,273,-,152386,331219,690756,538426,73236,16950,-,62144,331209,336156,50919,18541,469,5062
3,2534,工業窯炉製造業,3,27,23,27,23,-,8535,27157,66770,40550,4547,21673,-,-,36679,36679,-,-,-,-
3,2535,冷凍機・温湿調整装置製造業,19,850,712,853,715,1,538609,1893060,3671681,3484180,67086,89563,-,30852,1786296,1731762,818799,124424,-,7983
2,2590,その他のはん用機械・同部分品製造業,135,3002,2469,3001,2469,6,1497857,3428241,6181144,4777003,384769,708694,1868,308810,2526890,2580321,1327472,176725,10624,57829
3,2591,消火器具・消火装置製造業,3,74,55,74,55,-,29306,137403,211621,211621,-,-,-,-,69389,68887,25874,861,10,1845
3,2592,弁・同附属品製造業,27,636,513,638,515,1,329157,826584,1504517,1351507,30072,1736,1325,119877,647375,632990,70357,33211,63,12018
3,2593,パイプ加工・パイプ附属品加工業,10,100,67,100,67,-,34347,54890,126959,97856,28515,-,-,588,66730,66730,-,-,-,-
3,2594,玉軸受・ころ軸受製造業,9,733,634,733,634,-,401907,1012113,1559545,1483601,34403,-,543,40998,509017,523679,929906,97274,9150,21044
3,2596,他に分類されないはん用機械・装置製造業,16,421,343,421,343,-,193655,428247,825633,702112,23201,-,-,100320,357785,371653,74849,30200,84,10332
3,2599,各種機械・同部分品製造修理業（注文製造・修理）,70,1038,857,1035,855,5,509485,969004,1952869,930306,268578,706958,-,47027,876594,916382,226486,15179,1317,12590
1,2600,生産用機械器具製造業,968,16989,13600,17038,13650,22,8152913,21870985,40136668,34419380,2725279,423767,2627,2565615,17407838,17626902,8864223,1827591,99801,675949
2,2610,農業用機械製造業（農業用器具を除く）,5,182,137,182,137,-,76756,379043,533065,362290,-,-,186,170589,133870,143240,137317,8406,970,9514
3,2611,農業用機械製造業（農業用器具を除く）,5,182,137,182,137,-,76756,379043,533065,362290,-,-,186,170589,133870,143240,137317,8406,970,9514
2,2620,建設機械・鉱山機械製造業,36,1042,858,1043,859,-,450890,1261590,2189994,1967465,94376,57794,-,70359,876709,872557,968880,156061,35675,72990
3,2621,建設機械・鉱山機械製造業,36,1042,858,1043,859,-,450890,1261590,2189994,1967465,94376,57794,-,70359,876709,872557,968880,156061,35675,72990
2,2630,繊維機械製造業,4,60,41,60,41,-,18158,29471,65945,62085,3860,-,-,-,32453,33866,21086,-,-,1416
3,2634,繊維機械部分品・取付具・附属品製造業,2,47,33,47,33,-,x,x,x,x,x,-,-,-,x,x,x,-,-,x
3,2635,縫製機械製造業,2,13,8,13,8,-,x,x,x,x,x,-,-,-,x,x,x,-,-,x
2,2640,生活関連産業用機械製造業,120,1694,1389,1692,1387,3,840997,2138258,3949370,3601252,95070,55572,246,197230,1678178,1691433,650168,80477,332,27363
3,2641,食品機械・同装置製造業,47,514,412,512,410,2,221624,642473,1127025,1007091,29617,11079,180,79058,447881,453087,139751,14769,-,3227
3,2642,木材加工機械製造業,1,13,11,13,11,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,2643,パルプ装置・製紙機械製造業,2,14,8,14,8,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,2644,印刷・製本・紙工機械製造業,34,441,364,440,363,1,240141,569239,1132954,1058624,25937,33953,66,14374,525117,526952,149391,21375,332,15472
3,2645,包装・荷造機械製造業,36,712,594,713,595,-,366583,911244,1653385,1500797,38250,10540,-,103798,686010,692224,361026,44333,-,8664
2,2650,基礎素材産業用機械製造業,70,1015,806,1015,806,-,480390,1529551,2681024,2386040,150450,40482,6,104046,1044835,1086478,423215,175523,303,24544
3,2651,鋳造装置製造業,5,51,46,51,46,-,25356,57702,117276,74770,28714,413,-,13379,55160,55160,-,-,-,-
3,2652,化学機械・同装置製造業,46,658,508,658,508,-,283034,1050557,1749086,1581191,87416,34204,-,46275,631624,657773,338333,166279,63,16808
3,2653,プラスチック加工機械・同附属装置製造業,19,306,252,306,252,-,172000,421292,814662,730079,34320,5865,6,44392,358051,373545,84882,9244,240,7736
2,2660,金属加工機械製造業,261,4012,3129,4016,3134,13,1884252,3840835,7372140,5472050,845650,85362,2096,966982,3070905,3354399,1772223,523061,8747,189067
3,2661,金属工作機械製造業,24,819,668,831,679,1,411467,1000876,1799633,1358318,219825,23935,166,197389,759840,754253,566112,35255,6097,32940
3,2662,金属加工機械製造業（金属工作機械を除く）,12,531,466,531,466,-,276590,810948,1294098,1251328,9167,17678,26,15899,268567,499696,743234,354612,1537,110247
3,2663,金属工作機械用・金属加工機械用部分品・附属品製造業（機械工具、金型を除く）,158,1647,1225,1639,1220,8,743255,1567468,3103444,1916724,490852,36494,5,659369,1406131,1429696,355057,15524,817,24743
3,2664,機械工具製造業（粉末や金業を除く）,67,1015,770,1015,769,4,452940,461543,1174965,945680,125806,7255,1899,94325,636367,670754,107820,117670,296,21137
2,2670,半導体・フラットパネルディスプレイ製造装置製造業,136,3891,3117,3933,3159,1,1979985,7312187,12123883,10855922,1007693,13847,10,246411,5055862,4884203,2622702,500692,34667,256529
3,2671,半導体製造装置製造業,125,3645,2928,3687,2970,1,1842019,6893801,11370232,10138762,996879,13847,10,220734,4749650,4567983,2374979,361223,34667,249436
3,2672,フラットパネルディスプレイ製造装置製造業,11,246,189,246,189,-,137966,418386,753651,717160,10814,-,-,25677,306212,316220,247723,139469,-,7093
2,2690,その他の生産用機械・同部分品製造業,336,5093,4123,5097,4127,5,2421485,5380050,11221247,9712276,528180,170710,83,809998,5515026,5560726,2268632,383371,19107,94526
3,2691,金属用金型・同部分品・附属品製造業,59,554,425,555,426,1,211973,235486,730297,572646,151238,3309,12,3092,458365,458365,-,-,-,-
3,2692,非金属用金型・同部分品・附属品製造業,122,1578,1300,1580,1302,1,735188,1084318,2608692,2466105,90495,6224,19,45849,1397231,1414338,344018,27950,6862,20684
3,2693,真空装置・真空機器製造業,34,712,559,714,560,-,311755,490737,1388087,1292562,31003,63083,-,1439,800799,842197,750148,7750,390,3642
3,2694,ロボット製造業,16,474,381,475,382,-,208648,877986,1612870,1213802,38888,43385,48,316747,710398,730933,330913,8183,609,21372
3,2699,他に分類されない生産用機械・同部分品製造業,105,1775,1458,1773,1457,3,953921,2691523,4881301,4167161,216556,54709,4,442871,2148233,2114893,843553,339488,11246,48828
1,2700,業務用機械器具製造業,514,13079,9620,13263,9776,23,6758335,16726162,31813349,28465767,662790,532326,-,2152466,12910846,14385572,6672599,453362,230112,493185
2,2710,事務用機械器具製造業,25,867,692,878,701,-,396387,1345802,2121711,1939486,76883,4584,-,100758,745989,723668,145304,33619,1521,12935
3,2711,複写機製造業,15,228,180,237,187,-,110196,96392,348549,274301,72733,-,-,1515,229953,234440,57631,11899,673,4055
3,2719,その他の事務用機械器具製造業,10,639,512,641,514,-,286191,1249410,1773162,1665185,4150,4584,-,99243,516036,489228,87673,21720,848,8880
2,2720,サービス用・娯楽用機械器具製造業,35,738,532,737,531,1,x,x,x,x,x,57462,-,x,x,x,x,x,x,x
3,2721,サービス用機械器具製造業,7,97,81,97,81,-,51267,271802,340771,334639,3450,2682,-,-,62825,64374,21632,-,10400,1685
3,2722,娯楽用機械製造業,15,247,178,247,178,-,125244,1835790,2808940,2792468,16387,-,-,85,153784,883603,869706,14169,1063,97364
3,2723,自動販売機製造業,3,70,59,70,59,-,x,x,x,x,x,x,-,x,x,x,x,x,x,x
3,2729,その他のサービス用・娯楽用機械器具製造業,10,324,214,323,213,1,166806,317519,724921,638382,2510,46748,-,37281,366908,379782,507729,18975,24050,10454
2,2730,計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業,269,7758,5907,7934,6061,13,4233912,8668079,17755204,16098447,330804,353893,-,972060,8257969,8763590,3890890,307708,168373,285856
3,2731,体積計製造業,6,93,70,92,69,1,42561,81615,187134,176552,1662,8920,-,-,98674,98845,12205,2548,5,397
3,2732,はかり製造業,6,87,75,87,75,-,36039,82326,135572,110918,5590,1332,-,17732,49303,49303,-,-,-,-
3,2733,圧力計・流量計・液面計等製造業,26,455,338,455,338,-,202102,339012,683917,628914,35053,7514,-,12436,323822,323017,442668,272,612,3692
3,2734,精密測定器製造業,33,585,426,583,424,2,225886,376803,871096,780424,67903,7440,-,15329,436548,459767,161450,24866,583,19713
3,2735,分析機器製造業,33,1040,759,1057,773,2,589911,1034091,2460738,2127035,39036,34762,-,259905,1290350,1330051,228413,38459,1767,26331
3,2736,試験機製造業,34,877,744,879,746,1,448248,1166240,2414514,2179419,59484,150848,-,24763,1074789,1205869,901350,8322,3373,53840
3,2737,測量機械器具製造業,7,1378,1130,1491,1228,-,1060294,2986550,5503525,5409551,-,-,-,93974,2283812,2568056,570872,73995,109541,103775
3,2738,理化学機械器具製造業,32,697,500,690,496,7,327711,612583,1228690,934200,12124,10977,-,271389,572950,577043,76316,52432,-,4004
3,2739,その他の計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業,92,2546,1865,2600,1912,-,1301160,1988859,4270018,3751434,109952,132100,-,276532,2127721,2151639,1497616,106814,52492,74104
2,2740,医療用機械器具・医療用品製造業,134,2701,1802,2695,1795,7,1285023,3018601,5768038,4608819,105682,106454,-,947083,2359801,2571114,1049943,28769,22127,52360
3,2741,医療用機械器具製造業,79,1646,1155,1642,1150,5,825185,2349079,4210529,3307676,49026,98135,-,755692,1533273,1744196,888835,21271,20660,42463
3,2742,歯科用機械器具製造業,14,242,157,242,157,-,97990,229656,434361,422402,3306,5263,-,3390,189914,192962,63370,5011,848,3280
3,2743,医療用品製造業（動物用医療機械器具を含む）,32,555,326,554,325,1,234927,275599,737927,526854,26251,3056,-,181766,431565,428907,97738,2487,619,6617
3,2744,歯科材料製造業,9,258,164,257,163,1,126921,164267,385221,351887,27099,-,-,6235,205049,205049,-,-,-,-
2,2750,光学機械器具・レンズ製造業,49,969,649,971,650,2,435588,1157153,2114585,1969325,62680,9933,-,72647,899697,936655,155070,49249,1753,31842
3,2751,顕微鏡・望遠鏡等製造業,13,160,102,160,102,-,48216,53890,161494,135757,7776,9725,-,8236,100316,100428,430,-,-,65
3,2752,写真機・映画用機械・同附属品製造業,16,228,160,228,160,-,81830,165416,327025,263470,27439,156,-,35960,147808,150790,39046,6349,1279,3141
3,2753,光学機械用レンズ・プリズム製造業,20,581,387,583,388,2,305542,937847,1626066,1570098,27465,52,-,28451,651573,685437,115594,42900,474,28636
2,2760,武器製造業,2,46,38,48,38,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,2761,武器製造業,2,46,38,48,38,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
1,2800,電子部品・デバイス・電子回路製造業,270,10124,6983,10562,7377,9,5409032,29309393,39725331,33568497,1116073,6609,860,5033292,8771141,10972548,9115933,2925229,167303,2473090
2,2810,電子デバイス製造業,3,280,216,281,217,-,x,x,x,x,x,-,-,-,x,x,x,x,x,x
3,2811,電子管製造業,1,27,23,27,23,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
3,2812,光電変換素子製造業,1,118,106,119,107,-,x,x,x,x,-,-,-,-,x,x,x,x,x,x
3,2814,集積回路製造業,1,135,87,135,87,-,x,x,x,-,x,-,-,-,x,x,x,x,x,x
2,2820,電子部品製造業,66,3163,2229,3423,2460,-,1702739,20051707,24534585,20082548,144459,2200,-,4305378,3873943,5200796,3785229,1357785,126464,1459023
3,2821,抵抗器・コンデンサ・変成器・複合部品製造業,22,477,297,477,297,-,182463,254774,602460,574429,-,2200,-,25831,312946,324792,174241,8529,39,11938
3,2822,音響部品・磁気ヘッド・小形モータ製造業,7,68,42,69,43,-,25814,34883,90580,85249,1814,-,-,3517,51860,51860,-,-,-,-
3,2823,コネクタ・スイッチ・リレー製造業,37,2618,1890,2877,2120,-,1494462,19762050,23841545,19422870,142645,-,-,4276030,3509137,4824144,3610988,1349256,126425,1447085
2,2830,記録メディア製造業,2,22,16,28,22,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,2831,半導体メモリメディア製造業,1,16,11,22,17,-,x,x,x,-,x,-,-,-,x,x,-,-,-,-
3,2832,光ディスク・磁気ディスク・磁気テープ製造業,1,6,5,6,5,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
2,2840,電子回路製造業,84,2300,1526,2334,1557,4,941204,2946117,4499181,3594974,614815,2987,-,286405,1447478,1449602,708746,38941,7272,59123
3,2841,電子回路基板製造業,34,1075,774,1092,788,-,437313,1001707,1754052,1450393,212713,84,-,90862,678310,698339,407114,14724,2398,31644
3,2842,電子回路実装基板製造業,50,1225,752,1242,769,4,503891,1944410,2745129,2144581,402102,2903,-,195543,769168,751263,301632,24217,4874,27479
2,2850,ユニット部品製造業,11,236,168,240,172,1,94828,172062,377927,295836,74555,810,-,6726,183304,191986,174899,4414,5750,3809
3,2851,電源ユニット・高周波ユニット・コントロールユニット製造業,6,160,108,165,113,-,56653,113904,224450,159236,59587,810,-,4817,104449,103124,57789,1713,5500,2356
3,2859,その他のユニット部品製造業,5,76,60,75,59,1,38175,58158,153477,136600,14968,-,-,1909,78855,88862,117110,2701,250,1453
2,2890,その他の電子部品・デバイス・電子回路製造業,104,4123,2828,4256,2949,4,2496155,5720381,9721888,9037924,247709,612,860,434783,3163039,3918913,4130983,1302267,27681,824218
3,2899,その他の電子部品・デバイス・電子回路製造業,104,4123,2828,4256,2949,4,2496155,5720381,9721888,9037924,247709,612,860,434783,3163039,3918913,4130983,1302267,27681,824218
1,2900,電気機械器具製造業,586,23423,18394,23921,18863,7,12461526,34796130,74479933,61508546,2157216,366728,339,10447104,37986550,38004963,10064177,3355079,381660,824837
2,2910,発電用・送電用・配電用電気機械器具製造業,224,9707,7827,9851,7958,3,3941220,11739522,23316682,22249865,735892,13167,126,317632,11789819,10982814,3118023,2520004,22576,209444
3,2911,発電機・電動機・その他の回転電気機械製造業,19,617,467,616,466,1,258628,918525,1452572,1437758,7651,7163,-,-,519707,491439,458574,18520,4043,17760
3,2912,変圧器類製造業（電子機器用を除く),31,645,453,645,453,1,299995,547059,985915,932504,36687,1201,-,15523,400299,409868,210393,63451,218,10910
3,2913,電力開閉装置製造業,12,497,330,520,349,-,199811,423333,1071849,886683,150298,3506,-,31362,595366,606823,305218,21899,5806,17149
3,2914,配電盤・電力制御装置製造業,133,7457,6324,7576,6434,1,3012442,9514025,19198791,18489402,519141,1200,126,188922,10028208,9222921,1975130,2406509,11122,156677
3,2915,配線器具・配線附属品製造業,29,491,253,494,256,-,170344,336580,607555,503518,22115,97,-,81825,246239,251763,168708,9625,1387,6948
2,2920,産業用電気機械器具製造業,72,2169,1600,2179,1611,2,1052609,5080544,7391635,6938513,394328,8256,118,50420,2072236,2259256,432728,163543,65248,76282
3,2921,電気溶接機製造業,8,100,68,100,68,-,30120,54575,116084,80008,28130,2543,-,5403,57172,57172,-,-,-,-
3,2922,内燃機関電装品製造業,16,288,133,287,133,1,108392,197710,354473,330316,21528,-,118,2511,144496,145204,53163,597,-,1887
3,2929,その他の産業用電気機械器具製造業（車両用、船舶用を含む）,48,1781,1399,1792,1410,1,914097,4828259,6921078,6528189,344670,5713,-,42506,1870568,2056880,379565,162946,65248,74395
2,2930,民生用電気機械器具製造業,41,832,501,833,502,-,317177,1038552,2027769,1439218,522181,21650,-,44720,918028,921173,137951,61973,112690,5205
3,2931,ちゅう房機器製造業,9,123,103,123,103,-,x,x,x,x,x,x,-,x,x,x,x,-,-,x
3,2932,空調・住宅関連機器製造業,18,484,259,485,260,-,180026,425109,797657,716997,74660,6000,-,-,348468,347861,107439,61973,112690,4674
3,2933,衣料衛生関連機器製造業,2,30,19,30,19,-,x,x,x,x,x,-,-,x,x,x,-,-,-,-
3,2939,その他の民生用電気機械器具製造業,12,195,120,195,120,-,73472,431647,882064,431508,447142,544,-,2870,417683,417683,-,-,-,-
2,2940,電球・電気照明器具製造業,44,707,457,768,516,-,279453,938039,1857546,1633370,126617,-,95,97464,823759,856476,317709,14470,4480,37418
3,2941,電球製造業,6,174,110,235,169,-,81040,375122,824722,800028,9705,-,-,14989,391157,419123,173244,7677,4289,27979
3,2942,電気照明器具製造業,38,533,347,533,347,-,198413,562917,1032824,833342,116912,-,95,82475,432602,437353,144465,6793,191,9439
2,2950,電池製造業,3,20,14,20,14,-,6893,11747,30885,30885,-,-,-,-,17720,17720,-,-,-,-
3,2951,蓄電池製造業,1,9,6,9,6,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,2952,一次電池（乾電池、湿電池）製造業,2,11,8,11,8,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
2,2960,電子応用装置製造業,82,6728,5500,6970,5729,-,5065670,12538114,32720503,22847899,154615,118696,-,9599293,18881672,19457179,4354217,507454,172254,359881
3,2961,Ｘ線装置製造業,13,472,375,497,390,-,324416,1081995,2221013,2174355,42765,529,-,3364,1090150,1134605,415745,74537,48034,63658
3,2962,医療用電子応用装置製造業,10,2063,1656,2065,1657,-,2006885,4844473,15044713,5493687,23814,4545,-,9522667,9423954,9708560,2043315,84406,63072,1630
3,2969,その他の電子応用装置製造業,59,4193,3469,4408,3682,-,2734369,6611646,15454777,15179857,88036,113622,-,73262,8367568,8614014,1895157,348511,61148,294593
2,2970,電気計測器製造業,103,3044,2378,3083,2415,2,1717040,3223430,6781416,6176590,175851,195485,-,233490,3366500,3392348,1696743,85683,4318,135092
3,2971,電気計測器製造業（別掲を除く）,55,2088,1686,2120,1718,2,1223221,2423508,4816849,4374619,78052,164603,-,199575,2299611,2293702,1130464,64921,3302,107702
3,2972,工業計器製造業,33,654,485,658,489,-,371738,637448,1286883,1187333,40158,29433,-,29959,609219,621150,177565,15479,86,12081
3,2973,医療用計測器製造業,15,302,207,305,208,-,122081,162474,677684,614638,57641,1449,-,3956,457670,477496,388714,5283,930,15309
2,2990,その他の電気機械器具製造業,17,216,117,217,118,-,81464,226182,353497,192206,47732,9474,-,104085,116816,117997,6806,1952,94,1515
3,2999,その他の電気機械器具製造業,17,216,117,217,118,-,81464,226182,353497,192206,47732,9474,-,104085,116816,117997,6806,1952,94,1515
1,3000,情報通信機械器具製造業,120,8057,6601,8299,6812,2,5169947,32454132,57269411,46293849,503494,x,-,x,24567243,23184416,5219302,639042,88651,478440
2,3010,通信機械器具・同関連機械器具製造業,39,5988,5241,6202,5432,-,4311597,30454747,53486051,43231374,150443,1015,-,10103219,22933251,21499237,4255934,607339,85853,435836
3,3011,有線通信機械器具製造業,9,241,203,242,204,-,154786,232433,530753,463507,65280,1015,-,951,248861,277338,68012,3840,-,7130
3,3012,携帯電話機・PHS電話機製造業,1,20,3,20,3,-,x,x,x,-,x,-,-,-,x,x,-,-,-,-
3,3013,無線通信機械器具製造業,14,5298,4712,5511,4902,-,3898280,29316887,51537911,41362481,73262,-,-,10102168,22212032,20745610,4100877,589902,85221,415718
3,3015,交通信号保安装置製造業,9,122,95,122,95,-,63501,103665,238749,238649,-,-,-,100,125086,125086,-,-,-,-
3,3019,その他の通信機械器具・同関連機械器具製造業,6,307,228,307,228,-,x,x,x,x,x,-,-,-,x,x,x,x,x,x
2,3020,映像・音響機械器具製造業,50,1494,924,1517,940,2,633484,1615184,2925998,2428319,222241,6503,-,268935,1198365,1244059,709693,23540,2798,36550
3,3021,ビデオ機器製造業,12,220,139,218,138,2,76992,249503,415692,396504,14342,1211,-,3635,161791,155963,104464,6443,4,4108
3,3022,デジタルカメラ製造業,8,202,107,202,107,-,61583,146115,245771,224168,15152,-,-,6451,98858,100599,8118,-,-,1160
3,3023,電気音響機械器具製造業,30,1072,678,1097,695,-,494909,1219566,2264535,1807647,192747,5292,-,258849,937716,987497,597111,17097,2794,31282
2,3030,電子計算機・同附属装置製造業,31,575,436,580,440,-,224866,384201,857362,634156,130810,x,-,x,435627,441120,253675,8163,-,6054
3,3031,電子計算機製造業（パーソナルコンピュータを除く）,4,112,83,112,83,-,37104,46796,107875,35001,70275,2239,-,360,56412,57978,21574,377,-,1308
3,3032,パーソナルコンピュータ製造業,4,46,30,46,30,-,14987,37416,94618,88139,4000,x,-,x,52966,52966,-,-,-,-
3,3033,外部記憶装置製造業,4,45,30,45,30,-,17866,12747,43726,18345,25381,-,-,-,28684,28684,-,-,-,-
3,3034,印刷装置製造業,5,182,147,182,147,-,72450,127254,301998,228734,2865,37735,-,32664,159221,163075,219401,3181,-,4746
3,3035,表示装置製造業,6,96,85,101,89,-,48600,123601,219366,198317,5930,14181,-,938,88906,88979,12700,4605,-,-
3,3039,その他の附属装置製造業,8,94,61,94,61,-,33859,36387,89779,65620,22359,-,-,1800,49438,49438,-,-,-,-
1,3100,輸送用機械器具製造業,278,21250,18408,21819,18941,3,10087141,80666449,158660805,156382333,2042900,41627,1832,192113,72135191,72424724,10117485,2733464,126804,1867188
2,3110,自動車・同附属品製造業,170,16271,14297,16688,14684,1,7427947,61416366,105120576,104149377,880949,35301,485,54464,38429562,40596429,7057095,1509488,89307,1484405
3,3111,自動車製造業（二輪自動車を含む）,3,11664,10626,12074,11008,-,x,x,x,x,x,x,-,-,x,x,x,x,x,x
3,3112,自動車車体・附随車製造業,2,186,167,186,167,-,x,x,x,x,-,x,-,-,x,x,x,x,x,x
3,3113,自動車部分品・附属品製造業,165,4421,3504,4428,3509,1,1895741,6609205,10364383,9429009,869344,11081,485,54464,3305633,3514080,1870628,343551,60920,248899
2,3120,鉄道車両・同部分品製造業,33,889,764,893,768,1,350569,661560,1356377,672887,592073,-,1347,90070,656686,647463,328634,23357,123,15953
3,3121,鉄道車両製造業,2,95,83,95,83,-,x,x,x,x,x,-,x,x,x,x,x,x,x,x
3,3122,鉄道車両用部分品製造業,31,794,681,798,685,1,x,x,x,x,x,-,x,x,x,x,x,x,x,x
2,3130,船舶製造・修理業、舶用機関製造業,13,321,271,329,279,-,196558,510232,653690,600346,53344,-,-,-,160067,134210,140999,1933,5,5593
3,3131,船舶製造・修理業,4,94,79,94,79,-,x,x,x,x,x,-,-,-,x,x,x,x,-,x
3,3133,舟艇製造・修理業,2,29,25,29,25,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,3134,舶用機関製造業,7,198,167,206,175,-,127455,86149,141555,122659,18896,-,-,-,49253,51353,1407,678,5,665
2,3140,航空機・同附属品製造業,30,3354,2770,3494,2904,1,1962686,17828688,50977087,50447631,492623,-,-,36833,32616248,30763794,2496013,1198614,37369,358277
3,3141,航空機製造業,1,45,30,45,30,-,x,x,x,-,x,-,-,-,x,x,x,x,-,x
3,3142,航空機用原動機製造業,8,2661,2209,2800,2342,-,x,x,x,x,x,-,-,x,x,x,x,x,x,x
3,3149,その他の航空機部分品・補助装置製造業,21,648,531,649,532,1,373996,811128,1605356,1433167,168556,-,-,3633,654909,754424,973875,52036,325,73055
2,3150,産業用運搬車両・同部分品・附属品製造業,9,194,153,194,153,-,74651,146600,296171,290828,4570,773,-,-,128133,138333,94744,72,-,2960
3,3151,フォークリフトトラック・同部分品・附属品製造業,6,159,123,159,123,-,59906,130628,252867,249117,3750,-,-,-,102826,113026,94744,72,-,2960
3,3159,その他の産業用運搬車両・同部分品・附属品製造業,3,35,30,35,30,-,14745,15972,43304,41711,820,773,-,-,25307,25307,-,-,-,-
2,3190,その他の輸送用機械器具製造業,23,221,153,221,153,-,74730,103003,256904,221264,19341,5553,-,10746,144495,144495,-,-,-,-
3,3191,自転車・同部分品製造業,8,51,36,51,36,-,14257,24823,56627,52872,209,553,-,2993,31439,31439,-,-,-,-
3,3199,他に分類されない輸送用機械器具製造業,15,170,117,170,117,-,60473,78180,200277,168392,19132,5000,-,7753,113056,113056,-,-,-,-
1,3200,その他の製造業,561,9462,6185,9500,6224,22,4090024,11728285,20778829,16765020,893578,52982,454,3066795,8299280,8499185,3109765,294188,20603,246574
2,3210,貴金属・宝石製品製造業,57,850,485,851,486,1,372515,1195888,1877286,1621889,189273,166,-,65958,662682,640047,40605,6200,511,7052
3,3211,貴金属・宝石製装身具（ジュエリー）製品製造業,33,601,326,601,326,1,279750,938996,1425535,1251540,113765,166,-,60064,482736,459316,35051,6200,511,6267
3,3212,貴金属・宝石製装身具（ジュエリー）附属品・同材料加工業,7,88,52,88,52,-,34771,48104,114998,96875,17716,-,-,407,61459,62244,5554,-,-,785
3,3219,その他の貴金属製品製造業,17,161,107,162,108,-,57994,208788,336753,273474,57792,-,-,5487,118487,118487,-,-,-,-
2,3220,装身具・装飾品・ボタン・同関連品製造業（貴金属・宝石製を除く）,75,785,399,785,398,1,276492,664378,1261952,1083950,67603,-,117,110282,543381,554293,150467,7221,8,5896
3,3221,装身具・装飾品製造業（貴金属・宝石製を除く）,55,538,281,538,280,1,189763,526862,932320,819613,14806,-,117,97784,371271,376079,114971,6612,5,2844
3,3222,造花・装飾用羽毛製造業,5,34,5,34,5,-,x,x,x,x,x,-,-,-,x,x,-,-,-,-
3,3223,ボタン製造業,1,7,1,7,1,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,3224,針・ピン・ホック・スナップ・同関連品製造業,7,127,88,127,88,-,51808,103322,215461,167935,47526,-,-,-,97817,103921,35496,609,3,3052
3,3229,その他の装身具・装飾品製造業,7,79,24,79,24,-,23718,28210,92724,79316,910,-,-,12498,59975,59975,-,-,-,-
2,3230,時計・同部分品製造業,6,350,275,355,280,-,162259,333701,448008,381279,17797,31197,-,17735,91898,106737,110797,12443,357,13973
3,3231,時計・同部分品製造業,6,350,275,355,280,-,162259,333701,448008,381279,17797,31197,-,17735,91898,106737,110797,12443,357,13973
