"区分","名称","所在地","郵便番号","経営者","電話番号","許可年月日","種別","緯度","経度"
"宿泊施設","アジア会館","東京都港区赤坂八丁目10番32号","107-0052","一般財団法人アジア会館","03-3402-6111","20030710","旅館・ホテル","35.6704964","139.72807"
"宿泊施設","ザ・リッツ・カールトン東京","東京都港区赤坂九丁目7番5号","107-0052","ザ・リッツ・カールトン・プロパティ・マネジメント・カンパニー東京有限会社","03-3423-8000","20070314","旅館・ホテル","35.6674552","139.730168"
"宿泊施設","南青山１ｓｔ","東京都港区南青山一丁目4番3号","107-0062","車　建源　(ＴＳＯ，ＧＲＡＹ　ＰＡＵＬ　ＹＵＮＧ　ＩＩ）","03-5366-5901","20190724","旅館・ホテル","35.671135","139.724923"
"宿泊施設","Ｔｈｅ　Ｍｉｃｒｏ　Ｍｕｓｅｕｍ　Ｈｏｓｔｅｌ　Ａｏｙａｍａ","東京都港区南青山二丁目27番6号Ｒｅｖｅ南青山ビル2階","107-0062","有限会社ロンウェル","03-6447-2151","20191202","簡易宿所","35.669207","139.717065"
"宿泊施設","東急ステイ青山プレミア","東京都港区南青山二丁目27番18号","107-0062","東急ステイサービス株式会社","03-3497-0109","20080326","旅館・ホテル","35.6688546","139.716902"
"宿泊施設","Ａｌｂｉｄａ Ｈｏｔｅｌ Ａｏｙａｍａ（アルビダ ホテル アオヤマ）","東京都港区南青山三丁目1番5号","107-0062","株式会社アビステ","03-5413-3805","20181211","簡易宿所","35.668499","139.716513"
"宿泊施設","ＣＡＲＡＶＡＮ ＨＯＴＥＬ ＴＯＫＹＯ(キャラバンホテルトウキョウ)","東京都港区南青山三丁目13ＣＯＭＭＵＮＥ2ｎｄ内","107-0062","株式会社ハレトケ",,"20180702","旅館・ホテル","35.665646","139.71343"
"宿泊施設","ホテル　アドネス","東京都港区南青山四丁目3番2号2階、3階","107-0062","株式会社アートピア","03-6447-4821","20190222","簡易宿所","35.666349","139.720107"
"宿泊施設","Ｏｍｏｔｅｓａｎｄｏ　Ｃｏｎｄｏｍｉｎｉｕｍ","東京都港区南青山五丁目1番25号メゾンドラミア701","107-0062","北山　幸朋","03-6811-0919","20191010","旅館・ホテル","35.664674","139.71246"
"宿泊施設","島根イン青山","東京都港区南青山七丁目1番5号","107-0062","島根県","03-3797-3399","19870813","旅館・ホテル","35.6585947","139.7136"
"宿泊施設","ホテル　アラマンダ青山","東京都港区北青山二丁目7番13号プラセオ青山ビル2、6～8階","107-0061","株式会社ユニマットリタイアメント・コミュニティ","03-6455-5512","20200316","旅館・ホテル","35.6710461","139.71786"

"港区_宿泊施設(令和2年3月31日現在)","Ver202003",,,,,,,,
